timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,63.563,64.0,63.5,63.813,19.2275,721000,0.0,1.0
1999-09-14,63.5,64.25,63.375,63.625,19.171,907400,0.0,1.0
1999-09-15,63.875,64.188,63.375,63.375,19.0956,767800,0.0,1.0
1999-09-16,63.125,63.188,61.125,61.188,18.4365,1257200,0.0,1.0
1999-09-17,61.188,62.0,60.125,61.375,18.493,1271600,0.0,1.0
1999-09-20,61.2526,61.25,60.5,61.25,18.4553,1011800,0.0,1.0
1999-09-21,60.875,60.875,59.813,60.5,18.2294,553000,0.0,1.0
1999-09-22,60.25,62.438,60.126,62.125,18.719,1608600,0.0,1.0
1999-09-23,62.125,62.25,60.063,61.813,18.6248,1338600,0.0,1.0
1999-09-24,61.7476,61.75,59.188,60.313,18.1729,1159600,0.0,1.0
1999-09-27,60.438,61.75,60.188,61.125,18.4177,862800,0.0,1.0
1999-09-28,62.063,62.188,60.25,61.25,18.4553,1262000,0.0,1.0
1999-09-29,61.438,62.0011,61.313,61.688,18.5872,838400,0.0,1.0
1999-09-30,61.813,62.938,61.75,62.438,18.8132,1361200,0.0,1.0
1999-10-01,62.188,62.188,60.563,61.25,18.4553,796400,0.0,1.0
1999-10-04,61.188,62.125,61.188,61.813,18.6248,686800,0.0,1.0
1999-10-05,61.7446,61.75,60.5,61.188,18.4365,661000,0.0,1.0
1999-10-06,61.188,61.251,60.188,60.625,18.4115,759000,0.24,1.0
1999-10-07,61.2434,61.5,60.688,61.188,18.5823,811600,0.0,1.0
1999-10-08,62.063,62.2517,61.188,61.375,18.6392,662400,0.0,1.0
1999-10-11,61.313,63.0,60.875,62.375,18.9429,693400,0.0,1.0
1999-10-12,62.375,62.375,56.5,57.688,17.5194,2701600,0.0,1.0
1999-10-13,56.5,56.5,52.0,52.313,15.887,4785800,0.0,1.0
1999-10-14,52.997,54.563,52.688,54.25,16.4754,2578600,0.0,1.0
1999-10-15,56.0,56.0,52.063,52.125,15.8301,1813400,0.0,1.0
1999-10-18,53.0,53.063,52.125,52.688,16.0009,1473600,0.0,1.0
1999-10-19,53.25,53.563,52.25,52.25,15.868,1370400,0.0,1.0
1999-10-20,53.25,57.0,52.813,56.438,17.1397,1917600,0.0,1.0
1999-10-21,56.188,56.313,53.75,55.625,16.893,1683800,0.0,1.0
1999-10-22,55.625,55.628,55.0,55.25,16.7791,1603200,0.0,1.0
1999-10-25,54.875,55.188,54.375,54.75,16.6273,738600,0.0,1.0
1999-10-26,54.75,54.813,52.313,53.5,16.2476,1559400,0.0,1.0
1999-10-27,53.25,55.0,53.0,54.375,16.5134,1347000,0.0,1.0
1999-10-28,54.625,57.625,54.625,56.813,17.2536,1805600,0.0,1.0
1999-10-29,56.625,56.813,55.438,55.438,16.8361,1489400,0.0,1.0
1999-11-01,55.313,55.313,53.875,55.0,16.7032,1294000,0.0,1.0
1999-11-02,55.0,56.438,54.25,54.25,16.4754,782200,0.0,1.0
1999-11-03,54.875,56.125,53.875,55.563,16.874,1040400,0.0,1.0
1999-11-04,55.563,55.563,53.875,54.0,16.3995,953400,0.0,1.0
1999-11-05,54.25,55.4973,53.875,54.125,16.4375,904800,0.0,1.0
1999-11-08,54.125,56.125,54.1236,54.563,16.5703,956800,0.0,1.0
1999-11-09,55.0,55.125,53.313,53.625,16.2856,1028000,0.0,1.0
1999-11-10,53.813,54.375,53.25,53.625,16.2856,705200,0.0,1.0
1999-11-11,53.563,53.75,51.125,51.563,15.6592,2014000,0.0,1.0
1999-11-12,52.0,52.188,50.313,51.063,15.5074,2607000,0.0,1.0
1999-11-15,51.125,51.563,50.813,51.375,15.6023,1938800,0.0,1.0
1999-11-16,51.75,52.5,51.375,52.125,15.8301,1035200,0.0,1.0
1999-11-17,53.5,53.5,52.875,53.438,16.2287,858000,0.0,1.0
1999-11-18,54.375,54.375,53.688,54.0,16.3995,541800,0.0,1.0
1999-11-19,53.5,55.125,53.125,55.0,16.7032,1362800,0.0,1.0
1999-11-22,54.0,54.063,50.625,51.723,15.7067,1565200,0.0,1.0
1999-11-23,51.063,51.875,50.125,51.059,15.5074,1963600,0.0,1.0
1999-11-24,51.375,52.0,50.938,51.438,15.6213,1106400,0.0,1.0
1999-11-26,51.125,51.25,50.75,51.0,15.4884,422000,0.0,1.0
1999-11-29,51.0,51.313,50.375,51.125,15.5264,1501800,0.0,1.0
1999-11-30,52.0,52.5658,51.5,51.563,15.6592,2077600,0.0,1.0
1999-12-01,52.125,52.375,50.5046,50.75,15.4125,1256800,0.0,1.0
1999-12-02,50.75,51.75,50.75,51.449,15.626,2034200,0.0,1.0
1999-12-03,51.375,52.5,51.375,52.063,15.8111,2955600,0.0,1.0
1999-12-06,52.188,52.188,51.0,51.0,15.4884,1147000,0.0,1.0
1999-12-07,50.0,50.75,49.25,50.563,15.3555,2572000,0.0,1.0
1999-12-08,50.813,51.063,49.875,50.477,15.3318,1713600,0.0,1.0
1999-12-09,51.0,51.063,50.0,50.5,15.3366,1732600,0.0,1.0
1999-12-10,50.3742,50.938,50.313,50.688,15.3935,1233200,0.0,1.0
1999-12-13,52.25,52.313,49.9984,50.898,15.4599,1951400,0.0,1.0
1999-12-14,50.375,50.563,48.813,49.625,15.0708,1534600,0.0,1.0
1999-12-15,50.0,50.188,49.0,49.813,15.1278,1156000,0.0,1.0
1999-12-16,50.0,50.313,49.188,49.875,15.1467,1383400,0.0,1.0
1999-12-17,49.0,50.375,48.938,49.0,14.881,2039800,0.0,1.0
1999-12-20,49.0,49.0,48.0,49.0,14.881,1564400,0.0,1.0
1999-12-21,48.875,48.875,46.188,46.938,14.2546,2261200,0.0,1.0
1999-12-22,46.938,49.5,46.875,49.063,14.9,2853800,0.0,1.0
1999-12-23,49.75,53.0,49.563,51.375,15.6023,3383800,0.0,1.0
1999-12-27,51.375,52.75,51.063,51.438,15.6213,1617400,0.0,1.0
1999-12-28,51.188,51.188,50.063,50.75,15.4125,723200,0.0,1.0
1999-12-29,51.5,51.813,50.625,51.438,15.6213,540800,0.0,1.0
1999-12-30,51.75,52.938,51.313,52.438,15.925,1237600,0.0,1.0
1999-12-31,52.188,53.25,52.063,52.75,16.0199,640400,0.0,1.0
2000-01-03,52.125,52.125,49.0,49.063,14.9,1925600,0.0,1.0
2000-01-04,51.0,51.813,50.375,51.125,15.5264,2649600,0.0,1.0
2000-01-05,52.0,56.3733,51.875,54.625,16.5893,3474800,0.0,1.0
2000-01-06,54.625,55.563,54.0,54.813,16.6462,2897000,0.0,1.0
2000-01-07,55.25,57.563,55.188,56.25,17.0828,2273400,0.0,1.0
2000-01-10,56.6275,57.25,55.25,55.75,16.9309,2437600,0.0,1.0
2000-01-11,55.5,55.563,54.625,55.0,16.7032,798400,0.0,1.0
2000-01-12,54.375,54.563,52.75,53.0,16.2375,2704800,0.24,1.0
2000-01-13,53.9982,54.375,52.125,53.0,16.2375,1233000,0.0,1.0
2000-01-14,53.501,54.375,52.063,53.375,16.3524,1270200,0.0,1.0
2000-01-18,51.625,53.188,51.5,51.813,15.8737,1846000,0.0,1.0
2000-01-19,51.25,51.625,50.125,50.75,15.5482,1348800,0.0,1.0
2000-01-20,50.5,50.563,48.688,49.32,15.1126,1827200,0.0,1.0
2000-01-21,49.625,49.75,49.25,49.375,15.1269,1740400,0.0,1.0
2000-01-24,49.625,50.0,45.75,46.438,14.227,1681600,0.0,1.0
2000-01-25,46.438,47.375,45.375,47.063,14.4184,2450000,0.0,1.0
2000-01-26,47.313,47.8112,45.688,46.938,14.3801,2838600,0.0,1.0
2000-01-27,48.938,48.999,46.813,47.0,14.3993,2105400,0.0,1.0
2000-01-28,47.25,48.0,46.625,47.25,14.4759,2294600,0.0,1.0
2000-01-31,47.1225,47.313,46.0,47.125,14.4376,808800,0.0,1.0
2000-02-01,47.25,48.438,46.438,48.313,14.8014,1133600,0.0,1.0
2000-02-02,49.125,49.438,47.313,47.5,14.5525,1519800,0.0,1.0
2000-02-03,48.25,48.375,45.875,46.25,14.1695,1770400,0.0,1.0
2000-02-04,46.6259,47.25,45.5,45.563,13.9589,2248000,0.0,1.0
2000-02-07,46.063,46.125,42.25,44.5,13.6334,5385800,0.0,1.0
2000-02-08,44.125,44.625,42.688,43.0,13.1738,4143400,0.0,1.0
2000-02-09,42.4949,42.5,40.938,41.75,12.7909,3313800,0.0,1.0
2000-02-10,41.813,43.25,41.688,42.188,12.9249,1207200,0.0,1.0
2000-02-11,42.125,42.188,41.438,41.438,12.6951,1554000,0.0,1.0
2000-02-14,42.0,42.063,41.0,41.563,12.7334,1143000,0.0,1.0
2000-02-15,41.563,42.0,40.875,41.313,12.6568,2330000,0.0,1.0
2000-02-16,42.0,42.313,41.25,41.563,12.7334,1300200,0.0,1.0
2000-02-17,41.625,43.375,41.438,43.125,13.2121,2013000,0.0,1.0
2000-02-18,43.25,43.313,41.438,41.875,12.8292,1899800,0.0,1.0
2000-02-22,42.0,43.5,41.875,43.0,13.1738,1008000,0.0,1.0
2000-02-23,43.25,43.5,42.563,43.125,13.2121,1118400,0.0,1.0
2000-02-24,43.0,43.0633,41.563,42.25,12.944,2636400,0.0,1.0
2000-02-25,42.188,43.438,42.125,42.938,13.1547,991600,0.0,1.0
2000-02-28,43.188,43.438,42.375,43.063,13.193,735400,0.0,1.0
2000-02-29,43.0,43.938,42.7499,43.25,13.2504,1157800,0.0,1.0
2000-03-01,43.25,43.25,42.188,42.375,12.9823,1504800,0.0,1.0
2000-03-02,42.25,42.313,40.813,41.125,12.5994,1727200,0.0,1.0
2000-03-03,41.125,41.125,38.7494,38.875,11.9101,3978600,0.0,1.0
2000-03-06,39.0,39.75,37.75,37.813,11.5845,2772400,0.0,1.0
2000-03-07,37.0,37.563,36.2506,37.0,11.3356,1778600,0.0,1.0
2000-03-08,37.625,39.688,37.375,37.5,11.4888,4481200,0.0,1.0
2000-03-09,37.063,40.124,36.75,39.813,12.1973,2275800,0.0,1.0
2000-03-10,39.875,40.0,37.25,39.313,12.0441,2295600,0.0,1.0
2000-03-13,38.5,39.188,38.25,39.063,11.9675,1523200,0.0,1.0
