timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-11-25,20.0,20.01,20.0,20.0,6.8788,901300,0.0,1.0
2003-11-26,20.01,20.01,20.0,20.01,6.8823,326900,0.0,1.0
2003-11-28,20.01,20.1301,20.0,20.05,6.896,49900,0.0,1.0
2003-12-01,20.05,20.05,20.0,20.0,6.8788,140900,0.0,1.0
2003-12-02,20.02,20.13,20.0,20.1,6.9132,160700,0.0,1.0
2003-12-03,20.15,20.23,20.0385,20.15,6.9304,127300,0.0,1.0
2003-12-04,20.18,20.28,20.1,20.28,6.9751,107200,0.0,1.0
2003-12-05,20.3081,20.35,20.11,20.34,6.9958,90900,0.0,1.0
2003-12-08,20.3598,20.5,20.2,20.35,6.9992,141200,0.0,1.0
2003-12-09,20.4,20.5,20.25,20.26,6.9683,140700,0.0,1.0
2003-12-10,20.35,20.4007,20.23,20.35,6.9992,106200,0.0,1.0
2003-12-11,20.4521,20.45,20.3,20.4,7.0164,109200,0.0,1.0
2003-12-12,20.42,20.45,20.2683,20.37,7.0061,128000,0.0,1.0
2003-12-15,20.45,20.47,20.29,20.33,6.9923,95900,0.0,1.0
2003-12-16,20.3,20.47,20.12,20.42,7.0233,153800,0.0,1.0
2003-12-17,20.42,20.48,20.22,20.48,7.0439,124400,0.0,1.0
2003-12-18,20.48,20.5,20.33,20.44,7.0302,114800,0.0,1.0
2003-12-19,20.47,20.5,20.35,20.45,7.0336,113600,0.0,1.0
2003-12-22,20.49,20.5,20.3898,20.46,7.037,120300,0.0,1.0
2003-12-23,20.46,20.5,20.33,20.43,7.0267,101700,0.0,1.0
2003-12-24,20.4,20.4996,20.33,20.36,7.0027,91000,0.0,1.0
2003-12-26,20.29,20.2903,20.01,20.01,6.8823,169700,0.0,1.0
2003-12-29,20.0,20.05,20.0,20.0,6.8788,444800,0.0,1.0
2003-12-30,20.0,20.1402,20.0,20.14,6.927,288900,0.0,1.0
2003-12-31,20.0,20.09,19.95,20.0,6.8788,241700,0.0,1.0
2004-01-02,20.0,20.02,19.92,20.0,6.8788,93000,0.0,1.0
2004-01-05,20.0,20.0106,19.9,19.97,6.8685,138800,0.0,1.0
2004-01-06,19.92,20.13,19.91,20.1,6.9132,166000,0.0,1.0
2004-01-07,20.05,20.09,19.96,20.04,6.8926,104800,0.0,1.0
2004-01-08,20.04,20.06,19.96,19.99,6.8754,112200,0.0,1.0
2004-01-09,20.0,20.03,19.9,19.98,6.872,128100,0.0,1.0
2004-01-12,19.9,19.94,19.7306,19.75,6.7928,124600,0.0,1.0
2004-01-13,19.85,19.9,19.75,19.78,6.8032,107000,0.0,1.0
2004-01-14,19.86,19.9,19.76,19.84,6.8238,110800,0.0,1.0
2004-01-15,19.98,20.0,19.76,19.93,6.8548,113700,0.0,1.0
2004-01-16,19.88,19.95,19.82,19.9,6.8444,86100,0.0,1.0
2004-01-20,19.97,19.98,19.85,19.86,6.8307,117000,0.0,1.0
2004-01-21,19.9806,19.98,19.85,19.9,6.8444,102800,0.0,1.0
2004-01-22,19.85,19.98,19.85,19.88,6.8376,154000,0.0,1.0
2004-01-23,19.93,19.98,19.88,19.96,6.8651,114200,0.0,1.0
2004-01-26,19.9,20.0,19.83,19.85,6.8272,205100,0.0,1.0
2004-01-27,19.89,19.95,19.8,19.88,6.8376,182700,0.0,1.0
2004-01-28,19.9,20.0,19.82,19.84,6.8238,107500,0.0,1.0
2004-01-29,19.83,19.94,19.74,19.74,6.7894,123100,0.0,1.0
2004-01-30,19.85,20.0,19.77,19.85,6.8272,85200,0.0,1.0
2004-02-02,19.97,20.0,19.85,19.88,6.8376,84100,0.0,1.0
2004-02-03,19.84,20.0,19.84,19.99,6.8754,136500,0.0,1.0
2004-02-04,19.98,20.0,19.8794,19.89,6.841,91900,0.0,1.0
2004-02-05,19.89,19.99,19.88,19.92,6.8513,108400,0.0,1.0
2004-02-06,19.95,20.0,19.8792,19.9,6.8444,125800,0.0,1.0
2004-02-09,19.91,19.96,19.89,19.9,6.8444,73800,0.0,1.0
2004-02-10,19.91,19.97,19.79,19.83,6.8204,119200,0.0,1.0
2004-02-11,19.85,19.89,19.8,19.85,6.8272,141800,0.0,1.0
2004-02-12,19.92,19.92,19.81,19.85,6.8272,104100,0.0,1.0
2004-02-13,19.88,19.89,19.74,19.82,6.8169,120300,0.0,1.0
2004-02-17,19.81,19.91,19.76,19.8,6.81,164000,0.0,1.0
2004-02-18,19.8,19.84,19.7499,19.81,6.8135,132300,0.0,1.0
2004-02-19,19.85,19.96,19.77,19.85,6.8272,107700,0.0,1.0
2004-02-20,19.8014,19.89,19.73,19.75,6.7928,105700,0.0,1.0
2004-02-23,19.8,19.8,19.52,19.64,6.755,189000,0.0,1.0
2004-02-24,19.54,19.61,19.25,19.39,6.669,200500,0.0,1.0
2004-02-25,19.3911,19.5,19.32,19.39,6.669,133000,0.0,1.0
2004-02-26,19.5,19.86,19.35,19.78,6.8032,147600,0.0,1.0
2004-02-27,19.79,19.86,19.72,19.8,6.81,106500,0.0,1.0
2004-03-01,19.7,19.86,19.6,19.69,6.7722,90900,0.0,1.0
2004-03-02,19.62,19.8507,19.62,19.83,6.8204,100800,0.0,1.0
2004-03-03,19.72,19.89,19.61,19.89,6.841,148200,0.0,1.0
2004-03-04,19.75,19.98,19.7,19.94,6.8582,126700,0.0,1.0
2004-03-05,19.9,19.97,19.75,19.9,6.8444,95400,0.0,1.0
2004-03-08,19.81,19.95,19.8,19.81,6.8135,99200,0.0,1.0
2004-03-09,19.81,19.94,19.63,19.9,6.8444,116100,0.0,1.0
2004-03-10,19.94,19.94,19.75,19.75,6.7928,133800,0.0,1.0
2004-03-11,19.7,19.78,19.6,19.64,6.755,126400,0.0,1.0
2004-03-12,19.6,19.84,19.6,19.84,6.8238,129300,0.0,1.0
2004-03-15,19.4,19.48,19.25,19.29,6.7365,177000,0.2846,1.0
2004-03-16,19.32,19.41,19.05,19.24,6.719,173500,0.0,1.0
2004-03-17,19.15,19.32,19.13,19.15,6.6876,180800,0.0,1.0
2004-03-18,19.28,19.28,18.79,19.02,6.6422,260500,0.0,1.0
2004-03-19,19.06,19.2,19.02,19.12,6.6771,239200,0.0,1.0
