timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-12-27,19.2,19.2,18.31,18.45,12.1325,2600,0.0,1.0
2007-12-28,19.0,19.0,19.0,19.0,12.4942,4100,0.0,1.0
2007-12-31,19.25,19.25,19.0,19.0,12.4942,4500,0.0,1.0
2008-01-02,19.5,20.0,19.5,20.0,13.1518,2300,0.0,1.0
2008-01-03,20.25,20.25,19.9998,20.0,13.1518,3700,0.0,1.0
2008-01-04,20.25,20.25,20.25,20.25,13.3162,200,0.0,1.0
2008-01-07,20.4,20.4,20.4,20.4,13.4148,2800,0.0,1.0
2008-01-08,20.65,20.65,20.65,20.65,13.5792,100,0.0,1.0
2008-01-09,20.65,20.65,20.65,20.65,13.5792,0,0.0,1.0
2008-01-10,20.65,20.65,20.65,20.65,13.5792,0,0.0,1.0
2008-01-11,20.65,20.65,20.65,20.65,13.5792,0,0.0,1.0
2008-01-14,20.65,20.65,20.65,20.65,13.6386,0,0.09,1.0
2008-01-15,20.31,20.31,20.05,20.05,13.2424,400,0.0,1.0
2008-01-16,20.01,20.01,19.76,19.76,13.0508,400,0.0,1.0
2008-01-17,19.76,19.76,19.76,19.76,13.0508,0,0.0,1.0
2008-01-18,19.51,19.51,19.51,19.51,12.8857,100,0.0,1.0
2008-01-22,19.26,19.26,18.51,18.76,12.3904,1700,0.0,1.0
2008-01-23,19.0,19.22,19.0014,19.22,12.6942,500,0.0,1.0
2008-01-24,19.5,19.5006,19.5,19.5,12.8791,10800,0.0,1.0
2008-01-25,19.6,19.6,19.6,19.6,12.9452,5000,0.0,1.0
2008-01-28,19.6,19.6,19.6,19.6,12.9452,0,0.0,1.0
2008-01-29,19.85,20.3493,19.85,20.35,13.4405,300,0.0,1.0
2008-01-30,20.35,20.35,20.35,20.35,13.4405,0,0.0,1.0
2008-01-31,20.1,20.1,20.0999,20.1,13.2754,2000,0.0,1.0
2008-02-01,20.35,20.35,20.35,20.35,13.4405,200,0.0,1.0
2008-02-04,20.35,20.35,20.35,20.35,13.4405,0,0.0,1.0
2008-02-05,20.35,20.35,20.35,20.35,13.4405,0,0.0,1.0
2008-02-06,20.5,20.5,20.5,20.5,13.5396,17300,0.0,1.0
2008-02-07,20.5,20.75,20.5,20.75,13.7047,300,0.0,1.0
2008-02-08,20.75,20.75,20.75,20.75,13.7047,0,0.0,1.0
2008-02-11,20.75,20.75,20.75,20.75,13.7047,0,0.0,1.0
2008-02-12,20.75,20.75,20.75,20.75,13.7047,0,0.0,1.0
2008-02-13,20.75,20.75,20.75,20.75,13.7604,0,0.084,1.0
