timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-05-07,25.5,26.68,25.5,26.11,16.4622,4693900,0.0,1.0
2014-05-08,26.3,26.98,26.2,26.41,16.6892,451000,0.0,1.0
2014-05-09,26.72,26.89,26.11,26.46,16.6829,265700,0.0,1.0
2014-05-12,26.4,27.061,26.4,26.96,16.9981,204900,0.0,1.0
2014-05-13,26.9992,27.22,26.2,26.7,16.8342,321000,0.0,1.0
2014-05-14,26.63,27.29,26.27,26.88,16.9477,108100,0.0,1.0
2014-05-15,27.29,27.44,26.6,26.7,16.8342,187400,0.0,1.0
2014-05-16,26.63,27.2,26.56,26.7,16.8342,125800,0.0,1.0
2014-05-19,26.85,27.06,26.71,26.76,16.872,81800,0.0,1.0
2014-05-20,27.0,27.08,26.66,26.75,16.8657,121600,0.0,1.0
2014-05-21,26.71,26.83,26.5,26.56,16.7459,126000,0.0,1.0
2014-05-22,26.89,26.89,26.58,26.65,16.8027,106100,0.0,1.0
2014-05-23,26.7005,26.88,26.52,26.76,16.872,84000,0.0,1.0
2014-05-27,26.75,26.9,26.5,26.56,16.7459,71400,0.0,1.0
2014-05-28,26.52,26.698,26.5,26.6,16.7711,114200,0.0,1.0
2014-05-29,26.6,27.37,26.5,26.52,16.7207,201400,0.0,1.0
2014-05-30,26.71,26.83,26.52,26.52,16.7207,193700,0.0,1.0
2014-06-02,27.17,28.81,27.17,27.95,17.6223,310700,0.0,1.0
2014-06-03,28.38,28.9,28.09,28.48,17.9565,215800,0.0,1.0
2014-06-04,28.56,29.25,28.56,28.89,18.215,149900,0.0,1.0
2014-06-05,29.0,29.05,28.6,28.66,18.0699,132000,0.0,1.0
2014-06-06,28.6,29.08,28.6,28.72,18.1078,80000,0.0,1.0
2014-06-09,28.9,29.15,28.79,28.83,18.1771,88100,0.0,1.0
2014-06-10,29.07,29.07,28.8,28.88,18.2087,68200,0.0,1.0
2014-06-11,28.88,29.42,28.85,28.93,18.2402,215000,0.0,1.0
2014-06-12,29.3314,30.26,29.02,29.6,18.6626,121400,0.0,1.0
2014-06-13,30.0,30.0,29.27,29.83,18.8076,47000,0.0,1.0
2014-06-16,30.01,32.41,30.01,31.96,20.1506,111900,0.0,1.0
2014-06-17,32.45,33.6692,32.4,33.26,20.9702,214800,0.0,1.0
2014-06-18,33.8,35.23,33.36,33.9,21.3737,257500,0.0,1.0
2014-06-19,33.97,34.99,33.961,34.97,22.0484,224800,0.0,1.0
2014-06-20,35.1885,36.99,35.1,35.88,22.6221,220900,0.0,1.0
2014-06-23,36.44,36.49,33.51,34.49,21.7457,264000,0.0,1.0
2014-06-24,34.54,34.59,33.46,33.62,21.1972,174900,0.0,1.0
2014-06-25,33.45,33.91,30.5,33.57,21.1657,322100,0.0,1.0
2014-06-26,33.42,34.77,32.681,34.7,21.8781,127700,0.0,1.0
2014-06-27,34.9,35.7917,34.17,35.4,22.3195,82600,0.0,1.0
2014-06-30,35.84,36.75,35.39,36.39,22.9437,157300,0.0,1.0
2014-07-01,36.75,37.39,36.24,36.91,23.2715,114300,0.0,1.0
2014-07-02,37.27,37.27,34.72,35.57,22.4267,104700,0.0,1.0
2014-07-03,35.57,35.571,33.46,34.66,21.8529,74900,0.0,1.0
2014-07-07,34.74,35.517,33.6,34.14,21.5251,107900,0.0,1.0
2014-07-08,33.89,34.0606,31.333,32.8,20.6802,308100,0.0,1.0
2014-07-09,32.61,33.239,32.11,32.84,20.7054,176000,0.0,1.0
2014-07-10,31.65,33.94,31.6,33.24,20.9576,161300,0.0,1.0
2014-07-11,33.05,33.4,32.18,32.3,20.3649,71900,0.0,1.0
2014-07-14,32.15,32.89,31.75,32.47,20.4721,113100,0.0,1.0
2014-07-15,32.24,32.93,31.938,32.81,20.6865,78600,0.0,1.0
2014-07-16,33.0,33.27,32.263,32.93,20.7622,50300,0.0,1.0
2014-07-17,32.2681,34.08,32.27,33.92,21.3863,160800,0.0,1.0
2014-07-18,33.82,34.0,33.09,33.86,21.3485,98800,0.0,1.0
2014-07-21,33.49,33.78,32.75,33.05,20.8378,79100,0.0,1.0
2014-07-22,33.1,33.54,33.06,33.19,20.9261,30700,0.0,1.0
2014-07-23,33.25,33.47,32.7,33.46,21.0963,46000,0.0,1.0
2014-07-24,33.19,33.61,33.1,33.41,21.0648,103800,0.0,1.0
2014-07-25,33.22,33.45,33.14,33.39,21.0522,35900,0.0,1.0
2014-07-28,33.25,33.928,32.8,33.62,21.1972,122500,0.0,1.0
2014-07-29,33.72,34.4832,33.22,34.28,21.6133,72200,0.0,1.0
2014-07-30,34.44,34.83,32.81,33.28,20.9828,151500,0.0,1.0
