timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,70.0,70.25,69.063,69.938,17.95,1383900,0.0,1.0
1999-09-14,69.8714,70.0,69.125,69.313,17.7896,1205700,0.0,1.0
1999-09-15,69.375,69.625,68.188,68.188,17.5009,1571100,0.0,1.0
1999-09-16,68.375,68.375,66.375,67.063,17.2121,1379100,0.0,1.0
1999-09-17,67.313,68.625,67.25,67.813,17.4046,1890300,0.0,1.0
1999-09-20,67.813,68.2512,66.75,68.0,17.4527,1393200,0.0,1.0
1999-09-21,66.25,67.0,65.375,66.125,16.9715,2786400,0.0,1.0
1999-09-22,67.125,68.25,62.625,64.938,16.6667,4088400,0.0,1.0
1999-09-23,66.25,66.7529,64.75,64.75,16.8111,2874600,0.0,1.0
1999-09-24,64.25,65.438,63.001,63.875,16.394,3067500,0.0,1.0
1999-09-27,64.5,66.625,63.75,65.813,16.8913,1994700,0.0,1.0
1999-09-28,65.813,66.0,64.5,65.25,16.7469,2368200,0.0,1.0
1999-09-29,65.5,66.5,65.375,66.0,16.9394,1776300,0.0,1.0
1999-09-30,67.0,68.875,67.0,68.563,17.5971,5359200,0.0,1.0
1999-10-01,68.563,69.188,67.125,68.5,17.5811,1242600,0.0,1.0
1999-10-04,68.443,69.813,68.438,68.938,17.6934,1299600,0.0,1.0
1999-10-05,69.375,69.375,67.25,68.125,17.4848,1308900,0.0,1.0
1999-10-06,68.375,69.5,68.375,69.313,17.7896,2190600,0.0,1.0
1999-10-07,69.313,69.3145,67.875,68.563,17.5971,1177500,0.0,1.0
1999-10-08,68.688,70.5,68.25,70.438,18.0784,1387200,0.0,1.0
1999-10-11,71.125,72.25,70.125,70.688,18.1425,2082000,0.0,1.0
1999-10-12,71.0,71.688,70.313,71.063,18.2388,1817700,0.0,1.0
1999-10-13,70.938,70.938,67.438,67.75,17.3886,2146500,0.0,1.0
1999-10-14,67.813,68.253,64.5,66.25,17.0036,4213200,0.0,1.0
1999-10-15,65.75,66.688,64.063,65.625,16.8432,3468300,0.0,1.0
1999-10-18,65.5,66.188,65.188,66.0,16.9394,2454300,0.0,1.0
1999-10-19,66.0,67.125,65.688,66.688,17.1159,1927200,0.0,1.0
1999-10-20,66.625,67.125,66.063,66.938,17.18,1750800,0.0,1.0
1999-10-21,67.0,67.438,65.438,67.0,17.1961,1215000,0.0,1.0
