timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-01-27,20.0,20.01,19.94,20.01,8.0494,661400,0.0,1.0
2011-01-28,20.01,24.6,20.0,21.0,8.4477,102100,0.0,1.0
2011-01-31,21.75,21.75,20.03,20.3,8.1661,77000,0.0,1.0
2011-02-01,20.74,20.74,20.16,20.5,8.2465,54800,0.0,1.0
2011-02-02,20.69,20.89,20.345,20.69,8.323,57700,0.0,1.0
2011-02-03,20.6,20.69,20.31,20.65,8.3069,49900,0.0,1.0
2011-02-04,20.61,20.7,20.41,20.57,8.2747,48600,0.0,1.0
2011-02-07,20.7,20.7008,20.33,20.6,8.2868,39900,0.0,1.0
2011-02-08,20.5982,20.7,20.44,20.6,8.2868,35700,0.0,1.0
2011-02-09,20.56,20.74,20.4,20.5,8.2465,32800,0.0,1.0
2011-02-10,20.5,20.701,20.41,20.55,8.2666,33400,0.0,1.0
2011-02-11,20.71,20.974,20.55,20.74,8.3431,75300,0.0,1.0
2011-02-14,20.97,21.0,20.7,21.0,8.4477,38700,0.0,1.0
2011-02-15,20.97,21.37,20.8474,20.85,8.3873,49700,0.0,1.0
2011-02-16,21.02,21.02,20.71,20.9,8.4074,46400,0.0,1.0
2011-02-17,20.94,21.0,20.878,20.95,8.4275,52900,0.0,1.0
2011-02-18,20.91,20.94,20.77,20.91,8.4115,28300,0.0,1.0
2011-02-22,20.7,20.944,20.62,20.67,8.3149,46500,0.0,1.0
2011-02-23,20.8,20.95,20.5,20.7,8.327,56600,0.0,1.0
2011-02-24,20.77,21.03,20.754,20.89,8.4034,130200,0.0,1.0
2011-02-25,20.9,21.03,20.796,21.0,8.4477,33200,0.0,1.0
2011-02-28,21.0,21.0,20.7,20.87,8.3954,76200,0.0,1.0
2011-03-01,20.95,20.95,20.1,20.25,8.146,115700,0.0,1.0
2011-03-02,20.14,20.586,20.14,20.5,8.2465,57800,0.0,1.0
2011-03-03,20.8,20.8,20.19,20.41,8.2103,49600,0.0,1.0
2011-03-04,20.48,20.592,20.32,20.41,8.2103,31800,0.0,1.0
2011-03-07,20.57,20.57,20.18,20.19,8.1218,36400,0.0,1.0
2011-03-08,20.33,20.45,20.128,20.222,8.1339,63600,0.0,1.0
2011-03-09,20.12,20.2,20.0,20.0,8.0454,358100,0.0,1.0
2011-03-10,20.09,20.35,19.87,20.03,8.0575,182800,0.0,1.0
2011-03-11,20.0,20.088,20.0,20.06,8.0695,64700,0.0,1.0
2011-03-14,20.06,20.06,19.5,19.55,7.8644,106100,0.0,1.0
2011-03-15,19.42,19.42,18.52,19.12,7.6914,149500,0.0,1.0
2011-03-16,19.2,19.29,18.939,19.0,7.6431,44000,0.0,1.0
2011-03-17,19.1,19.426,18.9,18.99,7.6391,104100,0.0,1.0
2011-03-18,19.12,19.28,18.98,19.12,7.6914,75100,0.0,1.0
2011-03-21,19.2,19.4,19.2,19.202,7.7236,51600,0.0,1.0
2011-03-22,19.2,19.5,19.0,19.38,7.796,68500,0.0,1.0
2011-03-23,19.32,19.99,19.31,19.68,7.9167,77100,0.0,1.0
2011-03-24,19.61,19.87,19.43,19.68,7.9167,132800,0.0,1.0
2011-03-25,19.8,19.846,19.6598,19.69,7.9207,57600,0.0,1.0
