timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,21.875,22.375,21.688,21.938,18.6734,13900,0.0,1.0
1999-09-14,21.688,21.75,21.188,21.188,18.035,7000,0.0,1.0
1999-09-15,21.25,21.2492,20.625,20.75,17.6626,9700,0.0,1.0
1999-09-16,20.5,21.0,20.5,20.813,17.7158,13800,0.0,1.0
1999-09-17,20.563,20.688,20.438,20.625,17.5562,7000,0.0,1.0
1999-09-20,20.5,20.563,20.5,20.563,17.503,18200,0.0,1.0
1999-09-21,20.375,20.375,19.5,19.5,16.5986,11800,0.0,1.0
1999-09-22,19.5,19.938,19.5,19.625,16.705,6000,0.0,1.0
1999-09-23,19.625,19.625,18.938,19.0,16.173,16000,0.0,1.0
1999-09-24,18.875,18.875,17.75,17.938,15.2686,38500,0.0,1.0
1999-09-27,18.625,19.563,18.625,19.0,16.173,480700,0.0,1.0
1999-09-28,18.875,18.938,18.375,18.5,15.7474,190700,0.0,1.0
1999-09-29,18.438,18.625,18.313,18.5,15.7474,73600,0.0,1.0
1999-09-30,18.5,18.5,18.25,18.313,15.5878,98200,0.0,1.0
1999-10-01,18.188,18.25,17.75,17.875,15.2154,38600,0.0,1.0
1999-10-04,17.0,17.125,16.75,17.0,14.4706,69300,0.0,1.0
1999-10-05,16.813,16.813,16.375,16.438,13.9918,92900,0.0,1.0
1999-10-06,16.438,16.438,15.875,15.938,13.5662,27600,0.0,1.0
1999-10-07,16.0,16.0,13.4989,14.563,12.3958,247900,0.0,1.0
1999-10-08,14.688,16.75,13.563,16.5,14.045,131300,0.0,1.0
1999-10-11,16.5,17.5,16.063,16.688,14.2046,43400,0.0,1.0
1999-10-12,16.938,17.188,16.563,16.75,14.2578,49300,0.0,1.0
1999-10-13,16.5,18.0,16.313,17.75,15.109,85500,0.0,1.0
1999-10-14,17.75,17.75,16.938,16.938,14.4174,84800,0.0,1.0
1999-10-15,17.0,17.0,16.75,16.875,14.3642,82200,0.0,1.0
1999-10-18,16.875,16.875,16.0,16.0,13.6194,7500,0.0,1.0
1999-10-19,15.875,15.8751,15.375,15.438,13.1406,4800,0.0,1.0
1999-10-20,15.438,15.438,14.75,14.875,12.6617,68100,0.0,1.0
1999-10-21,14.75,15.313,14.5,15.313,13.0342,60200,0.0,1.0
1999-10-22,15.188,16.125,15.188,16.0,13.6194,27600,0.0,1.0
1999-10-25,16.0,16.0,15.9386,16.0,13.6194,55500,0.0,1.0
1999-10-26,16.0,17.25,16.0,17.25,14.6834,58500,0.0,1.0
1999-10-27,17.5,18.375,17.313,17.438,14.843,31400,0.0,1.0
1999-10-28,17.375,17.5012,15.875,16.375,13.9386,90000,0.0,1.0
1999-10-29,16.313,17.25,16.313,16.75,14.2578,30000,0.0,1.0
1999-11-01,16.688,17.0,16.625,16.938,14.4174,12800,0.0,1.0
1999-11-02,16.813,17.0,16.813,16.875,14.3642,18800,0.0,1.0
1999-11-03,16.75,17.0,16.0,16.688,14.2046,11800,0.0,1.0
1999-11-04,16.688,18.0,16.313,17.938,15.2686,29300,0.0,1.0
1999-11-05,17.813,17.813,16.625,16.688,14.2046,32800,0.0,1.0
1999-11-08,16.563,16.688,16.438,16.438,13.9918,5100,0.0,1.0
1999-11-09,16.625,16.688,16.25,16.688,14.2046,43600,0.0,1.0
1999-11-10,16.688,16.688,16.5,16.625,14.1514,18800,0.0,1.0
1999-11-11,16.5,16.688,16.5,16.563,14.0982,7900,0.0,1.0
1999-11-12,16.375,16.625,16.25,16.375,13.9386,6400,0.0,1.0
1999-11-15,16.25,16.313,16.125,16.313,13.8854,12600,0.0,1.0
1999-11-16,16.25,16.313,16.0,16.25,13.8322,8800,0.0,1.0
1999-11-17,16.125,16.313,16.0,16.313,13.8854,34400,0.0,1.0
1999-11-18,16.25,16.5,16.125,16.313,13.8854,22500,0.0,1.0
1999-11-19,16.125,16.438,16.125,16.313,13.8854,14500,0.0,1.0
1999-11-22,16.188,16.688,16.125,16.438,13.9918,22800,0.0,1.0
1999-11-23,16.313,16.438,16.125,16.25,13.8322,5600,0.0,1.0
1999-11-24,16.0,16.375,15.0,15.938,13.5662,37200,0.0,1.0
1999-11-26,15.813,15.875,15.5,15.5,13.1938,8000,0.0,1.0
1999-11-29,15.5,15.5,14.5,14.875,12.6617,50000,0.0,1.0
1999-11-30,14.75,14.813,14.375,14.5,12.3425,71600,0.0,1.0
1999-12-01,14.5,15.125,14.438,15.125,12.8746,23700,0.0,1.0
1999-12-02,15.0,15.938,15.0,15.625,13.3002,13900,0.0,1.0
1999-12-03,15.75,16.375,15.75,16.0,13.6194,13500,0.0,1.0
1999-12-06,16.125,16.688,16.125,16.438,13.9918,11800,0.0,1.0
1999-12-07,16.375,16.5,16.375,16.375,13.9386,8200,0.0,1.0
1999-12-08,16.375,16.8764,16.375,16.875,14.3642,31500,0.0,1.0
1999-12-09,17.0,17.125,15.875,15.875,13.513,31700,0.0,1.0
1999-12-10,15.75,15.75,15.25,15.563,13.247,9400,0.0,1.0
1999-12-13,15.5,15.5,15.0,15.25,12.981,5500,0.0,1.0
1999-12-14,15.125,15.188,14.813,14.938,12.715,4000,0.0,1.0
1999-12-15,14.875,14.938,14.5,14.688,12.5022,18100,0.0,1.0
1999-12-16,14.75,15.0,14.5,14.5,12.3425,20100,0.0,1.0
1999-12-17,14.375,14.75,13.625,14.25,12.1298,100300,0.0,1.0
1999-12-20,13.25,13.375,12.75,12.938,11.0125,74300,0.0,1.0
1999-12-21,13.0,13.5,13.0,13.25,11.2785,20500,0.0,1.0
1999-12-22,13.25,13.625,13.125,13.313,11.3317,16700,0.0,1.0
1999-12-23,13.125,13.438,13.063,13.375,11.3849,26400,0.0,1.0
1999-12-27,13.438,13.4978,13.063,13.063,11.1189,11700,0.0,1.0
1999-12-28,13.063,13.375,13.063,13.195,11.2386,13500,0.0,1.0
1999-12-29,13.375,14.125,13.25,14.063,11.9701,33400,0.0,1.0
1999-12-30,13.938,14.125,13.688,13.688,11.6509,118600,0.0,1.0
1999-12-31,13.625,13.938,13.5,13.938,11.8637,14100,0.0,1.0
2000-01-03,13.938,13.938,13.25,13.438,11.4381,14000,0.0,1.0
2000-01-04,13.188,13.5,13.1253,13.5,11.4913,10200,0.0,1.0
2000-01-05,13.375,13.5,13.063,13.375,11.3849,4800,0.0,1.0
2000-01-06,13.25,13.375,13.063,13.313,11.3317,8400,0.0,1.0
2000-01-07,13.188,13.938,13.188,13.938,11.8637,19000,0.0,1.0
2000-01-10,13.875,13.938,13.5,13.563,11.5445,17200,0.0,1.0
2000-01-11,13.3124,13.813,13.25,13.813,11.7573,49700,0.0,1.0
2000-01-12,13.688,13.75,13.25,13.438,11.4381,8000,0.0,1.0
2000-01-13,13.313,14.0,13.3134,13.875,11.8105,20300,0.0,1.0
2000-01-14,13.875,14.0,13.5,13.75,11.7041,7700,0.0,1.0
2000-01-18,13.75,13.75,13.3129,13.438,11.4381,11200,0.0,1.0
2000-01-19,13.3117,14.0,13.313,13.875,11.8105,69700,0.0,1.0
2000-01-20,13.875,14.0,13.625,13.75,11.7041,39100,0.0,1.0
2000-01-21,13.625,13.688,13.375,13.688,11.6509,20000,0.0,1.0
2000-01-24,13.563,13.7508,13.375,13.438,11.4381,17600,0.0,1.0
2000-01-25,13.063,13.25,13.0,13.125,11.1721,16900,0.0,1.0
2000-01-26,13.0006,13.063,12.0,12.0,10.2145,112700,0.0,1.0
2000-01-27,12.375,13.0,12.0,13.0,11.0657,44900,0.0,1.0
2000-01-28,12.875,13.063,12.375,13.063,11.1189,30000,0.0,1.0
2000-01-31,13.0,13.0,12.375,12.438,10.5869,8300,0.0,1.0
2000-02-01,12.313,12.313,11.625,12.188,10.3741,36700,0.0,1.0
2000-02-02,12.063,12.188,11.875,12.188,10.3741,9500,0.0,1.0
2000-02-03,12.188,12.5,12.063,12.063,10.2677,39000,0.0,1.0
2000-02-04,12.125,12.125,11.75,11.938,10.1613,28000,0.0,1.0
2000-02-07,11.688,11.813,10.75,10.875,9.2569,89500,0.0,1.0
2000-02-08,10.75,11.688,10.75,11.625,9.8953,65000,0.0,1.0
2000-02-09,11.625,11.688,10.063,10.313,8.7781,76300,0.0,1.0
2000-02-10,10.313,11.25,10.313,10.75,9.1505,31100,0.0,1.0
2000-02-11,10.625,10.625,10.438,10.5,8.9377,9300,0.0,1.0
2000-02-14,10.5,10.938,10.5,10.938,9.3101,16000,0.0,1.0
2000-02-15,11.188,12.3758,11.188,12.375,10.5337,48000,0.0,1.0
2000-02-16,12.688,13.625,12.688,13.5,11.4913,108500,0.0,1.0
