timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-09-26,35.0,35.0,31.0,31.0,30.0319,3300,0.0,1.0
2017-09-27,31.0,31.0,29.0,29.345,28.4286,5800,0.0,1.0
2017-09-28,29.625,33.0093,29.625,31.25,30.2741,13800,0.0,1.0
2017-09-29,30.1,33.1,30.1,33.1,32.0663,14700,0.0,1.0
2017-10-02,32.86,34.6,29.5,30.23,29.286,141100,0.0,1.0
2017-10-03,31.11,34.2,30.63,33.9,32.8414,73200,0.0,1.0
2017-10-04,33.9,36.67,33.0,34.59,33.5098,92600,0.0,1.0
2017-10-05,35.32,36.5,35.0,35.51,34.4011,84300,0.0,1.0
2017-10-06,36.0,37.99,35.9995,37.6,36.4258,30900,0.0,1.0
2017-10-09,37.63,41.0,36.58,38.63,37.4236,37800,0.0,1.0
2017-10-10,38.63,38.63,36.5,37.0,35.8446,50100,0.0,1.0
2017-10-11,36.33,38.76,35.63,38.12,36.9296,63700,0.0,1.0
2017-10-12,38.1,38.1,37.26,37.95,36.7649,29700,0.0,1.0
2017-10-13,38.36,38.61,37.31,38.22,37.0264,32800,0.0,1.0
2017-10-16,38.45,39.2,37.955,38.93,37.7143,44000,0.0,1.0
2017-10-17,38.9631,39.37,38.53,39.33,38.1018,32400,0.0,1.0
2017-10-18,39.46,39.77,39.0,39.5,38.2665,32200,0.0,1.0
2017-10-19,39.285,40.03,38.89,39.55,38.3149,25800,0.0,1.0
2017-10-20,39.83,40.5,39.18,39.67,38.4312,33800,0.0,1.0
2017-10-23,39.86,39.8623,39.25,39.67,38.4312,24600,0.0,1.0
2017-10-24,39.67,40.28,39.54,39.87,38.6249,40500,0.0,1.0
2017-10-25,39.908,40.0,38.91,39.29,38.063,50400,0.0,1.0
2017-10-26,39.28,39.5,38.53,38.85,37.6368,8300,0.0,1.0
2017-10-27,38.7,39.97,38.41,39.89,38.6443,35600,0.0,1.0
2017-10-30,39.11,39.78,39.11,39.5,38.2665,15800,0.0,1.0
2017-10-31,39.7,39.7,38.38,38.77,37.5593,25100,0.0,1.0
2017-11-01,38.94,38.94,37.8,38.59,37.3849,16500,0.0,1.0
2017-11-02,37.6,38.26,36.85,37.24,36.0771,43600,0.0,1.0
2017-11-03,37.29,37.33,35.838,36.25,35.118,50200,0.0,1.0
2017-11-06,35.9,35.9,30.53,32.77,31.7466,43200,0.0,1.0
2017-11-07,32.77,32.77,31.1321,32.09,31.0879,40000,0.0,1.0
2017-11-08,31.9,32.03,31.575,31.84,30.8457,26100,0.0,1.0
2017-11-09,31.34,31.34,30.005,30.5,29.5475,30100,0.0,1.0
2017-11-10,30.17,31.07,30.11,30.8,29.8382,25200,0.0,1.0
2017-11-13,31.02,32.45,30.86,31.88,30.8844,59000,0.0,1.0
2017-11-14,31.77,32.65,31.735,32.38,31.3688,20800,0.0,1.0
2017-11-15,32.2,32.84,32.05,32.84,31.8145,39100,0.0,1.0
2017-11-16,32.95,33.25,32.49,32.69,31.6691,27600,0.0,1.0
2017-11-17,32.49,32.85,30.35,31.84,30.8457,61400,0.0,1.0
2017-11-20,31.86,32.45,31.8,31.89,30.8941,23400,0.0,1.0
2017-11-21,31.97,32.87,31.0507,31.35,30.371,34500,0.0,1.0
2017-11-22,31.33,31.51,29.58,30.12,29.1794,30200,0.0,1.0
2017-11-24,30.03,30.615,27.09,27.89,27.019,31300,0.0,1.0
2017-11-27,27.84,28.25,25.46,25.76,24.9556,93000,0.0,1.0
2017-11-28,25.5511,26.38,24.555,25.61,24.8102,78500,0.0,1.0
2017-11-29,25.89,27.79,25.41,27.75,26.8834,49400,0.0,1.0
2017-11-30,27.53,29.29,27.0492,28.58,27.7726,91900,0.085,1.0
2017-12-01,27.9231,28.7,27.56,28.31,27.5102,49800,0.0,1.0
2017-12-04,28.57,28.91,27.0,27.12,26.3538,52200,0.0,1.0
2017-12-05,27.08,27.6,26.1,27.15,26.383,59700,0.0,1.0
2017-12-06,26.88,28.1,26.66,27.07,26.3052,55400,0.0,1.0
2017-12-07,27.29,27.395,26.85,27.03,26.2664,54400,0.0,1.0
2017-12-08,26.935,27.12,26.21,26.81,26.0526,36700,0.0,1.0
2017-12-11,26.81,26.81,25.815,26.06,25.3238,63600,0.0,1.0
2017-12-12,26.26,27.04,25.581,26.49,25.7416,78600,0.0,1.0
2017-12-13,27.02,27.43,25.8,26.64,25.8874,116700,0.0,1.0
2017-12-14,26.46,26.76,24.85,24.97,24.2646,149800,0.0,1.0
2017-12-15,24.91,26.5687,24.65,26.5,25.7513,493900,0.0,1.0
2017-12-18,26.68,26.95,25.58,26.14,25.4015,50100,0.0,1.0
2017-12-19,26.06,26.5492,25.64,25.9,25.1683,31600,0.0,1.0
2017-12-20,26.03,26.52,25.04,25.27,24.5561,38000,0.0,1.0
2017-12-21,25.14,26.32,25.14,25.8,25.0711,40400,0.0,1.0
2017-12-22,25.8,25.99,25.5115,25.91,25.178,16700,0.0,1.0
2017-12-26,25.76,26.45,25.53,25.97,25.2363,31100,0.0,1.0
2017-12-27,25.95,26.33,25.45,25.67,24.9448,34900,0.0,1.0
