timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-07-08,23.5,25.43,23.3,24.55,2.4581,4917400,0.0,1.0
2004-07-09,24.7,25.75,24.7,25.51,2.5542,714200,0.0,1.0
2004-07-12,25.46,26.1,25.05,25.5,2.5532,448200,0.0,1.0
2004-07-13,25.5,25.65,25.0,25.15,2.5182,386600,0.0,1.0
2004-07-14,25.1,25.78,25.0,25.0,2.5032,441400,0.0,1.0
2004-07-15,25.01,25.58,25.0,25.2,2.5232,209600,0.0,1.0
2004-07-16,25.2019,25.95,25.07,25.8,2.5833,251000,0.0,1.0
2004-07-19,25.95,26.8,25.85,26.45,2.6484,283400,0.0,1.0
2004-07-20,26.55,26.7,25.85,26.05,2.6083,173200,0.0,1.0
2004-07-21,26.25,26.55,26.0,26.35,2.6383,123000,0.0,1.0
2004-07-22,26.25,26.25,25.88,26.01,2.6043,146800,0.0,1.0
2004-07-23,25.91,26.05,25.8,26.05,2.6083,79600,0.0,1.0
2004-07-26,26.1,26.0987,25.5,25.55,2.5582,90800,0.0,1.0
2004-07-27,25.7,25.98,25.35,25.98,2.6013,136200,0.0,1.0
2004-07-28,25.88,26.1,25.85,26.05,2.6083,115600,0.0,1.0
2004-07-29,26.15,26.25,26.0609,26.2,2.6233,108200,0.0,1.0
2004-07-30,26.25,26.25,26.0,26.02,2.6053,75000,0.0,1.0
2004-08-02,26.0,26.2,25.95,26.15,2.6183,56800,0.0,1.0
2004-08-03,26.29,26.3,26.05,26.28,2.6313,59800,0.0,1.0
2004-08-04,26.3,26.3,25.97,26.01,2.6043,76000,0.0,1.0
2004-08-05,26.1,26.1,25.88,26.0,2.6033,110200,0.0,1.0
2004-08-06,25.95,26.0,25.5303,25.83,2.5863,89600,0.0,1.0
2004-08-09,25.73,25.8,25.47,25.55,2.5582,199600,0.0,1.0
2004-08-10,25.6,25.65,25.5,25.51,2.5542,130400,0.0,1.0
2004-08-11,25.5091,25.55,25.31,25.31,2.5342,128000,0.0,1.0
2004-08-12,25.3,25.55,25.15,25.4,2.5432,175200,0.0,1.0
2004-08-13,25.45,25.6,25.2602,25.27,2.5302,106800,0.0,1.0
2004-08-16,25.77,26.5,25.77,26.41,2.6444,208200,0.0,1.0
2004-08-17,26.5,27.15,26.5,26.9,2.6934,241400,0.0,1.0
2004-08-18,27.12,27.65,27.1,27.61,2.7645,158400,0.0,1.0
2004-08-19,27.6,27.8,27.1494,27.51,2.7545,173600,0.0,1.0
2004-08-20,27.6,28.35,27.59,28.2,2.8236,100000,0.0,1.0
2004-08-23,28.35,28.4,27.95,28.0,2.8036,133200,0.0,1.0
2004-08-24,28.0,28.4,27.72,28.06,2.8096,105400,0.0,1.0
2004-08-25,28.02,28.4,27.8005,28.35,2.8386,58200,0.0,1.0
2004-08-26,28.0,28.32,28.0,28.11,2.8146,66600,0.0,1.0
2004-08-27,28.16,28.5,28.1,28.4,2.8436,51800,0.0,1.0
2004-08-30,28.3,28.55,28.26,28.26,2.8296,54000,0.0,1.0
2004-08-31,28.4021,28.93,28.4,28.8,2.8837,86600,0.0,1.0
2004-09-01,28.91,28.99,28.61,28.9,2.8937,206600,0.0,1.0
2004-09-02,28.8,28.8,28.24,28.55,2.8586,118000,0.0,1.0
2004-09-03,28.5,28.93,28.2007,28.75,2.8786,48400,0.0,1.0
2004-09-07,28.63,29.14,28.55,28.8,2.8837,114400,0.0,1.0
2004-09-08,28.8,28.93,28.59,28.89,2.8927,71000,0.0,1.0
2004-09-09,28.84,29.3,28.65,28.84,2.8877,115200,0.0,1.0
2004-09-10,28.82,28.95,28.6,28.8,2.8837,73000,0.0,1.0
2004-09-13,28.91,29.35,28.75,29.02,2.9057,114200,0.0,1.0
2004-09-14,29.2,29.4,28.1,28.23,2.8266,105000,0.0,1.0
2004-09-15,28.0,28.6,27.83,28.6,2.8636,84400,0.0,1.0
2004-09-16,28.65,28.88,28.05,28.27,2.8306,68600,0.0,1.0
2004-09-17,28.17,29.12,28.15,29.12,2.9157,56600,0.0,1.0
2004-09-20,29.02,29.25,28.74,29.06,2.9097,47600,0.0,1.0
2004-09-21,29.16,29.19,28.85,29.02,2.9057,32600,0.0,1.0
2004-09-22,28.92,29.35,28.7972,29.3,2.9337,41200,0.0,1.0
2004-09-23,29.2511,29.35,28.99,29.0,2.9037,32200,0.0,1.0
2004-09-24,29.0,29.2,28.82,28.92,2.8957,63800,0.0,1.0
2004-09-27,28.82,29.1,28.5476,29.05,2.9087,59000,0.0,1.0
2004-09-28,29.2,29.989,28.8,29.55,2.9587,94200,0.0,1.0
2004-09-29,29.6,29.6,29.4,29.56,2.9597,25800,0.0,1.0
2004-09-30,29.56,29.6,29.2504,29.27,2.9307,37200,0.0,1.0
2004-10-01,29.3,29.7,28.85,29.7,2.9738,38600,0.0,1.0
2004-10-04,30.1,30.49,29.7,30.0,3.0038,108200,0.0,1.0
2004-10-05,30.35,30.48,30.0,30.16,3.0198,55000,0.0,1.0
2004-10-06,30.26,31.4,30.25,30.85,3.0889,125200,0.0,1.0
2004-10-07,30.85,31.15,30.7,31.0,3.1039,67400,0.0,1.0
2004-10-08,31.0,31.45,30.75,31.3,3.134,69600,0.0,1.0
2004-10-11,31.45,31.65,30.95,31.0,3.1039,42200,0.0,1.0
2004-10-12,31.02,31.02,30.59,30.9,3.0939,39400,0.0,1.0
2004-10-13,30.9,30.9002,28.25,30.25,3.0288,389400,0.0,1.0
