timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-03-28,23.35,23.55,23.15,23.15,16.5318,87900,0.0,1.0
2008-03-31,23.01,23.5696,21.04,22.1,15.782,3767100,0.0,1.0
2008-04-01,21.9,22.1,20.0,21.5,15.3535,2030500,0.0,1.0
2008-04-02,21.6,23.97,20.9,20.9,14.9251,1326200,0.0,1.0
2008-04-03,21.8,21.8,19.6,20.3,14.4966,2366500,0.0,1.0
2008-04-04,20.5,20.62,20.03,20.37,14.5466,1007000,0.0,1.0
2008-04-07,19.7,19.99,19.0,19.71,14.0753,1912000,0.0,1.0
2008-04-08,18.33,20.12,18.33,19.97,14.2609,839100,0.0,1.0
2008-04-09,19.41,20.2597,19.41,20.05,14.3181,628900,0.0,1.0
2008-04-10,20.0,20.33,19.29,19.43,13.8753,1157700,0.0,1.0
2008-04-11,19.43,19.55,18.65,19.5,13.9253,873500,0.0,1.0
2008-04-14,19.5,19.86,19.4,19.71,14.0753,671200,0.0,1.0
2008-04-15,19.62,19.62,18.95,19.38,13.8396,921300,0.0,1.0
2008-04-16,19.3,19.3,18.83,18.92,13.5111,397100,0.0,1.0
2008-04-17,18.73,18.78,17.98,18.01,12.8613,739900,0.0,1.0
2008-04-18,18.25,18.41,17.9,18.21,13.0041,399400,0.0,1.0
2008-04-21,18.15,18.34,17.9,18.12,12.9398,461000,0.0,1.0
2008-04-22,18.05,18.32,17.94,18.23,13.0184,378500,0.0,1.0
2008-04-23,18.21,18.21,17.75,18.02,12.8684,148200,0.0,1.0
2008-04-24,17.91,18.3502,17.8,18.22,13.0112,233700,0.0,1.0
2008-04-25,18.55,19.98,18.4,19.67,14.0467,191800,0.0,1.0
2008-04-28,19.58,19.61,18.5,19.06,13.6111,124900,0.0,1.0
2008-04-29,19.18,19.18,18.1,18.29,13.0612,296400,0.0,1.0
2008-04-30,18.24,19.13,18.1,19.04,13.5968,135600,0.0,1.0
2008-05-01,19.19,19.33,18.66,19.3,13.7825,174600,0.0,1.0
2008-05-02,19.35,19.45,18.83,19.28,13.7682,116700,0.0,1.0
2008-05-05,19.31,19.47,18.95,19.08,13.6254,87400,0.0,1.0
2008-05-06,18.9,19.16,18.8,18.98,13.554,127000,0.0,1.0
2008-05-07,18.98,19.44,18.92,19.32,13.7967,130800,0.0,1.0
2008-05-08,19.28,19.81,19.28,19.55,13.961,110500,0.0,1.0
2008-05-09,19.41,19.91,19.41,19.82,14.1538,34300,0.0,1.0
2008-05-12,19.82,20.8795,19.82,20.81,14.8608,159600,0.0,1.0
2008-05-13,20.51,21.58,20.28,21.43,15.3035,306100,0.0,1.0
2008-05-14,21.25,23.36,21.25,22.55,16.1034,429900,0.0,1.0
2008-05-15,22.5,23.95,22.4795,23.51,16.7889,440100,0.0,1.0
2008-05-16,23.75,23.97,23.5,23.56,16.8246,245700,0.0,1.0
2008-05-19,23.89,24.34,23.84,24.29,17.3459,213400,0.0,1.0
2008-05-20,23.9994,24.24,23.5,23.76,16.9674,127500,0.0,1.0
2008-05-21,23.99,23.99,23.42,23.62,16.8675,201200,0.0,1.0
2008-05-22,23.51,23.62,23.07,23.28,16.6247,142500,0.0,1.0
2008-05-23,23.64,23.64,22.91,22.93,16.3747,79200,0.0,1.0
2008-05-27,22.93,23.05,22.07,22.14,15.8106,117400,0.0,1.0
2008-05-28,22.3525,22.55,21.32,21.62,15.4392,141800,0.0,1.0
2008-05-29,21.61,21.75,21.48,21.67,15.4749,192600,0.0,1.0
