timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,9.375,9.5,9.313,9.375,1.524,162500,0.0,1.0
1999-09-14,9.313,9.375,9.188,9.188,1.4935,202900,0.0,1.0
1999-09-15,9.25,9.25,9.125,9.188,1.4935,175400,0.0,1.0
1999-09-16,9.25,9.25,9.125,9.188,1.4935,151400,0.0,1.0
1999-09-17,9.125,9.188,9.0,9.0,1.4765,221400,0.084,1.0
1999-09-20,9.0,9.125,9.0,9.063,1.4868,126500,0.0,1.0
1999-09-21,9.063,9.063,8.938,9.0,1.4765,220200,0.0,1.0
1999-09-22,9.063,9.125,8.875,9.125,1.497,282300,0.0,1.0
1999-09-23,9.0634,9.188,9.063,9.125,1.497,215000,0.0,1.0
1999-09-24,9.188,9.375,9.125,9.188,1.5073,230400,0.0,1.0
1999-09-27,9.313,9.313,9.126,9.188,1.5073,192900,0.0,1.0
1999-09-28,9.188,9.2507,9.125,9.125,1.497,181300,0.0,1.0
1999-09-29,9.25,9.25,9.125,9.188,1.5073,71100,0.0,1.0
1999-09-30,9.188,9.25,9.125,9.125,1.497,162900,0.0,1.0
1999-10-01,9.125,9.188,9.063,9.188,1.5073,116500,0.0,1.0
1999-10-04,9.188,9.25,9.063,9.125,1.497,237900,0.0,1.0
1999-10-05,9.125,9.188,9.063,9.063,1.4868,120500,0.0,1.0
1999-10-06,9.125,9.125,9.0,9.0,1.4765,216700,0.0,1.0
1999-10-07,9.063,9.063,8.938,8.938,1.4662,227400,0.0,1.0
1999-10-08,8.938,9.0,8.875,8.938,1.4662,178700,0.0,1.0
1999-10-11,8.875,8.938,8.813,8.875,1.456,147300,0.0,1.0
1999-10-12,8.813,8.875,8.813,8.813,1.4457,139200,0.0,1.0
1999-10-13,8.813,8.875,8.813,8.875,1.456,234800,0.0,1.0
1999-10-14,8.875,8.875,8.75,8.813,1.4457,206500,0.0,1.0
1999-10-15,8.75,8.8752,8.688,8.688,1.4252,214100,0.0,1.0
1999-10-18,8.75,8.813,8.438,8.563,1.4047,199200,0.0,1.0
1999-10-19,8.438,8.75,8.438,8.75,1.4355,261900,0.0,1.0
1999-10-20,8.75,8.875,8.688,8.875,1.456,244800,0.0,1.0
1999-10-21,8.813,8.875,8.688,8.75,1.4355,271100,0.0,1.0
1999-10-22,8.75,8.75,8.563,8.625,1.4287,164300,0.084,1.0
1999-10-25,8.563,8.625,8.5,8.5,1.408,296200,0.0,1.0
1999-10-26,8.563,8.75,8.5,8.75,1.4494,359000,0.0,1.0
1999-10-27,8.75,8.8129,8.688,8.813,1.4598,210600,0.0,1.0
1999-10-28,8.813,8.938,8.813,8.875,1.4701,165100,0.0,1.0
1999-10-29,8.938,9.0,8.938,9.0,1.4908,208100,0.0,1.0
1999-11-01,9.0,9.063,8.938,9.0,1.4908,180700,0.0,1.0
1999-11-02,9.063,9.188,9.063,9.188,1.5219,247700,0.0,1.0
1999-11-03,9.125,9.25,9.094,9.188,1.5219,138100,0.0,1.0
1999-11-04,9.188,9.25,9.125,9.188,1.5219,266000,0.0,1.0
1999-11-05,9.313,9.5,9.188,9.375,1.5529,499100,0.0,1.0
1999-11-08,9.25,9.375,9.188,9.25,1.5322,158700,0.0,1.0
1999-11-09,9.313,9.375,9.25,9.313,1.5426,190400,0.0,1.0
1999-11-10,9.313,9.375,9.25,9.375,1.5529,184900,0.0,1.0
1999-11-11,9.375,9.414,9.1874,9.188,1.5219,224100,0.0,1.0
1999-11-12,9.25,9.25,8.938,8.938,1.4805,284700,0.0,1.0
1999-11-15,9.0,9.0625,8.875,9.063,1.5012,207500,0.0,1.0
1999-11-16,9.063,9.25,9.0003,9.188,1.5219,357700,0.0,1.0
1999-11-17,9.125,9.25,9.063,9.125,1.5115,280100,0.0,1.0
1999-11-18,9.0,9.063,8.875,8.938,1.4942,196100,0.084,1.0
1999-11-19,8.875,9.0,8.875,8.938,1.4942,225000,0.0,1.0
1999-11-22,8.938,9.0,8.813,8.938,1.4942,296200,0.0,1.0
1999-11-23,8.938,8.938,8.75,8.813,1.4733,291100,0.0,1.0
1999-11-24,8.813,8.938,8.813,8.813,1.4733,217600,0.0,1.0
1999-11-26,8.875,8.8751,8.75,8.75,1.4629,67900,0.0,1.0
1999-11-29,8.813,8.813,8.563,8.625,1.442,297500,0.0,1.0
1999-11-30,8.625,8.7499,8.625,8.625,1.442,215500,0.0,1.0
1999-12-01,8.625,8.688,8.563,8.563,1.4315,294900,0.0,1.0
1999-12-02,8.563,8.688,8.5,8.5,1.4211,361300,0.0,1.0
1999-12-03,8.625,8.688,8.5,8.625,1.442,429900,0.0,1.0
1999-12-06,8.563,8.625,8.5,8.5,1.4211,408300,0.0,1.0
1999-12-07,8.5,8.563,8.375,8.438,1.4106,397000,0.0,1.0
1999-12-08,8.438,8.5,8.375,8.375,1.4002,311800,0.0,1.0
1999-12-09,8.4378,8.5,8.25,8.313,1.3897,376300,0.0,1.0
1999-12-10,8.313,8.438,8.3132,8.406,1.4054,360000,0.0,1.0
1999-12-13,8.313,8.438,8.313,8.375,1.4002,358100,0.0,1.0
1999-12-14,8.375,8.438,8.313,8.438,1.4106,508700,0.0,1.0
1999-12-15,8.313,8.438,8.313,8.375,1.4002,421200,0.0,1.0
1999-12-16,8.375,8.625,8.375,8.438,1.4106,650400,0.0,1.0
1999-12-17,8.375,8.563,8.375,8.5,1.4211,427600,0.0,1.0
1999-12-20,8.5,8.625,8.5,8.563,1.4315,438900,0.0,1.0
1999-12-21,8.5,8.688,8.438,8.625,1.442,384100,0.0,1.0
1999-12-22,8.563,8.625,8.313,8.563,1.4456,471000,0.084,1.0
1999-12-23,8.375,8.563,8.375,8.5,1.435,560700,0.0,1.0
1999-12-27,8.438,8.625,8.438,8.5,1.435,555400,0.0,1.0
1999-12-28,8.563,8.625,8.438,8.5,1.435,342800,0.0,1.0
1999-12-29,8.5,8.563,8.375,8.375,1.4139,428800,0.0,1.0
1999-12-30,8.375,8.563,8.375,8.5,1.435,476300,0.0,1.0
1999-12-31,8.438,8.563,8.438,8.5,1.435,358100,0.0,1.0
2000-01-03,8.563,8.688,8.4999,8.625,1.4561,366400,0.0,1.0
2000-01-04,8.563,8.938,8.563,8.875,1.4984,360500,0.0,1.0
2000-01-05,8.875,8.938,8.813,8.875,1.4984,216800,0.0,1.0
2000-01-06,8.875,9.125,8.875,9.063,1.53,203500,0.0,1.0
2000-01-07,8.938,9.063,8.938,9.0,1.5195,237300,0.0,1.0
2000-01-10,9.0,9.063,8.938,9.0,1.5195,303200,0.0,1.0
