timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-12-16,14.0,14.89,14.0,14.72,3.1504,24240000,0.0,1.0
2004-12-17,14.6,14.73,14.36,14.7,3.1461,1908800,0.0,1.0
2004-12-20,14.6,15.1996,14.6,14.6,3.1247,676800,0.0,1.0
2004-12-21,14.6,15.61,14.4,15.6,3.3388,1795600,0.0,1.0
2004-12-22,15.35,16.1,14.9,15.95,3.4137,1219200,0.0,1.0
2004-12-23,16.2,16.85,16.1,16.5,3.5314,2019600,0.0,1.0
2004-12-27,16.7187,16.75,15.75,15.98,3.4201,1407200,0.0,1.0
2004-12-28,15.93,16.24,15.85,15.98,3.4201,625600,0.0,1.0
2004-12-29,16.0,16.08,15.55,15.71,3.3623,213200,0.0,1.0
2004-12-30,15.7496,15.79,15.07,15.75,3.3709,868400,0.0,1.0
2004-12-31,15.85,16.4,15.75,16.25,3.4779,1726800,0.0,1.0
2005-01-03,16.25,16.45,15.6,16.03,3.4308,415600,0.0,1.0
2005-01-04,16.35,16.35,15.8,15.99,3.4222,407600,0.0,1.0
2005-01-05,16.15,16.15,15.55,15.6,3.3388,461200,0.0,1.0
2005-01-06,15.5002,15.8,15.4,15.65,3.3495,1205600,0.0,1.0
2005-01-07,15.95,15.95,15.6492,15.65,3.3495,285200,0.0,1.0
2005-01-10,15.65,16.01,15.65,16.0,3.4244,288000,0.0,1.0
2005-01-11,16.05,16.05,15.85,15.9,3.403,253200,0.0,1.0
2005-01-12,15.9,16.0,15.6,15.75,3.3709,456000,0.0,1.0
2005-01-13,15.9,16.08,15.8,15.96,3.4158,725200,0.0,1.0
2005-01-14,16.0,16.1,15.9,16.0,3.4244,214400,0.0,1.0
2005-01-18,16.15,16.2,15.95,16.08,3.4415,312400,0.0,1.0
2005-01-19,16.2,16.4,16.15,16.15,3.4565,468000,0.0,1.0
2005-01-20,16.3,16.32,16.1,16.1,3.4458,406000,0.0,1.0
2005-01-21,16.25,16.27,16.0,16.1,3.4458,281600,0.0,1.0
2005-01-24,16.22,16.24,16.05,16.1,3.4458,339600,0.0,1.0
2005-01-25,16.2,16.25,16.05,16.1,3.4458,736000,0.0,1.0
2005-01-26,16.1,16.16,15.75,15.8,3.3816,1864000,0.0,1.0
2005-01-27,15.9012,16.05,15.7,15.8,3.3816,1498000,0.0,1.0
2005-01-28,15.9,15.99,15.4,15.8,3.3816,2820000,0.0,1.0
2005-01-31,15.9,16.05,15.82,16.05,3.4351,128400,0.0,1.0
2005-02-01,16.05,16.35,15.8,16.35,3.4993,270000,0.0,1.0
2005-02-02,16.35,16.35,16.1,16.13,3.4522,498800,0.0,1.0
2005-02-03,16.1,16.15,15.85,16.0,3.4244,264400,0.0,1.0
2005-02-04,16.0,16.2,15.95,16.1,3.4458,1200000,0.0,1.0
2005-02-07,16.15,16.3,16.15,16.3,3.4886,121200,0.0,1.0
2005-02-08,16.3,16.65,16.3,16.63,3.5592,184800,0.0,1.0
2005-02-09,16.63,16.65,16.25,16.44,3.5185,63600,0.0,1.0
2005-02-10,16.44,16.6,16.37,16.51,3.5335,170400,0.0,1.0
2005-02-11,16.45,16.67,16.4,16.48,3.5271,155200,0.0,1.0
2005-02-14,16.48,16.4803,15.9,15.9,3.403,366400,0.0,1.0
2005-02-15,15.95,16.1,15.3,15.86,3.3944,310400,0.0,1.0
2005-02-16,15.8,16.0,15.72,16.0,3.4244,558400,0.0,1.0
2005-02-17,16.05,16.5,16.0,16.5,3.5314,156400,0.0,1.0
2005-02-18,16.45,16.7,16.4,16.5,3.5314,213600,0.0,1.0
2005-02-22,16.6,16.6997,16.36,16.4,3.51,286400,0.0,1.0
2005-02-23,16.4,16.4,16.2,16.25,3.4779,196800,0.0,1.0
2005-02-24,16.24,16.24,15.91,15.95,3.4137,213200,0.0,1.0
2005-02-25,15.95,15.97,15.75,15.76,3.373,218400,0.0,1.0
2005-02-28,15.75,15.82,15.66,15.78,3.3773,136000,0.0,1.0
2005-03-01,15.73,15.85,15.6,15.85,3.3923,248000,0.0,1.0
2005-03-02,15.85,15.85,15.7,15.85,3.3923,116000,0.0,1.0
2005-03-03,15.85,15.8707,15.7,15.8,3.3816,222000,0.0,1.0
2005-03-04,15.85,16.0108,15.8,15.9,3.403,237200,0.0,1.0
2005-03-07,15.9,16.151,15.75,16.0,3.4244,806000,0.0,1.0
2005-03-08,15.9994,16.05,15.95,16.0,3.4244,910800,0.0,1.0
2005-03-09,16.0,16.29,15.9,16.15,3.4565,558800,0.0,1.0
2005-03-10,16.15,16.15,15.98,15.99,3.4222,634800,0.0,1.0
2005-03-11,16.0,16.15,16.0,16.15,3.4565,388800,0.0,1.0
2005-03-14,16.15,16.29,16.15,16.15,3.4565,817600,0.0,1.0
2005-03-15,16.15,16.2009,16.0,16.0,3.4244,398400,0.0,1.0
2005-03-16,16.0,16.05,15.89,15.99,3.4222,582800,0.0,1.0
2005-03-17,16.0,16.1,15.99,16.0,3.4244,716800,0.0,1.0
2005-03-18,16.1,16.1002,16.0,16.06,3.4372,940800,0.0,1.0
2005-03-21,16.15,16.15,16.0,16.05,3.4351,84000,0.0,1.0
2005-03-22,16.0492,16.08,16.03,16.03,3.4308,92800,0.0,1.0
2005-03-23,16.08,16.08,15.82,15.9,3.403,126400,0.0,1.0
2005-03-24,15.85,16.0,15.7,16.0,3.4244,160800,0.0,1.0
2005-03-28,16.0,16.0,15.74,15.75,3.3709,132400,0.0,1.0
2005-03-29,15.75,15.75,15.5,15.65,3.3495,248000,0.0,1.0
2005-03-30,15.6,15.6,15.3,15.4,3.296,248000,0.0,1.0
2005-03-31,15.4,15.43,15.1,15.24,3.2617,269200,0.0,1.0
2005-04-01,15.1,15.41,15.1,15.2,3.2532,66400,0.0,1.0
2005-04-04,15.3,15.39,15.14,15.18,3.2489,54800,0.0,1.0
2005-04-05,15.18,15.18,14.65,14.8,3.1675,306800,0.0,1.0
2005-04-06,14.8,14.86,14.75,14.8,3.1675,411600,0.0,1.0
2005-04-07,14.85,14.8495,14.8,14.8,3.1675,26000,0.0,1.0
2005-04-08,14.8,14.99,14.8,14.96,3.2018,24400,0.0,1.0
2005-04-11,14.92,15.05,14.8,14.93,3.1954,378800,0.0,1.0
2005-04-12,14.9,14.9,14.76,14.76,3.159,192000,0.0,1.0
2005-04-13,14.76,14.8299,14.64,14.64,3.1333,60000,0.0,1.0
2005-04-14,14.64,14.7,14.52,14.65,3.1354,33600,0.0,1.0
2005-04-15,14.56,14.7,14.55,14.65,3.1354,64000,0.0,1.0
2005-04-18,14.65,14.7996,14.6,14.65,3.1354,711600,0.0,1.0
2005-04-19,14.6,15.0,14.5991,15.0,3.2103,2072000,0.0,1.0
2005-04-20,15.04,15.19,15.0003,15.18,3.2489,1952000,0.0,1.0
2005-04-21,15.1,15.3,15.1,15.25,3.2639,140000,0.0,1.0
2005-04-22,15.3505,15.35,15.01,15.2,3.2532,171600,0.0,1.0
2005-04-25,15.2,15.2,15.1,15.14,3.2403,21200,0.0,1.0
2005-04-26,15.1,15.1198,14.75,14.84,3.1761,40800,0.0,1.0
2005-04-27,14.85,15.0,14.85,15.0,3.2103,51600,0.0,1.0
2005-04-28,15.0,15.05,14.9,14.9,3.1889,30000,0.0,1.0
2005-04-29,14.9483,15.25,14.95,15.1,3.2318,232400,0.0,1.0
2005-05-02,15.15,15.1513,14.85,14.85,3.1782,72400,0.0,1.0
2005-05-03,15.5,16.05,15.5,15.82,3.3858,993200,0.0,1.0
2005-05-04,15.92,15.99,15.75,15.98,3.4201,402800,0.0,1.0
2005-05-05,15.99,16.35,15.91,16.32,3.4929,259200,0.0,1.0
2005-05-06,16.3,16.36,16.0,16.05,3.4351,358800,0.0,1.0
2005-05-09,16.05,16.1203,16.0,16.0,3.4244,343200,0.0,1.0
2005-05-10,16.1504,16.23,16.0,16.03,3.4308,271600,0.0,1.0
2005-05-11,16.15,16.48,16.05,16.48,3.5271,317200,0.0,1.0
2005-05-12,16.5,16.69,16.45,16.55,3.5421,210800,0.0,1.0
2005-05-13,16.45,17.05,16.45,16.67,3.5678,341200,0.0,1.0
2005-05-16,16.67,17.35,16.67,16.95,3.6277,1086800,0.0,1.0
2005-05-17,17.1,17.9,16.99,17.7,3.7882,1123600,0.0,1.0
2005-05-18,18.0,18.16,17.71,18.09,3.8717,396000,0.0,1.0
2005-05-19,18.09,18.1,17.84,17.98,3.8481,584400,0.0,1.0
2005-05-20,17.9989,18.2,17.75,18.2,3.8952,308000,0.0,1.0
2005-05-23,18.15,18.75,18.02,18.1,3.8738,339600,0.0,1.0
2005-05-24,18.1,18.2,17.8,17.95,3.8417,2046400,0.0,1.0
2005-05-25,18.0,18.0,17.7,17.85,3.8203,779600,0.0,1.0
2005-05-26,17.85,18.1,17.8,17.8,3.8096,683200,0.0,1.0
2005-05-27,17.95,18.4,17.95,18.24,3.9038,704400,0.0,1.0
2005-05-31,18.25,18.25,17.95,18.13,3.8802,832800,0.0,1.0
