timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-11-26,25.0,25.01,25.0,25.01,5.884,147800,0.0,1.0
2002-11-27,25.0,25.01,25.0,25.0,5.8817,49800,0.0,1.0
2002-11-29,25.0,25.01,25.0,25.0,5.8817,31100,0.0,1.0
2002-12-02,25.0,25.01,25.0,25.0,5.8817,132000,0.0,1.0
2002-12-03,25.0,25.01,25.0,25.0,5.8817,64600,0.0,1.0
2002-12-04,25.0,25.01,25.0,25.0,5.8817,35300,0.0,1.0
2002-12-05,25.0,25.01,25.0,25.0,5.8817,44200,0.0,1.0
2002-12-06,25.0,25.1,25.0,25.04,5.8911,34400,0.0,1.0
2002-12-09,25.02,25.03,25.0,25.0,5.8817,35000,0.0,1.0
2002-12-10,25.0,25.02,25.0,25.0,5.8817,22500,0.0,1.0
2002-12-11,25.0,25.02,25.0,25.02,5.8864,32700,0.0,1.0
2002-12-12,25.0091,25.01,25.0,25.01,5.884,24400,0.0,1.0
2002-12-13,25.01,25.01,25.0,25.0,5.8817,26500,0.0,1.0
2002-12-16,25.02,25.02,25.0,25.01,5.884,38800,0.0,1.0
2002-12-17,25.0,25.03,25.0,25.01,5.884,35500,0.0,1.0
2002-12-18,25.01,25.04,25.0,25.03,5.8887,27500,0.0,1.0
2002-12-19,25.03,25.04,25.0,25.0,5.8817,18000,0.0,1.0
2002-12-20,25.0,25.02,25.0,25.0,5.8817,26000,0.0,1.0
2002-12-23,25.03,25.03,25.0,25.0,5.8817,27300,0.0,1.0
2002-12-24,25.02,25.04,25.0016,25.04,5.8911,11600,0.0,1.0
2002-12-26,25.0,25.02,25.0,25.0,5.8817,17300,0.0,1.0
2002-12-27,25.0,25.01,24.9998,25.01,5.884,4100,0.0,1.0
2002-12-30,25.0,25.03,24.9985,25.01,5.884,42100,0.0,1.0
2002-12-31,25.0,25.02,25.0,25.0,5.8817,10700,0.0,1.0
2003-01-02,25.01,25.04,25.0,25.02,5.8864,31300,0.0,1.0
2003-01-03,25.0,25.05,25.0,25.05,5.8934,23800,0.0,1.0
2003-01-06,25.03,25.03,24.85,24.95,5.8699,67900,0.0,1.0
