timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-02-25,20.0,20.01,20.0,20.0,5.681,458000,0.0,1.0
2004-02-26,20.01,20.01,20.0,20.01,5.6839,45800,0.0,1.0
2004-02-27,20.0,20.01,20.0,20.01,5.6839,49600,0.0,1.0
2004-03-01,20.01,20.01,20.0,20.01,5.6839,64100,0.0,1.0
2004-03-02,20.01,20.01,20.0,20.01,5.6839,63100,0.0,1.0
2004-03-03,20.01,20.01,20.0,20.01,5.6839,46000,0.0,1.0
2004-03-04,20.0107,20.01,20.0,20.01,5.6839,28300,0.0,1.0
2004-03-05,20.01,20.02,20.0,20.01,5.6839,28000,0.0,1.0
2004-03-08,20.05,20.07,20.0,20.0,5.681,34000,0.0,1.0
2004-03-09,20.05,20.07,20.0,20.03,5.6895,37900,0.0,1.0
2004-03-10,20.02,20.08,20.0,20.06,5.6981,49700,0.0,1.0
2004-03-11,20.08,20.08,20.0,20.0,5.681,22400,0.0,1.0
2004-03-12,20.0,20.03,20.0,20.0,5.681,31200,0.0,1.0
2004-03-15,20.04,20.04,20.0,20.02,5.6867,24500,0.0,1.0
2004-03-16,20.02,20.02,20.0,20.02,5.6867,30100,0.0,1.0
2004-03-17,20.02,20.02,20.0,20.02,5.6867,38200,0.0,1.0
2004-03-18,20.0,20.01,20.0,20.0,5.681,31500,0.0,1.0
2004-03-19,20.0,20.02,20.0009,20.01,5.6839,29400,0.0,1.0
2004-03-22,20.0,20.01,20.0,20.0,5.681,42200,0.0,1.0
2004-03-23,20.0,20.01,20.0,20.01,5.6839,44200,0.0,1.0
2004-03-24,20.0,20.01,20.0,20.01,5.6839,22000,0.0,1.0
2004-03-25,20.0,20.05,20.0,20.03,5.6895,64300,0.0,1.0
2004-03-26,20.05,20.05,20.0,20.03,5.6895,34200,0.0,1.0
2004-03-29,20.05,20.05,20.0,20.01,5.6839,43900,0.0,1.0
2004-03-30,20.01,20.01,20.0,20.0,5.681,16500,0.0,1.0
2004-03-31,20.01,20.01,20.0,20.01,5.6839,14200,0.0,1.0
2004-04-01,20.01,20.05,20.0,20.05,5.6952,33100,0.0,1.0
2004-04-02,20.05,20.05,20.0,20.0,5.681,90500,0.0,1.0
2004-04-05,20.0,20.01,20.0,20.01,5.6839,34400,0.0,1.0
2004-04-06,20.0,20.0,19.7,19.7,5.5958,113900,0.0,1.0
2004-04-07,19.7,19.7093,19.7,19.7,5.5958,34000,0.0,1.0
2004-04-08,19.75,19.75,19.51,19.51,5.5418,26500,0.0,1.0
2004-04-12,19.4995,19.5,18.85,19.16,5.4424,69700,0.0,1.0
2004-04-13,19.11,19.25,18.41,18.59,5.2805,108800,0.0,1.0
2004-04-14,18.5,18.52,17.4811,17.75,5.0419,184100,0.0,1.0
2004-04-15,17.8,18.4,17.8,18.4,5.2265,108000,0.0,1.0
2004-04-16,18.45,18.51,18.15,18.45,5.2407,43300,0.0,1.0
2004-04-19,18.4,18.7,18.4,18.7,5.3118,39900,0.0,1.0
2004-04-20,18.55,18.69,18.45,18.63,5.3195,55100,0.097,1.0
2004-04-21,18.58,18.58,17.5,17.65,5.0396,112300,0.0,1.0
2004-04-22,17.5,17.65,17.1,17.3,4.9397,95900,0.0,1.0
2004-04-23,17.48,18.0,17.4,17.6,5.0254,69000,0.0,1.0
2004-04-26,17.7,17.7,17.25,17.6,5.0254,105600,0.0,1.0
2004-04-27,17.35,17.45,16.65,17.05,4.8683,210100,0.0,1.0
2004-04-28,16.95,17.23,16.65,17.15,4.8969,144100,0.0,1.0
2004-04-29,17.2,17.2,16.65,16.95,4.8398,66900,0.0,1.0
2004-04-30,17.2,17.24,17.0,17.05,4.8683,61900,0.0,1.0
2004-05-03,16.95,17.45,16.95,17.45,4.9825,99800,0.0,1.0
2004-05-04,17.35,17.75,17.35,17.6,5.0254,60600,0.0,1.0
2004-05-05,17.55,17.77,17.5,17.65,5.0396,68900,0.0,1.0
2004-05-06,17.55,17.85,17.3,17.85,5.0968,121800,0.0,1.0
2004-05-07,17.7985,17.8,16.6,16.65,4.7541,122300,0.0,1.0
2004-05-10,16.56,16.6,15.3,15.8,4.5114,259800,0.0,1.0
2004-05-11,15.9,16.6,15.7,16.55,4.7256,159000,0.0,1.0
2004-05-12,16.65,16.7,16.0,16.7,4.7684,107600,0.0,1.0
2004-05-13,16.45,16.68,16.0,16.5,4.7113,91300,0.0,1.0
2004-05-14,16.6,16.85,16.37,16.7,4.7684,100200,0.0,1.0
2004-05-17,16.5998,16.9,16.39,16.89,4.8226,75400,0.0,1.0
2004-05-18,16.8,16.8,16.06,16.37,4.7012,88400,0.097,1.0
2004-05-19,16.35,16.5,16.15,16.45,4.7241,98600,0.0,1.0
2004-05-20,16.35,16.5,15.95,16.19,4.6495,134900,0.0,1.0
2004-05-21,16.0,16.3,15.8698,16.1,4.6236,132900,0.0,1.0
2004-05-24,16.07,16.16,15.8,15.92,4.5719,118900,0.0,1.0
2004-05-25,15.9,16.42,15.9,16.26,4.6696,139600,0.0,1.0
2004-05-26,16.16,16.75,16.16,16.4,4.7098,121300,0.0,1.0
2004-05-27,16.31,16.88,16.31,16.88,4.8476,107000,0.0,1.0
2004-05-28,16.88,16.9,16.75,16.85,4.839,56600,0.0,1.0
2004-06-01,16.89,16.9,16.55,16.85,4.839,100400,0.0,1.0
2004-06-02,16.85,17.3,16.76,17.26,4.9568,102100,0.0,1.0
2004-06-03,17.24,17.3,16.8,16.85,4.839,68700,0.0,1.0
2004-06-04,16.95,17.35,16.8,17.25,4.9539,86700,0.0,1.0
2004-06-07,17.25,17.3,17.05,17.29,4.9654,58900,0.0,1.0
2004-06-08,17.14,17.23,16.93,17.08,4.9051,84400,0.0,1.0
2004-06-09,17.15,17.21,17.05,17.21,4.9424,57300,0.0,1.0
2004-06-10,17.0,17.25,17.0,17.06,4.8993,90400,0.0,1.0
2004-06-14,17.22,17.22,16.45,16.79,4.8218,118900,0.0,1.0
2004-06-15,17.0,17.04,16.71,16.88,4.8476,114700,0.0,1.0
2004-06-16,16.95,16.97,16.46,16.7,4.7959,118500,0.0,1.0
2004-06-17,16.66,16.9,16.65,16.66,4.7844,70100,0.0,1.0
2004-06-18,16.8,16.83,16.45,16.6,4.7672,85100,0.0,1.0
2004-06-21,16.55,16.7,16.22,16.45,4.7241,136000,0.0,1.0
2004-06-22,16.25,16.38,16.06,16.2,4.6799,162300,0.097,1.0
2004-06-23,16.3,16.3,16.0,16.1,4.6511,97700,0.0,1.0
2004-06-24,16.2,16.33,15.9987,16.02,4.6279,153200,0.0,1.0
2004-06-25,15.92,16.1,15.8,15.96,4.6106,149800,0.0,1.0
2004-06-28,16.03,16.03,15.78,15.87,4.5846,101000,0.0,1.0
2004-06-29,15.8696,16.03,15.82,16.03,4.6308,110200,0.0,1.0
2004-06-30,16.2,16.268,15.95,16.12,4.6568,74800,0.0,1.0
2004-07-01,16.07,16.63,16.07,16.63,4.8042,109600,0.0,1.0
2004-07-02,16.48,16.95,16.48,16.85,4.8677,53900,0.0,1.0
2004-07-06,16.85,16.92,16.51,16.9,4.8822,74800,0.0,1.0
2004-07-07,16.9,16.92,16.6,16.7,4.8244,52200,0.0,1.0
2004-07-08,16.6,16.86,16.51,16.61,4.7984,87800,0.0,1.0
2004-07-09,16.55,16.68,16.4,16.5,4.7666,88500,0.0,1.0
2004-07-12,16.45,16.6,16.0992,16.35,4.7233,114900,0.0,1.0
2004-07-13,16.2,16.5,16.06,16.23,4.6886,98400,0.0,1.0
2004-07-14,16.2,16.69,16.05,16.43,4.7464,89100,0.0,1.0
2004-07-15,16.34,16.58,16.17,16.5,4.7666,111500,0.0,1.0
2004-07-16,16.4,16.8,16.36,16.8,4.8533,55300,0.0,1.0
2004-07-19,16.7,16.89,16.66,16.8,4.8533,84100,0.0,1.0
2004-07-20,16.67,16.86,16.65,16.8,4.8815,62400,0.097,1.0
2004-07-21,16.71,16.83,16.35,16.35,4.7507,90600,0.0,1.0
2004-07-22,16.35,16.55,16.1992,16.47,4.7856,78800,0.0,1.0
2004-07-23,16.4,16.57,16.05,16.1,4.6781,85900,0.0,1.0
2004-07-26,16.22,16.35,15.9,16.1,4.6635,75800,0.0,1.0
2004-07-27,16.0,16.16,15.9,16.0,4.649,71400,0.0,1.0
2004-07-28,16.1,16.12,15.81,15.92,4.6258,101800,0.0,1.0
2004-07-29,16.04,16.15,15.94,16.01,4.6519,82600,0.0,1.0
2004-07-30,16.1602,16.18,16.02,16.18,4.7013,96700,0.0,1.0
2004-08-02,16.25,16.25,15.95,16.24,4.7187,113000,0.0,1.0
2004-08-03,16.32,16.45,16.2,16.45,4.7798,116200,0.0,1.0
2004-08-04,16.43,16.79,16.37,16.75,4.8669,91000,0.0,1.0
2004-08-05,16.8,16.9,16.75,16.76,4.8698,81900,0.0,1.0
2004-08-06,16.79,16.93,16.45,16.55,4.8088,61500,0.0,1.0
2004-08-09,16.5,16.89,16.5,16.82,4.8873,57100,0.0,1.0
2004-08-10,16.8,16.85,16.52,16.6,4.8233,68900,0.0,1.0
2004-08-11,16.7,16.7,16.45,16.7,4.8524,69400,0.0,1.0
2004-08-12,16.7,16.77,16.5,16.71,4.8553,64300,0.0,1.0
2004-08-13,16.68,16.75,16.5,16.71,4.8553,84500,0.0,1.0
2004-08-16,16.81,16.85,16.65,16.85,4.896,72400,0.0,1.0
2004-08-17,16.7,16.85,16.6601,16.79,4.9068,58800,0.097,1.0
2004-08-18,16.6901,16.95,16.65,16.91,4.9419,117600,0.0,1.0
2004-08-19,16.9,17.1,16.8,16.85,4.9243,136400,0.0,1.0
2004-08-20,16.93,16.95,16.7297,16.75,4.8951,66000,0.0,1.0
2004-08-23,16.79,16.8,16.6511,16.79,4.9068,105100,0.0,1.0
2004-08-24,16.7,16.95,16.7,16.95,4.9536,96200,0.0,1.0
2004-08-25,17.0,17.05,16.81,16.93,4.9477,106900,0.0,1.0
2004-08-26,17.03,17.19,16.9098,17.19,5.0237,108800,0.0,1.0
2004-08-27,17.0887,17.2,17.06,17.2,5.0266,46900,0.0,1.0
2004-08-30,17.2,17.25,16.95,17.05,4.9828,104400,0.0,1.0
2004-08-31,17.1797,17.47,17.12,17.4,5.0851,105900,0.0,1.0
2004-09-01,17.55,17.83,17.55,17.66,5.161,108000,0.0,1.0
2004-09-02,17.69,17.84,17.58,17.65,5.1581,91100,0.0,1.0
