timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-10-01,43.0,47.62,40.35,40.52,35.7743,269000,0.0,1.0
2012-10-02,40.0,43.25,38.91,43.25,38.1846,214000,0.0,1.0
2012-10-03,42.9404,43.75,41.65,42.04,37.1163,184300,0.0,1.0
2012-10-04,42.42,43.01,40.21,40.4,35.6684,96100,0.0,1.0
2012-10-05,40.39,41.5,40.26,40.6,35.845,118600,0.0,1.0
2012-10-08,40.0,40.6,38.96,39.32,34.7149,104200,0.0,1.0
2012-10-09,39.17,39.32,37.68,38.09,33.6289,90900,0.0,1.0
2012-10-10,38.05,39.11,37.759,39.11,34.5295,61800,0.0,1.0
2012-10-11,39.1093,39.9,38.5,38.99,34.4235,58900,0.0,1.0
2012-10-12,39.59,39.75,38.58,39.49,34.865,28200,0.0,1.0
2012-10-15,39.9,41.0,39.9,40.8,36.0215,83800,0.0,1.0
2012-10-16,41.15,41.61,40.59,40.69,35.9244,57000,0.0,1.0
2012-10-17,40.87,41.7999,40.48,41.8,36.9044,55700,0.0,1.0
2012-10-18,41.97,42.23,41.395,42.2,37.2576,55700,0.0,1.0
2012-10-19,42.88,42.88,39.75,41.13,36.3129,74400,0.0,1.0
2012-10-22,41.51,41.51,40.04,40.75,35.9774,75400,0.0,1.0
2012-10-23,39.81,40.26,39.32,39.78,35.121,41100,0.0,1.0
2012-10-24,39.78,40.09,39.21,39.53,34.9003,22200,0.0,1.0
2012-10-25,39.99,40.18,39.5,39.88,35.2093,22800,0.0,1.0
2012-10-26,40.29,40.5494,39.0,39.51,34.8826,15400,0.0,1.0
2012-10-31,43.0,43.0026,40.8,41.08,36.2687,136700,0.0,1.0
2012-11-01,42.0,42.86,41.69,42.86,37.8403,68300,0.0,1.0
2012-11-02,43.22,44.0485,42.53,42.64,37.646,61800,0.0,1.0
2012-11-05,43.0,44.04,42.51,43.72,38.5996,104200,0.0,1.0
2012-11-06,43.7,44.01,43.39,43.9,38.7585,34700,0.0,1.0
2012-11-07,43.3964,43.85,42.39,42.53,37.5489,57800,0.0,1.0
2012-11-08,42.96,43.0,42.0,42.55,37.5666,52900,0.0,1.0
2012-11-09,42.6,42.8509,42.25,42.38,37.4165,19100,0.0,1.0
2012-11-12,42.765,43.79,42.46,43.35,38.2729,24900,0.0,1.0
2012-11-13,43.3447,43.6,43.0,43.19,38.1316,28200,0.0,1.0
2012-11-14,43.19,43.8,42.66,43.26,38.1934,36400,0.0,1.0
2012-11-15,43.32,43.3177,41.53,41.72,36.8338,88500,0.0,1.0
2012-11-16,41.75,41.87,41.04,41.25,36.4188,49800,0.0,1.0
2012-11-19,41.4,41.64,41.03,41.5,36.6395,74000,0.0,1.0
2012-11-20,41.21,41.72,41.06,41.64,36.7632,44000,0.0,1.0
2012-11-21,41.32,41.6,40.57,41.08,36.2687,101300,0.0,1.0
2012-11-23,41.1,41.1,40.61,40.98,36.1805,35700,0.0,1.0
2012-11-26,42.4,42.73,40.68,40.9,36.1098,73900,0.0,1.0
2012-11-27,40.9,41.69,40.51,40.51,35.7655,42100,0.0,1.0
2012-11-28,40.1567,40.3,39.97,40.3,35.801,196900,0.25,1.0
2012-11-29,40.79,41.53,40.344,41.53,36.8937,29900,0.0,1.0
2012-11-30,41.75,41.984,40.64,41.48,36.8493,90300,0.0,1.0
2012-12-03,42.43,43.1288,41.75,42.35,37.6222,69900,0.0,1.0
2012-12-04,42.52,42.8807,41.87,42.59,37.8354,113200,0.0,1.0
2012-12-05,42.7,44.0,42.4,43.87,38.9725,33200,0.0,1.0
2012-12-06,43.74,43.95,43.04,43.48,38.626,38600,0.0,1.0
2012-12-07,43.56,46.21,43.5635,45.69,40.5893,74700,0.0,1.0
2012-12-10,45.42,46.98,45.18,46.38,41.2023,168800,0.0,1.0
2012-12-11,46.85,47.483,46.3,46.58,41.38,43700,0.0,1.0
2012-12-12,46.6109,46.794,45.55,45.58,40.4916,75800,0.0,1.0
2012-12-13,44.897,44.9,43.68,44.0,39.088,50200,0.0,1.0
2012-12-14,43.64,44.374,42.64,43.84,38.9459,31500,0.0,1.0
2012-12-17,44.0,46.37,44.0,45.34,40.2784,53600,0.0,1.0
2012-12-18,45.59,46.191,45.01,45.64,40.5449,75500,0.0,1.0
2012-12-19,45.53,47.52,43.5,47.07,41.8153,130100,0.0,1.0
2012-12-20,47.19,48.52,46.524,46.85,41.6198,103500,0.0,1.0
2012-12-21,46.75,47.84,46.23,46.85,41.6198,203200,0.0,1.0
2012-12-24,46.92,49.715,46.92,47.87,42.5259,49900,0.0,1.0
2012-12-26,48.06,48.46,47.5002,48.24,42.8546,21800,0.0,1.0
2012-12-27,47.79,48.85,47.72,48.29,42.8991,28500,0.0,1.0
2012-12-28,47.98,48.417,47.98,48.29,42.8991,38000,0.0,1.0
2012-12-31,48.19,48.99,48.02,48.8,43.3521,35500,0.0,1.0
2013-01-02,49.75,50.57,49.59,50.32,44.7024,70800,0.0,1.0
2013-01-03,50.57,51.6,50.32,51.1,45.3954,38200,0.0,1.0
2013-01-04,51.48,52.14,50.77,51.29,45.5642,44100,0.0,1.0
2013-01-07,50.21,50.21,48.55,49.59,44.0539,63000,0.0,1.0
2013-01-08,49.73,51.16,49.16,50.94,45.2532,53200,0.0,1.0
2013-01-09,51.2,51.984,50.71,51.2,45.4842,24800,0.0,1.0
2013-01-10,51.26,51.3,49.26,50.36,44.738,27200,0.0,1.0
2013-01-11,50.55,50.55,48.61,49.47,43.9473,16400,0.0,1.0
2013-01-14,49.1099,49.71,48.43,49.26,43.7608,42800,0.0,1.0
2013-01-15,49.08,50.174,49.08,49.81,44.2494,23300,0.0,1.0
2013-01-16,49.67,50.23,49.5,50.01,44.427,26400,0.0,1.0
2013-01-17,50.07,51.0,50.0,50.37,44.7469,31500,0.0,1.0
2013-01-18,50.21,50.3,49.9,50.19,44.5869,24900,0.0,1.0
2013-01-22,50.27,50.5,50.01,50.3,44.6847,29100,0.0,1.0
2013-01-23,50.42,50.46,49.78,49.92,44.3471,49700,0.0,1.0
2013-01-24,49.9,50.13,49.75,50.1,44.507,35200,0.0,1.0
2013-01-25,50.44,50.44,49.81,50.19,44.5869,39400,0.0,1.0
2013-01-28,50.53,50.53,49.63,50.28,44.6669,61500,0.0,1.0
2013-01-29,50.28,50.52,49.76,50.52,44.8801,38500,0.0,1.0
2013-01-30,50.56,51.26,49.77,50.11,44.5159,41300,0.0,1.0
2013-01-31,50.15,50.75,49.71,50.18,44.5781,25700,0.0,1.0
2013-02-01,50.69,51.2,50.4902,51.1,45.3954,36900,0.0,1.0
2013-02-04,50.9977,51.99,49.88,50.18,44.5781,40000,0.0,1.0
2013-02-05,50.6,50.8,49.19,49.81,44.2494,34000,0.0,1.0
2013-02-06,49.59,49.88,48.64,49.0,43.5298,55000,0.0,1.0
2013-02-07,48.81,48.8096,47.11,48.62,43.1922,66000,0.0,1.0
2013-02-08,48.67,50.22,48.25,50.03,44.4448,54000,0.0,1.0
2013-02-11,50.0519,50.58,49.812,50.3,44.6847,25600,0.0,1.0
2013-02-12,50.43,51.95,49.817,51.31,45.5819,36500,0.0,1.0
2013-02-13,51.51,52.3,49.5,50.48,44.8446,54900,0.0,1.0
2013-02-14,50.52,51.08,49.61,49.89,44.3204,49100,0.0,1.0
2013-02-15,50.3,50.62,48.0,49.79,44.2316,62400,0.0,1.0
2013-02-19,49.43,49.76,48.72,49.18,43.6897,154100,0.0,1.0
2013-02-20,49.99,51.55,49.4,49.43,43.9118,93300,0.0,1.0
2013-02-21,49.38,49.54,48.63,49.18,43.6897,55900,0.0,1.0
2013-02-22,49.35,50.74,49.33,50.59,44.9423,67300,0.0,1.0
2013-02-25,50.16,50.68,49.5,49.71,44.1605,52300,0.0,1.0
2013-02-26,50.25,50.49,49.38,50.0,44.4182,274700,0.0,1.0
2013-02-27,49.67,50.0,49.335,49.96,44.6056,20200,0.25,1.0
2013-02-28,49.75,51.889,49.5,51.23,45.7395,63000,0.0,1.0
2013-03-01,50.88,51.79,50.35,51.52,45.9985,26000,0.0,1.0
2013-03-04,51.66,52.1,50.755,51.93,46.3645,19900,0.0,1.0
2013-03-05,51.93,52.575,51.32,52.35,46.7395,15100,0.0,1.0
2013-03-06,52.6516,52.65,50.27,50.65,45.2217,37300,0.0,1.0
