timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-11-30,10.0,10.1,10.0,10.0,9.0634,564600,0.0,1.0
2017-12-01,10.01,10.015,10.0001,10.0,9.0634,122600,0.0,1.0
2017-12-04,10.022,10.06,10.022,10.05,9.1087,2900,0.0,1.0
2017-12-05,10.03,10.03,10.03,10.03,9.0906,1000,0.0,1.0
2017-12-06,10.03,10.03,10.03,10.03,9.0906,500,0.0,1.0
2017-12-07,10.0309,10.03,10.013,10.03,9.0906,12100,0.0,1.0
2017-12-08,10.06,10.0594,10.0,10.0,9.0634,14000,0.0,1.0
2017-12-11,10.0,10.01,10.0001,10.0,9.0634,17500,0.0,1.0
2017-12-12,10.0,10.01,10.0,10.01,9.0724,4200,0.0,1.0
2017-12-13,10.0,10.01,10.0,10.002,9.0652,14500,0.0,1.0
2017-12-14,10.009,10.009,10.0,10.0,9.0634,14000,0.0,1.0
2017-12-15,10.01,10.01,10.0097,10.01,9.0724,4400,0.0,1.0
2017-12-18,10.01,10.01,10.0,10.0,9.0634,6100,0.0,1.0
2017-12-19,10.01,10.01,10.0,10.0,9.0634,1500,0.0,1.0
2017-12-20,10.02,10.02,10.0,10.02,9.0815,2400,0.0,1.0
2017-12-21,10.02,10.02,10.02,10.02,9.0815,1200,0.0,1.0
2017-12-22,10.0,10.0,10.0,10.0,9.0634,900,0.0,1.0
2017-12-26,10.065,10.0992,10.065,10.07,9.1268,3700,0.0,1.0
2017-12-27,10.06,10.06,10.06,10.06,9.1178,500,0.0,1.0
2017-12-28,10.12,10.12,10.12,10.12,9.1721,1000,0.0,1.0
2017-12-29,10.31,10.31,10.31,10.31,9.3443,1700,0.0,1.0
2018-01-02,10.301,10.33,10.301,10.32,9.3534,1200,0.0,1.0
2018-01-03,10.08,10.15,10.0,10.0,9.0634,54500,0.0,1.0
2018-01-04,10.0,10.0,10.0,10.0,9.0634,0,0.0,1.0
2018-01-05,10.0,10.0,10.0,10.0,9.0634,0,0.0,1.0
2018-01-08,10.0403,10.049,10.02,10.035,9.0951,6500,0.0,1.0
2018-01-09,10.03,10.04,10.03,10.034,9.0942,2500,0.0,1.0
2018-01-10,10.05,10.1,10.03,10.04,9.0996,5900,0.0,1.0
2018-01-11,10.05,10.05,10.039,10.05,9.1087,3600,0.0,1.0
2018-01-12,10.05,10.1,10.0108,10.05,9.1087,5800,0.0,1.0
2018-01-16,10.0,10.05,10.0,10.05,9.1087,3600,0.0,1.0
2018-01-17,10.04,10.05,10.01,10.01,9.0724,6100,0.0,1.0
2018-01-18,9.98,10.0,9.96,9.99,9.0543,13800,0.0,1.0
2018-01-19,9.991,9.991,9.939,9.939,9.0081,7500,0.0,1.0
2018-01-22,9.9,9.921,9.9,9.921,8.9918,500,0.0,1.0
2018-01-23,9.9,9.9,9.85,9.86,8.979,14600,0.047,1.0
2018-01-24,9.9,9.9,9.86,9.9,9.0155,10500,0.0,1.0
2018-01-25,9.9,9.9,9.9,9.9,9.0155,0,0.0,1.0
2018-01-26,9.9,9.9,9.9005,9.9,9.0155,0,0.0,1.0
2018-01-29,9.925,9.925,9.8705,9.87,8.9881,1600,0.0,1.0
2018-01-30,9.9,9.9,9.885,9.891,9.0073,4200,0.0,1.0
2018-01-31,10.05,10.05,9.85,9.86,8.979,11000,0.0,1.0
2018-02-01,9.88,9.89,9.77,9.77,8.8971,3700,0.0,1.0
2018-02-02,9.77,9.77,9.77,9.77,8.8971,0,0.0,1.0
2018-02-05,9.76,9.76,9.36,9.45,8.6057,5800,0.0,1.0
2018-02-06,9.4,9.481,9.4,9.45,8.6057,2800,0.0,1.0
2018-02-07,9.45,9.46,9.437,9.44,8.5966,8000,0.0,1.0
2018-02-08,9.45,9.45,9.38,9.39,8.551,15600,0.0,1.0
2018-02-09,9.404,9.529,9.3795,9.529,8.6776,17700,0.0,1.0
2018-02-12,9.475,9.49,9.475,9.49,8.6421,2900,0.0,1.0
2018-02-13,9.49,9.49,9.49,9.49,8.6421,0,0.0,1.0
2018-02-14,9.36,9.453,9.36,9.43,8.6302,1900,0.047,1.0
2018-02-15,9.44,9.47,9.42,9.47,8.6668,12100,0.0,1.0
2018-02-16,9.3719,9.399,9.36,9.36,8.5661,9800,0.0,1.0
2018-02-20,9.41,9.54,9.37,9.53,8.7217,12200,0.0,1.0
2018-02-21,9.52,9.52,9.49,9.49,8.6851,1900,0.0,1.0
2018-02-22,9.513,9.513,9.484,9.484,8.6796,5800,0.0,1.0
