timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,10.875,11.0,10.688,10.813,2.2224,37200,0.0,1.0
1999-09-14,10.875,10.875,10.188,10.188,2.0939,195600,0.0,1.0
1999-09-15,10.25,10.25,9.875,10.188,2.1042,121600,0.0125,1.0
1999-09-16,10.188,10.438,9.875,10.063,2.0784,116800,0.0,1.0
1999-09-17,10.0,10.25,9.563,9.938,2.0526,171200,0.0,1.0
1999-09-20,10.063,10.125,9.938,9.938,2.0526,26800,0.0,1.0
1999-09-21,10.0,10.0,9.563,9.75,2.0139,27200,0.0,1.0
1999-09-22,9.75,10.0,9.75,10.0,2.0655,58000,0.0,1.0
1999-09-23,9.875,9.875,9.75,9.875,2.0397,18000,0.0,1.0
1999-09-24,10.063,10.063,9.75,9.875,2.0397,109200,0.0,1.0
1999-09-27,9.8756,10.063,9.75,9.75,2.0139,84000,0.0,1.0
1999-09-28,9.625,9.625,9.5,9.5,1.9622,34400,0.0,1.0
1999-09-29,9.5,9.5,9.375,9.5,1.9622,35200,0.0,1.0
1999-09-30,9.625,9.75,9.5,9.75,2.0139,100400,0.0,1.0
1999-10-01,10.125,10.5,10.125,10.375,2.143,140400,0.0,1.0
1999-10-04,10.25,10.25,10.0,10.0,2.0655,28000,0.0,1.0
1999-10-05,9.875,10.0,9.625,9.813,2.0268,60000,0.0,1.0
1999-10-06,9.75,9.7494,9.25,9.25,1.9106,95600,0.0,1.0
1999-10-07,9.125,9.188,8.938,9.0,1.859,56000,0.0,1.0
1999-10-08,9.125,9.125,8.5,8.75,1.8073,287600,0.0,1.0
1999-10-11,8.875,9.0,8.25,8.25,1.7041,513600,0.0,1.0
1999-10-12,8.0,8.3741,8.0,8.125,1.6782,240800,0.0,1.0
1999-10-13,8.125,8.5,8.0,8.313,1.717,92000,0.0,1.0
1999-10-14,8.313,8.5,8.1878,8.375,1.7299,129600,0.0,1.0
1999-10-15,8.25,8.25,8.0,8.125,1.6782,217600,0.0,1.0
1999-10-18,8.0,8.25,7.9998,8.063,1.6653,205200,0.0,1.0
1999-10-19,8.063,8.375,8.063,8.125,1.6782,212000,0.0,1.0
1999-10-20,8.125,8.313,8.125,8.25,1.7041,95600,0.0,1.0
1999-10-21,8.125,8.313,8.0,8.063,1.6653,86800,0.0,1.0
1999-10-22,8.125,8.438,8.125,8.25,1.7041,162800,0.0,1.0
1999-10-25,8.625,8.625,8.188,8.25,1.7041,84800,0.0,1.0
1999-10-26,8.1872,8.375,8.063,8.125,1.6782,155200,0.0,1.0
1999-10-27,8.188,8.563,8.063,8.5,1.7557,77600,0.0,1.0
1999-10-28,8.938,9.125,8.313,8.563,1.7686,102000,0.0,1.0
1999-10-29,8.688,8.938,8.688,8.875,1.8331,49600,0.0,1.0
1999-11-01,9.0,9.063,8.75,9.0,1.859,182000,0.0,1.0
1999-11-02,8.875,8.938,8.625,8.75,1.8073,122800,0.0,1.0
1999-11-03,8.75,8.813,8.688,8.813,1.8202,180400,0.0,1.0
1999-11-04,9.0,9.063,8.5,8.5,1.7557,444000,0.0,1.0
1999-11-05,9.0,9.0001,8.625,8.875,1.8331,167200,0.0,1.0
1999-11-08,8.9384,9.0,8.813,8.938,1.8461,125600,0.0,1.0
1999-11-09,8.938,9.0,8.813,8.938,1.8461,115600,0.0,1.0
1999-11-10,8.813,8.813,8.688,8.688,1.7944,185200,0.0,1.0
1999-11-11,8.563,9.0,8.375,9.0,1.859,214400,0.0,1.0
1999-11-12,8.5,9.0,8.5,9.0,1.859,108000,0.0,1.0
1999-11-15,9.125,9.3126,9.0,9.0,1.859,207200,0.0,1.0
1999-11-16,9.0,9.188,8.875,9.063,1.8719,180800,0.0,1.0
1999-11-17,8.688,8.875,8.625,8.75,1.8073,563600,0.0,1.0
1999-11-18,8.875,8.875,8.75,8.75,1.8073,86400,0.0,1.0
1999-11-19,8.875,9.25,8.875,8.875,1.8331,256400,0.0,1.0
1999-11-22,8.875,8.875,8.75,8.75,1.8073,103600,0.0,1.0
1999-11-23,8.75,8.875,8.438,8.5,1.7557,271600,0.0,1.0
1999-11-24,8.625,8.8758,8.438,8.438,1.7428,142000,0.0,1.0
1999-11-26,8.438,8.5,8.375,8.375,1.7299,37200,0.0,1.0
1999-11-29,8.25,8.375,7.75,7.75,1.6008,345600,0.0,1.0
1999-11-30,7.875,8.313,7.875,8.188,1.6911,236000,0.0,1.0
1999-12-01,8.125,8.563,8.125,8.438,1.7428,172400,0.0,1.0
1999-12-02,8.3126,8.625,8.313,8.5,1.7557,60000,0.0,1.0
1999-12-03,8.5,8.563,8.0,8.438,1.7428,280400,0.0,1.0
1999-12-06,8.438,8.438,8.0,8.063,1.6653,154400,0.0,1.0
1999-12-07,8.063,8.25,7.938,8.125,1.6782,171200,0.0,1.0
1999-12-08,8.063,8.3135,8.063,8.125,1.6782,52800,0.0,1.0
1999-12-09,8.1249,8.125,7.938,7.938,1.6395,186800,0.0,1.0
1999-12-10,7.9378,8.063,7.625,8.063,1.6653,153200,0.0,1.0
1999-12-13,7.563,8.0,7.563,8.0,1.6524,181600,0.0,1.0
1999-12-14,7.938,8.0,7.625,8.0,1.6524,488800,0.0,1.0
1999-12-15,7.813,8.125,7.813,8.063,1.6758,113600,0.0125,1.0
1999-12-16,7.938,7.938,7.5,7.75,1.6108,194400,0.0,1.0
1999-12-17,7.75,7.875,7.563,7.875,1.6368,164000,0.0,1.0
1999-12-20,7.75,7.813,7.6259,7.75,1.6108,154000,0.0,1.0
1999-12-21,7.625,7.75,7.625,7.625,1.5849,171200,0.0,1.0
1999-12-22,7.75,7.875,7.563,7.563,1.5719,148800,0.0,1.0
1999-12-23,7.5,7.563,7.438,7.5,1.5589,284400,0.0,1.0
1999-12-27,7.5,7.563,7.375,7.438,1.5459,106800,0.0,1.0
1999-12-28,7.313,7.5,7.125,7.313,1.5199,242000,0.0,1.0
1999-12-29,7.188,7.313,7.125,7.188,1.4939,173200,0.0,1.0
1999-12-30,7.125,7.25,7.0,7.25,1.5069,291200,0.0,1.0
1999-12-31,7.125,7.5,7.125,7.5,1.5589,167600,0.0,1.0
2000-01-03,7.5,7.625,7.25,7.5,1.5589,136000,0.0,1.0
2000-01-04,7.375,7.625,7.25,7.25,1.5069,298400,0.0,1.0
2000-01-05,7.313,7.313,7.0002,7.188,1.4939,70400,0.0,1.0
2000-01-06,7.125,7.563,7.125,7.563,1.5719,261600,0.0,1.0
2000-01-07,7.688,9.1251,7.688,9.0,1.8707,1179600,0.0,1.0
2000-01-10,9.125,9.125,8.75,8.75,1.8187,300800,0.0,1.0
2000-01-11,8.438,8.625,8.125,8.313,1.7278,168000,0.0,1.0
2000-01-12,8.25,8.25,8.0,8.0,1.6628,205200,0.0,1.0
2000-01-13,8.375,8.875,8.25,8.875,1.8447,330000,0.0,1.0
2000-01-14,9.0,9.063,8.875,8.875,1.8447,266000,0.0,1.0
2000-01-18,8.8745,8.875,8.375,8.375,1.7408,180800,0.0,1.0
2000-01-19,8.25,8.75,8.25,8.375,1.7408,110000,0.0,1.0
2000-01-20,8.5,8.688,8.188,8.188,1.7018,103600,0.0,1.0
2000-01-21,8.313,8.313,8.0,8.0,1.6628,121200,0.0,1.0
2000-01-24,7.938,8.313,7.9377,8.0,1.6628,84800,0.0,1.0
2000-01-25,8.25,8.5,7.938,8.25,1.7148,94000,0.0,1.0
2000-01-26,8.5,9.5,8.375,8.75,1.8187,659600,0.0,1.0
2000-01-27,8.875,9.0,8.5,8.5,1.7667,298400,0.0,1.0
2000-01-28,8.5,8.938,8.375,8.688,1.8057,62000,0.0,1.0
2000-01-31,8.563,8.563,6.6254,6.875,1.429,3551600,0.0,1.0
2000-02-01,6.9999,7.25,6.875,7.125,1.4809,886800,0.0,1.0
2000-02-02,7.125,7.125,6.938,7.0,1.455,326000,0.0,1.0
2000-02-03,6.938,7.0,6.8745,6.938,1.442,294400,0.0,1.0
2000-02-04,6.938,6.938,6.813,6.875,1.429,106400,0.0,1.0
2000-02-07,6.875,6.938,6.8124,6.875,1.429,265200,0.0,1.0
2000-02-08,6.875,6.938,6.875,6.875,1.429,218800,0.0,1.0
2000-02-09,6.813,6.813,5.75,6.0,1.2471,976400,0.0,1.0
2000-02-10,6.2504,6.375,6.063,6.313,1.3121,346800,0.0,1.0
