timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-09-29,10.5,10.5,10.0,10.1,10.1,212800,0.0,1.0
2017-10-02,10.15,10.2,10.05,10.08,10.08,36500,0.0,1.0
2017-10-03,10.091,10.1,10.079,10.1,10.1,13300,0.0,1.0
2017-10-04,10.1,10.15,10.093,10.11,10.11,55600,0.0,1.0
2017-10-05,10.15,10.15,10.1,10.1,10.1,212500,0.0,1.0
2017-10-06,10.12,10.15,10.105,10.132,10.132,144600,0.0,1.0
2017-10-09,10.15,10.85,10.1204,10.12,10.12,49400,0.0,1.0
2017-10-10,10.136,10.136,10.1,10.11,10.11,128200,0.0,1.0
2017-10-11,10.09,10.09,10.09,10.09,10.09,422600,0.0,1.0
2017-10-12,10.15,10.15,10.1,10.12,10.12,79900,0.0,1.0
2017-10-13,10.14,10.15,10.11,10.12,10.12,199000,0.0,1.0
2017-10-16,10.2,10.2,10.13,10.13,10.13,19200,0.0,1.0
2017-10-17,10.2,10.2,10.13,10.17,10.17,26900,0.0,1.0
2017-10-18,10.19,10.2,10.16,10.17,10.17,146100,0.0,1.0
2017-10-19,10.2,10.2,10.15,10.15,10.15,33100,0.0,1.0
2017-10-20,10.2,10.29,10.17,10.18,10.18,39500,0.0,1.0
2017-10-23,10.25,10.2505,10.17,10.23,10.23,59200,0.0,1.0
2017-10-24,10.25,10.25,10.2,10.24,10.24,97400,0.0,1.0
2017-10-25,10.25,10.25,10.2,10.225,10.225,51100,0.0,1.0
2017-10-26,10.25,10.25,10.2,10.227,10.227,28900,0.0,1.0
2017-10-27,10.3,10.3,10.2,10.25,10.25,78600,0.0,1.0
2017-10-30,10.28,10.28,10.21,10.216,10.216,9000,0.0,1.0
2017-10-31,10.21,10.25,10.2,10.242,10.242,63800,0.0,1.0
2017-11-01,10.269,10.269,10.269,10.269,10.269,31600,0.0,1.0
2017-11-02,10.28,10.28,10.23,10.25,10.25,67800,0.0,1.0
2017-11-03,10.23,10.25,10.22,10.25,10.25,105600,0.0,1.0
2017-11-06,10.2502,10.27,10.2,10.249,10.249,12400,0.0,1.0
2017-11-07,10.213,10.25,10.21,10.25,10.25,30700,0.0,1.0
2017-11-08,10.23,10.25,10.2,10.25,10.25,21600,0.0,1.0
2017-11-09,10.25,10.25,10.21,10.21,10.21,84500,0.0,1.0
2017-11-10,10.24,10.2405,10.2,10.22,10.22,79000,0.0,1.0
2017-11-13,10.23,10.23,10.2,10.229,10.229,27100,0.0,1.0
2017-11-14,10.24,10.24,10.19,10.2,10.2,227200,0.0,1.0
2017-11-15,10.19,10.19,10.089,10.1,10.1,73500,0.0,1.0
2017-11-16,10.129,10.15,10.07,10.07,10.07,20500,0.0,1.0
2017-11-17,10.085,10.085,9.97,10.035,10.035,442200,0.0,1.0
2017-11-20,10.07,10.085,9.97,9.982,9.982,47100,0.0,1.0
2017-11-21,10.03,10.05,9.999,10.0,10.0,35500,0.0,1.0
2017-11-22,10.0,10.065,10.0,10.0,10.0,11400,0.0,1.0
2017-11-24,10.08,10.0803,9.99,10.025,10.025,50900,0.0,1.0
2017-11-27,10.06,10.1,9.98,10.02,10.02,139200,0.0,1.0
2017-11-28,10.06,10.06,9.9,10.0,10.0,376900,0.0,1.0
2017-11-29,9.99,9.996,9.9,9.97,9.97,226900,0.0,1.0
2017-11-30,10.15,10.15,9.95,9.95,9.95,50400,0.0,1.0
2017-12-01,10.0,10.0,9.93,9.94,9.94,53100,0.0,1.0
2017-12-04,9.94,10.0,9.89,9.92,9.92,69000,0.0,1.0
2017-12-05,9.94,9.98,9.91,9.94,9.94,68300,0.0,1.0
2017-12-06,9.95,9.95,9.9,9.92,9.92,96800,0.0,1.0
2017-12-07,9.93,9.93,9.87,9.89,9.89,147300,0.0,1.0
2017-12-08,9.93,9.93,9.85,9.87,9.87,90200,0.0,1.0
2017-12-11,9.88,9.91,9.88,9.9,9.9,94000,0.0,1.0
2017-12-12,9.98,10.03,9.9101,9.98,9.98,191800,0.0,1.0
2017-12-13,9.95,10.0,9.9197,9.95,9.95,80000,0.0,1.0
2017-12-14,9.98,10.2,9.95,10.03,10.03,134200,0.0,1.0
2017-12-15,10.05,10.17,10.0091,10.01,10.01,155900,0.0,1.0
2017-12-18,10.11,10.11,10.02,10.055,10.055,61700,0.0,1.0
2017-12-19,10.13,10.199,9.98,10.01,10.01,693300,0.0,1.0
2017-12-20,10.09,10.09,9.98,10.02,10.02,195200,0.0,1.0
2017-12-21,10.0,10.04,10.0,10.03,10.03,123200,0.0,1.0
2017-12-22,10.05,10.1111,10.035,10.04,10.04,453400,0.0,1.0
2017-12-26,10.15,10.15,10.05,10.07,10.07,17700,0.0,1.0
2017-12-27,10.05,10.09,10.05,10.065,10.065,20300,0.0,1.0
2017-12-28,10.07,10.076,10.0,10.05,10.05,33100,0.0,1.0
2017-12-29,10.13,10.13,10.04,10.09,10.09,40700,0.0,1.0
2018-01-02,10.14,10.14,10.055,10.07,10.07,36300,0.0,1.0
2018-01-03,10.07,10.1,10.04,10.06,10.06,359300,0.0,1.0
2018-01-04,10.06,10.08,10.04,10.06,10.06,31100,0.0,1.0
2018-01-05,10.08,10.1,10.05,10.07,10.07,415300,0.0,1.0
2018-01-08,10.06,10.09,10.06,10.07,10.07,169400,0.0,1.0
2018-01-09,10.08,10.08,10.03,10.05,10.05,109400,0.0,1.0
2018-01-10,10.08,10.09,10.05,10.06,10.06,1626400,0.0,1.0
2018-01-11,10.08,10.08,10.049,10.06,10.06,122500,0.0,1.0
2018-01-12,10.06,10.09,10.039,10.05,10.05,350800,0.0,1.0
2018-01-16,10.06,10.11,10.05,10.06,10.06,272300,0.0,1.0
2018-01-17,10.05,10.09,10.01,10.03,10.03,95700,0.0,1.0
2018-01-18,10.04,10.1001,10.03,10.05,10.05,170400,0.0,1.0
2018-01-19,10.09,10.09,10.04,10.06,10.06,296700,0.0,1.0
2018-01-22,10.08,10.08,10.04,10.08,10.08,135800,0.0,1.0
2018-01-23,10.08,10.09,10.0,10.08,10.08,471400,0.0,1.0
2018-01-24,10.1,10.1,10.04,10.065,10.065,70800,0.0,1.0
2018-01-25,10.074,10.079,10.03,10.05,10.05,214600,0.0,1.0
2018-01-26,10.03,10.0697,10.03,10.06,10.06,131200,0.0,1.0
2018-01-29,10.05,10.08,10.04,10.06,10.06,67000,0.0,1.0
2018-01-30,10.06,10.07,10.01,10.05,10.05,135300,0.0,1.0
2018-01-31,10.09,10.09,10.04,10.06,10.06,42800,0.0,1.0
2018-02-01,10.05,10.08,10.05,10.07,10.07,59500,0.0,1.0
2018-02-02,10.08,10.08,10.0,10.04,10.04,68300,0.0,1.0
2018-02-05,10.05,10.05,10.0,10.0,10.0,215600,0.0,1.0
2018-02-06,9.97,10.01,9.97,9.99,9.99,152200,0.0,1.0
2018-02-07,9.99,10.0461,9.97,10.0,10.0,173000,0.0,1.0
2018-02-08,9.98,10.02,9.9789,10.0,10.0,73800,0.0,1.0
2018-02-09,10.04,10.0408,9.95,9.96,9.96,115900,0.0,1.0
2018-02-12,10.02,10.04,9.9604,9.98,9.98,49200,0.0,1.0
2018-02-13,9.9901,10.01,9.98,10.0,10.0,57200,0.0,1.0
2018-02-14,10.0,10.0,9.975,9.98,9.98,47100,0.0,1.0
2018-02-15,10.01,10.05,9.98,9.98,9.98,33200,0.0,1.0
2018-02-16,9.99,10.0,9.978,10.0,10.0,19400,0.0,1.0
2018-02-20,10.0,10.03,10.0,10.01,10.01,113600,0.0,1.0
2018-02-21,10.03,10.03,9.96,10.0,10.0,54800,0.0,1.0
2018-02-22,10.02,10.11,10.0099,10.02,10.02,79700,0.0,1.0
2018-02-23,10.02,10.03,10.0,10.02,10.02,89800,0.0,1.0
2018-02-26,10.05,10.1,10.012,10.03,10.03,94800,0.0,1.0
2018-02-27,10.06,10.07,10.02,10.02,10.02,18300,0.0,1.0
2018-02-28,10.06,10.06,10.01,10.05,10.05,51500,0.0,1.0
2018-03-01,10.05,10.06,10.02,10.06,10.06,23200,0.0,1.0
2018-03-02,10.03,10.0604,10.03,10.05,10.05,39200,0.0,1.0
2018-03-05,10.06,10.06,10.02,10.04,10.04,31900,0.0,1.0
2018-03-06,10.03,10.05,10.0,10.03,10.03,80000,0.0,1.0
2018-03-07,10.02,10.05,10.0,10.04,10.04,84200,0.0,1.0
2018-03-08,10.04,10.04,9.99,10.03,10.03,48600,0.0,1.0
2018-03-09,10.02,10.04,10.02,10.03,10.03,38500,0.0,1.0
2018-03-12,10.03,10.14,9.99,10.01,10.01,338400,0.0,1.0
2018-03-13,10.04,10.05,9.995,10.0,10.0,34800,0.0,1.0
2018-03-14,10.04,10.04,9.99,10.03,10.03,445400,0.0,1.0
2018-03-15,10.02,10.04,10.0,10.04,10.04,19900,0.0,1.0
2018-03-16,10.05,10.06,10.02,10.04,10.04,39300,0.0,1.0
2018-03-19,10.05,10.09,9.99,10.01,10.01,83600,0.0,1.0
2018-03-20,10.01,10.0494,10.01,10.05,10.05,36100,0.0,1.0
2018-03-21,10.05,10.0602,10.02,10.06,10.06,38600,0.0,1.0
2018-03-22,10.05,10.06,10.024,10.05,10.05,84400,0.0,1.0
2018-03-23,10.06,10.067,10.02,10.06,10.06,234800,0.0,1.0
2018-03-26,10.01,10.08,10.01,10.08,10.08,104500,0.0,1.0
2018-03-27,10.1,10.1,10.045,10.07,10.07,44200,0.0,1.0
2018-03-28,10.07,10.08,10.025,10.05,10.05,38600,0.0,1.0
2018-03-29,10.05,10.06,10.025,10.03,10.03,46300,0.0,1.0
2018-04-02,10.03,10.06,10.01,10.03,10.03,75300,0.0,1.0
2018-04-03,10.0,10.05,9.999,10.03,10.03,227700,0.0,1.0
2018-04-04,10.05,10.07,10.03,10.04,10.04,114600,0.0,1.0
2018-04-05,10.0495,10.07,10.04,10.07,10.07,187300,0.0,1.0
2018-04-06,10.03,10.066,10.03,10.06,10.06,13200,0.0,1.0
2018-04-09,10.041,10.08,10.0399,10.04,10.04,11000,0.0,1.0
2018-04-10,10.06,10.08,10.0401,10.05,10.05,35600,0.0,1.0
2018-04-11,10.04,10.06,10.04,10.05,10.05,17300,0.0,1.0
2018-04-12,10.04,10.05,10.03,10.04,10.04,18800,0.0,1.0
2018-04-13,10.05,10.0706,10.03,10.05,10.05,154300,0.0,1.0
2018-04-16,10.02,10.08,10.02,10.04,10.04,952800,0.0,1.0
2018-04-17,10.06,10.068,10.02,10.05,10.05,148200,0.0,1.0
2018-04-18,10.04,10.05,10.03,10.04,10.04,19200,0.0,1.0
2018-04-19,10.03,10.04,10.01,10.04,10.04,33300,0.0,1.0
2018-04-20,10.02,10.05,10.02,10.04,10.04,90700,0.0,1.0
2018-04-23,10.04,10.04,10.01,10.02,10.02,1087800,0.0,1.0
2018-04-24,10.03,10.04,10.01,10.04,10.04,298200,0.0,1.0
