timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,29.0,29.0,28.813,28.813,15.7615,900,0.0,1.0
1999-09-14,28.813,28.875,28.813,28.875,15.7957,400,0.0,1.0
1999-09-15,28.813,28.813,28.813,28.813,15.7615,200,0.0,1.0
1999-09-16,28.75,28.75,28.5,28.5,15.5905,5400,0.0,1.0
1999-09-17,28.438,28.438,28.125,28.125,15.3854,1500,0.0,1.0
1999-09-20,28.063,28.063,28.063,28.063,15.3512,800,0.0,1.0
1999-09-21,28.063,28.063,27.625,27.625,15.1119,8900,0.0,1.0
1999-09-22,27.625,27.688,27.2517,27.688,15.1461,33300,0.0,1.0
1999-09-23,27.625,27.625,27.438,27.438,15.0093,4300,0.0,1.0
1999-09-24,27.5,27.5,27.4371,27.438,15.0093,300,0.0,1.0
1999-09-27,27.5,28.0,27.5,28.0,15.317,15700,0.0,1.0
1999-09-28,28.0,28.0,27.813,27.813,15.2144,5600,0.0,1.0
1999-09-29,27.875,27.938,27.75,27.75,15.1802,5300,0.0,1.0
1999-09-30,27.875,28.125,27.875,28.125,15.3854,3300,0.0,1.0
1999-10-01,28.0,28.0,27.9353,28.0,15.317,15300,0.0,1.0
1999-10-04,28.063,28.125,28.063,28.125,15.3854,1100,0.0,1.0
1999-10-05,28.063,28.063,27.625,27.625,15.1119,5100,0.0,1.0
1999-10-06,27.6885,27.688,27.688,27.688,15.1461,100,0.0,1.0
1999-10-07,27.75,28.313,27.75,28.188,15.4196,10200,0.0,1.0
1999-10-08,28.625,28.625,28.5,28.5,15.5905,6100,0.0,1.0
1999-10-11,28.625,28.625,28.563,28.563,15.6247,1300,0.0,1.0
1999-10-12,28.375,28.375,28.188,28.188,15.4196,4700,0.0,1.0
1999-10-13,28.25,28.438,28.25,28.375,15.5221,7800,0.0,1.0
1999-10-14,28.313,28.438,28.313,28.438,15.5563,5100,0.0,1.0
1999-10-15,28.375,28.375,27.875,28.0,15.317,7700,0.0,1.0
1999-10-18,27.875,27.875,27.875,27.875,15.2486,2400,0.0,1.0
1999-10-19,28.0,28.188,28.0,28.063,15.3512,5500,0.0,1.0
1999-10-20,28.125,28.313,28.125,28.313,15.4879,2800,0.0,1.0
1999-10-21,28.313,28.563,28.313,28.563,15.6247,7400,0.0,1.0
1999-10-22,28.688,29.938,28.688,29.938,16.3769,15200,0.0,1.0
1999-10-25,29.875,29.875,29.5,29.813,16.3085,7000,0.0,1.0
1999-10-26,29.9385,29.938,29.813,29.938,16.3769,6700,0.0,1.0
1999-10-27,29.875,29.875,29.5,29.688,16.2401,2700,0.0,1.0
1999-10-28,29.875,30.063,29.875,30.063,16.4453,800,0.0,1.0
