timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2013-08-13,8.0,8.5,7.9004,8.45,5.277,879100,0.0,1.0
2013-08-14,8.25,8.3896,8.22,8.35,5.2146,30000,0.0,1.0
2013-08-15,8.2493,8.35,8.105,8.2,5.1209,78900,0.0,1.0
2013-08-16,8.2,8.3502,8.2,8.3,5.1833,27600,0.0,1.0
2013-08-19,8.35,8.5,8.25,8.3,5.1833,20900,0.0,1.0
2013-08-20,8.3202,8.4,8.26,8.3,5.1833,27400,0.0,1.0
2013-08-21,8.5,8.5,8.19,8.3,5.1833,13400,0.0,1.0
2013-08-22,8.45,8.45,8.1,8.315,5.1833,5100,0.0,1.0
2013-08-23,8.0,8.45,8.0,8.36,5.2208,3800,0.0,1.0
2013-08-26,8.4,8.4,8.3,8.324,5.2146,5700,0.0,1.0
2013-08-27,8.3,8.35,8.3,8.3,5.1833,300,0.0,1.0
2013-08-28,8.316,8.4,8.28,8.35,5.2458,900,0.0,1.0
2013-08-29,8.3008,8.31,8.1,8.243,5.0772,1100,0.0,1.0
2013-08-30,8.11,8.4,8.05,8.3,5.2802,1800,0.053,1.0
2013-09-03,8.23,8.26,8.17,8.26,5.1356,100,0.0,1.0
2013-09-04,8.34,8.4,8.211,8.31,5.2236,3600,0.0,1.0
2013-09-05,8.42,8.42,8.31,8.35,5.2488,200,0.0,1.0
2013-09-06,8.42,8.42,8.051,8.18,5.1419,3800,0.0,1.0
2013-09-09,8.07,8.45,8.07,8.45,5.3116,2400,0.0,1.0
2013-09-10,8.45,8.45,8.29,8.43,5.3116,4900,0.0,1.0
2013-09-11,8.4002,8.45,8.386,8.45,5.3116,1700,0.0,1.0
2013-09-12,8.449,8.45,8.323,8.44,5.3116,200,0.0,1.0
2013-09-13,8.4,8.44,8.3763,8.4,5.2802,100,0.0,1.0
2013-09-16,8.38,8.41,8.2902,8.35,5.2299,400,0.0,1.0
2013-09-17,8.4,8.43,8.2,8.21,5.1608,7500,0.0,1.0
2013-09-18,8.21,8.31,8.11,8.255,5.1859,13700,0.0,1.0
2013-09-19,8.32,8.45,8.2418,8.29,5.2173,2800,0.0,1.0
2013-09-20,8.29,8.3,8.14,8.14,5.1168,11800,0.0,1.0
2013-09-23,8.145,8.39,8.1448,8.26,5.1922,6700,0.0,1.0
2013-09-24,8.21,8.36,8.21,8.33,5.2362,4500,0.0,1.0
2013-09-25,8.4,8.4291,8.32,8.32,5.2299,6900,0.0,1.0
2013-09-26,8.31,8.39,8.28,8.28,5.2381,500,0.053,1.0
2013-09-27,8.25,8.36,8.24,8.26,5.2381,100,0.0,1.0
2013-09-30,8.25,8.3,8.231,8.25,5.2381,400,0.0,1.0
2013-10-01,8.26,8.35,8.26,8.26,5.2381,0,0.0,1.0
2013-10-02,8.3,8.41,8.26,8.26,5.2508,800,0.0,1.0
2013-10-03,8.33,8.37,8.28,8.3,5.2951,1200,0.0,1.0
2013-10-04,8.2799,8.4,8.28,8.33,5.2761,1000,0.0,1.0
2013-10-07,8.37,8.37,8.28,8.29,5.2445,2300,0.0,1.0
2013-10-08,8.3,8.3426,8.25,8.261,5.2192,7100,0.0,1.0
2013-10-09,8.27,8.296,8.25,8.296,5.2192,200,0.0,1.0
2013-10-10,8.26,8.392,8.26,8.3,5.2698,1200,0.0,1.0
2013-10-11,8.3599,8.37,8.31,8.32,5.2887,100,0.0,1.0
2013-10-14,8.3106,8.39,8.3,8.31,5.2634,1300,0.0,1.0
2013-10-15,8.36,8.39,8.3103,8.31,5.2571,900,0.0,1.0
2013-10-16,8.36,8.52,8.36,8.48,5.3647,3200,0.0,1.0
2013-10-17,8.5,8.5,8.41,8.5,5.333,200,0.0,1.0
2013-10-18,8.5,8.5,8.45,8.46,5.3773,200,0.0,1.0
2013-10-21,8.45,8.5,8.41,8.47,5.3583,10300,0.0,1.0
2013-10-22,8.5,8.5,8.4,8.5,5.3773,100,0.0,1.0
2013-10-23,8.5,8.55,8.48,8.5,5.3773,1400,0.0,1.0
2013-10-24,8.55,8.69,8.52,8.6,5.4406,8700,0.0,1.0
2013-10-25,8.577,8.74,8.55,8.7,5.4406,0,0.0,1.0
2013-10-28,8.72,8.75,8.62,8.62,5.4532,5200,0.0,1.0
2013-10-29,8.6,8.65,8.56,8.59,5.4742,6800,0.053,1.0
2013-10-30,8.6,8.65,8.505,8.65,5.4997,1200,0.0,1.0
2013-10-31,8.68,8.68,8.55,8.59,5.4742,6800,0.0,1.0
2013-11-01,8.61,8.74,8.58,8.61,5.4742,7500,0.0,1.0
2013-11-04,8.64,8.68,8.6,8.68,5.5061,1100,0.0,1.0
2013-11-05,8.75,8.75,8.626,8.63,5.5061,1400,0.0,1.0
2013-11-06,8.66,8.74,8.66,8.74,5.5061,0,0.0,1.0
2013-11-07,8.74,8.85,8.74,8.81,5.6334,2300,0.0,1.0
