timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,59.438,61.375,59.438,60.875,39.7563,4200,0.0,1.0
1999-09-14,61.0,61.0,60.5,60.5,39.5114,400,0.0,1.0
1999-09-15,61.5,62.5007,61.0,62.0,40.491,1200,0.0,1.0
1999-09-16,59.5,59.5,57.625,58.5,38.2053,255100,0.0,1.0
1999-09-17,60.5,60.625,60.5,60.5,39.5114,48400,0.0,1.0
1999-09-20,62.0,62.5,62.0,62.125,40.5727,11200,0.0,1.0
1999-09-21,64.063,64.063,62.8083,62.813,41.0217,11000,0.0,1.0
1999-09-22,63.0,63.0,62.25,62.5,40.8176,3900,0.0,1.0
1999-09-23,62.375,62.375,62.0,62.0,40.491,3300,0.0,1.0
1999-09-24,61.25,61.5,61.0058,61.5,40.1645,2000,0.0,1.0
1999-09-27,61.25,61.25,60.813,61.0,39.838,4500,0.0,1.0
1999-09-28,60.5,60.938,60.5,60.938,39.7971,800,0.0,1.0
1999-09-29,60.5,61.0,60.5,61.0,39.838,1500,0.0,1.0
1999-09-30,60.75,60.875,60.75,60.75,39.6747,11800,0.0,1.0
1999-10-01,60.5,60.5,60.0,60.5,39.5114,7800,0.0,1.0
1999-10-04,60.0,60.0,59.938,60.0,39.1849,13400,0.0,1.0
1999-10-05,58.625,58.625,58.375,58.5,38.2053,6700,0.0,1.0
1999-10-06,59.5,60.0,59.5,59.938,39.1441,3100,0.0,1.0
1999-10-07,59.9386,59.938,59.5,59.5,38.8583,1900,0.0,1.0
1999-10-08,59.4977,60.0,59.5,60.0,39.1849,11700,0.0,1.0
1999-10-11,59.7491,60.438,59.75,60.438,39.4706,1500,0.0,1.0
1999-10-12,60.438,60.438,59.75,60.0,39.1849,1400,0.0,1.0
1999-10-13,59.875,59.938,59.875,59.938,39.1441,900,0.0,1.0
1999-10-14,57.5,57.5,57.0,57.5,37.5522,2800,0.0,1.0
1999-10-15,57.5,58.0,57.5069,58.0,37.8787,2100,0.0,1.0
1999-10-18,48.3333,48.3333,48.3333,48.3333,37.8787,0,0.0,1.0
1999-10-19,58.375,58.375,58.0,58.0,37.8787,1800,0.0,1.0
1999-10-20,58.25,59.5,58.25,59.5,38.8583,5200,0.0,1.0
1999-10-21,59.25,60.438,59.25,60.25,39.3481,1000,0.0,1.0
1999-10-22,60.625,62.5,60.625,62.5,40.8176,3800,0.0,1.0
1999-10-25,62.5,64.0,62.5,63.875,41.7156,1200,0.0,1.0
1999-10-26,69.0,70.125,69.0,70.125,45.7973,3000,0.0,1.0
1999-10-27,68.188,68.1878,66.625,67.0,43.7565,3600,0.0,1.0
1999-10-28,67.5,67.75,67.0,67.75,44.2463,1400,0.0,1.0
1999-10-29,66.5,67.25,66.5,66.875,43.6748,2100,0.0,1.0
