timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-11-19,15.1,15.3,15.0,15.09,2.7246,114400,0.0,1.0
2001-11-20,15.09,15.09,14.9986,15.05,2.7174,88900,0.0,1.0
2001-11-21,15.09,15.09,15.0,15.0,2.7084,94000,0.0,1.0
2001-11-23,15.07,15.07,15.0,15.07,2.721,4600,0.0,1.0
2001-11-26,15.05,15.08,15.0,15.05,2.7174,56600,0.0,1.0
2001-11-27,15.02,15.07,15.0,15.02,2.712,76300,0.0,1.0
2001-11-28,15.06,15.07,15.0,15.03,2.7138,55900,0.0,1.0
2001-11-29,15.06,15.08,15.0,15.08,2.7228,64800,0.0,1.0
2001-11-30,15.09,15.1,15.02,15.09,2.7246,35200,0.0,1.0
2001-12-03,15.09,15.11,15.01,15.03,2.7138,52200,0.0,1.0
2001-12-04,15.06,15.15,15.04,15.15,2.7354,45600,0.0,1.0
2001-12-05,15.16,15.19,15.05,15.19,2.7427,50800,0.0,1.0
2001-12-06,15.2,15.2,15.01,15.09,2.7246,64900,0.0,1.0
2001-12-07,15.15,15.15,15.03,15.14,2.7336,59000,0.0,1.0
2001-12-10,15.2,15.2,15.01,15.13,2.7318,92700,0.0,1.0
2001-12-11,15.02,15.19,15.0204,15.11,2.7282,35800,0.0,1.0
2001-12-12,15.19,15.19,15.06,15.15,2.7354,37700,0.0,1.0
2001-12-13,15.1,15.18,15.0,15.02,2.712,59100,0.0,1.0
2001-12-14,15.02,15.11,15.01,15.01,2.7102,22800,0.0,1.0
2001-12-17,15.01,15.0884,15.0,15.0,2.7084,86000,0.0,1.0
2001-12-18,15.09,15.18,15.0,15.0,2.7084,32800,0.0,1.0
2001-12-19,15.0,15.09,15.0,15.0,2.7084,95500,0.0,1.0
2001-12-20,15.0,15.15,15.0,15.05,2.7174,82600,0.0,1.0
2001-12-21,15.04,15.13,15.0,15.05,2.7174,58000,0.0,1.0
2001-12-24,15.0,15.12,15.0,15.09,2.7246,60500,0.0,1.0
2001-12-26,15.01,15.1,15.0,15.0,2.7084,29800,0.0,1.0
2001-12-27,15.13,15.1311,15.0,15.05,2.7174,47400,0.0,1.0
2001-12-28,15.07,15.13,15.0,15.13,2.7318,19200,0.0,1.0
2001-12-31,15.13,15.1306,15.0,15.03,2.7138,35300,0.0,1.0
2002-01-02,15.1,15.1,15.0,15.0,2.7084,30100,0.0,1.0
2002-01-03,15.0,15.12,14.9999,15.09,2.7246,39000,0.0,1.0
2002-01-04,15.13,15.19,15.05,15.06,2.7192,54600,0.0,1.0
2002-01-07,15.24,15.24,15.02,15.12,2.73,77400,0.0,1.0
2002-01-08,15.2,15.4,15.19,15.21,2.7463,68900,0.0,1.0
2002-01-09,15.3,15.3,15.15,15.2,2.7445,73800,0.0,1.0
2002-01-10,15.2,15.25,15.05,15.15,2.7354,92500,0.0,1.0
2002-01-11,15.19,15.19,15.02,15.16,2.7578,75500,0.113,1.0
2002-01-14,15.19,15.19,15.04,15.1,2.7469,76700,0.0,1.0
2002-01-15,15.16,15.18,15.04,15.09,2.7451,55100,0.0,1.0
2002-01-16,15.06,15.19,15.01,15.15,2.756,61200,0.0,1.0
2002-01-17,15.02,15.18,15.02,15.03,2.7342,71500,0.0,1.0
2002-01-18,15.09,15.17,15.02,15.13,2.7524,70800,0.0,1.0
2002-01-22,15.16,15.17,15.06,15.17,2.7596,71500,0.0,1.0
2002-01-23,15.19,15.2,15.07,15.16,2.7578,90700,0.0,1.0
2002-01-24,15.08,15.16,15.01,15.08,2.7433,103000,0.0,1.0
2002-01-25,15.02,15.14,15.02,15.06,2.7396,47600,0.0,1.0
2002-01-28,15.1,15.14,15.01,15.08,2.7433,89300,0.0,1.0
2002-01-29,15.1,15.1,15.01,15.08,2.7433,64900,0.0,1.0
2002-01-30,15.1,15.14,15.04,15.09,2.7451,46400,0.0,1.0
2002-01-31,15.14,15.14,15.01,15.07,2.7414,72000,0.0,1.0
2002-02-01,15.09,15.13,15.03,15.12,2.7505,44600,0.0,1.0
2002-02-04,15.16,15.29,15.06,15.28,2.7796,75600,0.0,1.0
2002-02-05,15.29,15.38,15.16,15.29,2.7815,91000,0.0,1.0
2002-02-06,15.29,15.3,15.17,15.21,2.7669,35800,0.0,1.0
2002-02-07,15.24,15.27,15.16,15.2,2.7651,81100,0.0,1.0
2002-02-08,15.27,15.44,15.17,15.34,2.7906,79900,0.0,1.0
2002-02-11,15.3801,15.39,15.15,15.25,2.7742,98200,0.0,1.0
2002-02-12,15.25,15.35,15.18,15.2,2.7651,76300,0.0,1.0
2002-02-13,15.15,15.19,15.09,15.12,2.7711,91700,0.113,1.0
2002-02-14,15.25,15.3,15.13,15.2,2.7858,86700,0.0,1.0
2002-02-15,15.16,15.2,15.0,15.1,2.7675,94000,0.0,1.0
2002-02-19,15.14,15.1497,15.02,15.04,2.7565,101100,0.0,1.0
2002-02-20,15.14,15.14,14.98,15.02,2.7528,90500,0.0,1.0
2002-02-21,15.02,15.05,14.77,14.87,2.7253,89900,0.0,1.0
2002-02-22,14.9,14.94,14.75,14.92,2.7345,80500,0.0,1.0
2002-02-25,14.86,14.92,14.78,14.84,2.7198,118800,0.0,1.0
2002-02-26,14.85,15.08,14.79,15.07,2.762,81600,0.0,1.0
