timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-08-01,19.0,19.02,19.0,19.0,6.6587,27200,0.0,1.0
2007-08-02,19.0,19.01,19.0,19.0,6.6587,13800,0.0,1.0
2007-08-03,19.0,19.01,19.0,19.01,6.6622,9900,0.0,1.0
2007-08-06,19.0,19.01,19.0,19.0,6.6587,43600,0.0,1.0
2007-08-07,19.0,19.01,19.0,19.0,6.6587,24400,0.0,1.0
2007-08-08,19.01,19.2,19.0,19.2,6.7288,17500,0.0,1.0
2007-08-09,19.0,19.3,19.0,19.01,6.6622,24300,0.0,1.0
2007-08-10,19.01,19.01,19.0,19.0,6.6587,32200,0.0,1.0
2007-08-13,18.9,19.0109,18.75,19.0,6.6587,18600,0.0,1.0
2007-08-14,18.85,19.0,18.7,18.75,6.5711,46200,0.0,1.0
2007-08-15,18.75,18.75,18.4998,18.5,6.4835,76100,0.0,1.0
2007-08-16,18.45,18.45,16.0,16.85,5.9052,165100,0.0,1.0
2007-08-17,16.7008,17.25,16.61,17.0,5.9578,33300,0.0,1.0
2007-08-20,17.0,17.6,17.0,17.55,6.1505,36600,0.0,1.0
2007-08-21,17.7,17.9993,17.07,17.9,6.2732,37200,0.0,1.0
2007-08-22,18.1,18.6,18.0,18.3,6.4134,20000,0.0,1.0
2007-08-23,18.4,18.59,18.25,18.5,6.4835,24000,0.0,1.0
2007-08-24,18.6,18.7,18.4988,18.7,6.5535,4200,0.0,1.0
2007-08-27,18.55,18.64,18.2,18.2,6.3783,19300,0.0,1.0
2007-08-28,18.15,18.34,17.71,17.85,6.2557,22300,0.0,1.0
2007-08-29,17.75,17.95,17.51,17.52,6.14,22800,0.0,1.0
2007-08-30,17.32,17.6,17.03,17.03,5.9683,30200,0.0,1.0
2007-08-31,17.12,17.83,17.12,17.4,6.0979,33500,0.0,1.0
2007-09-04,17.28,17.55,17.25,17.43,6.1085,24500,0.0,1.0
2007-09-05,17.4,17.65,17.32,17.64,6.1821,14200,0.0,1.0
2007-09-06,17.85,18.0,17.65,17.8,6.2381,24100,0.0,1.0
2007-09-07,17.75,17.79,17.5,17.74,6.2171,19200,0.0,1.0
2007-09-10,17.73,17.73,17.48,17.53,6.1435,17900,0.0,1.0
2007-09-11,17.7,17.73,17.45,17.52,6.14,41000,0.0,1.0
2007-09-12,17.06,17.095,16.81,16.97,6.088,34500,0.405,1.0
2007-09-13,17.02,17.03,16.8,16.93,6.0736,39900,0.0,1.0
2007-09-14,16.82,16.93,16.72,16.73,6.0019,29500,0.0,1.0
2007-09-17,16.8,16.8,16.4,16.41,5.8871,37400,0.0,1.0
2007-09-18,16.45,16.93,16.35,16.85,6.0449,44600,0.0,1.0
2007-09-19,17.05,17.27,17.05,17.27,6.1956,48300,0.0,1.0
2007-09-20,17.21,17.25,16.838,17.07,6.1239,50100,0.0,1.0
2007-09-21,17.0888,17.16,16.75,17.05,6.1167,44900,0.0,1.0
2007-09-24,17.04,17.0381,16.72,16.82,6.0342,44000,0.0,1.0
2007-09-25,16.7291,17.18,16.73,17.11,6.1382,61000,0.0,1.0
2007-09-26,17.09,17.19,17.01,17.15,6.1526,24800,0.0,1.0
2007-09-27,17.3,17.44,17.1904,17.38,6.2351,27300,0.0,1.0
2007-09-28,17.2,17.449,17.15,17.35,6.2243,75500,0.0,1.0
2007-10-01,17.4,17.54,17.26,17.52,6.2853,41300,0.0,1.0
2007-10-02,17.55,17.7,17.4,17.51,6.2817,33500,0.0,1.0
2007-10-03,17.48,17.653,17.47,17.58,6.3068,26700,0.0,1.0
2007-10-04,17.57,17.57,17.28,17.4,6.2422,19600,0.0,1.0
2007-10-05,17.5,17.6,17.39,17.4,6.2422,22200,0.0,1.0
2007-10-08,17.4,17.59,17.02,17.59,6.3104,32000,0.0,1.0
2007-10-09,17.54,17.69,17.39,17.62,6.3212,26500,0.0,1.0
2007-10-10,17.65,17.74,17.42,17.48,6.2709,26000,0.0,1.0
2007-10-11,17.45,17.61,17.1,17.11,6.1382,46800,0.0,1.0
2007-10-12,17.1497,17.44,17.11,17.33,6.2171,28000,0.0,1.0
2007-10-15,17.24,17.318,16.995,16.995,6.0987,27600,0.0,1.0
2007-10-16,16.85,16.99,16.7,16.85,6.0449,28900,0.0,1.0
2007-10-17,16.91,17.01,16.66,16.76,6.0126,29700,0.0,1.0
2007-10-18,16.71,16.9,16.5096,16.9,6.0629,54000,0.0,1.0
2007-10-19,16.8,16.85,16.55,16.59,5.9517,34300,0.0,1.0
2007-10-22,16.51,16.61,16.15,16.22,5.8189,55500,0.0,1.0
2007-10-23,16.18,16.44,16.18,16.39,5.8799,56600,0.0,1.0
2007-10-24,16.24,16.45,16.18,16.31,5.8512,34800,0.0,1.0
2007-10-25,16.35,16.45,16.26,16.35,5.8656,32100,0.0,1.0
2007-10-26,16.55,16.64,16.22,16.54,5.9337,76200,0.0,1.0
2007-10-29,16.5,16.62,16.3203,16.58,5.9481,71700,0.0,1.0
2007-10-30,16.4,16.69,16.32,16.35,5.8656,42400,0.0,1.0
2007-10-31,16.35,16.7,16.35,16.67,5.9804,61900,0.0,1.0
2007-11-01,16.5,16.6602,16.4,16.46,5.905,46800,0.0,1.0
2007-11-02,16.44,16.62,16.41,16.59,5.9517,46300,0.0,1.0
2007-11-05,16.4906,16.49,16.3,16.38,5.8763,39900,0.0,1.0
2007-11-06,16.36,16.42,16.24,16.41,5.8871,47400,0.0,1.0
2007-11-07,16.34,16.34,16.01,16.02,5.7472,67600,0.0,1.0
2007-11-08,16.0,16.24,15.7308,15.85,5.6862,85300,0.0,1.0
2007-11-09,15.8,15.95,15.5,15.85,5.6862,53200,0.0,1.0
2007-11-12,15.5002,15.89,15.5,15.71,5.636,53900,0.0,1.0
2007-11-13,15.8,16.05,15.63,16.05,5.7579,56700,0.0,1.0
2007-11-14,16.09,16.13,15.79,15.79,5.6647,49200,0.0,1.0
2007-11-15,15.73,15.95,15.57,15.69,5.6288,63800,0.0,1.0
2007-11-16,15.75,15.78,15.62,15.73,5.6431,37000,0.0,1.0
2007-11-19,15.62,15.77,15.368,15.71,5.636,93800,0.0,1.0
2007-11-20,15.7,15.95,15.46,15.84,5.6826,51700,0.0,1.0
2007-11-21,15.65,15.85,15.57,15.75,5.6503,64600,0.0,1.0
2007-11-23,15.79,15.94,15.71,15.92,5.7113,37600,0.0,1.0
2007-11-26,16.05,16.07,15.45,15.7,5.6324,137500,0.0,1.0
2007-11-27,15.66,15.7,15.5,15.57,5.5857,113100,0.0,1.0
2007-11-28,15.65,15.95,15.65,15.82,5.6754,133200,0.0,1.0
2007-11-29,15.85,16.11,15.7,16.04,5.7543,73000,0.0,1.0
2007-11-30,16.07,16.34,16.05,16.13,5.7866,61400,0.0,1.0
2007-12-03,16.1,16.18,16.0,16.1,5.7759,132400,0.0,1.0
2007-12-04,16.15,16.17,15.94,16.02,5.7472,58900,0.0,1.0
2007-12-05,16.12,16.35,16.12,16.29,5.844,74600,0.0,1.0
2007-12-06,16.2,16.55,16.19,16.41,5.8871,51300,0.0,1.0
2007-12-07,16.4,16.67,16.4009,16.43,5.8943,84500,0.0,1.0
2007-12-10,16.6494,16.95,16.6,16.88,6.0557,86800,0.0,1.0
2007-12-11,17.0,17.25,16.71,16.74,6.0055,134600,0.0,1.0
2007-12-12,16.6,16.7,16.29,16.61,6.1066,115200,0.405,1.0
2007-12-13,16.45,16.57,16.26,16.54,6.0808,100800,0.0,1.0
2007-12-14,16.37,16.61,16.3,16.39,6.0257,101600,0.0,1.0
2007-12-17,16.35,16.47,15.88,16.36,6.0147,91700,0.0,1.0
2007-12-18,16.37,16.375,15.87,16.05,5.9007,102200,0.0,1.0
2007-12-19,16.1,16.1,15.86,15.88,5.8382,63600,0.0,1.0
2007-12-20,15.87,15.96,15.4,15.5,5.6985,136600,0.0,1.0
2007-12-21,15.56,15.83,15.48,15.68,5.7647,144000,0.0,1.0
2007-12-24,16.6,17.4504,15.98,16.66,6.125,248800,0.0,1.0
2007-12-26,16.75,16.98,16.4,16.55,6.0845,148800,0.0,1.0
2007-12-27,16.7,16.8,16.4306,16.5,6.0661,197600,0.0,1.0
2007-12-28,16.51,16.51,16.25,16.29,5.9889,107000,0.0,1.0
2007-12-31,16.35,16.69,16.25,16.33,6.0036,177300,0.0,1.0
2008-01-02,16.42,16.58,16.3,16.5,6.0661,33000,0.0,1.0
2008-01-03,16.55,16.85,16.52,16.85,6.1948,30500,0.0,1.0
2008-01-04,16.85,16.85,16.55,16.59,6.0992,31000,0.0,1.0
2008-01-07,16.75,16.75,16.35,16.38,6.022,34600,0.0,1.0
2008-01-08,16.48,16.78,16.43,16.46,6.0514,45000,0.0,1.0
2008-01-09,16.56,16.66,16.3,16.59,6.0992,27300,0.0,1.0
2008-01-10,16.45,16.95,16.4,16.9,6.2132,26300,0.0,1.0
2008-01-11,16.85,16.96,16.6697,16.88,6.2058,25300,0.0,1.0
2008-01-14,16.96,17.1586,16.8,16.85,6.1948,35600,0.0,1.0
2008-01-15,16.6992,16.73,16.45,16.6,6.1029,9900,0.0,1.0
2008-01-16,16.5789,16.69,16.3,16.3,5.9926,35400,0.0,1.0
2008-01-17,16.4,16.48,16.05,16.05,5.9007,40700,0.0,1.0
2008-01-18,16.1,16.17,15.7,15.72,5.7794,32300,0.0,1.0
2008-01-22,15.5,15.51,15.1,15.2,5.5882,102400,0.0,1.0
2008-01-23,15.02,15.49,14.85,15.47,5.6875,47200,0.0,1.0
2008-01-24,15.75,15.99,15.63,15.99,5.8786,46700,0.0,1.0
2008-01-25,16.07,16.17,15.9904,16.0,5.8823,39600,0.0,1.0
2008-01-28,16.02,16.24,15.92,16.08,5.9117,34100,0.0,1.0
2008-01-29,16.13,16.34,16.13,16.29,5.9889,29200,0.0,1.0
2008-01-30,16.35,16.6,16.24,16.43,6.0404,34400,0.0,1.0
2008-01-31,16.1,16.72,16.1,16.72,6.147,48500,0.0,1.0
2008-02-01,16.7294,17.03,16.66,17.0,6.25,27200,0.0,1.0
