timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,14.7493,14.875,14.75,14.75,7.5387,28900,0.0,1.0
1999-09-14,14.188,14.4376,14.188,14.438,7.379,20000,0.0,1.0
1999-09-15,14.25,14.313,14.188,14.25,7.2831,17700,0.0,1.0
1999-09-16,13.75,13.75,13.4381,13.5,6.8998,33100,0.0,1.0
1999-09-17,13.688,13.75,13.626,13.75,7.0276,12800,0.0,1.0
1999-09-20,13.813,13.9375,13.813,13.813,7.0595,21200,0.0,1.0
1999-09-21,14.1236,14.188,13.875,13.938,7.1234,30600,0.0,1.0
1999-09-22,14.0,14.0,13.688,13.813,7.0595,5600,0.0,1.0
1999-09-23,13.875,13.938,13.625,13.688,6.9956,12300,0.0,1.0
1999-09-24,13.563,13.563,13.125,13.313,6.804,12200,0.0,1.0
1999-09-27,13.063,13.188,13.063,13.125,6.7082,41300,0.0,1.0
1999-09-28,13.0,13.0633,12.688,12.813,6.5484,43200,0.0,1.0
1999-09-29,12.375,12.688,12.373,12.438,6.3568,28200,0.0,1.0
1999-09-30,12.125,12.688,12.063,12.5,6.3887,28700,0.0,1.0
1999-10-01,12.6247,12.625,12.5,12.563,6.4207,21200,0.0,1.0
1999-10-04,12.438,12.5,12.25,12.438,6.3568,7000,0.0,1.0
1999-10-05,12.375,12.375,12.0,12.0,6.1332,28500,0.0,1.0
1999-10-06,13.0,13.0,12.563,12.563,6.4207,29900,0.0,1.0
1999-10-07,12.875,13.0,12.813,12.938,6.6123,18400,0.0,1.0
1999-10-08,12.813,12.875,12.625,12.688,6.4845,7700,0.0,1.0
1999-10-11,12.688,12.688,12.313,12.313,6.2929,20500,0.0,1.0
1999-10-12,12.75,12.75,12.3131,12.5,6.3887,24200,0.0,1.0
1999-10-13,12.5,12.625,12.313,12.625,6.4526,19200,0.0,1.0
1999-10-14,12.625,12.938,12.625,12.938,6.6123,28200,0.0,1.0
1999-10-15,12.563,12.688,12.3748,12.5,6.3887,17400,0.0,1.0
1999-10-18,12.125,12.25,12.0,12.063,6.1651,13300,0.0,1.0
1999-10-19,12.125,12.313,12.0,12.188,6.229,12100,0.0,1.0
1999-10-20,12.438,12.563,12.375,12.563,6.4207,12000,0.0,1.0
1999-10-21,12.375,12.375,12.188,12.188,6.229,5200,0.0,1.0
1999-10-22,12.375,12.438,12.313,12.375,6.3248,10000,0.0,1.0
1999-10-25,12.25,12.25,12.0,12.063,6.1651,15800,0.0,1.0
1999-10-26,12.063,12.188,12.063,12.125,6.1971,7300,0.0,1.0
1999-10-27,12.125,12.1869,12.063,12.188,6.229,7500,0.0,1.0
1999-10-28,12.5,12.688,12.5,12.5,6.3887,11500,0.0,1.0
1999-10-29,12.75,12.875,12.75,12.75,6.5165,8100,0.0,1.0
1999-11-01,13.188,13.375,13.125,13.375,6.8359,20500,0.0,1.0
1999-11-02,13.5,13.625,13.438,13.5,6.8998,38800,0.0,1.0
1999-11-03,13.438,13.5,13.375,13.5,6.8998,23400,0.0,1.0
1999-11-04,13.625,13.938,13.625,13.938,7.1234,30100,0.0,1.0
1999-11-05,14.0,14.125,13.938,14.0,7.1554,60900,0.0,1.0
1999-11-08,13.75,13.875,13.75,13.75,7.0276,15700,0.0,1.0
1999-11-09,14.188,14.313,14.188,14.25,7.2831,52900,0.0,1.0
1999-11-10,14.313,14.375,14.2502,14.375,7.347,31600,0.0,1.0
1999-11-11,14.438,14.75,14.438,14.688,7.5067,47500,0.0,1.0
1999-11-12,14.938,15.0,14.813,14.875,7.6026,36700,0.0,1.0
1999-11-15,14.875,15.0,14.688,15.0,7.6665,14200,0.0,1.0
1999-11-16,15.313,15.313,15.125,15.313,7.8262,43000,0.0,1.0
1999-11-17,14.625,14.8129,14.625,14.625,7.4748,31900,0.0,1.0
1999-11-18,14.688,14.688,14.5,14.688,7.5067,23200,0.0,1.0
1999-11-19,14.75,14.875,14.688,14.875,7.6026,37100,0.0,1.0
1999-11-22,14.563,14.688,14.5623,14.688,7.5067,25400,0.0,1.0
1999-11-23,14.25,14.5,14.25,14.438,7.379,23600,0.0,1.0
1999-11-24,14.375,14.5,14.313,14.438,7.379,16200,0.0,1.0
1999-11-26,14.313,14.438,14.25,14.313,7.3151,11000,0.0,1.0
1999-11-29,14.563,14.625,14.5,14.563,7.4429,26700,0.0,1.0
1999-11-30,14.688,14.875,14.625,14.813,7.5706,38600,0.0,1.0
1999-12-01,14.938,15.188,14.938,15.0,7.6665,21000,0.0,1.0
1999-12-02,14.688,14.813,14.625,14.813,7.5706,12300,0.0,1.0
1999-12-03,14.75,15.125,14.75,14.938,7.6345,16500,0.0,1.0
1999-12-06,15.25,15.313,15.125,15.188,7.7623,23600,0.0,1.0
1999-12-07,15.25,15.5,15.25,15.5,7.922,27200,0.0,1.0
1999-12-08,15.5,15.625,15.3744,15.375,7.8581,26400,0.0,1.0
1999-12-09,15.313,15.438,15.125,15.313,7.8262,20300,0.0,1.0
1999-12-10,15.625,15.688,15.563,15.688,8.0178,37500,0.0,1.0
1999-12-13,15.5,15.6888,15.5,15.688,8.0178,14600,0.0,1.0
1999-12-14,15.5,15.5,15.375,15.438,7.8901,17100,0.0,1.0
1999-12-15,15.125,15.188,14.875,15.188,7.7623,53300,0.0,1.0
1999-12-16,15.0,15.188,14.875,14.938,7.6345,18600,0.0,1.0
1999-12-17,15.063,15.063,14.813,15.0,7.6665,19800,0.0,1.0
1999-12-20,15.188,15.75,15.188,15.625,7.9859,28500,0.0,1.0
1999-12-21,16.125,16.125,15.938,16.063,8.2095,42900,0.0,1.0
1999-12-22,16.375,16.438,16.063,16.063,8.2095,49800,0.0,1.0
1999-12-23,16.25,16.375,16.25,16.375,8.3692,19200,0.0,1.0
1999-12-27,16.563,16.875,16.5,16.875,8.6248,45300,0.0,1.0
1999-12-28,16.875,16.875,16.688,16.813,8.5928,12500,0.0,1.0
1999-12-29,16.813,17.0,16.75,17.0,8.6887,16700,0.0,1.0
1999-12-30,16.875,16.875,16.688,16.75,8.5609,15300,0.0,1.0
1999-12-31,16.688,17.0,16.688,17.0,8.6887,4400,0.0,1.0
2000-01-03,17.125,17.4996,17.0,17.375,8.8803,31700,0.0,1.0
2000-01-04,17.125,17.188,16.5,16.5,8.4331,31600,0.0,1.0
2000-01-05,16.375,16.75,16.063,16.75,8.5609,34900,0.0,1.0
2000-01-06,16.25,16.313,16.0,16.25,8.3053,21600,0.0,1.0
2000-01-07,16.25,16.875,16.25,16.875,8.6248,26900,0.0,1.0
2000-01-10,17.438,17.5,17.188,17.188,8.7845,29000,0.0,1.0
2000-01-11,17.438,17.438,16.563,16.625,8.497,17400,0.0,1.0
2000-01-12,17.0,17.0,16.2507,16.438,8.4012,8100,0.0,1.0
2000-01-13,16.375,16.563,16.375,16.5,8.4331,15400,0.0,1.0
2000-01-14,16.5,16.563,16.375,16.5,8.4331,25200,0.0,1.0
2000-01-18,16.5,16.75,16.5,16.5,8.4331,32200,0.0,1.0
2000-01-19,16.313,16.313,15.875,16.0,8.1776,15100,0.0,1.0
2000-01-20,15.938,15.938,15.625,15.625,7.9859,30500,0.0,1.0
2000-01-21,15.563,15.563,15.375,15.563,7.954,13700,0.0,1.0
2000-01-24,15.688,15.75,15.5,15.563,7.954,18300,0.0,1.0
2000-01-25,15.188,15.375,15.0,15.375,7.8581,11200,0.0,1.0
2000-01-26,15.125,15.563,14.9993,15.375,7.8581,7300,0.0,1.0
2000-01-27,15.625,15.75,15.25,15.563,7.954,31200,0.0,1.0
2000-01-28,15.813,16.0,15.438,15.563,7.954,32300,0.0,1.0
2000-01-31,15.438,15.813,15.4379,15.813,8.0817,15800,0.0,1.0
2000-02-01,15.625,15.625,15.5626,15.625,7.9859,29100,0.0,1.0
2000-02-02,15.875,16.313,15.875,16.313,8.3373,51100,0.0,1.0
2000-02-03,16.313,16.563,16.188,16.438,8.4012,23700,0.0,1.0
2000-02-04,16.438,16.5,16.313,16.5,8.4331,16200,0.0,1.0
2000-02-07,16.625,16.688,16.438,16.688,8.5289,26400,0.0,1.0
2000-02-08,16.7491,17.125,16.75,17.063,8.7206,35900,0.0,1.0
2000-02-09,17.125,17.188,16.75,17.063,8.7206,45500,0.0,1.0
2000-02-10,17.188,17.438,17.125,17.375,8.8803,59200,0.0,1.0
2000-02-11,17.5,17.813,17.063,17.125,8.7525,57200,0.0,1.0
2000-02-14,16.938,17.0,16.563,16.625,8.497,27300,0.0,1.0
2000-02-15,16.313,16.438,15.563,16.063,8.2095,37600,0.0,1.0
2000-02-16,16.188,16.375,16.125,16.125,8.2414,23400,0.0,1.0
2000-02-17,16.313,16.438,16.188,16.25,8.3053,16700,0.0,1.0
2000-02-18,16.125,16.25,15.875,15.875,8.1137,24900,0.0,1.0
2000-02-22,15.938,15.938,15.438,15.563,7.954,31900,0.0,1.0
2000-02-23,15.75,15.938,15.688,15.938,8.1456,22700,0.0,1.0
2000-02-24,15.375,15.75,15.313,15.5,7.922,34600,0.0,1.0
2000-02-25,15.438,16.125,15.438,15.688,8.0178,33600,0.0,1.0
2000-02-28,15.375,15.375,15.188,15.25,7.7942,32700,0.0,1.0
2000-02-29,15.25,15.5,15.188,15.438,7.8901,30800,0.0,1.0
2000-03-01,15.625,16.438,15.5,16.438,8.4012,61300,0.0,1.0
2000-03-02,16.75,17.1264,16.75,17.0,8.6887,73600,0.0,1.0
2000-03-03,17.0,17.313,16.938,17.313,8.8484,32800,0.0,1.0
2000-03-06,17.313,17.313,16.75,16.875,8.6248,15300,0.0,1.0
2000-03-07,16.3763,16.438,16.063,16.063,8.2095,29400,0.0,1.0
2000-03-08,16.188,16.438,16.0,16.438,8.3692,40900,0.0,1.0
2000-03-09,16.125,16.375,16.0,16.313,8.3373,18400,0.0,1.0
2000-03-10,16.313,16.313,16.0,16.0,8.1776,9900,0.0,1.0
2000-03-13,15.0,15.438,14.563,15.375,7.8581,24200,0.0,1.0
2000-03-14,14.75,15.0,14.625,14.875,7.6026,23200,0.0,1.0
2000-03-15,14.75,15.375,14.75,15.375,7.8581,13300,0.0,1.0
2000-03-16,15.375,15.375,15.0,15.375,7.8581,11800,0.0,1.0
2000-03-17,15.125,15.375,15.125,15.25,7.7942,18100,0.0,1.0
