timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,25.6224,26.188,25.563,26.188,7.6773,164000,0.0,1.0
1999-09-14,26.188,26.625,25.875,25.875,7.5857,158200,0.0,1.0
1999-09-15,25.875,25.938,25.625,25.688,7.5307,124200,0.0,1.0
1999-09-16,26.0,26.0,25.375,25.688,7.5307,113200,0.0,1.0
1999-09-17,25.75,25.75,24.5,25.0,7.3291,401000,0.0,1.0
1999-09-20,25.0,26.688,24.688,26.375,7.7322,281600,0.0,1.0
1999-09-21,26.375,26.375,25.563,26.125,7.6589,201200,0.0,1.0
1999-09-22,26.1264,26.375,25.875,26.25,7.6956,183400,0.0,1.0
1999-09-23,26.125,26.188,25.813,26.063,7.6406,82200,0.0,1.0
1999-09-24,26.0,26.0639,25.813,25.938,7.604,103400,0.0,1.0
1999-09-27,25.75,25.813,24.75,24.75,7.2558,174600,0.0,1.0
1999-09-28,25.0,25.0,23.75,24.313,7.1276,206000,0.0,1.0
1999-09-29,24.375,24.938,24.375,24.625,7.2192,119000,0.0,1.0
1999-09-30,24.688,25.938,24.688,25.875,7.5857,189400,0.0,1.0
1999-10-01,25.75,25.75,23.5,24.25,7.1093,144000,0.0,1.0
1999-10-04,24.375,26.438,24.313,25.688,7.5307,219000,0.0,1.0
1999-10-05,25.625,25.688,24.563,25.0,7.3291,282400,0.0,1.0
1999-10-06,24.9992,25.563,25.0,25.25,7.4024,416600,0.0,1.0
1999-10-07,25.25,26.063,25.25,26.063,7.6406,358200,0.0,1.0
1999-10-08,27.5,28.063,27.313,28.0,8.2086,520800,0.0,1.0
1999-10-11,27.8737,28.313,27.625,27.938,8.1903,185800,0.0,1.0
1999-10-12,27.875,27.9993,27.563,27.75,8.1353,197400,0.0,1.0
1999-10-13,27.688,28.375,26.938,26.938,7.8971,556000,0.0,1.0
1999-10-14,26.5,27.0,26.438,27.0,7.9155,147600,0.0,1.0
1999-10-15,26.875,28.063,26.813,27.75,8.1353,260200,0.0,1.0
1999-10-18,27.625,27.875,27.25,27.25,7.9888,378600,0.0,1.0
1999-10-19,27.25,28.688,27.25,28.438,8.3369,246400,0.0,1.0
1999-10-20,29.438,29.438,27.0,27.25,7.9888,283400,0.0,1.0
1999-10-21,27.5005,28.313,26.875,28.188,8.2636,184000,0.0,1.0
1999-10-22,28.063,28.938,27.875,28.25,8.2819,160200,0.0,1.0
1999-10-25,28.25,28.5,27.0,27.813,8.1537,206800,0.0,1.0
1999-10-26,27.75,28.875,27.438,27.438,8.0437,345200,0.0,1.0
1999-10-27,27.375,27.688,26.813,26.938,7.8971,136000,0.0,1.0
1999-10-28,26.938,28.0,26.938,27.625,8.0987,269600,0.0,1.0
1999-10-29,27.625,29.188,27.563,28.75,8.4285,166000,0.0,1.0
1999-11-01,28.938,28.9983,28.0,29.0,8.5018,91800,0.0,1.0
1999-11-02,29.0,29.563,28.625,28.875,8.4652,165800,0.0,1.0
1999-11-03,28.813,29.0,28.625,28.875,8.4652,100200,0.0,1.0
1999-11-04,28.875,29.125,28.625,29.063,8.5201,137000,0.0,1.0
1999-11-05,28.938,29.5,28.625,28.625,8.3919,158000,0.0,1.0
1999-11-08,28.375,28.563,27.813,28.188,8.3629,86400,0.17,1.0
1999-11-09,28.313,28.375,27.625,27.875,8.2702,206600,0.0,1.0
1999-11-10,27.625,27.688,27.5,27.688,8.2146,127000,0.0,1.0
1999-11-11,27.438,28.5,27.188,27.875,8.2702,136800,0.0,1.0
1999-11-12,28.0,28.063,27.375,27.813,8.2517,187200,0.0,1.0
1999-11-15,27.938,29.25,27.875,29.063,8.6225,145800,0.0,1.0
1999-11-16,29.188,29.5003,28.813,29.188,8.6596,149800,0.0,1.0
1999-11-17,29.438,29.75,28.5,28.563,8.4742,499400,0.0,1.0
1999-11-18,28.563,29.438,28.0,29.438,8.7338,316800,0.0,1.0
1999-11-19,29.438,30.5,29.063,29.25,8.6782,447000,0.0,1.0
1999-11-22,28.75,30.875,28.625,30.25,8.9749,446600,0.0,1.0
1999-11-23,30.375,30.813,30.125,30.688,9.1047,364400,0.0,1.0
1999-11-24,30.625,30.938,30.5,30.875,9.1603,307800,0.0,1.0
1999-11-26,30.875,31.188,30.875,31.188,9.253,150200,0.0,1.0
1999-11-29,31.3126,32.813,30.875,32.563,9.6609,511000,0.0,1.0
1999-11-30,33.5,33.5008,32.5,33.25,9.8649,558600,0.0,1.0
1999-12-01,33.125,33.8783,32.688,33.0,9.7908,410600,0.0,1.0
1999-12-02,32.875,33.438,32.75,32.813,9.7351,305000,0.0,1.0
1999-12-03,31.125,33.063,31.125,32.938,9.7722,348400,0.0,1.0
1999-12-06,33.5,33.5,32.125,32.125,9.5311,173600,0.0,1.0
1999-12-07,32.313,32.813,32.0,32.063,9.5126,133400,0.0,1.0
1999-12-08,32.125,33.75,32.0,32.938,9.7722,170200,0.0,1.0
1999-12-09,32.9385,32.938,31.563,31.813,9.4384,180800,0.0,1.0
1999-12-10,31.938,31.938,31.0669,31.25,9.2715,196800,0.0,1.0
1999-12-13,31.375,31.688,31.313,31.625,9.3828,291800,0.0,1.0
1999-12-14,31.563,31.938,31.25,31.875,9.457,333000,0.0,1.0
1999-12-15,31.75,32.5,31.344,32.0,9.4941,265000,0.0,1.0
1999-12-16,31.9368,31.938,31.063,31.438,9.3272,151200,0.0,1.0
1999-12-17,31.125,32.313,31.0,31.063,9.2159,320000,0.0,1.0
1999-12-20,31.1864,31.5,30.75,31.188,9.253,147400,0.0,1.0
1999-12-21,31.125,31.125,30.563,30.75,9.1232,203400,0.0,1.0
1999-12-22,30.75,30.7501,29.25,30.5,9.049,345400,0.0,1.0
1999-12-23,30.5,31.5,29.875,31.438,9.3272,253000,0.0,1.0
1999-12-27,31.438,31.438,30.375,30.5,9.049,146800,0.0,1.0
1999-12-28,30.75,31.875,30.625,31.0,9.1974,265200,0.0,1.0
1999-12-29,31.25,31.25,30.75,31.0,9.1974,361400,0.0,1.0
1999-12-30,31.188,33.25,30.9979,33.0,9.7908,249800,0.0,1.0
1999-12-31,32.875,33.625,32.5,33.625,9.9762,134600,0.0,1.0
