timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,44.813,47.25,43.75,46.688,43.7928,725700,0.0,1.0
1999-09-14,46.688,47.0,45.25,46.25,43.3824,263800,0.0,1.0
1999-09-15,46.313,47.5,46.313,46.75,43.8514,277500,0.0,1.0
1999-09-16,47.063,47.1257,45.188,46.188,43.3238,131100,0.0,1.0
1999-09-17,47.0,47.188,46.625,47.063,44.1445,412200,0.0,1.0
1999-09-20,47.0623,50.188,47.063,50.0,46.8999,371300,0.0,1.0
1999-09-21,49.625,50.063,48.75,49.0,45.9619,392400,0.0,1.0
1999-09-22,49.063,49.313,48.0,48.875,45.8446,176400,0.0,1.0
1999-09-23,48.688,50.625,48.25,48.563,45.5515,424400,0.0,1.0
1999-09-24,48.0,48.438,46.813,47.563,44.6135,213900,0.0,1.0
1999-09-27,48.502,48.5,46.125,46.313,43.441,301000,0.0,1.0
1999-09-28,47.0,47.3767,46.25,46.75,43.8514,257500,0.0,1.0
1999-09-29,46.813,47.125,46.625,46.875,43.9686,350900,0.0,1.0
1999-09-30,47.0,47.313,46.438,46.5,43.6169,335500,0.0,1.0
1999-10-01,46.563,46.75,45.563,45.875,43.0306,329600,0.0,1.0
1999-10-04,45.875,46.25,45.0,46.063,43.2065,396800,0.0,1.0
1999-10-05,46.3086,46.938,44.875,46.063,43.2065,271000,0.0,1.0
1999-10-06,45.688,46.188,45.125,45.438,42.6203,304600,0.0,1.0
1999-10-07,45.438,45.4372,44.813,44.938,42.1513,295500,0.0,1.0
1999-10-08,45.0,45.0032,43.375,43.688,40.9788,421500,0.0,1.0
1999-10-11,43.938,44.25,43.313,43.563,40.8615,227700,0.0,1.0
1999-10-12,43.625,43.75,43.188,43.313,40.627,325000,0.0,1.0
1999-10-13,43.0647,43.813,41.875,42.125,39.5131,254800,0.0,1.0
1999-10-14,42.125,42.438,41.063,41.625,39.0441,275800,0.0,1.0
1999-10-15,41.688,41.688,39.563,39.75,37.2854,391600,0.0,1.0
1999-10-18,38.813,39.125,37.5,38.188,35.8198,621500,0.0,1.0
1999-10-19,38.75,40.375,38.688,40.0,37.5199,618000,0.0,1.0
1999-10-20,40.0009,41.25,38.938,41.25,38.6924,439400,0.0,1.0
1999-10-21,41.125,41.375,40.625,40.938,38.3993,439400,0.0,1.0
1999-10-22,41.063,43.563,41.063,43.063,40.3925,224700,0.0,1.0
1999-10-25,42.813,42.8113,41.625,42.125,39.5131,110800,0.0,1.0
1999-10-26,42.125,42.125,41.063,41.125,38.5751,175000,0.0,1.0
1999-10-27,41.0029,42.625,41.0,42.625,39.9821,244200,0.0,1.0
1999-10-28,43.25,47.25,43.25,46.063,43.2065,483100,0.0,1.0
1999-10-29,47.5,49.0,47.25,47.438,44.4962,310500,0.0,1.0
1999-11-01,47.813,49.188,47.5,48.063,45.0825,405000,0.0,1.0
1999-11-02,49.063,49.063,47.688,47.688,44.7308,160400,0.0,1.0
1999-11-03,48.125,48.563,47.375,47.938,44.9653,232100,0.0,1.0
1999-11-04,48.375,48.938,48.188,48.75,45.7274,101400,0.0,1.0
1999-11-05,49.75,50.438,49.5,50.0,46.8999,187800,0.0,1.0
1999-11-08,50.188,50.188,49.313,49.875,46.7826,190700,0.0,1.0
1999-11-09,49.875,50.438,49.25,49.25,46.1964,158800,0.0,1.0
1999-11-10,49.0,49.875,48.875,49.313,46.255,93200,0.0,1.0
1999-11-11,49.5,49.688,47.75,49.188,46.1378,196600,0.0,1.0
1999-11-12,49.438,52.313,49.25,51.188,48.0137,339700,0.0,1.0
1999-11-15,51.188,51.625,50.75,51.563,48.3655,173600,0.0,1.0
1999-11-16,51.938,53.25,51.688,53.25,49.9484,218300,0.0,1.0
1999-11-17,53.25,54.563,52.4382,52.75,49.4794,225700,0.0,1.0
1999-11-18,52.938,56.063,52.938,55.813,52.352,267700,0.0,1.0
1999-11-19,56.25,58.6898,55.875,57.938,54.3452,341300,0.0,1.0
1999-11-22,57.688,57.688,55.563,55.938,52.4692,370400,0.0,1.0
1999-11-23,55.688,56.063,53.938,54.309,50.945,305600,0.0,1.0
1999-11-24,54.375,55.375,53.938,55.0,51.5899,124600,0.0,1.0
1999-11-26,55.5,55.875,55.125,55.563,52.1175,120800,0.0,1.0
1999-11-29,55.563,58.7514,55.563,58.563,54.9315,406100,0.0,1.0
1999-11-30,58.0,60.0,57.9398,59.5,55.8108,533200,0.0,1.0
1999-12-01,59.188,60.25,59.0,59.438,55.7522,251700,0.0,1.0
1999-12-02,58.5,59.0,57.75,58.688,55.0487,245700,0.0,1.0
1999-12-03,60.0,60.0,58.188,58.25,54.6384,267100,0.0,1.0
1999-12-06,58.25,58.25,56.125,57.0,53.4659,208600,0.0,1.0
1999-12-07,57.5,61.375,57.5005,60.625,56.8661,569800,0.0,1.0
1999-12-08,61.375,66.375,61.25,65.5,61.4388,583900,0.0,1.0
1999-12-09,65.0,66.375,63.5,63.938,59.9732,369300,0.0,1.0
1999-12-10,66.0,66.688,65.375,65.375,61.3216,352200,0.0,1.0
1999-12-13,66.188,66.438,65.313,65.938,61.8681,237300,0.04,1.0
1999-12-14,66.0,66.0,64.563,64.875,60.8712,257600,0.0,1.0
1999-12-15,63.125,63.5,60.375,61.125,57.3526,449100,0.0,1.0
1999-12-16,60.75,60.938,59.5664,59.875,56.1798,367500,0.0,1.0
1999-12-17,59.875,62.688,59.813,62.25,58.4082,397400,0.0,1.0
1999-12-20,61.438,62.313,60.125,60.313,56.5903,214700,0.0,1.0
1999-12-21,59.375,61.0,58.0,61.0,57.2354,571800,0.0,1.0
1999-12-22,61.188,64.0,61.125,63.875,59.9329,389300,0.0,1.0
1999-12-23,64.0,65.438,64.0,64.813,60.8126,212100,0.0,1.0
1999-12-27,64.0,64.813,61.688,61.688,57.8804,257800,0.0,1.0
1999-12-28,62.875,67.625,62.875,67.625,63.4515,365000,0.0,1.0
1999-12-29,67.563,70.0,67.313,69.75,65.4453,230800,0.0,1.0
1999-12-30,69.375,69.75,67.563,69.75,65.4453,152000,0.0,1.0
1999-12-31,69.75,75.0,69.625,74.625,70.0195,221700,0.0,1.0
2000-01-03,73.5,73.563,70.063,70.5,66.149,629400,0.0,1.0
2000-01-04,69.0,69.875,66.375,66.875,62.7478,392600,0.0,1.0
2000-01-05,66.0,66.438,63.875,64.813,60.8126,289300,0.0,1.0
2000-01-06,64.875,68.375,64.625,66.875,62.7478,324200,0.0,1.0
2000-01-07,66.688,67.063,65.5,66.875,62.7478,206400,0.0,1.0
2000-01-10,71.5,71.5,69.125,70.0,65.6799,431800,0.0,1.0
2000-01-11,69.125,69.5,67.5,67.625,63.4515,355000,0.0,1.0
2000-01-12,67.75,67.813,65.5,65.688,61.6336,286100,0.0,1.0
2000-01-13,66.688,68.938,66.313,68.625,64.3898,333100,0.0,1.0
2000-01-14,69.75,71.0,69.0,69.813,65.504,463200,0.0,1.0
2000-01-18,69.6245,69.813,67.875,68.563,64.3311,301300,0.0,1.0
2000-01-19,68.563,69.438,68.563,68.813,64.5657,221800,0.0,1.0
2000-01-20,69.375,69.688,67.002,68.375,64.1552,270400,0.0,1.0
2000-01-21,69.25,71.063,68.1272,70.188,65.8558,264900,0.0,1.0
2000-01-24,71.0,74.938,71.0,71.625,67.2046,536600,0.0,1.0
2000-01-25,71.625,71.875,69.438,70.25,65.9145,173700,0.0,1.0
2000-01-26,70.75,71.063,68.125,70.438,66.0904,226400,0.0,1.0
2000-01-27,74.0,77.063,72.875,73.75,69.1985,549900,0.0,1.0
2000-01-28,72.75,73.125,68.75,69.313,65.0348,257300,0.0,1.0
2000-01-31,68.188,69.188,65.938,69.188,64.9176,382700,0.0,1.0
2000-02-01,66.75,68.75,66.313,68.5,64.2725,279800,0.0,1.0
2000-02-02,68.75,70.438,68.5,70.063,65.7386,124000,0.0,1.0
2000-02-03,70.438,73.438,70.188,70.938,66.5596,290400,0.0,1.0
2000-02-04,71.375,74.313,70.75,73.563,69.0226,307000,0.0,1.0
2000-02-07,73.875,74.813,73.313,73.5,68.9639,194600,0.0,1.0
2000-02-08,73.25,74.625,73.25,74.563,69.9608,250600,0.0,1.0
2000-02-09,75.125,76.25,72.875,73.375,68.8466,250600,0.0,1.0
2000-02-10,73.375,73.875,71.375,72.063,67.6151,157900,0.0,1.0
2000-02-11,72.313,72.375,70.125,70.438,66.0904,135600,0.0,1.0
2000-02-14,70.438,72.25,70.438,71.25,66.8528,194300,0.0,1.0
2000-02-15,71.5,73.438,70.938,73.375,68.8466,191500,0.0,1.0
2000-02-16,73.496,73.688,70.5,71.25,66.8528,288000,0.0,1.0
2000-02-17,72.0,73.5,71.25,71.938,67.4979,215700,0.0,1.0
2000-02-18,71.688,71.75,70.2446,70.563,66.2077,189700,0.0,1.0
2000-02-22,70.188,72.0,68.063,71.375,66.9701,386400,0.0,1.0
2000-02-23,71.375,73.5,70.5,73.0,68.4948,458200,0.0,1.0
2000-02-24,75.0,77.0,74.625,76.5,71.7788,462300,0.0,1.0
2000-02-25,76.5,82.0,76.375,78.625,73.7726,677200,0.0,1.0
2000-02-28,78.875,79.875,77.5,78.063,73.2448,312100,0.0,1.0
2000-02-29,78.375,79.438,78.125,78.75,73.8899,349500,0.0,1.0
2000-03-01,79.25,85.0,79.25,85.0,79.7542,642100,0.0,1.0
2000-03-02,85.0,85.875,83.438,85.25,79.9888,391200,0.0,1.0
2000-03-03,85.125,90.0,85.125,90.0,84.4456,379200,0.0,1.0
2000-03-06,89.125,90.5,88.125,88.563,83.0968,389100,0.0,1.0
2000-03-07,88.75,88.75,84.813,84.875,79.6369,199500,0.0,1.0
2000-03-08,85.375,85.375,81.438,84.625,79.4023,429400,0.0,1.0
2000-03-09,84.875,86.125,82.688,86.125,80.8098,193300,0.0,1.0
2000-03-10,88.375,90.375,87.25,87.688,82.2758,233000,0.0,1.0
2000-03-13,83.0,86.5,82.313,85.188,79.9301,290700,0.0,1.0
2000-03-14,84.9372,84.938,80.063,80.75,75.7665,252700,0.0,1.0
2000-03-15,80.25,80.375,77.6294,77.938,73.1275,404500,0.0,1.0
