timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,38.5,38.813,36.5,37.375,20.9537,269700,0.0,1.0
1999-09-14,36.875,36.875,36.0,36.125,20.2529,97500,0.0,1.0
1999-09-15,36.3732,36.563,35.688,35.688,20.0076,212300,0.0,1.0
1999-09-16,34.875,35.125,34.375,35.125,19.6923,277200,0.0,1.0
1999-09-17,36.125,36.625,35.938,36.625,20.5332,341000,0.0,1.0
1999-09-20,36.75,37.0,36.0,37.0,20.7435,152200,0.0,1.0
1999-09-21,36.625,36.813,35.375,36.5,20.4631,193500,0.0,1.0
1999-09-22,36.125,36.688,35.875,36.5,20.4631,249700,0.0,1.0
1999-09-23,36.688,36.75,35.813,35.875,20.1127,142300,0.0,1.0
1999-09-24,35.75,36.25,35.75,36.25,20.323,358100,0.0,1.0
1999-09-27,36.75,36.75,36.375,36.563,20.4982,396400,0.0,1.0
1999-09-28,37.0,37.125,36.125,36.938,20.7084,518400,0.0,1.0
1999-09-29,36.75,36.75,36.125,36.25,20.323,534400,0.0,1.0
1999-09-30,35.75,37.0,35.5,37.0,20.7435,465800,0.0,1.0
1999-10-01,37.438,37.5,36.438,36.75,20.6033,297400,0.0,1.0
1999-10-04,36.5,36.75,36.25,36.313,20.358,202900,0.0,1.0
1999-10-05,36.1874,36.188,36.0,36.0,20.1828,692700,0.0,1.0
1999-10-06,36.563,37.0018,36.563,37.0,20.7435,171500,0.0,1.0
1999-10-07,37.0,37.188,36.75,37.063,20.7785,610200,0.0,1.0
1999-10-08,36.25,36.875,36.188,36.5,20.4631,283000,0.0,1.0
1999-10-11,36.5,36.5,34.375,34.375,19.2718,455900,0.0,1.0
1999-10-12,34.5,34.75,33.0,33.375,18.7112,361500,0.0,1.0
1999-10-13,33.5,33.938,33.5,33.625,18.8513,250000,0.0,1.0
1999-10-14,33.8729,35.75,33.75,35.625,19.9726,147600,0.0,1.0
1999-10-15,34.75,34.7494,34.375,34.438,19.3068,165700,0.0,1.0
1999-10-18,33.875,33.938,31.875,32.25,18.0804,200200,0.0,1.0
1999-10-19,33.188,33.813,33.063,33.375,18.7112,242200,0.0,1.0
1999-10-20,33.75,33.75,33.125,33.5,18.7812,212800,0.0,1.0
1999-10-21,32.0,32.438,31.313,31.5,17.66,390100,0.0,1.0
1999-10-22,31.5,34.0,31.5,33.875,18.9915,326500,0.0,1.0
1999-10-25,33.125,33.375,32.5,33.375,18.7112,236600,0.0,1.0
1999-10-26,33.25,34.0,33.25,33.875,18.9915,220000,0.0,1.0
1999-10-27,33.375,33.375,32.3742,32.375,18.1505,260900,0.0,1.0
1999-10-28,33.625,34.063,33.563,33.563,18.8163,527600,0.0,1.0
1999-10-29,34.313,35.625,34.313,35.25,19.7623,1015100,0.0,1.0
1999-11-01,35.5,35.688,34.875,35.188,19.7273,482000,0.0,1.0
1999-11-02,35.5,36.438,35.25,35.375,19.8324,538000,0.0,1.0
1999-11-03,35.5,36.25,35.5,36.125,20.2529,596600,0.0,1.0
1999-11-04,36.375,36.875,36.375,36.875,20.6734,842700,0.0,1.0
1999-11-05,36.875,36.875,36.438,36.75,20.6033,361900,0.0,1.0
1999-11-08,36.75,37.875,36.75,37.813,21.199,293300,0.0,1.0
1999-11-09,43.0,43.0,41.1262,42.875,24.0372,1030400,0.0,1.0
1999-11-10,42.0,42.5,41.125,41.313,23.1612,696500,0.0,1.0
1999-11-11,41.5,42.438,41.5,42.438,23.7919,470600,0.0,1.0
1999-11-12,42.5,43.0,41.813,42.938,24.0722,269600,0.0,1.0
1999-11-15,43.8753,45.625,43.625,45.375,25.4388,320400,0.0,1.0
1999-11-16,50.625,50.875,48.938,49.5,27.7514,546400,0.0,1.0
1999-11-17,47.563,48.0,44.75,45.25,25.3687,1070900,0.0,1.0
1999-11-18,48.25,49.375,47.5,49.25,27.6112,763000,0.0,1.0
1999-11-19,50.0,50.0,49.063,49.563,27.7864,615100,0.0,1.0
1999-11-22,48.125,48.125,47.438,47.5,26.6301,325000,0.0,1.0
1999-11-23,47.5,47.75,46.813,47.063,26.3848,763600,0.0,1.0
1999-11-24,46.375,46.938,46.25,46.5,26.0695,221400,0.0,1.0
1999-11-26,49.625,50.438,49.6263,50.063,28.0667,161800,0.0,1.0
1999-11-29,50.375,50.375,49.813,49.875,27.9616,427300,0.0,1.0
1999-11-30,52.875,53.25,52.5,53.0,29.7136,793800,0.0,1.0
1999-12-01,53.0,53.375,52.938,53.063,29.7486,372100,0.0,1.0
1999-12-02,51.438,51.563,50.625,50.688,28.4171,388600,0.0,1.0
1999-12-03,50.0,51.313,50.0,51.313,28.7675,162600,0.0,1.0
1999-12-06,54.0,55.996,53.313,55.25,30.975,409900,0.0,1.0
1999-12-07,59.438,60.625,59.25,59.313,33.2526,335900,0.0,1.0
1999-12-08,59.25,60.25,59.188,60.125,33.7081,420500,0.0,1.0
1999-12-09,59.75,60.125,59.25,59.313,33.2526,345200,0.0,1.0
1999-12-10,59.25,59.75,58.875,58.938,33.0424,199900,0.0,1.0
1999-12-13,60.75,61.125,60.563,60.75,34.0585,179500,0.0,1.0
1999-12-14,60.0,60.25,57.375,57.5,32.2364,426500,0.0,1.0
1999-12-15,55.5,56.125,55.25,55.375,31.0451,442300,0.0,1.0
1999-12-16,55.3715,55.938,54.5,54.75,30.6947,277400,0.0,1.0
1999-12-17,56.4996,56.5,54.813,55.25,30.975,182200,0.0,1.0
1999-12-20,59.0,59.938,58.75,58.938,33.0424,252600,0.0,1.0
1999-12-21,60.875,61.125,59.875,59.875,33.5679,241100,0.0,1.0
1999-12-22,63.0079,63.125,60.813,61.25,34.3388,199200,0.0,1.0
1999-12-23,67.0,68.625,66.375,68.5,38.4034,225400,0.0,1.0
1999-12-27,76.9975,77.5,74.25,74.625,41.8373,245900,0.0,1.0
1999-12-28,74.375,75.625,73.25,73.375,41.1365,219200,0.0,1.0
1999-12-29,72.25,72.75,71.0,71.0,39.9127,235600,0.198,1.0
1999-12-30,71.8726,72.875,71.813,72.688,40.8613,212400,0.0,1.0
1999-12-31,72.75,75.125,72.75,74.75,42.0208,29400,0.0,1.0
2000-01-03,79.875,79.875,74.5,74.5,41.8802,747400,0.0,1.0
2000-01-04,70.0,71.375,68.0,68.0,38.2262,1060200,0.0,1.0
2000-01-05,61.5,63.438,60.0,63.0,35.4155,863200,0.0,1.0
2000-01-06,61.75,61.75,60.4997,60.5,34.0101,745200,0.0,1.0
2000-01-07,58.5,60.5,58.375,59.875,33.6588,592500,0.0,1.0
2000-01-10,65.75,65.75,62.0,63.5,35.6966,732200,0.0,1.0
2000-01-11,59.875,60.125,58.875,59.938,33.6939,369800,0.0,1.0
2000-01-12,57.5,57.5,54.125,54.25,30.4967,584200,0.0,1.0
2000-01-13,57.4995,59.438,57.125,58.25,32.7453,843300,0.0,1.0
2000-01-14,58.5,59.25,57.625,58.438,32.8507,330800,0.0,1.0
2000-01-18,59.5,60.563,59.0,59.0,33.1669,460900,0.0,1.0
2000-01-19,57.375,57.376,54.625,54.625,30.7075,510400,0.0,1.0
2000-01-20,57.75,57.75,56.563,56.625,31.8318,930000,0.0,1.0
2000-01-21,56.625,56.625,54.188,55.5,31.1994,524900,0.0,1.0
2000-01-24,55.875,55.875,52.188,52.313,29.4075,563000,0.0,1.0
2000-01-25,51.625,52.25,49.5,50.188,28.2129,581700,0.0,1.0
2000-01-26,50.0,53.25,50.0,52.188,29.3372,608400,0.0,1.0
2000-01-27,53.2517,53.625,52.75,53.438,30.0399,270300,0.0,1.0
2000-01-28,56.5,58.25,55.0,55.063,30.9534,694300,0.0,1.0
2000-01-31,55.25,55.625,53.188,53.5,30.0751,473100,0.0,1.0
2000-02-01,55.25,55.25,53.5,54.063,30.3913,315200,0.0,1.0
2000-02-02,54.063,54.248,53.25,53.5,30.0751,677900,0.0,1.0
2000-02-03,54.25,54.25,52.938,53.625,30.1453,437100,0.0,1.0
2000-02-04,53.625,54.188,53.125,53.25,29.9345,267500,0.0,1.0
2000-02-07,58.125,60.063,58.125,58.563,32.921,670000,0.0,1.0
2000-02-08,59.75,63.5,59.0,62.375,35.0641,781500,0.0,1.0
2000-02-09,62.25,63.0,59.5,60.0,33.729,381900,0.0,1.0
2000-02-10,60.125,62.438,60.1258,62.0,34.8533,605200,0.0,1.0
2000-02-11,61.25,61.75,58.875,59.0,33.1669,284000,0.0,1.0
2000-02-14,59.125,59.125,56.625,56.938,32.0075,323700,0.0,1.0
2000-02-15,53.75,54.125,52.813,53.125,29.8643,640500,0.0,1.0
2000-02-16,53.5,54.25,52.0,52.125,29.3021,663800,0.0,1.0
2000-02-17,53.0,54.875,52.0,54.25,30.4967,536800,0.0,1.0
2000-02-18,52.25,53.25,51.75,52.0,29.2318,337200,0.0,1.0
2000-02-22,50.875,51.938,50.875,51.75,29.0913,223000,0.0,1.0
2000-02-23,52.0,52.0,49.625,51.125,28.74,428800,0.0,1.0
2000-02-24,49.75,49.751,46.375,46.625,26.2103,644500,0.0,1.0
2000-02-25,46.875,46.875,45.438,45.438,25.5427,1095200,0.0,1.0
2000-02-28,42.75,44.0,42.375,43.0,24.1725,888700,0.0,1.0
2000-02-29,43.0,43.75,42.75,43.5,24.4536,663500,0.0,1.0
2000-03-01,44.5,44.5003,43.563,43.75,24.5941,1102100,0.0,1.0
2000-03-02,49.0,52.25,47.063,52.125,29.3021,1402700,0.0,1.0
2000-03-03,51.25,53.75,50.1251,53.438,30.0399,583500,0.0,1.0
2000-03-06,53.5,53.75,49.0,49.0,27.5454,401600,0.0,1.0
2000-03-07,53.5,53.5,49.0,49.875,28.0373,687400,0.0,1.0
2000-03-08,53.25,57.75,50.5,57.125,32.1129,710100,0.0,1.0
2000-03-09,54.0,55.938,53.0,54.75,30.7778,495900,0.0,1.0
2000-03-10,53.5,53.5,51.125,51.5,28.9508,348000,0.0,1.0
2000-03-13,45.75,46.75,44.875,45.813,25.7535,769500,0.0,1.0
2000-03-14,45.375,46.6285,44.5,45.0,25.2968,647700,0.0,1.0
2000-03-15,45.0037,45.0,43.75,44.5,25.0157,447600,0.0,1.0
2000-03-16,45.0,46.0,43.0,44.063,24.7698,890900,0.0,1.0
2000-03-17,45.0,45.0,44.125,44.75,25.1562,497400,0.0,1.0
2000-03-20,44.75,44.75,41.0,41.125,23.1184,386900,0.0,1.0
2000-03-21,43.625,45.0,43.5,44.563,25.0508,230800,0.0,1.0
2000-03-22,44.625,47.25,44.563,46.5,26.14,688800,0.0,1.0
2000-03-23,46.0,47.125,45.0,46.0,25.8589,509900,0.0,1.0
2000-03-24,45.375,46.938,45.2491,46.063,25.8941,562500,0.0,1.0
2000-03-27,46.063,46.0631,44.0,44.25,24.8752,260300,0.0,1.0
2000-03-28,44.25,44.75,43.0,43.0,24.1725,516900,0.0,1.0
2000-03-29,43.563,44.0,43.063,43.063,24.2076,286600,0.0,1.0
2000-03-30,44.625,45.188,43.5008,43.5,24.4536,600000,0.0,1.0
2000-03-31,44.25,44.25,43.563,43.813,24.6292,384100,0.0,1.0
2000-04-03,41.75,41.8113,39.875,40.625,22.8374,619900,0.0,1.0
2000-04-04,41.125,41.125,37.25,39.0,21.9239,472500,0.0,1.0
2000-04-05,38.5,41.438,38.5,41.125,23.1184,215000,0.0,1.0
2000-04-06,41.0,42.25,41.0,41.438,23.2941,236900,0.0,1.0
2000-04-07,42.438,42.438,40.0,41.25,23.1887,543400,0.0,1.0
2000-04-10,41.5,41.8724,41.25,41.75,23.4698,462600,0.0,1.0
2000-04-11,41.0,41.438,40.75,41.188,23.1536,592400,0.0,1.0
2000-04-12,41.625,42.563,41.625,42.0,23.6103,480000,0.0,1.0
2000-04-13,41.0,41.75,40.25,41.5,23.3293,350200,0.0,1.0
2000-04-14,38.563,38.875,33.25,34.0,19.1131,1222700,0.0,1.0
2000-04-17,32.875,34.188,31.75,33.188,18.6564,553800,0.0,1.0
