timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,77.25,77.75,77.125,77.25,8.7591,792600,0.0,1.0
1999-09-14,77.125,77.7514,77.063,77.188,8.752,1652400,0.0,1.0
1999-09-15,77.313,77.813,76.813,76.813,8.7095,1503000,0.0,1.0
1999-09-16,76.875,77.25,76.5629,76.563,8.6812,771000,0.0,1.0
1999-09-17,76.625,77.188,76.563,77.125,8.7449,1324200,0.0,1.0
1999-09-20,77.25,77.5,74.938,75.438,8.5536,847200,0.0,1.0
1999-09-21,74.75,75.063,73.5,73.625,8.3481,1122600,0.0,1.0
1999-09-22,73.0,73.0,70.75,71.688,8.1284,2287200,0.0,1.0
1999-09-23,71.438,72.5,71.188,71.5,8.1071,867000,0.0,1.0
1999-09-24,71.75,71.875,70.375,70.438,7.9867,814200,0.0,1.0
1999-09-27,70.438,71.313,70.125,70.625,8.0079,943200,0.0,1.0
1999-09-28,70.5,70.625,68.563,69.5,7.8804,1612200,0.0,1.0
1999-09-29,69.625,71.688,69.563,70.188,7.9583,1323000,0.0,1.0
1999-09-30,70.688,70.75,70.125,70.188,7.9583,1431000,0.0,1.0
1999-10-01,70.25,70.75,69.563,69.563,7.8875,1116000,0.0,1.0
1999-10-04,69.688,70.938,69.625,70.688,8.015,1045800,0.0,1.0
1999-10-05,71.688,72.438,69.75,70.125,7.9512,1252800,0.0,1.0
1999-10-06,71.0,72.938,71.0,72.063,8.1709,985200,0.0,1.0
1999-10-07,72.5,72.813,70.875,71.625,8.1213,1507800,0.0,1.0
1999-10-08,71.688,72.688,71.625,71.938,8.1567,1075800,0.0,1.0
1999-10-11,72.0,73.875,72.0,73.438,8.3268,1405200,0.0,1.0
1999-10-12,73.5,74.0,73.375,73.5,8.3339,1252800,0.0,1.0
1999-10-13,73.5,73.75,72.375,72.5,8.2205,1377000,0.0,1.0
1999-10-14,72.375,72.625,71.75,72.438,8.2134,1153800,0.0,1.0
1999-10-15,72.688,72.688,71.0,71.0,8.0504,1003800,0.0,1.0
1999-10-18,70.75,70.875,69.813,70.5,7.9938,1069200,0.0,1.0
1999-10-19,70.563,70.94,70.0,70.0,7.9371,899400,0.0,1.0
1999-10-20,70.0,70.625,67.5,67.75,7.6819,3066000,0.0,1.0
1999-10-21,67.5,68.0,63.875,65.938,7.4764,5895600,0.0,1.0
1999-10-22,65.75,69.5,64.688,68.875,7.8095,1820400,0.0,1.0
1999-10-25,68.625,69.25,67.813,68.875,7.8095,855000,0.0,1.0
1999-10-26,68.875,68.875,66.625,67.188,7.6182,2013000,0.0,1.0
1999-10-27,67.188,68.25,66.7497,68.0,7.7103,4066200,0.0,1.0
1999-10-28,68.875,71.75,68.438,68.5,7.9423,2383800,0.2502,1.0
1999-10-29,68.5,71.438,68.5,70.875,8.2177,1374000,0.0,1.0
1999-11-01,70.625,70.688,66.875,67.0,7.7684,1837800,0.0,1.0
1999-11-02,67.0,68.25,66.125,66.125,7.6669,1272000,0.0,1.0
1999-11-03,65.625,68.125,65.25,67.5,7.8264,3552600,0.0,1.0
1999-11-04,67.625,69.25,66.938,67.0,7.7684,1645200,0.0,1.0
1999-11-05,67.0,68.188,67.0,67.875,7.8699,2181000,0.0,1.0
1999-11-08,67.375,68.625,67.375,68.25,7.9133,2142600,0.0,1.0
1999-11-09,68.188,68.375,67.313,67.563,7.8336,1555200,0.0,1.0
1999-11-10,67.375,67.625,66.625,66.688,7.7322,1488000,0.0,1.0
1999-11-11,66.875,66.875,65.938,66.0,7.6525,1381200,0.0,1.0
1999-11-12,66.188,66.625,66.0,66.188,7.6742,1435200,0.0,1.0
1999-11-15,66.188,66.625,65.375,65.438,7.5872,2216400,0.0,1.0
1999-11-16,65.438,66.813,65.125,66.75,7.7394,1863000,0.0,1.0
1999-11-17,66.8809,67.438,66.125,66.313,7.6887,1153200,0.0,1.0
1999-11-18,66.563,66.688,65.625,66.188,7.6742,1062000,0.0,1.0
1999-11-19,66.063,66.375,65.313,65.313,7.5727,1916400,0.0,1.0
1999-11-22,65.125,66.125,65.0,65.563,7.6017,1737600,0.0,1.0
1999-11-23,65.313,66.004,65.0,66.004,7.6525,2801400,0.0,1.0
1999-11-24,64.938,65.5,64.375,64.688,7.5003,966000,0.0,1.0
1999-11-26,64.438,64.625,64.3774,64.375,7.464,485400,0.0,1.0
1999-11-29,63.813,64.0001,62.75,63.313,7.3408,1611000,0.0,1.0
1999-11-30,63.313,64.438,63.313,64.0,7.4206,3179400,0.0,1.0
1999-12-01,63.75,65.125,63.4987,64.25,7.4495,3846600,0.0,1.0
1999-12-02,64.25,65.438,64.063,64.938,7.5293,1622400,0.0,1.0
1999-12-03,65.125,66.0,64.688,64.875,7.522,1681800,0.0,1.0
1999-12-06,66.0,66.0,64.75,64.938,7.5293,1260600,0.0,1.0
1999-12-07,64.938,64.938,63.063,63.25,7.3336,984000,0.0,1.0
1999-12-08,63.438,63.438,61.75,62.75,7.2756,2317800,0.0,1.0
1999-12-09,62.625,62.813,62.0,62.063,7.1959,1480800,0.0,1.0
1999-12-10,62.125,63.125,61.75,61.75,7.1597,2712600,0.0,1.0
1999-12-13,61.75,62.75,60.813,61.0,7.0727,2508000,0.0,1.0
1999-12-14,61.063,61.3108,60.313,60.438,7.0075,1681800,0.0,1.0
1999-12-15,60.188,61.063,60.063,60.5,7.0148,2239800,0.0,1.0
1999-12-16,60.3115,61.063,59.875,59.875,6.9423,1549800,0.0,1.0
1999-12-17,59.75,59.938,59.125,59.938,6.9495,2352000,0.0,1.0
