timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-12-17,23.25,25.2,22.0017,23.72,2.3984,321776100,0.0,1.0
2003-12-18,23.58,23.6,22.75,22.95,2.3205,81061200,0.0,1.0
2003-12-19,23.44,23.7012,23.23,23.36,2.362,21501000,0.0,1.0
2003-12-22,25.11,26.25,24.302,26.22,2.6511,58484400,0.0,1.0
2003-12-23,27.2,28.85,27.11,27.65,2.7957,62509800,0.0,1.0
2003-12-24,29.25,30.5,29.1,30.5,3.0839,45574200,0.0,1.0
2003-12-26,31.88,32.55,30.7,32.01,3.2366,50399100,0.0,1.0
2003-12-29,33.4,35.5,32.8,34.75,3.5136,98303400,0.0,1.0
2003-12-30,33.0,33.61,31.04,31.3,3.1648,93778800,0.0,1.0
2003-12-31,32.3,33.38,32.12,32.97,3.3336,51555900,0.0,1.0
2004-01-02,34.05,35.6,33.5,34.57,3.4954,64049400,0.0,1.0
2004-01-05,34.0,34.0,32.23,33.0,3.3367,51291000,0.0,1.0
2004-01-06,30.85,31.37,30.05,30.41,3.0748,62092200,0.0,1.0
2004-01-07,31.36,31.62,30.8112,31.55,3.1901,34688700,0.0,1.0
2004-01-08,31.3,31.5,30.7,31.3,3.1648,21159300,0.0,1.0
2004-01-09,31.15,31.15,30.4,30.55,3.089,19279800,0.0,1.0
2004-01-12,30.2989,30.35,29.13,29.85,3.0182,36478800,0.0,1.0
2004-01-13,29.5,29.7,28.45,28.63,2.8948,35336700,0.0,1.0
2004-01-14,28.75,30.0,28.75,29.8,3.0131,23386800,0.0,1.0
2004-01-15,29.85,30.2,29.2,29.45,2.9777,11576100,0.0,1.0
2004-01-16,29.9,30.05,29.46,29.82,3.0151,18427200,0.0,1.0
2004-01-20,30.521,31.25,30.2,31.14,3.1486,20126700,0.0,1.0
2004-01-21,31.39,31.8381,30.42,30.56,3.09,14758500,0.0,1.0
2004-01-22,30.72,30.75,30.3,30.5,3.0839,6548700,0.0,1.0
2004-01-23,30.9,30.9,30.55,30.75,3.1092,5876100,0.0,1.0
2004-01-26,30.3508,30.85,30.01,30.65,3.0991,9906300,0.0,1.0
2004-01-27,30.4,30.4,29.7,29.93,3.0263,8844900,0.0,1.0
2004-01-28,29.85,29.94,28.8,29.0,2.9322,14501100,0.0,1.0
2004-01-29,29.3,29.42,28.56,29.39,2.9717,14274600,0.0,1.0
2004-01-30,28.7,28.8,27.54,28.05,2.8362,32115000,0.0,1.0
2004-02-02,27.0498,27.55,27.01,27.15,2.7452,17370000,0.0,1.0
2004-02-03,28.26,29.0,28.07,28.8,2.912,17984100,0.0,1.0
2004-02-04,27.35,27.6,26.51,26.67,2.6966,42241200,0.0,1.0
2004-02-05,26.4999,27.3,26.3,26.63,2.6926,16023900,0.0,1.0
2004-02-06,27.0003,27.63,27.0,27.46,2.7765,9953400,0.0,1.0
2004-02-09,28.45,28.75,28.2,28.22,2.8534,9027900,0.0,1.0
2004-02-10,27.8,27.84,27.4,27.75,2.8058,5258400,0.0,1.0
2004-02-11,28.85,29.25,28.5992,29.2,2.9525,17066100,0.0,1.0
2004-02-12,28.78,28.88,28.31,28.53,2.8847,4805100,0.0,1.0
2004-02-13,28.85,29.15,28.65,28.9,2.9221,4550700,0.0,1.0
2004-02-17,29.49,30.4,29.34,30.1,3.0435,10539600,0.0,1.0
2004-02-18,29.9,29.93,29.33,29.54,2.9868,2647200,0.0,1.0
2004-02-19,29.4,29.4,28.6,28.84,2.9161,3316500,0.0,1.0
2004-02-20,29.06,29.15,28.7,29.0,2.9322,3767700,0.0,1.0
2004-02-23,29.0,29.0,28.65,28.8,2.912,1197900,0.0,1.0
2004-02-24,28.57,28.6,28.0105,28.45,2.8766,4624200,0.0,1.0
2004-02-25,28.2,28.37,27.9,28.33,2.8645,2104200,0.0,1.0
2004-02-26,28.22,28.5,27.85,28.37,2.8685,1985100,0.0,1.0
2004-02-27,28.37,28.6,28.2,28.3,2.8615,1904100,0.0,1.0
2004-03-01,28.1,28.4,27.8,28.4,2.8716,4493100,0.0,1.0
2004-03-02,28.4,28.4,27.87,28.01,2.8321,2380200,0.0,1.0
2004-03-03,27.9,27.9,27.4,27.7,2.8008,2339400,0.0,1.0
2004-03-04,28.25,28.7,28.2,28.65,2.8968,3512700,0.0,1.0
2004-03-05,28.65,28.99,28.38,28.8,2.912,2688000,0.0,1.0
2004-03-08,28.6,28.6,28.2,28.25,2.8564,2365800,0.0,1.0
2004-03-09,28.0,28.0,27.65,27.78,2.8089,1766700,0.0,1.0
2004-03-10,27.7,27.85,27.4,27.45,2.7755,2224200,0.0,1.0
2004-03-11,26.85,26.94,26.48,26.5,2.6795,4432200,0.0,1.0
2004-03-12,26.75,27.15,26.7,27.08,2.7381,1452300,0.0,1.0
2004-03-15,26.8,26.97,26.3425,26.55,2.6845,5238600,0.0,1.0
2004-03-16,26.55,26.63,26.27,26.46,2.6754,5418600,0.0,1.0
2004-03-17,26.6,27.0,26.38,26.8,2.7098,5914500,0.0,1.0
2004-03-18,25.61,25.7,25.0,25.33,2.5612,9121500,0.0,1.0
2004-03-19,24.71,25.15,24.65,24.65,2.4924,6144600,0.0,1.0
2004-03-22,24.55,24.6498,23.94,24.1,2.4368,7559700,0.0,1.0
2004-03-23,25.35,25.58,25.21,25.21,2.549,10877100,0.0,1.0
2004-03-24,25.26,25.39,24.95,25.05,2.5328,6040800,0.0,1.0
2004-03-25,25.04,25.24,24.78,25.17,2.545,5138700,0.0,1.0
2004-03-26,25.0,25.15,24.9,24.95,2.5227,995700,0.0,1.0
2004-03-29,24.99,25.37,24.99,25.22,2.55,1314000,0.0,1.0
2004-03-30,25.2191,25.41,25.1,25.39,2.5672,1706700,0.0,1.0
2004-03-31,25.15,25.29,24.95,25.01,2.5288,2148000,0.0,1.0
2004-04-01,24.5,24.75,23.72,23.92,2.4186,10821000,0.0,1.0
2004-04-02,24.41,24.85,24.16,24.3,2.457,7245300,0.0,1.0
2004-04-05,24.23,24.39,24.21,24.35,2.4621,7645200,0.0,1.0
2004-04-06,24.63,25.0,24.63,24.83,2.5106,3137400,0.0,1.0
2004-04-07,26.4,27.15,26.38,26.88,2.7179,12201600,0.0,1.0
2004-04-08,26.98,27.13,26.52,26.54,2.6835,3378300,0.0,1.0
2004-04-12,26.54,26.7,26.4,26.59,2.6886,1993800,0.0,1.0
2004-04-13,26.0518,26.05,25.55,25.57,2.5854,2784000,0.0,1.0
2004-04-14,25.0,25.25,24.67,24.83,2.5106,3851700,0.0,1.0
2004-04-15,24.75,24.94,24.4,24.6,2.4873,3504600,0.0,1.0
2004-04-16,24.62,24.98,24.5,24.94,2.5217,1506600,0.0,1.0
2004-04-19,24.6,24.602,24.26,24.48,2.4752,1800300,0.0,1.0
2004-04-20,24.02,24.14,23.55,23.56,2.3822,4394100,0.0,1.0
2004-04-21,23.0811,23.29,23.02,23.25,2.3508,4231500,0.0,1.0
2004-04-22,24.0,24.74,23.9095,24.53,2.4803,6537300,0.0,1.0
2004-04-23,24.95,24.98,24.1,24.3,2.457,4988100,0.0,1.0
2004-04-26,23.6,23.88,23.5,23.84,2.4105,2495100,0.0,1.0
2004-04-27,23.55,23.6,23.1,23.28,2.3539,5356200,0.0,1.0
2004-04-28,22.85,22.85,21.75,21.76,2.2002,10882800,0.0,1.0
2004-04-29,21.2,21.7,20.92,21.4,2.1638,9084000,0.0,1.0
2004-04-30,21.45,21.97,21.31,21.96,2.2204,3829200,0.0,1.0
2004-05-03,21.6,21.8,21.31,21.78,2.2022,3626100,0.0,1.0
2004-05-04,21.79,22.23,21.75,22.23,2.2477,5025000,0.0,1.0
2004-05-05,21.67,21.79,21.4,21.4,2.1638,3251700,0.0,1.0
2004-05-06,21.55,21.55,21.06,21.18,2.1415,3919800,0.0,1.0
2004-05-07,21.25,21.3,20.86,21.0,2.1233,4114800,0.0,1.0
2004-05-10,20.25,20.5496,18.89,19.96,2.0182,6749400,0.0,1.0
2004-05-11,20.9,21.83,20.9,21.75,2.1992,5589000,0.0,1.0
2004-05-12,21.4,21.6,20.75,21.19,2.1426,4192500,0.0,1.0
2004-05-13,20.62,20.88,20.47,20.71,2.094,2379300,0.0,1.0
2004-05-14,20.25,20.82,20.21,20.33,2.0556,1597800,0.0,1.0
2004-05-17,19.4,20.08,19.29,20.03,2.0253,2812800,0.0,1.0
2004-05-18,20.09,20.6,19.95,20.53,2.0758,3630000,0.0,1.0
2004-05-19,21.05,21.3496,20.56,20.59,2.0819,3098400,0.0,1.0
2004-05-20,20.59,20.85,20.4989,20.51,2.0738,1881900,0.0,1.0
2004-05-21,21.5,21.65,21.05,21.21,2.1446,2533500,0.0,1.0
2004-05-24,21.75,21.86,21.48,21.73,2.1972,1438800,0.0,1.0
2004-05-25,22.25,22.7,22.02,22.7,2.2952,4753800,0.0,1.0
2004-05-26,22.4502,22.7,22.4,22.55,2.2801,1793700,0.0,1.0
2004-05-27,23.05,23.55,23.04,23.52,2.3781,4956900,0.0,1.0
2004-05-28,23.52,23.81,23.52,23.77,2.4034,1749900,0.0,1.0
2004-06-01,23.5,23.57,23.4,23.5,2.3761,1702500,0.0,1.0
2004-06-02,23.95,23.95,23.49,23.58,2.3842,950100,0.0,1.0
2004-06-03,23.1,23.2,22.94,22.99,2.3246,1345200,0.0,1.0
2004-06-04,23.04,23.05,22.7586,22.95,2.3205,761400,0.0,1.0
2004-06-07,23.6,23.95,23.5506,23.91,2.4176,1503600,0.0,1.0
2004-06-08,23.45,23.79,23.44,23.75,2.4014,660600,0.0,1.0
2004-06-09,23.7,23.7,23.15,23.18,2.3438,1853700,0.0,1.0
2004-06-10,23.18,23.39,23.18,23.39,2.365,1421100,0.0,1.0
2004-06-14,23.14,23.28,23.08,23.16,2.3417,1098000,0.0,1.0
2004-06-15,23.0,23.43,23.0007,23.27,2.3529,1555500,0.0,1.0
2004-06-16,22.95,23.06,22.6,22.77,2.3023,1321200,0.0,1.0
2004-06-17,22.45,22.45,22.05,22.14,2.2386,2344200,0.0,1.0
2004-06-18,21.6401,21.75,21.35,21.5,2.1739,3192000,0.0,1.0
2004-06-21,21.9,22.1,21.83,21.88,2.2123,1972200,0.0,1.0
2004-06-22,21.75,22.12,21.72,22.0,2.2245,1321800,0.0,1.0
2004-06-23,22.5022,22.85,22.5,22.84,2.3094,3220500,0.0,1.0
2004-06-24,22.8,22.92,22.68,22.87,2.3124,1295400,0.0,1.0
2004-06-25,22.95,23.22,22.85,22.93,2.3185,515700,0.0,1.0
2004-06-28,23.4,23.5,23.301,23.36,2.362,1911300,0.0,1.0
2004-06-29,23.36,23.6678,23.3,23.56,2.3822,834900,0.0,1.0
2004-06-30,23.39,23.98,23.39,23.69,2.3953,764400,0.0,1.0
2004-07-01,23.65,23.65,23.11,23.4,2.366,886800,0.0,1.0
2004-07-02,23.35,23.35,23.15,23.25,2.3508,356700,0.0,1.0
2004-07-06,23.05,23.18,22.98,23.02,2.3276,719700,0.0,1.0
2004-07-07,23.4,23.58,23.26,23.43,2.369,863700,0.0,1.0
2004-07-08,23.3,23.32,23.09,23.26,2.3519,1102800,0.0,1.0
2004-07-09,23.27,23.35,23.15,23.34,2.3599,1370700,0.0,1.0
2004-07-12,22.97,23.01,22.71,22.82,2.3074,2025000,0.0,1.0
2004-07-13,22.59,22.59,22.35,22.47,2.272,1774500,0.0,1.0
2004-07-14,21.0,22.27,21.0,22.24,2.2487,2373000,0.0,1.0
2004-07-15,21.9,21.9,21.66,21.67,2.1911,882900,0.0,1.0
2004-07-16,21.8,21.9812,21.8,21.84,2.2083,567000,0.0,1.0
2004-07-19,22.25,22.3,22.0,22.11,2.2356,1304400,0.0,1.0
2004-07-20,22.05,22.31,22.0296,22.3,2.2548,898800,0.0,1.0
2004-07-21,22.4,22.46,21.919,22.04,2.2285,660600,0.0,1.0
2004-07-22,22.04,22.25,21.85,22.15,2.2396,1215600,0.0,1.0
2004-07-23,21.95,22.06,21.758,21.81,2.2052,697200,0.0,1.0
2004-07-26,21.81,21.82,21.59,21.71,2.1951,616500,0.0,1.0
2004-07-27,21.6,21.99,21.51,21.94,2.2184,610800,0.0,1.0
2004-07-28,21.98,21.98,21.52,21.75,2.1992,342300,0.0,1.0
2004-07-29,21.75,21.87,21.68,21.85,2.2093,335700,0.0,1.0
2004-07-30,21.85,21.8998,21.75,21.87,2.2113,270900,0.0,1.0
2004-08-02,21.7,21.94,21.61,21.85,2.2093,411000,0.0,1.0
2004-08-03,21.45,21.7,21.28,21.39,2.1628,402000,0.0,1.0
2004-08-04,21.15,21.33,21.07,21.33,2.1567,347700,0.0,1.0
2004-08-05,21.5,21.55,21.3,21.3,2.1537,212700,0.0,1.0
2004-08-06,21.35,21.35,21.0,21.08,2.1314,781200,0.0,1.0
2004-08-09,21.0,21.28,21.0,21.02,2.1254,1609800,0.0,1.0
2004-08-10,21.0,21.25,20.96,21.2,2.1436,983700,0.0,1.0
2004-08-11,21.1,21.15,20.5695,20.85,2.1082,1363500,0.0,1.0
2004-08-12,21.0,21.0,20.76,20.94,2.1173,487800,0.0,1.0
2004-08-13,20.9,20.92,20.84,20.9,2.1132,425400,0.0,1.0
2004-08-16,20.799,20.97,20.68,20.91,2.1142,207900,0.0,1.0
2004-08-17,20.81,20.891,20.67,20.87,2.1102,341400,0.0,1.0
2004-08-18,20.8,21.2,20.76,21.2,2.1436,556500,0.0,1.0
2004-08-19,21.73,22.09,21.71,21.96,2.2204,1266000,0.0,1.0
2004-08-20,21.8,22.09,21.65,22.09,2.2336,634800,0.0,1.0
2004-08-23,21.59,21.7,21.37,21.63,2.187,552600,0.0,1.0
2004-08-24,21.81,21.88,21.66,21.75,2.1992,209400,0.0,1.0
2004-08-25,21.85,22.3,21.85,22.2,2.2447,812400,0.0,1.0
2004-08-26,21.9,21.9611,21.76,21.89,2.2133,467700,0.0,1.0
2004-08-27,22.2,22.8,22.2,22.8,2.3053,2346600,0.0,1.0
2004-08-30,23.3,23.72,23.3,23.35,2.361,2365800,0.0,1.0
2004-08-31,23.62,24.05,23.62,24.04,2.4307,1549800,0.0,1.0
