timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,17.25,17.375,17.125,17.25,14.3213,9300,0.0,1.0
1999-09-14,17.125,17.313,17.125,17.25,14.3213,3300,0.0,1.0
1999-09-15,17.125,17.375,17.063,17.375,14.4251,6400,0.0,1.0
1999-09-16,17.25,17.25,17.188,17.188,14.2694,3500,0.0,1.0
1999-09-17,17.063,17.25,17.0,17.125,14.2175,19800,0.0,1.0
1999-09-20,17.0,17.063,16.9995,17.063,14.1656,12300,0.0,1.0
1999-09-21,17.0,17.0,16.938,16.938,14.0618,12600,0.0,1.0
1999-09-22,17.063,17.188,17.063,17.188,14.2694,10700,0.0,1.0
1999-09-23,18.625,18.625,18.0,18.0,14.944,24000,0.0,1.0
1999-09-24,17.75,17.813,17.125,17.375,14.4251,33200,0.0,1.0
1999-09-27,17.375,17.813,17.375,17.625,14.6326,15100,0.0,1.0
1999-09-28,17.75,17.875,17.5,17.875,14.8402,6700,0.0,1.0
1999-09-29,17.813,18.5,17.7491,18.5,15.3591,22200,0.0,1.0
1999-09-30,18.75,19.625,18.75,19.625,16.2931,19200,0.0,1.0
1999-10-01,19.625,19.75,19.625,19.688,16.345,14400,0.0,1.0
1999-10-04,19.688,19.813,19.375,19.438,16.1374,17200,0.0,1.0
1999-10-05,19.438,19.875,19.4352,19.75,16.3968,13900,0.0,1.0
1999-10-06,19.75,19.875,19.75,19.875,16.5006,10000,0.0,1.0
1999-10-07,19.813,20.063,19.813,20.063,16.6563,10300,0.0,1.0
1999-10-08,20.25,20.813,20.25,20.625,17.1233,10900,0.0,1.0
1999-10-11,20.625,21.125,20.625,21.063,17.4865,3500,0.0,1.0
1999-10-12,21.0,21.25,20.875,21.0,17.4346,3000,0.0,1.0
1999-10-13,21.0,21.0,19.875,19.875,16.5006,11800,0.0,1.0
1999-10-14,19.875,20.5,19.875,20.5,17.0195,29300,0.0,1.0
1999-10-15,20.625,20.625,20.188,20.5,17.0195,18600,0.0,1.0
1999-10-18,20.5,20.813,20.5,20.75,17.2271,4500,0.0,1.0
1999-10-19,20.875,20.938,20.5,20.5,17.0195,23600,0.0,1.0
1999-10-20,20.5,20.75,20.438,20.438,16.9676,21800,0.0,1.0
1999-10-21,20.5,20.5,20.0,20.438,16.9676,6600,0.0,1.0
1999-10-22,20.375,20.375,20.0,20.375,16.9157,3600,0.0,1.0
1999-10-25,20.313,20.375,20.0623,20.063,16.6563,5700,0.0,1.0
1999-10-26,20.125,20.125,20.0,20.125,16.7082,2800,0.0,1.0
1999-10-27,20.125,20.25,20.063,20.125,16.7082,4300,0.0,1.0
1999-10-28,20.125,20.313,20.1245,20.313,16.8638,7500,0.0,1.0
1999-10-29,20.375,20.5,20.313,20.313,16.8638,4800,0.0,1.0
1999-11-01,20.563,20.625,20.5,20.625,17.1233,7200,0.0,1.0
1999-11-02,20.5,20.813,20.438,20.438,16.9676,6800,0.0,1.0
1999-11-03,20.438,20.563,20.438,20.563,17.0714,2300,0.0,1.0
1999-11-04,20.5,20.5,20.25,20.5,17.0195,6900,0.0,1.0
1999-11-05,20.375,20.438,20.313,20.313,16.8638,3900,0.0,1.0
1999-11-08,20.0627,20.125,19.875,19.938,16.5525,6800,0.0,1.0
1999-11-09,19.938,20.0,19.625,19.75,16.3968,4200,0.0,1.0
1999-11-10,19.625,19.625,19.375,19.5,16.2164,2800,0.033,1.0
1999-11-11,19.438,19.438,19.063,19.063,15.8526,4000,0.0,1.0
1999-11-12,19.0,19.0,18.125,18.125,15.0729,8000,0.0,1.0
1999-11-15,18.063,18.063,17.875,17.875,14.865,7800,0.0,1.0
1999-11-16,18.0,18.313,17.875,18.313,15.2288,4300,0.0,1.0
1999-11-17,18.25,18.25,17.5,17.688,14.7091,12100,0.0,1.0
1999-11-18,17.5,17.5634,17.125,17.125,14.2413,9900,0.0,1.0
1999-11-19,17.0,17.0,16.375,16.375,13.6176,11800,0.0,1.0
1999-11-22,16.375,17.125,16.375,17.063,14.1893,13200,0.0,1.0
1999-11-23,17.125,17.125,16.75,16.75,13.9295,4600,0.0,1.0
1999-11-24,16.75,16.75,16.5,16.688,13.8775,6200,0.0,1.0
1999-11-26,16.75,17.125,16.75,17.063,14.1893,4400,0.0,1.0
1999-11-29,16.875,17.0,16.563,17.0,14.1374,6100,0.0,1.0
1999-11-30,16.75,16.875,16.625,16.813,13.9814,11300,0.0,1.0
1999-12-01,16.875,16.8755,16.625,16.75,13.9295,5400,0.0,1.0
1999-12-02,16.625,16.938,16.625,16.875,14.0334,3800,0.0,1.0
1999-12-03,16.875,17.0,16.813,16.875,14.0334,8400,0.0,1.0
1999-12-06,16.625,17.5,16.625,16.875,14.0334,19200,0.0,1.0
1999-12-07,16.938,16.938,16.438,16.438,13.6696,11700,0.0,1.0
1999-12-08,16.438,16.688,16.375,16.563,13.7735,5300,0.0,1.0
1999-12-09,16.688,16.813,16.375,16.375,13.6176,12600,0.0,1.0
1999-12-10,16.375,16.5,16.375,16.5,13.7216,16500,0.0,1.0
1999-12-13,16.438,16.4998,16.375,16.375,13.6176,6300,0.0,1.0
1999-12-14,16.3742,16.563,16.375,16.375,13.6176,54600,0.0,1.0
1999-12-15,16.375,16.375,16.125,16.25,13.5137,4800,0.0,1.0
1999-12-16,16.188,16.5,16.188,16.438,13.6696,10100,0.0,1.0
1999-12-17,16.3137,16.438,16.125,16.438,13.6696,319700,0.0,1.0
1999-12-20,16.563,16.625,16.563,16.563,13.7735,7200,0.0,1.0
1999-12-21,16.438,16.5,16.375,16.5,13.7216,24300,0.0,1.0
1999-12-22,16.5,16.563,16.438,16.5,13.7216,9200,0.0,1.0
1999-12-23,16.438,16.688,16.438,16.625,13.8255,107400,0.0,1.0
1999-12-27,16.625,18.0,16.625,18.0,14.969,29000,0.0,1.0
1999-12-28,18.0,18.25,17.813,17.938,14.917,14800,0.0,1.0
1999-12-29,17.938,18.0,17.875,18.0,14.969,7000,0.0,1.0
1999-12-30,17.75,18.125,17.75,18.0,14.969,18500,0.0,1.0
1999-12-31,18.0,18.25,18.0,18.25,15.1769,3200,0.0,1.0
2000-01-03,18.125,18.188,17.438,17.563,14.6051,12200,0.0,1.0
2000-01-04,17.313,18.125,17.313,17.688,14.7091,23500,0.0,1.0
2000-01-05,17.688,17.688,17.4362,17.438,14.5012,17900,0.0,1.0
2000-01-06,17.313,17.313,16.625,16.688,13.8775,122400,0.0,1.0
2000-01-07,16.938,17.063,16.5,16.875,14.0334,11600,0.0,1.0
2000-01-10,17.125,17.125,16.5,16.625,13.8255,13200,0.0,1.0
2000-01-11,16.3739,16.688,16.375,16.625,13.8255,6500,0.0,1.0
2000-01-12,16.625,17.0,16.625,16.875,14.0334,17300,0.0,1.0
2000-01-13,16.938,17.125,16.875,17.0,14.1374,19300,0.0,1.0
2000-01-14,17.0647,17.063,16.625,16.625,13.8255,14500,0.0,1.0
2000-01-18,16.438,16.75,16.438,16.625,13.8255,20600,0.0,1.0
2000-01-19,16.625,16.688,16.438,16.688,13.8775,5900,0.0,1.0
2000-01-20,16.625,17.125,16.625,17.125,14.2413,12200,0.0,1.0
2000-01-21,16.938,17.0,16.875,16.875,14.0334,10600,0.0,1.0
2000-01-24,16.875,17.0,16.813,16.813,13.9814,6900,0.0,1.0
2000-01-25,16.688,16.75,16.3749,16.688,13.8775,9400,0.0,1.0
2000-01-26,16.75,16.75,16.375,16.5,13.7216,12200,0.0,1.0
2000-01-27,16.375,16.625,16.375,16.5,13.7216,11100,0.0,1.0
2000-01-28,16.563,16.563,16.438,16.5,13.7216,5700,0.0,1.0
2000-01-31,16.5,16.563,16.5,16.563,13.7735,12500,0.0,1.0
2000-02-01,16.5,17.2519,16.5,17.25,14.3453,13300,0.0,1.0
2000-02-02,17.5,17.5,17.0,17.0,14.1374,9500,0.0,1.0
2000-02-03,17.0,17.125,16.875,17.0,14.1374,8500,0.0,1.0
2000-02-04,17.0,17.313,16.813,16.813,13.9814,11300,0.0,1.0
2000-02-07,16.688,16.688,16.438,16.5,13.7216,74700,0.0,1.0
2000-02-08,16.5,16.5,16.1897,16.313,13.5656,13700,0.0,1.0
2000-02-09,16.188,16.438,16.188,16.375,13.6176,11000,0.0,1.0
2000-02-10,16.375,16.5,16.375,16.375,13.6176,13300,0.0,1.0
2000-02-11,16.313,16.313,16.125,16.25,13.5426,16400,0.035,1.0
2000-02-14,16.125,16.25,16.063,16.125,13.4384,6800,0.0,1.0
2000-02-15,16.3141,17.125,16.313,17.125,14.2718,13700,0.0,1.0
2000-02-16,17.125,18.625,17.125,17.875,14.8969,32500,0.0,1.0
2000-02-17,17.875,18.0,17.5,17.75,14.7927,12400,0.0,1.0
2000-02-18,17.875,17.875,17.25,17.625,14.6885,13700,0.0,1.0
2000-02-22,17.563,17.563,17.0,17.125,14.2718,9100,0.0,1.0
2000-02-23,17.125,17.125,17.0,17.063,14.2197,10200,0.0,1.0
2000-02-24,17.25,17.313,16.75,16.938,14.1156,16600,0.0,1.0
2000-02-25,17.125,17.125,16.25,16.5,13.7509,12000,0.0,1.0
2000-02-28,16.438,16.438,16.0,16.125,13.4384,4800,0.0,1.0
2000-02-29,16.0,16.813,15.938,16.813,14.0114,22000,0.0,1.0
2000-03-01,16.813,17.063,16.75,16.75,13.9593,19300,0.0,1.0
2000-03-02,16.5,16.625,16.2514,16.375,13.6468,7400,0.0,1.0
2000-03-03,16.125,16.188,16.0,16.125,13.4384,8000,0.0,1.0
2000-03-06,16.0,16.063,14.375,14.5,12.0842,14700,0.0,1.0
2000-03-07,14.438,14.563,13.75,14.0,11.6675,25600,0.0,1.0
2000-03-08,13.625,14.125,13.625,14.0,11.6675,20000,0.0,1.0
2000-03-09,14.5,14.5,14.125,14.375,11.98,20500,0.0,1.0
2000-03-10,14.375,14.813,14.25,14.813,12.3446,10100,0.0,1.0
2000-03-13,14.688,15.625,14.4997,15.125,12.605,13900,0.0,1.0
2000-03-14,15.375,15.6258,15.125,15.625,13.0217,21400,0.0,1.0
2000-03-15,15.563,17.0,15.563,17.0,14.1676,20800,0.0,1.0
2000-03-16,16.875,16.8754,16.125,16.125,13.4384,22400,0.0,1.0
2000-03-17,15.938,16.188,15.875,16.188,13.4905,49800,0.0,1.0
2000-03-20,16.313,17.625,16.3129,17.625,14.6885,29100,0.0,1.0
2000-03-21,17.875,18.313,17.563,17.625,14.6885,31900,0.0,1.0
2000-03-22,17.375,17.375,16.75,16.75,13.9593,80100,0.0,1.0
2000-03-23,16.75,16.813,16.75,16.813,14.0114,69800,0.0,1.0
2000-03-24,16.625,16.688,16.5,16.625,13.8551,66500,0.0,1.0
2000-03-27,16.375,16.563,16.375,16.563,13.803,54900,0.0,1.0
2000-03-28,16.5,16.688,16.5,16.625,13.8551,4700,0.0,1.0
2000-03-29,16.625,16.6253,16.375,16.375,13.6468,58500,0.0,1.0
2000-03-30,16.5,16.75,16.5,16.75,13.9593,7800,0.0,1.0
2000-03-31,16.75,17.125,16.75,17.125,14.2718,7600,0.0,1.0
2000-04-03,17.1237,17.438,17.125,17.438,14.5323,4400,0.0,1.0
2000-04-04,17.5,17.875,17.5,17.875,14.8969,16400,0.0,1.0
2000-04-05,17.875,18.188,17.813,18.0,15.001,9100,0.0,1.0
2000-04-06,18.0,18.062,17.75,17.75,14.7927,11900,0.0,1.0
2000-04-07,17.75,17.875,17.75,17.813,14.8448,3900,0.0,1.0
2000-04-10,17.5,17.813,17.5,17.625,14.6885,10300,0.0,1.0
2000-04-11,17.875,17.875,17.688,17.75,14.7927,8500,0.0,1.0
2000-04-12,17.75,18.0,17.75,17.875,14.8969,8800,0.0,1.0
2000-04-13,18.0,18.0623,17.875,17.875,14.8969,5300,0.0,1.0
2000-04-14,17.813,18.125,17.813,18.063,15.0531,65900,0.0,1.0
2000-04-17,18.063,18.063,17.813,17.938,14.9489,5400,0.0,1.0
2000-04-18,17.938,17.938,17.5,17.875,14.8969,8200,0.0,1.0
2000-04-19,17.813,18.063,17.75,18.063,15.0531,4500,0.0,1.0
2000-04-20,18.0,18.0,17.9389,17.938,14.9489,6100,0.0,1.0
2000-04-24,17.75,17.7506,17.5,17.688,14.7406,6200,0.0,1.0
