timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-07-22,14.4,14.5,13.55,14.05,12.35,10234000,0.0,1.0
2004-07-23,13.9996,14.35,13.8,14.2,12.4819,2560200,0.0,1.0
2004-07-26,14.5,14.66,14.01,14.09,12.3852,1614700,0.0,1.0
2004-07-27,14.05,14.49,14.05,14.45,12.7016,947000,0.0,1.0
2004-07-28,14.45,14.49,14.2,14.4,12.6577,700200,0.0,1.0
2004-07-29,14.2,14.5,14.1493,14.5,12.7456,225600,0.0,1.0
2004-07-30,14.5,14.5,14.0492,14.1,12.394,266200,0.0,1.0
2004-08-02,14.0,14.01,13.75,13.75,12.0863,593400,0.0,1.0
2004-08-03,13.75,14.0,13.6,13.92,12.2358,617500,0.0,1.0
2004-08-04,13.92,14.25,13.85,14.14,12.4291,1127100,0.0,1.0
2004-08-05,14.45,14.65,14.41,14.56,12.7983,991500,0.0,1.0
2004-08-06,14.5,14.5,14.36,14.45,12.7016,483100,0.0,1.0
2004-08-09,14.4,14.95,14.4,14.9,13.0972,803000,0.0,1.0
2004-08-10,14.95,15.1,14.93,15.06,13.2378,756500,0.0,1.0
2004-08-11,15.03,15.07,14.8,14.85,13.0532,864800,0.0,1.0
2004-08-12,15.05,15.05,14.71,14.8,13.0093,1027100,0.0,1.0
2004-08-13,14.81,14.98,14.75,14.9,13.0972,286700,0.0,1.0
2004-08-16,14.83,15.04,14.8304,15.0,13.1851,273200,0.0,1.0
2004-08-17,15.03,15.0705,14.87,15.0,13.1851,444500,0.0,1.0
2004-08-18,15.15,15.41,15.09,15.38,13.5191,2107300,0.0,1.0
2004-08-19,15.95,16.02,15.8,15.81,13.8971,1863100,0.0,1.0
2004-08-20,15.8,15.9,15.68,15.85,13.9322,835600,0.0,1.0
2004-08-23,15.68,15.75,15.31,15.67,13.774,903700,0.0,1.0
2004-08-24,15.81,15.84,15.52,15.52,13.6422,471300,0.0,1.0
2004-08-25,15.6513,15.94,15.42,15.75,13.8443,1013100,0.0,1.0
2004-08-26,15.83,15.91,15.65,15.85,13.9322,536500,0.0,1.0
2004-08-27,15.85,15.9,15.72,15.83,13.9147,203400,0.0,1.0
2004-08-30,15.25,15.2898,14.65,14.96,13.1499,518300,0.0,1.0
2004-08-31,14.86,14.88,14.53,14.88,13.0796,280600,0.0,1.0
2004-09-01,14.9,15.15,14.9,15.13,13.2993,267200,0.0,1.0
2004-09-02,15.03,15.1,14.86,15.02,13.2027,82000,0.0,1.0
2004-09-03,14.9,14.9,14.44,14.45,12.7016,330000,0.0,1.0
2004-09-07,14.45,14.62,14.0496,14.29,12.561,163700,0.0,1.0
2004-09-08,14.32,14.37,14.15,14.35,12.6137,129900,0.0,1.0
2004-09-09,14.35,14.51,14.32,14.5,12.7456,476900,0.0,1.0
2004-09-10,15.15,15.25,15.03,15.12,13.2906,880200,0.0,1.0
2004-09-13,15.3,15.5,15.22,15.5,13.6246,748700,0.0,1.0
2004-09-14,15.4009,15.45,15.2,15.29,13.44,208900,0.0,1.0
2004-09-15,15.2208,15.22,14.95,15.02,13.2027,363200,0.0,1.0
2004-09-16,15.07,15.39,15.03,15.25,13.4048,247600,0.0,1.0
2004-09-17,15.0,15.25,14.89,15.14,13.3081,429000,0.0,1.0
2004-09-20,14.9982,15.05,14.87,15.0,13.1851,208400,0.0,1.0
2004-09-21,14.9008,15.14,14.85,15.12,13.2906,163100,0.0,1.0
2004-09-22,14.9,14.91,14.55,14.76,12.9741,132400,0.0,1.0
2004-09-23,14.98,14.99,14.78,14.87,13.0708,228300,0.0,1.0
2004-09-24,14.97,15.38,14.97,15.38,13.5191,233300,0.0,1.0
2004-09-27,15.281,15.35,15.17,15.3,13.4488,475900,0.0,1.0
2004-09-28,15.3,15.3,15.17,15.29,13.44,303400,0.0,1.0
2004-09-29,15.2,15.3896,15.2,15.39,13.5279,493300,0.0,1.0
2004-09-30,15.15,15.2,15.08,15.15,13.3169,496700,0.0,1.0
2004-10-01,15.32,15.9,15.32,15.89,13.9674,432700,0.0,1.0
2004-10-04,15.95,16.1,15.95,16.08,14.1344,689700,0.0,1.0
2004-10-05,16.13,16.25,16.01,16.25,14.2838,766500,0.0,1.0
2004-10-06,16.33,16.48,16.1,16.26,14.2926,489900,0.0,1.0
2004-10-07,16.0998,16.13,15.9,15.97,14.0377,738000,0.0,1.0
2004-10-08,15.9,15.98,15.61,15.68,13.7828,131300,0.0,1.0
2004-10-11,15.2,15.2,14.25,14.6,12.8335,1495400,0.0,1.0
2004-10-12,14.0,14.35,13.37,14.35,12.6137,710900,0.0,1.0
2004-10-13,14.35,14.44,14.03,14.14,12.4291,427800,0.0,1.0
