timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-08-10,14.05,14.2,14.0,14.0,13.4111,31846200,0.0,1.0
2012-08-13,13.97,15.27,13.96,14.15,13.5548,2061800,0.0,1.0
2012-08-14,14.2,14.48,14.15,14.2,13.6027,204800,0.0,1.0
2012-08-15,14.42,14.88,14.03,14.05,13.459,563500,0.0,1.0
2012-08-16,14.07,14.08,13.29,13.77,13.1907,1605600,0.0,1.0
2012-08-17,13.82,13.84,13.3597,13.42,12.8555,532500,0.0,1.0
2012-08-20,13.46,13.57,12.8,13.06,12.5106,984800,0.0,1.0
2012-08-21,13.3,13.33,13.0804,13.19,12.6351,317900,0.0,1.0
2012-08-22,13.44,13.44,13.02,13.13,12.5777,447300,0.0,1.0
2012-08-23,13.09,13.5,13.09,13.25,12.6926,561500,0.0,1.0
2012-08-24,13.47,13.47,13.12,13.26,12.7022,193800,0.0,1.0
2012-08-27,13.4,13.83,13.31,13.83,13.2482,289500,0.0,1.0
2012-08-28,13.85,13.85,13.53,13.53,12.9608,242600,0.0,1.0
2012-08-29,13.75,13.7507,13.5,13.57,12.9992,262100,0.0,1.0
2012-08-30,13.67,13.67,13.3605,13.41,12.8459,202200,0.0,1.0
2012-08-31,13.52,13.525,13.27,13.3,12.7405,250900,0.0,1.0
2012-09-04,13.6,13.65,13.1,13.19,12.6351,512200,0.0,1.0
2012-09-05,13.14,13.2,12.75,12.9,12.3573,407800,0.0,1.0
2012-09-06,12.9,13.18,12.84,12.88,12.3382,200500,0.0,1.0
2012-09-07,13.16,13.16,12.59,12.6,12.07,294000,0.0,1.0
2012-09-10,12.46,12.59,12.43,12.49,11.9646,263500,0.0,1.0
2012-09-11,12.46,12.51,12.25,12.31,11.7922,315000,0.0,1.0
2012-09-12,12.11,12.5,12.11,12.18,11.6676,243900,0.0,1.0
2012-09-13,12.1,12.43,12.0,12.39,11.8688,642700,0.0,1.0
2012-09-14,12.45,12.5,12.1295,12.45,11.9263,224400,0.0,1.0
2012-09-17,12.44,13.37,12.39,12.96,12.4148,440600,0.0,1.0
2012-09-18,12.06,13.05,12.06,12.58,12.0508,392300,0.0,1.0
2012-09-19,12.82,12.82,12.37,12.47,11.9454,248600,0.0,1.0
2012-09-20,12.45,12.5,12.39,12.41,11.888,102100,0.0,1.0
2012-09-21,12.52,12.76,12.45,12.72,12.1849,90700,0.0,1.0
2012-09-24,12.75,13.49,12.75,13.37,12.8076,258500,0.0,1.0
2012-09-25,13.37,13.44,13.16,13.38,12.8172,122900,0.0,1.0
2012-09-26,13.3901,13.39,13.12,13.25,12.6926,67300,0.0,1.0
2012-09-27,13.28,13.37,13.1,13.26,12.7022,70800,0.0,1.0
2012-09-28,13.26,13.26,12.73,12.73,12.1945,161800,0.0,1.0
2012-10-01,12.77,13.0,12.5,12.55,12.0221,91000,0.0,1.0
2012-10-02,12.61,12.73,12.5,12.56,12.0317,61100,0.0,1.0
2012-10-03,12.58,13.22,12.5,13.05,12.501,221700,0.0,1.0
2012-10-04,13.11,13.11,12.88,13.0,12.4531,127200,0.0,1.0
2012-10-05,13.0,13.13,12.9,12.98,12.434,88800,0.0,1.0
2012-10-08,13.0,13.09,12.75,13.0,12.4531,144100,0.0,1.0
2012-10-09,13.03,13.48,12.94,13.36,12.798,101000,0.0,1.0
2012-10-10,13.32,13.3199,12.87,13.25,12.6926,148700,0.0,1.0
2012-10-11,13.29,13.29,12.743,12.86,12.319,91600,0.0,1.0
2012-10-12,12.9,13.0,12.84,12.88,12.3382,72300,0.0,1.0
2012-10-15,12.92,12.93,12.6,12.63,12.0987,80000,0.0,1.0
2012-10-16,12.63,12.71,12.5,12.5,11.9742,121900,0.0,1.0
2012-10-17,12.55,12.6,12.2,12.26,11.7443,110700,0.0,1.0
2012-10-18,12.37,12.45,12.27,12.28,11.7634,42600,0.0,1.0
2012-10-19,12.45,12.46,12.23,12.25,11.7347,107000,0.0,1.0
