timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-06-30,24.5,24.875,21.875,22.375,0.5018,54904000,0.0,1.0
2000-07-03,23.0,23.125,22.625,22.688,0.5088,8339000,0.0,1.0
2000-07-05,22.313,22.563,22.0,22.563,0.506,7871000,0.0,1.0
2000-07-06,23.0,23.5,22.563,22.563,0.506,2682000,0.0,1.0
2000-07-07,22.563,22.875,22.4386,22.875,0.513,1720000,0.0,1.0
2000-07-10,23.0,23.5,22.875,23.188,0.52,2880000,0.0,1.0
2000-07-11,23.1898,23.188,22.75,22.938,0.5144,939000,0.0,1.0
2000-07-12,23.0,23.25,23.0,23.188,0.52,951000,0.0,1.0
2000-07-13,23.375,23.5,23.063,23.25,0.5214,3109000,0.0,1.0
2000-07-14,23.313,23.5,23.25,23.5,0.527,2431000,0.0,1.0
2000-07-17,23.375,23.375,23.2507,23.375,0.5242,259000,0.0,1.0
2000-07-18,23.25,23.25,22.375,22.438,0.5032,776000,0.0,1.0
2000-07-19,22.5,23.0,22.5,22.75,0.5102,960000,0.0,1.0
2000-07-20,22.6259,23.0,22.625,23.0,0.5158,626000,0.0,1.0
2000-07-21,23.188,23.313,23.125,23.125,0.5186,96000,0.0,1.0
2000-07-24,23.125,23.25,22.563,22.563,0.506,237000,0.0,1.0
2000-07-25,22.563,22.75,22.563,22.75,0.5102,1372000,0.0,1.0
2000-07-26,22.75,22.875,22.625,22.75,0.5102,298000,0.0,1.0
2000-07-27,22.75,22.7506,22.375,22.75,0.5102,1822000,0.0,1.0
2000-07-28,22.563,22.688,22.438,22.438,0.5032,193000,0.0,1.0
2000-07-31,22.75,22.75,22.625,22.75,0.5102,676000,0.0,1.0
2000-08-01,23.25,24.6248,23.25,24.0,0.5382,2897000,0.0,1.0
2000-08-02,24.5,26.063,24.5,26.0,0.5831,645000,0.0,1.0
2000-08-03,25.625,25.625,25.0,25.125,0.5635,663000,0.0,1.0
2000-08-04,25.0,26.625,25.0,26.563,0.5957,877000,0.0,1.0
2000-08-07,26.563,26.563,26.125,26.125,0.5859,463000,0.0,1.0
2000-08-08,26.0,26.25,25.625,25.875,0.5803,2454000,0.0,1.0
2000-08-09,26.0,26.75,26.0005,26.625,0.5971,980000,0.0,1.0
2000-08-10,26.625,27.25,26.5,27.125,0.6083,1026000,0.0,1.0
2000-08-11,27.438,29.25,27.375,29.063,0.6518,907000,0.0,1.0
2000-08-14,29.0,30.5,29.0,29.875,0.67,2916000,0.0,1.0
2000-08-15,29.813,29.938,29.313,29.375,0.6588,654000,0.0,1.0
2000-08-16,29.438,29.5,28.938,29.0,0.6504,576000,0.0,1.0
2000-08-17,29.625,29.75,27.625,27.875,0.6251,1391000,0.0,1.0
2000-08-18,27.625,28.125,27.563,28.0,0.6279,726000,0.0,1.0
2000-08-21,28.125,28.125,27.75,27.75,0.6223,706000,0.0,1.0
2000-08-22,27.75,28.125,27.75,28.063,0.6293,1031000,0.0,1.0
2000-08-23,28.313,29.25,28.313,29.25,0.656,616000,0.0,1.0
2000-08-24,29.375,30.5,29.375,30.375,0.6812,1380000,0.0,1.0
2000-08-25,30.875,30.875,30.75,30.75,0.6896,354000,0.0,1.0
2000-08-28,30.875,31.75,30.875,31.375,0.7036,83000,0.0,1.0
2000-08-29,31.75,32.0,31.25,31.25,0.7008,491000,0.0,1.0
2000-08-30,31.0,31.0,29.75,30.188,0.677,412000,0.0,1.0
2000-08-31,29.625,29.625,28.6226,29.125,0.6532,812000,0.0,1.0
2000-09-01,29.125,29.125,28.5,28.5,0.6392,105000,0.0,1.0
2000-09-05,28.25,28.875,28.25,28.875,0.6476,72000,0.0,1.0
2000-09-06,28.875,28.938,28.688,28.813,0.6462,745000,0.0,1.0
2000-09-07,28.813,28.875,28.0,28.125,0.6307,309000,0.0,1.0
2000-09-08,28.0,28.125,27.813,27.813,0.6237,437000,0.0,1.0
2000-09-11,27.875,27.875,26.875,26.875,0.6027,1152000,0.0,1.0
2000-09-12,26.0,26.0,23.75,24.438,0.548,2620000,0.0,1.0
2000-09-13,24.438,24.438,23.313,23.438,0.5256,1730000,0.0,1.0
2000-09-14,24.0,26.5,24.0,26.438,0.5929,924000,0.0,1.0
2000-09-15,25.8738,25.875,25.188,25.5,0.5719,613000,0.0,1.0
2000-09-18,24.25,24.25,23.0,23.125,0.5186,783000,0.0,1.0
2000-09-19,23.25,23.5,22.375,22.75,0.5102,961000,0.0,1.0
2000-09-20,22.875,23.0,21.8732,22.25,0.499,1069000,0.0,1.0
2000-09-21,22.25,22.25,22.125,22.25,0.499,894000,0.0,1.0
2000-09-22,22.5,24.0,21.2494,23.625,0.5298,974000,0.0,1.0
2000-09-25,25.0,25.813,24.5,25.813,0.5789,1042000,0.0,1.0
2000-09-26,25.875,25.875,25.0,25.188,0.5649,1323000,0.0,1.0
2000-09-27,25.188,26.25,25.188,26.25,0.5887,324000,0.0,1.0
2000-09-28,26.5,26.625,26.5,26.5,0.5943,445000,0.0,1.0
2000-09-29,26.25,26.313,25.375,25.375,0.5691,263000,0.0,1.0
2000-10-02,25.375,27.0,25.375,26.375,0.5915,301000,0.0,1.0
2000-10-03,26.375,27.875,26.375,27.375,0.6139,766000,0.0,1.0
2000-10-04,26.5003,26.5,25.313,26.0,0.5831,1097000,0.0,1.0
2000-10-05,25.875,26.0,25.625,25.75,0.5775,141000,0.0,1.0
2000-10-06,25.875,26.0,25.875,25.938,0.5817,1006000,0.0,1.0
2000-10-09,25.625,25.625,25.3755,25.5,0.5719,378000,0.0,1.0
2000-10-10,25.75,27.0,25.75,26.5,0.5943,636000,0.0,1.0
2000-10-11,26.25,26.25,25.563,25.625,0.5747,924000,0.0,1.0
2000-10-12,25.75,25.7491,25.0,25.063,0.5621,1036000,0.0,1.0
2000-10-13,25.25,25.313,25.125,25.313,0.5677,1272000,0.0,1.0
2000-10-16,25.875,25.938,25.75,25.75,0.5775,1737000,0.0,1.0
2000-10-17,25.875,26.375,25.875,26.313,0.5901,137000,0.0,1.0
