timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-19,34.0,39.56,32.05,37.05,37.05,18257400,0.0,1.0
2019-07-22,37.51,38.6,35.55,36.0,36.0,3594700,0.0,1.0
2019-07-23,36.73,37.3,35.8,36.73,36.73,1251100,0.0,1.0
2019-07-24,36.95,40.54,36.1,40.54,40.54,1285700,0.0,1.0
2019-07-25,41.25,44.72,41.0,41.5,41.5,4098700,0.0,1.0
2019-07-26,41.95,44.499,41.55,43.0,43.0,697300,0.0,1.0
2019-07-29,43.34,43.8,41.037,42.28,42.28,824100,0.0,1.0
2019-07-30,42.68,42.754,38.53,41.08,41.08,809300,0.0,1.0
2019-07-31,40.96,41.35,39.75,39.85,39.85,920800,0.0,1.0
2019-08-01,40.0,40.23,37.9,37.96,37.96,618600,0.0,1.0
2019-08-02,37.51,40.63,36.74,39.87,39.87,565000,0.0,1.0
2019-08-05,38.4,38.8,37.41,38.32,38.32,438700,0.0,1.0
2019-08-06,38.5,38.89,37.387,37.62,37.62,781100,0.0,1.0
2019-08-07,37.5,38.7,36.64,38.18,38.18,285500,0.0,1.0
2019-08-08,38.07,39.3,36.53,37.0,37.0,439800,0.0,1.0
2019-08-09,37.08,37.593,34.22,37.43,37.43,942900,0.0,1.0
2019-08-12,37.24,39.8502,37.24,39.33,39.33,389300,0.0,1.0
2019-08-13,40.3,43.05,40.2,41.45,41.45,550800,0.0,1.0
2019-08-14,40.79,42.85,40.12,41.29,41.29,548400,0.0,1.0
2019-08-15,41.7,42.8,39.36,40.09,40.09,606500,0.0,1.0
2019-08-16,40.11,42.8,39.1633,39.65,39.65,303400,0.0,1.0
2019-08-19,39.68,40.8,37.5,37.68,37.68,431500,0.0,1.0
2019-08-20,37.59,38.15,35.82,36.72,36.72,950800,0.0,1.0
2019-08-21,37.02,38.45,36.5,37.41,37.41,657200,0.0,1.0
2019-08-22,37.46,38.17,36.8,37.23,37.23,706400,0.0,1.0
2019-08-23,37.03,38.99,37.03,37.76,37.76,377100,0.0,1.0
2019-08-26,38.11,38.32,36.93,37.61,37.61,318200,0.0,1.0
2019-08-27,37.62,38.8,37.62,38.35,38.35,323600,0.0,1.0
2019-08-28,38.41,38.45,35.4,35.45,35.45,861700,0.0,1.0
2019-08-29,35.78,36.6,34.83,35.89,35.89,579800,0.0,1.0
2019-08-30,35.99,36.46,35.29,35.62,35.62,208500,0.0,1.0
2019-09-03,35.75,36.6,34.17,34.2,34.2,694800,0.0,1.0
2019-09-04,34.67,36.98,34.611,36.9,36.9,753300,0.0,1.0
2019-09-05,37.22,37.643,35.42,36.48,36.48,886300,0.0,1.0
2019-09-06,33.59,36.3,33.0,34.17,34.17,2070200,0.0,1.0
2019-09-09,33.84,33.85,26.18,28.48,28.48,4050900,0.0,1.0
2019-09-10,27.99,29.4,27.31,28.99,28.99,1368117,0.0,1.0
