timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-03-26,20.0,20.01,19.9991,20.0,5.0046,136000,0.0,1.0
2004-03-29,20.01,20.01,20.0,20.01,5.0071,25000,0.0,1.0
2004-03-30,20.03,20.03,20.0,20.01,5.0071,27000,0.0,1.0
2004-03-31,20.01,20.01,20.0,20.01,5.0071,6200,0.0,1.0
2004-04-01,20.03,20.09,20.03,20.09,5.0271,6400,0.0,1.0
2004-04-02,20.1,20.13,20.1,20.11,5.0321,5500,0.0,1.0
2004-04-05,20.17,20.22,20.08,20.14,5.0396,12700,0.0,1.0
2004-04-06,20.15,20.17,20.04,20.08,5.0246,19300,0.0,1.0
2004-04-07,20.11,20.11,20.0215,20.07,5.0221,5300,0.0,1.0
2004-04-08,20.09,20.09,20.05,20.07,5.0221,3500,0.0,1.0
2004-04-12,20.07,20.07,20.01,20.04,5.0146,7500,0.0,1.0
2004-04-13,20.04,20.04,20.0,20.0,5.0046,11300,0.0,1.0
2004-04-14,20.0,20.0091,20.0,20.01,5.0071,12000,0.0,1.0
2004-04-15,20.01,20.01,20.0,20.01,5.0071,4700,0.0,1.0
2004-04-16,20.01,20.01,20.0,20.0,5.0046,3300,0.0,1.0
2004-04-19,20.01,20.01,20.0,20.01,5.0071,6700,0.0,1.0
2004-04-20,19.9989,20.01,20.0,20.0,5.0046,4500,0.0,1.0
2004-04-21,20.01,20.01,20.0,20.0,5.0046,6000,0.0,1.0
2004-04-22,20.0002,20.01,20.0,20.01,5.0071,9300,0.0,1.0
2004-04-23,20.0,20.01,20.0,20.0,5.0046,2900,0.0,1.0
2004-04-26,20.0,20.01,20.0,20.0,5.0046,207200,0.0,1.0
2004-04-27,20.0,20.01,20.0,20.0,5.0046,74700,0.0,1.0
2004-04-28,20.0,20.01,20.0,20.0,5.0046,49000,0.0,1.0
2004-04-29,20.0,20.01,20.0006,20.0,5.0046,33400,0.0,1.0
2004-04-30,20.0,20.01,20.0,20.0,5.0046,26700,0.0,1.0
2004-05-03,20.0,20.01,20.0,20.0,5.0046,29300,0.0,1.0
2004-05-04,19.95,19.95,19.9,19.9,4.9796,104700,0.0,1.0
2004-05-05,19.85,19.8497,18.95,18.95,4.7418,52400,0.0,1.0
2004-05-06,18.8508,18.89,18.42,18.45,4.6167,28300,0.0,1.0
2004-05-07,18.5,18.5,18.05,18.05,4.5166,12200,0.0,1.0
2004-05-10,18.05,18.05,16.55,16.8,4.2039,45600,0.0,1.0
2004-05-11,17.0,18.05,16.9,18.0,4.5041,19500,0.0,1.0
2004-05-12,18.15,18.2,17.7,17.7,4.4291,15900,0.0,1.0
2004-05-13,17.8,18.05,17.55,17.55,4.3915,9300,0.0,1.0
2004-05-14,17.65,17.65,17.1,17.45,4.3665,48100,0.0,1.0
2004-05-17,17.2994,17.3,17.0,17.0,4.2539,5400,0.0,1.0
2004-05-18,17.0,17.2995,16.95,17.2,4.3039,13800,0.0,1.0
2004-05-19,17.15,17.35,16.9,17.25,4.3165,17300,0.0,1.0
2004-05-20,17.33,17.75,17.05,17.75,4.4416,15000,0.0,1.0
2004-05-21,17.5,17.65,17.2,17.2,4.3039,21000,0.0,1.0
2004-05-24,17.11,17.39,17.06,17.37,4.3465,19100,0.0,1.0
2004-05-25,17.37,17.82,17.37,17.75,4.4416,18900,0.0,1.0
2004-05-26,17.9,18.05,17.71,17.85,4.4666,12600,0.0,1.0
2004-05-27,17.95,17.95,17.6,17.66,4.419,6900,0.0,1.0
2004-05-28,17.55,17.8,17.55,17.7,4.4291,3100,0.0,1.0
2004-06-01,17.66,17.75,17.5995,17.7,4.4291,5700,0.0,1.0
2004-06-02,17.64,17.93,17.64,17.93,4.4866,4000,0.0,1.0
2004-06-03,17.95,17.95,17.74,17.8,4.4541,9800,0.0,1.0
2004-06-04,17.81,18.9,17.81,18.75,4.6918,17500,0.0,1.0
2004-06-07,18.85,18.85,18.35,18.5,4.6292,10300,0.0,1.0
2004-06-08,18.65,18.75,18.15,18.35,4.5917,7700,0.0,1.0
2004-06-09,18.4,18.5,18.4,18.5,4.6292,5200,0.0,1.0
2004-06-10,18.4,18.4,18.02,18.04,4.5141,10500,0.0,1.0
2004-06-14,17.95,17.95,17.66,17.66,4.419,12300,0.0,1.0
2004-06-15,17.55,17.78,17.55,17.65,4.4165,12300,0.0,1.0
2004-06-16,17.43,17.58,17.26,17.26,4.319,21100,0.0,1.0
2004-06-17,17.2,17.55,17.17,17.3,4.329,16100,0.0,1.0
2004-06-18,17.4,17.62,17.4,17.59,4.4015,13300,0.0,1.0
2004-06-21,17.55,17.88,17.3,17.88,4.4741,23300,0.0,1.0
2004-06-22,17.63,17.7,17.3,17.45,4.3665,43600,0.0,1.0
2004-06-23,17.5,17.5,17.04,17.45,4.3665,29600,0.0,1.0
2004-06-24,17.5,17.92,17.5,17.9,4.4791,31000,0.0,1.0
2004-06-25,17.9,17.9395,17.65,17.7,4.4291,16000,0.0,1.0
2004-06-28,17.3,17.6,17.3,17.55,4.3915,37300,0.0,1.0
2004-06-29,17.8,17.9,17.3628,17.36,4.344,23800,0.0,1.0
2004-06-30,17.25,17.26,17.1,17.1,4.2789,46900,0.0,1.0
2004-07-01,17.28,17.3,17.15,17.15,4.2914,23000,0.0,1.0
2004-07-02,17.25,17.3,17.1978,17.21,4.3064,25300,0.0,1.0
2004-07-06,17.1,17.5,16.9,17.21,4.3828,21200,0.3,1.0
2004-07-07,17.2,17.4,17.0915,17.1,4.3548,15100,0.0,1.0
2004-07-08,17.1,17.4,17.02,17.12,4.3599,20400,0.0,1.0
2004-07-09,17.11,17.29,17.11,17.23,4.3879,13000,0.0,1.0
2004-07-12,17.25,17.47,17.1,17.43,4.4389,31300,0.0,1.0
2004-07-13,17.48,17.6,17.4,17.4,4.4312,20300,0.0,1.0
2004-07-14,17.38,17.67,17.35,17.6,4.4822,14700,0.0,1.0
2004-07-15,17.6,17.63,17.39,17.63,4.4898,13500,0.0,1.0
2004-07-16,17.66,17.77,17.43,17.75,4.5204,15500,0.0,1.0
2004-07-19,17.79,17.87,17.3,17.4,4.4312,33900,0.0,1.0
2004-07-20,17.5486,17.56,17.3,17.46,4.4465,43700,0.0,1.0
2004-07-21,17.49,17.6,17.33,17.33,4.4134,19300,0.0,1.0
2004-07-22,17.31,17.6,17.3,17.45,4.444,24000,0.0,1.0
2004-07-23,17.52,17.58,17.37,17.48,4.4516,32100,0.0,1.0
2004-07-26,17.55,17.55,17.4,17.4,4.4312,22200,0.0,1.0
2004-07-27,17.3,17.45,17.1491,17.42,4.4363,37300,0.0,1.0
2004-07-28,17.52,17.52,17.06,17.22,4.3854,20100,0.0,1.0
2004-07-29,17.1,17.36,17.08,17.34,4.416,18700,0.0,1.0
2004-07-30,17.26,17.5,17.25,17.28,4.4007,9500,0.0,1.0
2004-08-02,17.38,17.48,17.06,17.35,4.4185,18900,0.0,1.0
2004-08-03,17.2,17.41,17.15,17.3,4.4058,14500,0.0,1.0
2004-08-04,17.3,17.46,17.2,17.46,4.4465,19600,0.0,1.0
2004-08-05,17.27,17.68,17.27,17.5,4.4567,15600,0.0,1.0
2004-08-06,17.5,17.6,17.45,17.51,4.4592,9600,0.0,1.0
2004-08-09,17.57,17.6107,17.37,17.38,4.4261,12500,0.0,1.0
2004-08-10,17.33,17.46,17.2,17.46,4.4465,16100,0.0,1.0
2004-08-11,17.35,17.56,17.31,17.5,4.4567,31700,0.0,1.0
2004-08-12,17.45,17.5,17.32,17.34,4.416,16700,0.0,1.0
2004-08-13,17.3999,17.68,17.36,17.68,4.5025,13700,0.0,1.0
