timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-07-18,15.0,15.15,15.0,15.04,5.0031,87400,0.0,1.0
2003-07-21,15.0,15.06,15.0,15.06,5.0097,28800,0.0,1.0
2003-07-22,15.04,15.06,15.0,15.06,5.0097,57100,0.0,1.0
2003-07-23,15.06,15.0591,15.0,15.0,4.9897,25000,0.0,1.0
2003-07-24,15.05,15.05,15.01,15.02,4.9964,12800,0.0,1.0
2003-07-25,15.05,15.05,15.0,15.02,4.9964,26800,0.0,1.0
2003-07-28,15.04,15.04,15.0,15.0,4.9897,115100,0.0,1.0
2003-07-29,15.0,15.01,15.0,15.0,4.9897,10400,0.0,1.0
2003-07-30,15.0,15.01,15.0,15.01,4.9931,41700,0.0,1.0
2003-07-31,15.0,15.01,15.0005,15.0,4.9897,79100,0.0,1.0
2003-08-01,15.0,15.01,15.0,15.0,4.9897,83700,0.0,1.0
2003-08-04,15.01,15.01,15.0,15.0,4.9897,56900,0.0,1.0
2003-08-05,15.0,15.01,15.0,15.0,4.9897,80900,0.0,1.0
2003-08-06,15.0,15.01,15.0,15.0,4.9897,16500,0.0,1.0
2003-08-07,15.0,15.01,15.0,15.0,4.9897,24700,0.0,1.0
2003-08-08,15.01,15.01,15.0,15.0,4.9897,109700,0.0,1.0
2003-08-11,15.0,15.01,15.0,15.01,4.9931,36700,0.0,1.0
2003-08-12,15.0,15.01,15.0,15.0,4.9897,18900,0.0,1.0
2003-08-13,15.0,15.01,15.0,15.0,4.9897,12000,0.0,1.0
2003-08-14,15.0,15.0,15.0,15.0,4.9897,57300,0.0,1.0
2003-08-15,15.0,15.0,14.9998,15.0,4.9897,12000,0.0,1.0
2003-08-18,15.0,15.01,15.0,15.0,4.9897,49200,0.0,1.0
2003-08-19,15.0,15.01,15.0,15.0,4.9897,113800,0.0,1.0
2003-08-20,15.0,15.01,15.0,15.01,4.9931,245700,0.0,1.0
2003-08-21,15.0,15.0,15.0,15.0,4.9897,63700,0.0,1.0
2003-08-22,15.0,15.01,15.0,15.01,4.9931,34000,0.0,1.0
2003-08-25,15.0,15.01,15.0,15.0,4.9897,122500,0.0,1.0
