timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,6.313,6.375,6.25,6.25,1.3243,320900,0.043,1.0
1999-09-14,6.25,6.3126,6.25,6.25,1.3243,145500,0.0,1.0
1999-09-15,6.313,6.375,6.25,6.25,1.3243,159300,0.0,1.0
1999-09-16,6.25,6.313,6.2503,6.25,1.3243,166400,0.0,1.0
1999-09-17,6.313,6.313,6.25,6.25,1.3243,193400,0.0,1.0
1999-09-20,6.313,6.375,6.313,6.313,1.3376,318400,0.0,1.0
1999-09-21,6.313,6.375,6.25,6.25,1.3243,149500,0.0,1.0
1999-09-22,6.25,6.3752,6.25,6.313,1.3376,414000,0.0,1.0
1999-09-23,6.313,6.375,6.313,6.313,1.3376,280000,0.0,1.0
1999-09-24,6.313,6.375,6.313,6.313,1.3376,99100,0.0,1.0
1999-09-27,6.375,6.438,6.313,6.375,1.3508,357700,0.0,1.0
1999-09-28,6.375,6.375,6.313,6.313,1.3376,113800,0.0,1.0
1999-09-29,6.313,6.375,6.313,6.375,1.3508,216900,0.0,1.0
1999-09-30,6.313,6.375,6.313,6.375,1.3508,150500,0.0,1.0
1999-10-01,6.313,6.3745,6.313,6.375,1.3508,175800,0.0,1.0
1999-10-04,6.313,6.375,6.313,6.313,1.3376,104300,0.0,1.0
1999-10-05,6.313,6.375,6.25,6.25,1.3243,146900,0.0,1.0
1999-10-06,6.25,6.313,6.25,6.313,1.3376,147600,0.0,1.0
1999-10-07,6.313,6.3751,6.25,6.313,1.3376,255100,0.0,1.0
1999-10-08,6.313,6.375,6.25,6.25,1.3243,104800,0.0,1.0
1999-10-11,6.313,6.344,6.25,6.313,1.3376,112300,0.0,1.0
1999-10-12,6.25,6.313,6.25,6.25,1.3334,281000,0.043,1.0
1999-10-13,6.25,6.313,6.25,6.25,1.3334,262800,0.0,1.0
1999-10-14,6.25,6.313,6.25,6.25,1.3334,162200,0.0,1.0
1999-10-15,6.25,6.25,6.063,6.188,1.3201,477700,0.0,1.0
1999-10-18,6.25,6.25,6.188,6.188,1.3201,123200,0.0,1.0
1999-10-19,6.188,6.25,6.125,6.125,1.3067,269300,0.0,1.0
1999-10-20,6.125,6.25,6.125,6.188,1.3201,169300,0.0,1.0
1999-10-21,6.188,6.25,6.125,6.188,1.3201,212500,0.0,1.0
1999-10-22,6.188,6.313,6.188,6.188,1.3201,384900,0.0,1.0
1999-10-25,6.1883,6.25,6.125,6.25,1.3334,283000,0.0,1.0
1999-10-26,6.25,6.25,6.125,6.125,1.3067,468200,0.0,1.0
1999-10-27,6.188,6.25,6.188,6.219,1.3267,402600,0.0,1.0
1999-10-28,6.25,6.313,6.188,6.313,1.3467,382700,0.0,1.0
1999-10-29,6.313,6.313,6.188,6.25,1.3334,219800,0.0,1.0
1999-11-01,6.25,6.313,6.25,6.313,1.3467,290100,0.0,1.0
1999-11-02,6.25,6.313,6.25,6.313,1.3467,203800,0.0,1.0
1999-11-03,6.3125,6.375,6.25,6.25,1.3334,211000,0.0,1.0
1999-11-04,6.25,6.375,6.25,6.25,1.3334,229900,0.0,1.0
1999-11-05,6.313,6.375,6.313,6.313,1.3467,233600,0.0,1.0
