timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2013-08-09,20.0,20.03,16.65,18.12,16.0567,1311600,0.0,1.0
2013-08-12,17.3,17.98,16.81,17.2,15.2415,702100,0.0,1.0
2013-08-13,16.5,16.64,15.51,16.21,14.3642,745300,0.0,1.0
2013-08-14,16.0,16.0,14.9987,15.24,13.5047,920400,0.0,1.0
2013-08-15,14.65,15.48,14.56,15.04,13.3274,204200,0.0,1.0
2013-08-16,14.89,15.179,14.7493,14.8,13.1148,104500,0.0,1.0
2013-08-19,14.8993,14.91,14.11,14.35,12.716,189200,0.0,1.0
2013-08-20,14.7,14.79,14.0992,14.43,12.7869,428900,0.0,1.0
2013-08-21,14.4,14.6,14.12,14.43,12.7869,195800,0.0,1.0
2013-08-22,14.29,14.99,13.89,14.91,13.2122,304300,0.0,1.0
2013-08-23,14.9,15.6,14.7,15.4,13.6464,298600,0.0,1.0
2013-08-26,15.49,16.09,15.38,15.95,14.1338,229200,0.0,1.0
2013-08-27,15.81,15.88,15.5,15.78,13.9832,154500,0.0,1.0
2013-08-28,15.68,15.68,15.19,15.56,13.7882,50100,0.0,1.0
2013-08-29,15.41,15.75,15.26,15.48,13.7173,124000,0.0,1.0
2013-08-30,15.41,15.66,15.28,15.49,13.7262,173900,0.0,1.0
2013-09-03,15.79,15.79,15.32,15.38,13.6287,177600,0.0,1.0
2013-09-04,15.25,15.45,15.2,15.24,13.5047,202800,0.0,1.0
2013-09-05,15.3499,15.66,15.24,15.27,13.5312,33300,0.0,1.0
2013-09-06,15.35,15.46,15.18,15.44,13.6819,46900,0.0,1.0
2013-09-09,15.43,15.56,15.27,15.53,13.7616,205100,0.0,1.0
2013-09-10,14.51,15.21,14.3,14.74,13.0616,298300,0.0,1.0
2013-09-11,14.76,15.73,14.56,15.38,13.6287,174300,0.0,1.0
2013-09-12,15.5,15.8,15.364,15.51,13.7439,136300,0.0,1.0
2013-09-13,15.5,15.75,15.5,15.66,13.8768,52300,0.0,1.0
2013-09-16,15.81,16.82,15.7,15.99,14.1693,135400,0.0,1.0
2013-09-17,16.108,16.12,15.63,15.92,14.1072,87500,0.0,1.0
2013-09-18,16.0,16.05,15.4,15.83,14.0275,83700,0.0,1.0
2013-09-19,15.67,15.95,15.607,15.67,13.8857,24500,0.0,1.0
2013-09-20,15.52,15.52,14.89,15.01,13.3008,81800,0.0,1.0
2013-09-23,15.02,15.02,14.76,14.97,13.2654,26200,0.0,1.0
2013-09-24,14.83,15.31,14.83,15.09,13.3717,40100,0.0,1.0
2013-09-25,14.931,15.17,14.788,15.05,13.3363,49600,0.0,1.0
2013-09-26,15.0,15.01,14.66,14.95,13.2477,99100,0.0,1.0
2013-09-27,14.69,14.86,14.5713,14.86,13.1679,104500,0.0,1.0
2013-09-30,14.75,14.8,14.37,14.8,13.1148,46800,0.0,1.0
2013-10-01,14.65,14.65,14.2,14.26,12.6362,97200,0.0,1.0
2013-10-02,13.925,14.3,13.925,14.08,12.4767,59000,0.0,1.0
2013-10-03,13.93,13.93,12.9895,13.38,11.8564,235700,0.0,1.0
2013-10-04,13.11,13.39,13.01,13.15,11.6526,83400,0.0,1.0
2013-10-07,13.02,13.04,12.4701,13.01,11.5286,120400,0.0,1.0
2013-10-08,13.08,13.08,12.682,12.81,11.3514,20000,0.0,1.0
2013-10-09,12.86,13.1996,12.61,12.95,11.4754,109200,0.0,1.0
2013-10-10,13.11,13.67,13.05,13.4,11.8742,70400,0.0,1.0
2013-10-11,13.91,14.31,13.91,14.15,12.5388,74400,0.0,1.0
2013-10-14,14.09,14.18,13.8,14.15,12.5388,18500,0.0,1.0
2013-10-15,14.1,14.19,13.8,13.92,12.335,39000,0.0,1.0
2013-10-16,14.0,14.42,14.0,14.22,12.6008,32600,0.0,1.0
2013-10-17,14.22,14.6,14.15,14.47,12.8223,127900,0.0,1.0
2013-10-18,14.8,14.8,14.35,14.44,12.7957,87100,0.0,1.0
2013-10-21,14.5,14.5,14.06,14.21,12.5919,34500,0.0,1.0
2013-10-22,14.35,14.377,14.12,14.25,12.6274,45700,0.0,1.0
2013-10-23,14.25,14.27,14.05,14.18,12.5654,43700,0.0,1.0
2013-10-24,14.06,14.09,13.751,13.9,12.3172,79600,0.0,1.0
2013-10-25,13.87,14.03,13.82,13.95,12.3615,10300,0.0,1.0
2013-10-28,14.13,14.24,13.78,13.96,12.3704,25800,0.0,1.0
2013-10-29,14.41,14.41,14.09,14.14,12.5299,23700,0.0,1.0
2013-10-30,14.13,14.4,13.61,13.78,12.2109,24300,0.0,1.0
2013-10-31,13.9,14.13,12.95,13.04,11.5552,38800,0.0,1.0
2013-11-01,12.99,13.15,12.77,13.06,11.5729,45900,0.0,1.0
2013-11-04,12.98,13.02,12.8,12.99,11.5109,35800,0.0,1.0
2013-11-05,12.96,13.1609,12.831,13.06,11.5729,49100,0.0,1.0
2013-11-06,13.04,13.08,12.08,12.5,11.0767,87900,0.0,1.0
2013-11-07,12.99,13.25,12.93,13.05,11.564,237300,0.0,1.0
2013-11-08,13.15,13.35,12.94,13.31,11.7944,90900,0.0,1.0
2013-11-11,13.32,13.4,12.69,13.03,11.5463,86000,0.0,1.0
2013-11-12,12.919,12.919,12.59,12.82,11.3602,91700,0.0,1.0
2013-11-13,12.69,13.23,12.69,13.21,11.7058,33800,0.0,1.0
2013-11-14,13.28,13.52,12.96,13.52,11.9805,49000,0.0,1.0
2013-11-15,13.4002,13.59,13.23,13.46,11.9273,195400,0.0,1.0
2013-11-18,13.5,13.5,13.01,13.03,11.5463,95500,0.0,1.0
2013-11-19,13.02,13.13,13.0,13.0,11.5197,65400,0.0,1.0
2013-11-20,12.85,12.96,12.85,12.86,11.3957,23400,0.0,1.0
2013-11-21,12.98,12.98,12.7798,12.94,11.4665,24900,0.0,1.0
2013-11-22,12.87,12.99,12.86,12.89,11.4222,25600,0.0,1.0
2013-11-25,13.02,13.13,12.86,12.86,11.3957,22000,0.0,1.0
2013-11-26,12.86,12.98,12.86,12.93,11.4577,14300,0.0,1.0
2013-11-27,12.97,13.09,12.8,12.99,11.5109,69600,0.0,1.0
2013-11-29,13.05,13.13,12.93,12.93,11.4577,8000,0.0,1.0
2013-12-02,12.92,13.2,12.8,13.13,11.6349,36400,0.0,1.0
