timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-08-03,20.04,20.1,19.85,20.0,12.7837,89500,0.0,1.0
2012-08-06,20.01,20.021,20.0,20.0,12.7837,30000,0.0,1.0
2012-08-07,20.01,20.03,20.0,20.0,12.7837,24400,0.0,1.0
2012-08-08,20.0,20.15,20.0,20.02,12.7965,43600,0.0,1.0
2012-08-09,20.02,20.1,20.01,20.03,12.8029,25500,0.0,1.0
2012-08-10,20.09,20.1706,20.01,20.07,12.8284,27500,0.0,1.0
2012-08-13,20.09,20.09,19.3,19.93,12.739,94400,0.0,1.0
2012-08-14,19.99,20.0,19.5,19.6,12.528,140500,0.0,1.0
2012-08-15,19.52,19.99,19.52,19.99,12.7773,51800,0.0,1.0
2012-08-16,19.97,20.0,19.835,19.92,12.7326,31000,0.0,1.0
2012-08-17,19.85,20.33,19.85,20.04,12.8093,45700,0.0,1.0
2012-08-20,19.95,20.036,19.61,19.98,12.7709,71300,0.0,1.0
2012-08-21,19.8099,19.98,19.75,19.92,12.7326,42300,0.0,1.0
2012-08-22,19.839,19.92,19.64,19.92,12.7326,26500,0.0,1.0
2012-08-23,19.92,19.9754,19.9,19.96,12.7581,32300,0.0,1.0
2012-08-24,19.95,20.24,19.85,20.07,12.8284,64700,0.0,1.0
2012-08-27,20.1381,20.14,19.9,20.0,12.7837,13900,0.0,1.0
2012-08-28,20.03,20.24,19.96,20.24,12.9371,38900,0.0,1.0
2012-08-29,19.97,20.24,19.8703,20.14,12.8732,25300,0.0,1.0
2012-08-30,20.249,20.25,19.97,19.97,12.7645,21000,0.0,1.0
2012-08-31,20.0,20.2,19.81,20.0,12.7837,34700,0.0,1.0
2012-09-04,20.15,20.22,20.041,20.15,12.8796,20800,0.0,1.0
2012-09-05,20.21,20.24,20.03,20.05,12.8157,19300,0.0,1.0
2012-09-06,20.0,20.17,19.921,20.09,12.8412,30100,0.0,1.0
2012-09-07,20.07,20.2,20.0,20.11,12.854,20200,0.0,1.0
2012-09-10,20.15,20.19,20.11,20.111,12.854,30000,0.0,1.0
2012-09-11,20.1,20.16,20.03,20.1,12.8476,32000,0.0,1.0
2012-09-12,19.99,20.16,19.94,20.0,12.845,39100,0.096,1.0
2012-09-13,20.15,20.15,19.8,20.0,12.845,42400,0.0,1.0
2012-09-14,19.91,20.17,19.9,19.95,12.8129,42700,0.0,1.0
2012-09-17,20.07,20.17,19.8991,20.02,12.8579,29800,0.0,1.0
2012-09-18,20.11,20.11,19.943,20.04,12.8707,29700,0.0,1.0
2012-09-19,20.0,20.16,19.6486,20.0,12.845,57000,0.0,1.0
2012-09-20,19.96,20.09,19.95,19.96,12.8194,39600,0.0,1.0
2012-09-21,19.97,20.2,19.95,20.12,12.9221,53500,0.0,1.0
2012-09-24,20.11,20.21,19.85,19.85,12.7487,69500,0.0,1.0
2012-09-25,20.04,20.0507,19.69,19.81,12.723,143600,0.0,1.0
2012-09-26,19.83,20.1,19.81,20.011,12.8515,45200,0.0,1.0
2012-09-27,20.09,20.18,20.01,20.16,12.9478,61100,0.0,1.0
2012-09-28,20.19,20.22,20.07,20.07,12.89,72300,0.0,1.0
2012-10-01,20.2,20.2,19.95,20.0,12.845,59800,0.0,1.0
2012-10-02,20.13,20.16,19.96,19.96,12.8194,65700,0.0,1.0
2012-10-03,20.07,20.07,19.96,20.0,12.845,63300,0.0,1.0
2012-10-04,20.02,20.1,20.0,20.1,12.9093,60700,0.0,1.0
2012-10-05,20.08,20.18,20.05,20.18,12.9606,65200,0.0,1.0
2012-10-08,20.18,20.5,20.12,20.34,13.0634,78800,0.0,1.0
2012-10-09,20.34,20.35,20.2,20.35,13.0698,61300,0.0,1.0
2012-10-10,20.38,20.5591,20.35,20.56,13.2047,98100,0.0,1.0
2012-10-11,20.45,20.45,20.18,20.4,13.1634,87900,0.096,1.0
2012-10-12,20.44,20.619,20.36,20.56,13.2666,118300,0.0,1.0
2012-10-15,20.56,20.75,20.44,20.7,13.357,110600,0.0,1.0
2012-10-16,20.74,20.84,20.5,20.63,13.3118,146600,0.0,1.0
2012-10-17,20.7,20.85,20.51,20.58,13.2796,116100,0.0,1.0
2012-10-18,20.65,20.9,20.55,20.746,13.3893,109600,0.0,1.0
2012-10-19,20.75,20.763,20.49,20.501,13.2279,88100,0.0,1.0
2012-10-22,20.64,20.7711,20.4,20.57,13.2731,66000,0.0,1.0
2012-10-23,20.59,20.59,20.4085,20.49,13.2215,60500,0.0,1.0
2012-10-24,20.49,20.6,20.3,20.37,13.1441,124000,0.0,1.0
2012-10-25,20.39,20.56,20.37,20.56,13.2666,70600,0.0,1.0
2012-10-26,20.56,20.65,20.4906,20.55,13.2602,77000,0.0,1.0
2012-10-31,20.5214,20.54,20.07,20.2,13.0344,177700,0.0,1.0
2012-11-01,20.22,20.42,20.19,20.3,13.0989,71300,0.0,1.0
2012-11-02,20.39,20.59,20.3,20.57,13.2731,35300,0.0,1.0
2012-11-05,20.55,20.72,20.47,20.6,13.2925,93000,0.0,1.0
2012-11-06,20.55,20.73,20.544,20.63,13.3118,101300,0.0,1.0
2012-11-07,20.7,21.16,20.65,20.76,13.3957,161500,0.0,1.0
2012-11-08,20.67,21.0,20.67,20.81,13.428,110700,0.0,1.0
2012-11-09,20.9507,21.0,20.81,20.95,13.5183,57100,0.0,1.0
2012-11-12,20.99,21.29,20.84,21.11,13.6216,197800,0.0,1.0
2012-11-13,21.11,21.11,20.73,20.98,13.5995,134500,0.096,1.0
2012-11-14,21.11,21.11,20.55,20.75,13.4504,95700,0.0,1.0
2012-11-15,20.7506,20.83,20.3,20.56,13.3273,118500,0.0,1.0
2012-11-16,20.68,21.07,20.56,20.72,13.431,159200,0.0,1.0
2012-11-19,21.0,21.09,20.56,20.934,13.5671,111200,0.0,1.0
2012-11-20,20.94,21.051,20.63,20.9,13.5476,150600,0.0,1.0
2012-11-21,20.97,21.05,20.91,21.04,13.6384,89400,0.0,1.0
2012-11-23,21.05,21.25,20.81,20.9,13.5476,72300,0.0,1.0
2012-11-26,21.0,21.12,20.725,21.0,13.6125,150500,0.0,1.0
2012-11-27,20.8,21.0,20.56,20.79,13.4763,209800,0.0,1.0
2012-11-28,20.82,21.14,20.71,20.93,13.5671,114900,0.0,1.0
2012-11-29,21.07,21.14,20.687,20.89,13.5412,147000,0.0,1.0
2012-11-30,20.89,20.96,20.8,20.82,13.4958,169500,0.0,1.0
2012-12-03,20.97,20.97,20.72,20.9,13.5476,131200,0.0,1.0
2012-12-04,20.9,20.97,20.8102,20.95,13.5801,117200,0.0,1.0
2012-12-05,20.95,21.09,20.91,21.01,13.619,132700,0.0,1.0
2012-12-06,21.11,21.15,20.81,21.1,13.6773,102000,0.0,1.0
2012-12-07,21.0,21.23,20.85,21.2,13.7421,179300,0.0,1.0
2012-12-10,21.26,21.42,20.9,21.01,13.619,116600,0.0,1.0
2012-12-11,21.11,21.22,20.85,21.0,13.6125,145200,0.0,1.0
2012-12-12,20.9,21.1589,20.57,21.14,13.859,28400,0.295,1.0
2012-12-13,21.15,21.25,20.82,21.1,13.8722,10000,0.0,1.0
2012-12-14,21.1,21.134,20.83,21.03,13.8261,128800,0.0,1.0
2012-12-17,21.14,21.14,20.7582,20.87,13.721,145500,0.0,1.0
2012-12-18,20.91,20.91,20.51,20.71,13.6158,138700,0.0,1.0
2012-12-19,20.63,20.87,20.63,20.8,13.6749,111000,0.0,1.0
2012-12-20,20.76,20.89,20.59,20.78,13.6618,121300,0.0,1.0
2012-12-21,20.69,20.95,20.65,20.79,13.6684,88500,0.0,1.0
2012-12-24,20.65,20.95,20.6496,20.88,13.7275,59800,0.0,1.0
2012-12-26,20.82,20.95,20.47,20.488,13.4711,84200,0.0,1.0
2012-12-27,20.53,20.84,19.32,19.83,13.0372,182800,0.0,1.0
2012-12-28,19.96,20.37,19.52,20.27,13.3265,108400,0.0,1.0
2012-12-31,20.39,20.65,20.2,20.39,13.4054,68300,0.0,1.0
2013-01-02,20.6504,20.95,20.5,20.94,13.767,37100,0.0,1.0
2013-01-03,20.74,20.94,20.37,20.51,13.4843,132400,0.0,1.0
2013-01-04,20.42,20.76,20.42,20.62,13.5566,72400,0.0,1.0
2013-01-07,20.63,20.6789,20.37,20.45,13.4448,53100,0.0,1.0
2013-01-08,20.6,20.8,20.444,20.74,13.6355,54300,0.0,1.0
2013-01-09,20.85,20.85,20.47,20.61,13.55,80200,0.0,1.0
2013-01-10,20.6,20.75,20.55,20.7,13.6092,71000,0.0,1.0
2013-01-11,20.69,21.15,20.58,21.08,13.9236,85200,0.096,1.0
2013-01-14,21.0,21.0,20.59,20.67,13.6528,81100,0.0,1.0
2013-01-15,20.71,20.92,20.39,20.63,13.6264,98400,0.0,1.0
2013-01-16,20.6,20.76,20.55,20.75,13.7056,55100,0.0,1.0
2013-01-17,20.85,20.95,20.68,20.81,13.7452,96800,0.0,1.0
2013-01-18,20.85,20.97,20.72,20.89,13.7981,99200,0.0,1.0
2013-01-22,20.85,20.92,20.68,20.73,13.6924,163200,0.0,1.0
2013-01-23,20.8,20.83,20.62,20.7,13.6726,105700,0.0,1.0
2013-01-24,20.7,20.93,20.7,20.8,13.7386,117700,0.0,1.0
2013-01-25,20.88,20.88,20.7,20.8,13.7386,84600,0.0,1.0
2013-01-28,20.79,20.79,20.38,20.51,13.5471,102500,0.0,1.0
2013-01-29,20.6,20.6,20.3,20.32,13.4216,84800,0.0,1.0
2013-01-30,20.5,20.62,20.31,20.58,13.5933,61900,0.0,1.0
2013-01-31,20.68,20.69,20.39,20.43,13.4943,80100,0.0,1.0
2013-02-01,20.59,20.69,20.49,20.54,13.5669,49600,0.0,1.0
2013-02-04,20.63,20.63,20.25,20.49,13.5339,96500,0.0,1.0
2013-02-05,20.55,20.574,20.24,20.36,13.448,116000,0.0,1.0
