timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,9.875,10.0,9.875,9.938,3.2057,90300,0.0,1.0
1999-09-14,9.875,10.0,9.875,9.938,3.2057,141800,0.0,1.0
1999-09-15,9.875,9.938,9.75,9.75,3.1452,115600,0.0,1.0
1999-09-16,9.75,9.875,9.75,9.875,3.1855,57900,0.0,1.0
1999-09-17,9.813,9.875,9.813,9.813,3.1815,28700,0.05,1.0
1999-09-20,9.75,9.875,9.75,9.75,3.1612,77700,0.0,1.0
1999-09-21,9.688,9.75,9.688,9.688,3.1409,56800,0.0,1.0
1999-09-22,9.6262,9.75,9.625,9.625,3.1207,86700,0.0,1.0
1999-09-23,9.625,9.688,9.625,9.688,3.1409,43500,0.0,1.0
1999-09-24,9.6247,9.688,9.625,9.625,3.1207,56000,0.0,1.0
1999-09-27,9.688,9.75,9.563,9.563,3.1004,70400,0.0,1.0
1999-09-28,9.625,9.75,9.625,9.688,3.1409,82000,0.0,1.0
1999-09-29,9.688,9.75,9.688,9.75,3.1612,75800,0.0,1.0
1999-09-30,9.688,9.75,9.6875,9.688,3.1409,98000,0.0,1.0
1999-10-01,9.6888,9.813,9.688,9.75,3.1612,44100,0.0,1.0
1999-10-04,9.688,9.813,9.688,9.688,3.1409,92600,0.0,1.0
1999-10-05,9.688,9.813,9.688,9.688,3.1409,107300,0.0,1.0
1999-10-06,9.688,9.813,9.625,9.813,3.1815,89100,0.0,1.0
1999-10-07,9.75,9.813,9.688,9.813,3.1815,92500,0.0,1.0
1999-10-08,9.75,9.813,9.6887,9.688,3.1409,81400,0.0,1.0
1999-10-11,9.688,9.813,9.688,9.75,3.1612,81300,0.0,1.0
1999-10-12,9.75,9.813,9.688,9.75,3.1612,132900,0.0,1.0
1999-10-13,9.688,9.75,9.625,9.688,3.1409,126700,0.0,1.0
1999-10-14,9.625,9.688,9.625,9.688,3.1409,82900,0.0,1.0
1999-10-15,9.688,9.688,9.625,9.625,3.1207,72500,0.0,1.0
1999-10-18,9.625,9.75,9.625,9.625,3.1207,52400,0.0,1.0
1999-10-19,9.563,9.75,9.563,9.688,3.1409,115700,0.0,1.0
1999-10-20,9.625,9.75,9.563,9.563,3.1004,83900,0.0,1.0
1999-10-21,9.563,9.688,9.5,9.688,3.1409,85200,0.0,1.0
1999-10-22,9.563,9.563,9.313,9.313,3.035,117700,0.05,1.0
1999-10-25,9.313,9.5,9.313,9.5,3.0961,122500,0.0,1.0
1999-10-26,9.5,9.563,9.5,9.563,3.1165,92500,0.0,1.0
1999-10-27,9.563,9.75,9.563,9.75,3.1776,94500,0.0,1.0
1999-10-28,9.688,9.75,9.625,9.625,3.1369,77400,0.0,1.0
1999-10-29,9.688,9.75,9.625,9.625,3.1369,38700,0.0,1.0
1999-11-01,9.688,9.75,9.688,9.75,3.1776,124100,0.0,1.0
1999-11-02,9.688,9.75,9.625,9.625,3.1369,77000,0.0,1.0
1999-11-03,9.625,9.625,9.5001,9.563,3.1165,99600,0.0,1.0
1999-11-04,9.6248,9.75,9.5,9.5,3.0961,179100,0.0,1.0
1999-11-05,9.5,9.625,9.438,9.563,3.1165,76800,0.0,1.0
1999-11-08,9.5,9.563,9.438,9.5,3.0961,150800,0.0,1.0
1999-11-09,9.438,9.625,9.438,9.563,3.1165,137300,0.0,1.0
1999-11-10,9.563,9.625,9.5,9.563,3.1165,135900,0.0,1.0
1999-11-11,9.5,9.625,9.5,9.563,3.1165,78900,0.0,1.0
1999-11-12,9.688,9.813,9.625,9.75,3.1776,79000,0.0,1.0
1999-11-15,9.813,9.875,9.688,9.875,3.2183,95800,0.0,1.0
1999-11-16,9.813,10.0,9.813,9.938,3.2387,95100,0.0,1.0
1999-11-17,10.0,10.0,9.625,9.688,3.1572,138400,0.0,1.0
1999-11-18,9.563,9.688,9.563,9.688,3.1736,127900,0.05,1.0
1999-11-19,9.625,9.688,9.563,9.563,3.1327,73700,0.0,1.0
1999-11-22,9.563,9.688,9.4991,9.563,3.1327,212000,0.0,1.0
1999-11-23,9.438,9.5,9.25,9.25,3.0303,210800,0.0,1.0
1999-11-24,9.188,9.313,9.063,9.063,2.9689,288800,0.0,1.0
