timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,9.375,9.375,9.063,9.125,6.6976,80900,0.0,1.0
1999-09-14,9.0,9.125,8.813,8.875,6.5141,65200,0.0,1.0
1999-09-15,8.938,8.938,8.188,8.5,6.2389,1442800,0.0,1.0
1999-09-16,8.5,8.688,8.5,8.625,6.3306,159200,0.0,1.0
1999-09-17,8.625,9.375,8.625,9.25,6.7894,173800,0.0,1.0
1999-09-20,9.438,9.5,8.813,8.813,6.4683,75100,0.0,1.0
1999-09-21,8.75,8.813,8.5,8.563,6.2848,100700,0.0,1.0
1999-09-22,8.625,8.688,8.375,8.5,6.2389,244500,0.0,1.0
1999-09-23,8.4382,8.5,8.188,8.25,6.0554,536600,0.0,1.0
1999-09-24,8.25,8.25,8.0,8.188,6.0095,277400,0.0,1.0
1999-09-27,8.313,8.5,8.25,8.375,6.1471,39500,0.0,1.0
1999-09-28,8.313,9.063,8.313,9.0,6.6059,122700,0.0,1.0
1999-09-29,9.063,9.5,9.063,9.438,6.927,89400,0.0,1.0
1999-09-30,9.438,9.75,9.0,9.0,6.6059,91300,0.0,1.0
1999-10-01,9.125,9.125,8.563,8.75,6.4224,71600,0.0,1.0
1999-10-04,8.813,8.875,8.25,8.813,6.4683,150000,0.0,1.0
1999-10-05,8.75,9.375,8.75,9.188,6.7435,51600,0.0,1.0
1999-10-06,9.125,9.188,8.813,8.875,6.5141,22700,0.0,1.0
1999-10-07,8.75,8.7503,8.5,8.563,6.2848,55700,0.0,1.0
1999-10-08,8.375,9.0,8.375,9.0,6.6059,28900,0.0,1.0
1999-10-11,9.0,9.0,8.6881,8.688,6.3765,29100,0.0,1.0
1999-10-12,8.813,8.813,8.75,8.813,6.4683,11800,0.0,1.0
1999-10-13,8.813,8.813,8.3131,8.313,6.1013,64100,0.0,1.0
1999-10-14,8.375,8.375,8.188,8.25,6.0554,140600,0.0,1.0
1999-10-15,8.25,8.25,8.188,8.188,6.0095,91500,0.0,1.0
1999-10-18,8.25,8.25,8.125,8.125,5.9636,66600,0.0,1.0
1999-10-19,8.188,8.188,7.5,7.75,5.6884,325100,0.0,1.0
1999-10-20,8.0,8.063,7.563,7.75,5.6884,156600,0.0,1.0
1999-10-21,7.688,7.813,7.563,7.813,5.7343,107000,0.0,1.0
1999-10-22,7.75,8.813,7.75,8.5,6.2389,2065400,0.0,1.0
1999-10-25,8.5,8.938,8.25,8.938,6.56,116800,0.0,1.0
1999-10-26,8.938,9.25,8.875,8.875,6.5141,104100,0.0,1.0
1999-10-27,8.875,8.938,8.75,8.875,6.5141,88800,0.0,1.0
1999-10-28,8.875,9.063,8.688,9.0,6.6059,49200,0.0,1.0
1999-10-29,9.0618,9.563,8.813,9.563,7.0187,149200,0.0,1.0
1999-11-01,9.625,10.8122,9.563,10.688,7.8445,163100,0.0,1.0
1999-11-02,11.375,11.438,10.75,11.0,8.0739,222800,0.0,1.0
1999-11-03,11.313,11.313,11.0001,11.0,8.0739,119500,0.0,1.0
1999-11-04,11.125,11.1248,10.5,10.75,7.8904,50600,0.0,1.0
1999-11-05,10.375,10.375,9.375,9.5,6.9729,281400,0.0,1.0
1999-11-08,9.5,9.5,8.5,8.5,6.2389,243000,0.0,1.0
1999-11-09,8.625,8.625,8.438,8.438,6.193,152600,0.0,1.0
1999-11-10,8.563,8.938,8.5,8.875,6.5141,185600,0.0,1.0
1999-11-11,8.813,8.875,8.5,8.75,6.4224,115300,0.0,1.0
1999-11-12,8.688,8.875,8.688,8.875,6.5141,22400,0.0,1.0
1999-11-15,8.875,9.063,8.875,9.063,6.6518,100600,0.0,1.0
1999-11-16,9.188,9.5,9.188,9.313,6.8353,290200,0.0,1.0
1999-11-17,9.313,9.313,8.813,8.938,6.56,129200,0.0,1.0
1999-11-18,8.875,9.563,8.813,9.438,6.927,66800,0.0,1.0
1999-11-19,9.5,10.0,9.5,9.688,7.1105,128200,0.0,1.0
1999-11-22,10.0,10.188,9.875,10.188,7.4775,246100,0.0,1.0
1999-11-23,10.2506,10.563,10.125,10.125,7.4316,227700,0.0,1.0
1999-11-24,10.125,10.125,9.375,9.5,6.9729,139000,0.0,1.0
1999-11-26,9.5,9.5,9.375,9.438,6.927,6400,0.0,1.0
1999-11-29,9.438,9.438,9.063,9.125,6.6976,43100,0.0,1.0
1999-11-30,9.188,9.25,9.0009,9.063,6.6518,120100,0.0,1.0
1999-12-01,9.063,9.063,8.875,8.938,6.56,122000,0.0,1.0
