timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,48.8125,48.8125,48.8125,48.8125,8.3817,0,0.0,1.0
1999-09-14,48.813,48.8088,48.813,48.813,8.3817,100,0.0,1.0
1999-09-15,49.0,49.25,49.0,49.25,8.4568,700,0.0,1.0
1999-09-16,49.0,49.0001,48.938,48.938,8.4032,300,0.0,1.0
1999-09-17,48.9375,48.9375,48.9375,48.9375,8.4032,0,0.0,1.0
1999-09-20,48.9375,48.9375,48.9375,48.9375,8.4032,0,0.0,1.0
1999-09-21,49.0,49.0,49.0,49.0,8.4139,500,0.0,1.0
1999-09-22,48.75,48.75,48.75,48.75,8.371,2400,0.0,1.0
1999-09-23,48.75,48.75,48.75,48.75,8.371,0,0.0,1.0
1999-09-24,48.623,48.625,48.5,48.5,8.3281,700,0.0,1.0
1999-09-27,48.5,48.5,48.5,48.5,8.3281,0,0.0,1.0
1999-09-28,48.25,48.25,48.25,48.25,8.3266,0,0.2414,1.0
1999-09-29,48.5,48.75,48.5,48.5,8.3697,300,0.0,1.0
1999-09-30,48.25,48.25,48.25,48.25,8.3266,100,0.0,1.0
1999-10-01,48.0,48.0,48.0,48.0,8.2834,100,0.0,1.0
1999-10-04,48.0,48.0,48.0,48.0,8.2834,0,0.0,1.0
1999-10-05,48.25,48.25,48.25,48.25,8.3266,300,0.0,1.0
1999-10-06,48.25,48.25,48.25,48.25,8.3266,100,0.0,1.0
1999-10-07,48.25,48.25,48.25,48.25,8.3266,0,0.0,1.0
1999-10-08,48.0,48.25,48.0,48.25,8.3266,1800,0.0,1.0
1999-10-11,48.25,48.25,48.25,48.25,8.3266,0,0.0,1.0
1999-10-12,48.25,48.25,48.25,48.25,8.3266,0,0.0,1.0
1999-10-13,48.25,48.25,48.25,48.25,8.3266,0,0.0,1.0
1999-10-14,48.25,48.25,48.25,48.25,8.3266,0,0.0,1.0
1999-10-15,48.063,48.063,48.0,48.0,8.2834,700,0.0,1.0
1999-10-18,48.0,48.0,48.0,48.0,8.2834,0,0.0,1.0
1999-10-19,48.0,48.0,48.0,48.0,8.2834,0,0.0,1.0
1999-10-20,48.0,48.0,48.0,48.0,8.2834,0,0.0,1.0
1999-10-21,47.9983,48.0,48.0,48.0,8.2834,2000,0.0,1.0
1999-10-22,48.0,48.0,48.0,48.0,8.2834,0,0.0,1.0
1999-10-25,48.0,48.0,48.0,48.0,8.2834,300,0.0,1.0
1999-10-26,48.0,48.0,48.0,48.0,8.2834,0,0.0,1.0
1999-10-27,47.563,47.563,47.438,47.438,8.2321,300,0.2668,1.0
1999-10-28,47.5,47.5,47.375,47.438,8.2321,400,0.0,1.0
1999-10-29,47.4375,47.4375,47.4375,47.4375,8.2321,0,0.0,1.0
1999-11-01,47.25,47.2461,46.75,47.0,8.1562,2200,0.0,1.0
1999-11-02,47.0,47.0,47.0,47.0,8.1562,0,0.0,1.0
1999-11-03,47.0,47.0,47.0,47.0,8.1562,0,0.0,1.0
1999-11-04,47.0,47.0,47.0,47.0,8.1562,400,0.0,1.0
1999-11-05,47.0,47.0,47.0,47.0,8.1562,100,0.0,1.0
1999-11-08,47.0,46.9995,47.0,47.0,8.1562,1200,0.0,1.0
1999-11-09,47.0,47.0,47.0,47.0,8.1562,400,0.0,1.0
1999-11-10,47.0,47.0,47.0,47.0,8.1562,0,0.0,1.0
1999-11-11,47.0,47.0,47.0,47.0,8.1562,0,0.0,1.0
1999-11-12,47.25,47.25,47.25,47.25,8.1996,100,0.0,1.0
1999-11-15,47.125,47.125,47.0,47.0,8.1562,600,0.0,1.0
1999-11-16,47.0,47.0,47.0,47.0,8.1562,0,0.0,1.0
1999-11-17,47.25,47.25,47.125,47.125,8.1779,600,0.0,1.0
1999-11-18,47.063,47.063,47.063,47.063,8.167,100,0.0,1.0
1999-11-19,47.0625,47.0625,47.0625,47.0625,8.167,0,0.0,1.0
1999-11-22,47.063,47.063,47.063,47.063,8.167,200,0.0,1.0
1999-11-23,47.0625,47.0625,47.0625,47.0625,8.167,0,0.0,1.0
1999-11-24,47.0625,47.0625,47.0625,47.0625,8.167,0,0.0,1.0
1999-11-26,47.0,47.0,47.0,47.0,8.2103,100,0.3103,1.0
1999-11-29,47.0,47.0,47.0,47.0,8.2103,0,0.0,1.0
1999-11-30,47.125,47.125,47.125,47.125,8.2322,500,0.0,1.0
1999-12-01,47.125,47.125,47.125,47.125,8.2322,0,0.0,1.0
1999-12-02,47.125,47.125,47.125,47.125,8.2322,0,0.0,1.0
1999-12-03,47.063,47.063,47.0641,47.063,8.2212,300,0.0,1.0
1999-12-06,47.0625,47.0625,47.0625,47.0625,8.2212,0,0.0,1.0
1999-12-07,47.0642,47.063,47.063,47.063,8.2212,1100,0.0,1.0
1999-12-08,47.063,47.063,47.063,47.063,8.2212,100,0.0,1.0
1999-12-09,47.063,47.313,47.063,47.313,8.2649,500,0.0,1.0
1999-12-10,47.3125,47.3125,47.3125,47.3125,8.2649,0,0.0,1.0
1999-12-13,47.25,47.25,47.25,47.25,8.254,200,0.0,1.0
1999-12-14,47.25,47.25,47.25,47.25,8.254,0,0.0,1.0
1999-12-15,47.125,47.125,47.063,47.063,8.2212,900,0.0,1.0
1999-12-16,47.0625,47.0625,47.0625,47.0625,8.2212,0,0.0,1.0
1999-12-17,47.0625,47.0625,47.0625,47.0625,8.2212,0,0.0,1.0
1999-12-20,47.0625,47.0625,47.0625,47.0625,8.2212,0,0.0,1.0
1999-12-21,47.0625,47.0625,47.0625,47.0625,8.2212,0,0.0,1.0
1999-12-22,47.0625,47.0625,47.0625,47.0625,8.2212,0,0.0,1.0
1999-12-23,47.063,47.063,47.063,47.063,8.2212,500,0.0,1.0
1999-12-27,47.313,47.313,47.125,47.125,8.2322,2700,0.0,1.0
1999-12-28,47.125,47.125,47.125,47.125,8.2322,0,0.0,1.0
1999-12-29,47.0,47.0,47.0,47.0,8.2677,200,0.3271,1.0
1999-12-30,47.125,47.125,47.125,47.125,8.2897,400,0.0,1.0
1999-12-31,47.375,47.5,47.375,47.5,8.3557,600,0.0,1.0
2000-01-03,47.75,47.75,47.25,47.25,8.3117,1300,0.0,1.0
2000-01-04,47.0,47.0,47.0,47.0,8.2677,400,0.0,1.0
2000-01-05,47.0,47.0,46.875,46.875,8.2457,800,0.0,1.0
2000-01-06,46.875,46.875,46.875,46.875,8.2457,0,0.0,1.0
2000-01-07,46.75,46.75,46.7476,46.75,8.2237,200,0.0,1.0
2000-01-10,46.5,46.5,46.5,46.5,8.1798,1000,0.0,1.0
2000-01-11,46.5,46.5,46.5,46.5,8.1798,0,0.0,1.0
2000-01-12,46.5,46.5,46.5,46.5,8.1798,1000,0.0,1.0
2000-01-13,46.25,46.25,46.25,46.25,8.1358,200,0.0,1.0
2000-01-14,46.25,46.25,46.25,46.25,8.1358,0,0.0,1.0
2000-01-18,46.25,46.25,46.25,46.25,8.1358,0,0.0,1.0
2000-01-19,46.375,46.375,46.313,46.313,8.1468,300,0.0,1.0
