timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-04-28,20.0,20.01,20.0004,20.0,10.8943,440700,0.0,1.0
2010-04-29,20.1,20.1,20.0,20.01,10.8998,26200,0.0,1.0
2010-04-30,20.01,20.01,20.0,20.01,10.8998,43400,0.0,1.0
2010-05-03,20.01,20.01,20.0,20.01,10.8998,43600,0.0,1.0
2010-05-04,20.01,20.01,20.0,20.0,10.8943,26800,0.0,1.0
2010-05-05,20.0,20.03,20.0,20.0,10.8943,42100,0.0,1.0
2010-05-06,20.0,20.066,20.0,20.02,10.9052,54400,0.0,1.0
2010-05-07,20.02,20.1,20.0,20.06,10.927,59200,0.0,1.0
2010-05-10,20.14,20.14,20.02,20.047,10.9216,27300,0.0,1.0
2010-05-11,20.05,20.08,20.0,20.07,10.9324,20800,0.0,1.0
2010-05-12,20.05,20.08,20.02,20.07,10.9324,38900,0.0,1.0
2010-05-13,20.07,20.19,20.04,20.11,10.9542,53000,0.0,1.0
2010-05-14,20.11,20.17,20.04,20.17,10.9869,15200,0.0,1.0
2010-05-17,20.18,20.22,20.052,20.18,10.9924,49300,0.0,1.0
2010-05-18,20.2,20.237,20.13,20.17,10.9869,34200,0.0,1.0
2010-05-19,20.25,20.25,20.11,20.18,10.9924,47500,0.0,1.0
2010-05-20,20.22,20.22,20.12,20.12,10.9597,69800,0.0,1.0
2010-05-21,20.12,20.25,20.02,20.2,11.0033,57400,0.0,1.0
2010-05-24,20.19,20.31,20.1211,20.15,10.976,107200,0.0,1.0
2010-05-25,20.14,20.16,20.03,20.064,10.927,66600,0.0,1.0
2010-05-26,20.0,20.02,20.0,20.0,10.8943,349800,0.0,1.0
2010-05-27,20.0,20.01,20.0,20.0,10.8943,114700,0.0,1.0
2010-05-28,20.0,20.02,20.0,20.01,10.8998,49600,0.0,1.0
2010-06-01,20.0009,20.018,20.0,20.018,10.8943,44800,0.0,1.0
2010-06-02,20.01,20.03,19.98,20.02,10.9052,172800,0.0,1.0
2010-06-03,20.03,20.03,20.0,20.01,10.8943,49200,0.0,1.0
2010-06-04,20.01,20.01,20.0,20.0,10.8943,52000,0.0,1.0
2010-06-07,20.01,20.0294,20.0,20.016,10.9107,78200,0.0,1.0
2010-06-08,20.05,20.1,20.0,20.01,10.8998,204600,0.0,1.0
2010-06-09,20.08,20.1,20.0004,20.068,10.9324,14600,0.0,1.0
2010-06-10,20.0998,20.12,20.06,20.08,10.9379,12600,0.0,1.0
2010-06-11,19.99,20.01,19.9,19.97,10.9417,14200,0.117,1.0
2010-06-14,19.98,20.0102,19.63,19.77,10.8321,25400,0.0,1.0
2010-06-15,19.79,19.903,19.592,19.7,10.7938,72500,0.0,1.0
2010-06-16,19.75,19.99,19.4,19.8,10.8486,46000,0.0,1.0
2010-06-17,19.8,19.8,19.64,19.68,10.7938,16000,0.0,1.0
2010-06-18,19.75,19.89,19.48,19.49,10.6787,14000,0.0,1.0
2010-06-21,19.51,19.88,19.492,19.67,10.7774,102600,0.0,1.0
2010-06-22,19.68,19.71,19.51,19.523,10.7061,14200,0.0,1.0
2010-06-23,19.6,19.75,19.49,19.72,10.8048,27200,0.0,1.0
2010-06-24,19.72,19.72,19.498,19.686,10.7883,17400,0.0,1.0
2010-06-25,19.69,19.7,19.49,19.61,10.7445,17400,0.0,1.0
2010-06-28,19.69,19.7,19.59,19.7,10.7938,18000,0.0,1.0
2010-06-29,19.7,19.79,19.52,19.766,10.8321,41400,0.0,1.0
2010-06-30,19.88,19.88,19.77,19.8,10.8486,97700,0.0,1.0
2010-07-01,19.81,19.89,19.53,19.54,10.7061,121900,0.0,1.0
2010-07-02,19.6514,19.78,19.6,19.763,10.8267,59600,0.0,1.0
2010-07-06,19.51,19.9,19.51,19.84,10.8705,24400,0.0,1.0
2010-07-07,19.88,19.9,19.76,19.76,10.8321,24400,0.0,1.0
2010-07-08,19.8,19.9,19.76,19.85,10.876,29000,0.0,1.0
2010-07-09,19.8,19.9,19.78,19.83,10.865,82400,0.0,1.0
2010-07-12,19.88,19.98,19.8459,19.98,10.9472,63500,0.0,1.0
2010-07-13,19.9487,19.95,19.69,19.87,10.9511,15600,0.117,1.0
2010-07-14,19.8,19.95,19.7,19.71,10.8629,29000,0.0,1.0
2010-07-15,19.7492,19.95,19.67,19.86,10.9456,103100,0.0,1.0
2010-07-16,19.88,19.88,19.35,19.79,10.907,14000,0.0,1.0
2010-07-19,19.8,19.91,19.7,19.85,10.94,76100,0.0,1.0
2010-07-20,19.85,19.9,19.78,19.84,10.9345,55600,0.0,1.0
2010-07-21,19.88,19.9,19.74,19.84,10.9345,63600,0.0,1.0
2010-07-22,19.84,19.87,19.7,19.72,10.8684,70700,0.0,1.0
2010-07-23,19.7,19.804,19.62,19.804,10.9125,70200,0.0,1.0
2010-07-26,19.83,19.89,19.7,19.83,10.929,86100,0.0,1.0
2010-07-27,19.84,19.99,19.802,19.91,10.9731,108800,0.0,1.0
2010-07-28,19.97,19.97,19.83,19.85,10.94,62100,0.0,1.0
2010-07-29,19.86,19.96,19.77,19.9,10.9676,65300,0.0,1.0
2010-07-30,19.93,19.93,19.75,19.8,10.9125,82600,0.0,1.0
2010-08-02,19.81,19.93,19.76,19.85,10.94,124100,0.0,1.0
2010-08-03,19.9,19.94,19.75,19.9,10.9676,128900,0.0,1.0
2010-08-04,19.9,19.95,19.8834,19.9,10.9676,62500,0.0,1.0
2010-08-05,19.93,19.96,19.88,19.96,11.0007,69600,0.0,1.0
2010-08-06,19.94,20.06,19.88,20.04,11.0448,99600,0.0,1.0
2010-08-09,20.08,20.09,19.982,20.0,11.0227,110400,0.0,1.0
2010-08-10,20.0,20.09,19.9508,20.03,11.0392,161100,0.0,1.0
2010-08-11,19.91,20.07,19.844,20.07,11.1263,173900,0.117,1.0
2010-08-12,20.09,20.15,20.02,20.11,11.1485,118300,0.0,1.0
2010-08-13,20.15,20.185,20.08,20.185,11.1928,87200,0.0,1.0
2010-08-16,20.2,20.2,20.05,20.18,11.1873,208600,0.0,1.0
2010-08-17,20.2,20.26,20.08,20.254,11.2261,206700,0.0,1.0
2010-08-18,20.3,20.3,20.08,20.11,11.1485,108200,0.0,1.0
2010-08-19,20.17,20.17,20.0796,20.11,11.1485,140100,0.0,1.0
2010-08-20,20.1,20.23,20.1,20.125,11.1595,135900,0.0,1.0
2010-08-23,20.17,20.17,20.0093,20.05,11.1152,191200,0.0,1.0
2010-08-24,20.02,20.22,20.02,20.18,11.1873,122800,0.0,1.0
2010-08-25,20.24,20.3,20.11,20.23,11.215,166200,0.0,1.0
2010-08-26,20.16,20.34,20.09,20.15,11.1706,184800,0.0,1.0
2010-08-27,20.18,20.33,20.14,20.3,11.2538,105800,0.0,1.0
2010-08-30,20.28,20.525,20.28,20.5,11.3647,108800,0.0,1.0
2010-08-31,20.53,20.71,20.39,20.56,11.3979,163900,0.0,1.0
2010-09-01,20.38,20.7,20.37,20.45,11.3369,129800,0.0,1.0
2010-09-02,20.57,20.57,20.39,20.56,11.3979,140900,0.0,1.0
2010-09-03,20.46,20.63,20.41,20.57,11.4035,118800,0.0,1.0
2010-09-07,20.5,20.63,20.32,20.35,11.2815,115200,0.0,1.0
2010-09-08,20.44,20.53,20.25,20.33,11.2704,101300,0.0,1.0
2010-09-09,20.35,20.4,20.15,20.28,11.2427,171100,0.0,1.0
2010-09-10,20.24,20.34,20.21,20.34,11.276,37700,0.0,1.0
2010-09-13,20.22,20.38,20.1422,20.369,11.3579,73100,0.117,1.0
2010-09-14,20.35,20.36,20.16,20.32,11.3301,99100,0.0,1.0
2010-09-15,20.3,20.39,20.2,20.3,11.3189,138900,0.0,1.0
