timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,42.625,43.0,40.125,40.688,9.6898,751600,0.0,1.0
1999-09-14,39.375,39.438,36.313,36.875,8.7819,3879400,0.0,1.0
1999-09-15,37.0,37.313,32.75,34.0,8.0972,3886200,0.0,1.0
1999-09-16,34.063,34.8771,33.375,34.375,8.1865,1587800,0.0,1.0
1999-09-17,34.375,35.375,34.125,35.0,8.3353,1279800,0.0,1.0
1999-09-20,35.2489,35.25,33.188,34.0,8.0972,1053600,0.0,1.0
1999-09-21,34.25,34.625,33.313,33.75,8.0377,1416600,0.0,1.0
1999-09-22,33.563,33.875,32.75,32.813,7.8144,1221200,0.0,1.0
1999-09-23,32.813,32.813,30.2478,30.688,7.3083,1164800,0.0,1.0
1999-09-24,30.5,30.563,30.0,30.125,7.1743,680800,0.0,1.0
1999-09-27,30.375,31.0,30.25,30.563,7.2785,839600,0.0,1.0
1999-09-28,30.438,30.688,30.1268,30.313,7.219,496800,0.0,1.0
1999-09-29,30.5,31.438,30.438,31.25,7.4423,607800,0.0,1.0
1999-09-30,31.875,33.6252,31.625,33.063,7.8739,1596600,0.0,1.0
1999-10-01,32.5,32.625,31.0,31.313,7.4572,1329800,0.0,1.0
1999-10-04,31.563,32.625,31.563,32.188,7.6655,1200600,0.0,1.0
1999-10-05,32.188,32.375,31.438,31.75,7.5613,507800,0.0,1.0
1999-10-06,30.25,32.2488,28.875,29.625,7.0553,6416000,0.0,1.0
1999-10-07,29.625,29.625,27.688,27.938,6.6534,3208000,0.0,1.0
1999-10-08,28.313,28.75,27.125,28.688,6.832,1571200,0.0,1.0
1999-10-11,28.688,29.375,28.0,28.75,6.8469,1222600,0.0,1.0
1999-10-12,28.2504,28.25,27.5,28.0,6.6683,1954200,0.0,1.0
1999-10-13,27.7527,28.0,27.375,27.5,6.5492,1318600,0.0,1.0
1999-10-14,27.75,27.8759,27.375,27.688,6.5939,865200,0.0,1.0
1999-10-15,27.563,27.75,26.688,27.625,6.579,1326800,0.0,1.0
1999-10-18,27.5,27.75,26.938,27.375,6.5194,1101200,0.0,1.0
1999-10-19,27.125,27.625,26.75,26.75,6.3706,1045400,0.0,1.0
1999-10-20,27.5,29.25,27.375,28.0,6.6683,2792000,0.0,1.0
1999-10-21,27.5,29.5,27.313,29.438,7.0106,1569800,0.0,1.0
1999-10-22,29.688,30.25,29.375,29.625,7.0553,1285000,0.0,1.0
1999-10-25,29.5,30.688,29.5,30.688,7.3083,1014400,0.0,1.0
1999-10-26,31.75,31.75,29.875,30.313,7.219,1047400,0.0,1.0
1999-10-27,30.375,31.25,29.875,29.938,7.1297,1047400,0.0,1.0
1999-10-28,30.188,31.5,30.188,31.375,7.472,1296800,0.0,1.0
1999-10-29,32.0,33.875,32.0,33.125,7.8888,1563200,0.0,1.0
1999-11-01,33.0,34.0,33.0,33.688,8.0228,659400,0.0,1.0
1999-11-02,33.875,33.875,32.0,32.5,7.74,1639400,0.0,1.0
1999-11-03,32.25,33.125,32.063,33.0,7.859,1283400,0.0,1.0
1999-11-04,33.4974,34.188,33.125,33.813,8.0525,760200,0.0,1.0
