timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,23.938,24.125,23.875,23.938,1.2308,127700,0.0,1.0
1999-09-14,23.875,23.875,23.25,23.375,1.2019,487300,0.0,1.0
1999-09-15,23.375,23.688,23.25,23.25,1.1955,424500,0.0,1.0
1999-09-16,23.25,23.438,23.25,23.438,1.2051,670300,0.0,1.0
1999-09-17,23.563,23.75,23.5,23.5,1.2083,519600,0.0,1.0
1999-09-20,23.625,24.125,23.625,24.0,1.2341,1023000,0.0,1.0
1999-09-21,24.0,24.0,23.4986,23.75,1.2212,466700,0.0,1.0
1999-09-22,23.563,23.625,23.25,23.313,1.1987,247600,0.0,1.0
1999-09-23,23.188,23.25,22.625,22.688,1.1666,320900,0.0,1.0
1999-09-24,22.563,22.625,22.375,22.375,1.1505,291600,0.0,1.0
1999-09-27,22.5,22.813,22.125,22.125,1.1376,585800,0.0,1.0
1999-09-28,22.438,22.5,21.438,21.75,1.1184,833400,0.0,1.0
1999-09-29,21.875,22.0,21.688,21.875,1.1248,469800,0.0,1.0
1999-09-30,22.063,22.375,22.0,22.125,1.1376,421400,0.0,1.0
1999-10-01,22.0,22.375,21.938,22.25,1.1441,344500,0.0,1.0
1999-10-04,22.188,23.063,22.188,23.0,1.1826,484800,0.0,1.0
1999-10-05,22.8744,22.938,21.938,22.125,1.1376,484300,0.0,1.0
1999-10-06,22.125,22.25,21.875,22.25,1.1441,552500,0.0,1.0
1999-10-07,22.188,22.25,21.375,21.688,1.1151,207100,0.0,1.0
1999-10-08,21.75,22.0,21.375,21.5,1.1055,321900,0.0,1.0
1999-10-11,21.4372,21.688,21.25,21.375,1.0991,429800,0.0,1.0
1999-10-12,21.313,21.438,21.063,21.375,1.0991,472800,0.0,1.0
1999-10-13,21.375,21.438,21.188,21.438,1.1023,236400,0.0,1.0
1999-10-14,21.438,21.688,21.063,21.625,1.1119,472300,0.0,1.0
1999-10-15,21.375,21.75,20.938,21.625,1.1119,557300,0.0,1.0
1999-10-18,21.625,21.625,20.938,21.0,1.0798,307400,0.0,1.0
1999-10-19,21.0,21.25,20.563,20.625,1.0605,600100,0.0,1.0
1999-10-20,20.438,20.875,20.313,20.563,1.0573,385000,0.0,1.0
1999-10-21,20.2498,20.25,19.5,19.5,1.0027,3359400,0.0,1.0
1999-10-22,19.688,20.0,19.625,19.938,1.0252,1593900,0.0,1.0
1999-10-25,20.0,20.75,20.0,20.625,1.0605,1275500,0.0,1.0
1999-10-26,20.625,20.625,19.875,20.188,1.038,568500,0.0,1.0
1999-10-27,20.063,20.5,20.063,20.438,1.0858,2101400,0.255,1.0
1999-10-28,20.5,20.688,20.313,20.563,1.0924,375600,0.0,1.0
1999-10-29,20.563,20.75,20.5,20.5,1.0891,586800,0.0,1.0
1999-11-01,20.625,20.875,20.438,20.813,1.1057,397700,0.0,1.0
1999-11-02,20.875,21.0,20.813,20.875,1.109,422900,0.0,1.0
1999-11-03,20.938,21.063,20.313,20.563,1.0924,766200,0.0,1.0
1999-11-04,20.813,21.188,20.813,21.063,1.119,927100,0.0,1.0
1999-11-05,21.188,21.188,20.938,21.0,1.1157,1536600,0.0,1.0
1999-11-08,21.063,21.2499,20.938,21.063,1.119,1121000,0.0,1.0
1999-11-09,21.0,21.063,20.625,20.688,1.0991,1022300,0.0,1.0
1999-11-10,20.7497,20.75,20.313,20.375,1.0825,351200,0.0,1.0
1999-11-11,20.375,20.375,20.0,20.063,1.0659,4287800,0.0,1.0
1999-11-12,20.0,20.313,20.0,20.063,1.0659,703100,0.0,1.0
1999-11-15,20.125,20.5,20.063,20.313,1.0791,463900,0.0,1.0
1999-11-16,20.375,20.4385,20.063,20.125,1.0692,652700,0.0,1.0
1999-11-17,20.188,20.25,20.063,20.063,1.0659,294200,0.0,1.0
1999-11-18,20.063,20.188,19.5,19.625,1.0426,454000,0.0,1.0
1999-11-19,19.5,19.875,19.375,19.875,1.0559,1091500,0.0,1.0
1999-11-22,20.0,20.0,19.4995,19.563,1.0393,596000,0.0,1.0
1999-11-23,19.563,19.625,19.063,19.125,1.016,422700,0.0,1.0
1999-11-24,19.125,19.1254,18.938,19.0,1.0094,832200,0.0,1.0
1999-11-26,19.0,19.0,18.75,18.75,0.9961,258000,0.0,1.0
1999-11-29,18.688,18.75,18.125,18.25,0.9696,1562600,0.0,1.0
1999-11-30,18.375,18.813,18.313,18.813,0.9994,1080300,0.0,1.0
1999-12-01,18.75,19.063,18.625,19.0,1.0094,1020200,0.0,1.0
1999-12-02,18.938,19.125,18.875,19.063,1.0127,588600,0.0,1.0
1999-12-03,19.063,19.188,18.688,18.875,1.0028,816400,0.0,1.0
1999-12-06,18.813,18.938,18.5,18.563,0.9862,1202000,0.0,1.0
1999-12-07,18.625,18.75,18.313,18.625,0.9895,2264700,0.0,1.0
1999-12-08,18.5,18.563,17.875,18.125,0.9629,577700,0.0,1.0
1999-12-09,17.9375,18.125,17.563,17.688,0.9397,1135000,0.0,1.0
1999-12-10,17.75,18.125,17.75,17.875,0.9496,1004500,0.0,1.0
1999-12-13,17.75,17.813,16.875,16.875,0.8965,739300,0.0,1.0
1999-12-14,17.063,17.375,17.0,17.188,0.9131,1158700,0.0,1.0
1999-12-15,17.063,17.813,17.0001,17.188,0.9131,495500,0.0,1.0
1999-12-16,17.188,17.438,16.875,17.063,0.9065,888400,0.0,1.0
1999-12-17,16.938,17.125,16.5,16.563,0.8799,1270900,0.0,1.0
1999-12-20,16.563,16.7509,16.375,16.625,0.8832,1180600,0.0,1.0
1999-12-21,16.625,17.813,16.625,17.75,0.943,2173600,0.0,1.0
1999-12-22,18.0,18.0,17.313,17.5,0.9297,827800,0.0,1.0
1999-12-23,17.5,18.063,17.4995,17.75,0.943,677700,0.0,1.0
1999-12-27,18.063,18.063,17.75,17.938,0.953,890700,0.0,1.0
1999-12-28,17.875,18.125,17.75,18.0,0.9563,699600,0.0,1.0
1999-12-29,17.938,18.063,17.813,17.938,0.953,839000,0.0,1.0
1999-12-30,18.063,18.188,17.75,18.0,0.9563,788400,0.0,1.0
1999-12-31,18.0,18.0,17.813,17.875,0.9496,330000,0.0,1.0
2000-01-03,17.8124,17.875,17.375,17.625,0.9364,1051800,0.0,1.0
2000-01-04,17.5,18.0,17.438,17.813,0.9463,875200,0.0,1.0
2000-01-05,18.0,18.75,17.875,18.563,0.9862,1086200,0.0,1.0
2000-01-06,18.5,18.563,18.0,18.438,0.9795,479200,0.0,1.0
2000-01-07,18.375,18.75,18.188,18.375,0.9762,623700,0.0,1.0
2000-01-10,18.563,18.875,18.563,18.813,0.9994,853500,0.0,1.0
2000-01-11,18.688,18.75,18.125,18.25,0.9696,1031900,0.0,1.0
2000-01-12,18.125,18.563,17.9998,18.563,0.9862,503100,0.0,1.0
2000-01-13,18.375,18.5,18.0007,18.375,0.9762,439500,0.0,1.0
2000-01-14,18.375,18.438,18.0,18.063,0.9596,424500,0.0,1.0
2000-01-18,17.813,17.875,17.5,17.5,0.9297,907000,0.0,1.0
2000-01-19,17.438,18.063,17.375,18.0,0.9563,517100,0.0,1.0
2000-01-20,17.938,18.5,17.75,18.5,0.9828,795500,0.0,1.0
2000-01-21,18.25,19.938,18.188,19.938,1.0592,1663900,0.0,1.0
2000-01-24,20.0,21.688,20.0,21.313,1.1323,2353800,0.0,1.0
2000-01-25,21.313,21.625,19.625,19.75,1.0493,1591100,0.0,1.0
2000-01-26,19.75,19.813,19.188,19.375,1.0293,1899800,0.0,1.0
2000-01-27,19.313,19.438,18.813,19.125,1.0534,1927000,0.27,1.0
2000-01-28,19.063,19.3741,18.188,18.375,1.0121,4582200,0.0,1.0
2000-01-31,18.375,18.563,18.313,18.375,1.0121,1388800,0.0,1.0
2000-02-01,18.563,18.813,18.375,18.813,1.0362,2404500,0.0,1.0
2000-02-02,18.813,19.063,18.5,18.563,1.0224,468500,0.0,1.0
2000-02-03,18.625,19.938,18.625,19.0,1.0465,823500,0.0,1.0
2000-02-04,19.25,19.5,18.6248,18.813,1.0362,806000,0.0,1.0
2000-02-07,19.0,19.0,17.938,18.0,0.9914,381400,0.0,1.0
2000-02-08,18.188,18.375,17.75,17.813,0.9811,587600,0.0,1.0
2000-02-09,18.0,18.5,17.8117,17.813,0.9811,427000,0.0,1.0
2000-02-10,17.625,18.188,17.375,17.563,0.9673,453700,0.0,1.0
2000-02-11,17.688,17.688,17.375,17.438,0.9605,432100,0.0,1.0
2000-02-14,17.438,17.938,17.313,17.438,0.9605,383200,0.0,1.0
2000-02-15,17.688,17.813,17.4383,17.563,0.9673,544100,0.0,1.0
2000-02-16,17.438,17.625,17.375,17.5,0.9639,318300,0.0,1.0
2000-02-17,17.313,17.438,16.813,17.063,0.9398,748200,0.0,1.0
2000-02-18,17.313,17.313,16.688,16.75,0.9226,1678900,0.0,1.0
2000-02-22,17.125,17.1258,16.5,16.75,0.9226,911800,0.0,1.0
2000-02-23,16.8122,16.813,16.313,16.438,0.9054,609000,0.0,1.0
2000-02-24,16.5,16.5,15.688,16.063,0.8847,818900,0.0,1.0
2000-02-25,15.9374,16.0,15.5,15.563,0.8572,400500,0.0,1.0
2000-02-28,14.5,14.563,12.75,13.0,0.716,7257000,0.0,1.0
2000-02-29,13.625,13.875,12.75,12.938,0.7126,3340800,0.0,1.0
2000-03-01,13.0,13.063,12.813,12.875,0.7092,1337900,0.0,1.0
2000-03-02,13.1242,13.125,12.813,13.0,0.716,1819600,0.0,1.0
2000-03-03,12.9988,13.5,12.938,13.313,0.7333,7889500,0.0,1.0
2000-03-06,14.0,14.063,13.313,13.375,0.7367,2863800,0.0,1.0
2000-03-07,13.375,13.688,13.376,13.688,0.7539,2221700,0.0,1.0
2000-03-08,13.9997,14.25,13.875,14.0,0.7711,1765400,0.0,1.0
2000-03-09,14.125,14.4384,14.0,14.375,0.7918,2834800,0.0,1.0
2000-03-10,14.4383,14.75,14.375,14.688,0.809,3997900,0.0,1.0
2000-03-13,14.563,14.8137,14.5,14.75,0.8124,1957800,0.0,1.0
2000-03-14,14.75,15.5,14.688,14.938,0.8228,2977900,0.0,1.0
2000-03-15,15.0,16.0013,15.0,15.75,0.8675,1661800,0.0,1.0
2000-03-16,15.625,16.625,15.625,16.188,0.8916,1575800,0.0,1.0
2000-03-17,15.875,16.25,15.75,16.0,0.8813,1198400,0.0,1.0
2000-03-20,16.188,16.25,15.75,15.938,0.8778,857600,0.0,1.0
2000-03-21,16.1886,16.25,15.875,15.875,0.8744,801400,0.0,1.0
