timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-01-16,14.95,14.95,14.95,14.95,5.7743,1800,0.0,1.0
2003-01-17,14.8487,14.9,14.75,14.9,5.755,4500,0.0,1.0
2003-01-21,14.9,14.9,14.9,14.9,5.755,0,0.0,1.0
2003-01-22,14.9,14.9,14.8,14.8,5.7164,3700,0.0,1.0
2003-01-23,14.8,14.8,14.8,14.8,5.7164,0,0.0,1.0
2003-01-24,14.65,14.99,14.65,14.9,5.755,9000,0.0,1.0
2003-01-27,14.9,14.9,14.8,14.8,5.7164,4200,0.0,1.0
2003-01-28,14.89,15.0,14.89,14.9,5.755,9800,0.0,1.0
2003-01-29,14.98,14.98,14.9,14.91,5.7589,7100,0.0,1.0
2003-01-30,14.9,14.95,14.9,14.95,5.7743,2100,0.0,1.0
2003-01-31,14.95,14.95,14.75,14.75,5.6971,1500,0.0,1.0
2003-02-03,14.85,14.99,14.75,14.75,5.6971,15200,0.0,1.0
2003-02-04,14.8903,14.89,14.7,14.85,5.7357,3200,0.0,1.0
2003-02-05,14.88,14.88,14.8807,14.88,5.7473,1000,0.0,1.0
2003-02-06,14.7503,14.85,14.65,14.65,5.6584,9900,0.0,1.0
2003-02-07,14.75,14.75,14.7,14.7,5.6777,1200,0.0,1.0
2003-02-10,14.75,14.75,14.45,14.56,5.6237,8900,0.0,1.0
2003-02-11,14.64,14.6401,14.56,14.56,5.6237,2000,0.0,1.0
2003-02-12,14.5,14.6,14.45,14.45,5.6105,1900,0.076,1.0
2003-02-13,14.3,14.3,13.95,14.0,5.4357,7100,0.0,1.0
2003-02-14,14.05,14.2,13.85,14.2,5.5134,7500,0.0,1.0
2003-02-18,14.1,14.4,14.1,14.35,5.5716,8800,0.0,1.0
2003-02-19,14.4,14.47,14.0,14.45,5.6105,17600,0.0,1.0
2003-02-20,14.4,14.4,14.4009,14.4,5.5911,2700,0.0,1.0
2003-02-21,14.28,14.28,14.28,14.28,5.5445,500,0.0,1.0
2003-02-24,14.4,14.4,14.2,14.2,5.5134,3700,0.0,1.0
2003-02-25,14.2,14.6,14.2,14.6,5.6687,5600,0.0,1.0
2003-02-26,14.5,14.6,14.45,14.6,5.6687,2200,0.0,1.0
2003-02-27,14.65,14.8,14.45,14.45,5.6105,10800,0.0,1.0
2003-02-28,14.55,14.6,14.55,14.6,5.6687,400,0.0,1.0
2003-03-03,14.25,14.6,14.25,14.6,5.6687,5600,0.0,1.0
2003-03-04,14.65,14.7,14.65,14.65,5.6881,4200,0.0,1.0
2003-03-05,14.65,14.6512,14.65,14.65,5.6881,6800,0.0,1.0
2003-03-06,14.65,14.88,14.65,14.8,5.7464,2200,0.0,1.0
2003-03-07,14.8,14.8,14.8,14.8,5.7464,0,0.0,1.0
2003-03-10,14.8,14.8,14.7998,14.8,5.7464,400,0.0,1.0
2003-03-11,14.7,14.7504,14.7,14.75,5.7269,5700,0.0,1.0
2003-03-12,14.75,14.75,14.75,14.75,5.7566,1000,0.076,1.0
2003-03-13,14.53,14.53,14.2,14.35,5.6005,33100,0.0,1.0
2003-03-14,14.28,14.28,14.28,14.28,5.5732,1000,0.0,1.0
2003-03-17,14.28,14.32,14.13,14.3,5.581,13500,0.0,1.0
2003-03-18,14.35,14.51,14.35,14.51,5.6629,9100,0.0,1.0
2003-03-19,14.5,14.55,14.35,14.35,5.6005,20800,0.0,1.0
2003-03-20,14.44,14.65,14.42,14.42,5.6278,9500,0.0,1.0
2003-03-21,14.4088,14.56,14.3,14.3,5.581,8100,0.0,1.0
2003-03-24,14.2,14.28,14.1,14.28,5.5732,2900,0.0,1.0
2003-03-25,14.35,14.45,14.35,14.45,5.6395,2300,0.0,1.0
2003-03-26,14.35,14.35,14.2,14.25,5.5615,6100,0.0,1.0
2003-03-27,14.3,14.3,14.06,14.3,5.581,7400,0.0,1.0
2003-03-28,14.31,14.31,14.3,14.3,5.581,1400,0.0,1.0
2003-03-31,14.4,14.5,14.2502,14.31,5.5849,5400,0.0,1.0
2003-04-01,14.45,14.65,14.45,14.65,5.7176,2600,0.0,1.0
2003-04-02,14.7,14.7901,14.56,14.56,5.6825,5300,0.0,1.0
2003-04-03,14.55,14.7,14.55,14.7,5.7371,3100,0.0,1.0
2003-04-04,14.85,14.9012,14.85,14.89,5.8112,1100,0.0,1.0
2003-04-07,14.9,14.9,14.7,14.8,5.7761,6800,0.0,1.0
2003-04-08,14.8,14.8,14.8,14.8,5.7761,0,0.0,1.0
2003-04-09,14.76,14.8,14.6,14.8,5.7761,6600,0.0,1.0
2003-04-10,14.66,14.85,14.6,14.7,5.7371,7000,0.0,1.0
2003-04-11,14.75,14.85,14.7,14.7,5.7669,4200,0.076,1.0
2003-04-14,14.84,14.84,14.72,14.72,5.7748,1900,0.0,1.0
2003-04-15,14.82,14.85,14.7,14.7,5.7669,6600,0.0,1.0
2003-04-16,14.85,14.87,14.75,14.75,5.7865,2200,0.0,1.0
2003-04-17,14.75,14.86,14.75,14.76,5.7904,4800,0.0,1.0
2003-04-21,14.89,14.99,14.67,14.67,5.7551,14800,0.0,1.0
2003-04-22,14.67,14.93,14.67,14.75,5.7865,10100,0.0,1.0
2003-04-23,14.73,14.73,14.63,14.63,5.7394,14800,0.0,1.0
2003-04-24,14.62,14.93,14.62,14.8,5.8061,3000,0.0,1.0
2003-04-25,14.8,14.85,14.8,14.85,5.8258,2300,0.0,1.0
2003-04-28,14.93,14.93,14.79,14.8,5.8061,5600,0.0,1.0
2003-04-29,14.93,14.93,14.8,14.93,5.8571,9700,0.0,1.0
2003-04-30,14.99,14.99,14.71,14.71,5.7708,2700,0.0,1.0
2003-05-01,14.81,14.91,14.81,14.81,5.8101,1300,0.0,1.0
2003-05-02,14.99,14.99,14.82,14.82,5.814,2900,0.0,1.0
2003-05-05,14.92,14.92,14.92,14.92,5.8532,100,0.0,1.0
2003-05-06,14.99,14.99,14.8,14.8,5.8061,4700,0.0,1.0
2003-05-07,14.7,14.79,14.63,14.65,5.7473,24000,0.0,1.0
2003-05-08,14.7507,14.75,14.58,14.65,5.7473,7900,0.0,1.0
2003-05-09,14.72,14.78,14.65,14.78,5.7983,7400,0.0,1.0
2003-05-12,14.73,14.84,14.71,14.83,5.8179,3500,0.0,1.0
2003-05-13,14.78,14.81,14.71,14.81,5.84,2400,0.076,1.0
2003-05-14,14.85,14.85,14.75,14.75,5.8163,8100,0.0,1.0
2003-05-15,14.75,14.84,14.7,14.84,5.8518,16200,0.0,1.0
2003-05-16,14.99,14.99,14.98,14.98,5.907,5000,0.0,1.0
2003-05-19,14.97,14.97,14.7605,14.76,5.8203,8000,0.0,1.0
2003-05-20,14.83,14.97,14.83,14.89,5.8715,8200,0.0,1.0
2003-05-21,14.9,14.98,14.85,14.97,5.9031,13300,0.0,1.0
2003-05-22,14.97,14.98,14.85,14.9,5.8755,11200,0.0,1.0
2003-05-23,14.99,15.15,14.94,15.15,5.9741,17700,0.0,1.0
2003-05-27,15.15,15.2206,15.15,15.2,5.9938,8500,0.0,1.0
2003-05-28,15.2,15.55,15.0,15.25,6.0135,14700,0.0,1.0
2003-05-29,15.27,15.3,15.05,15.27,6.0214,15400,0.0,1.0
2003-05-30,15.37,15.44,15.15,15.15,5.9741,10100,0.0,1.0
2003-06-02,15.3,15.35,15.15,15.25,6.0135,3100,0.0,1.0
2003-06-03,15.45,15.45,15.1,15.26,6.0174,10500,0.0,1.0
2003-06-04,15.3011,15.49,15.3,15.49,6.1081,3100,0.0,1.0
2003-06-05,15.16,15.38,15.16,15.38,6.0648,32100,0.0,1.0
2003-06-06,15.4,15.45,15.24,15.45,6.0924,9600,0.0,1.0
2003-06-09,15.5,15.76,15.25,15.25,6.0135,7300,0.0,1.0
2003-06-10,15.39,15.4495,15.34,15.45,6.0924,6000,0.0,1.0
2003-06-11,15.43,15.9108,15.41,15.51,6.1463,16800,0.076,1.0
2003-06-12,15.51,15.8,15.51,15.8,6.2612,4100,0.0,1.0
2003-06-13,15.78,15.95,15.75,15.95,6.3206,32800,0.0,1.0
2003-06-16,16.05,16.05,15.95,15.95,6.3206,13800,0.0,1.0
2003-06-17,15.85,15.85,15.77,15.77,6.2493,1000,0.0,1.0
2003-06-18,15.75,15.76,15.3981,15.4,6.1027,26300,0.0,1.0
2003-06-19,15.41,15.41,15.11,15.19,6.0194,17700,0.0,1.0
