timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2009-04-28,15.0,15.01,14.49,15.01,9.0734,64200,0.0,1.0
2009-04-29,15.01,15.01,15.01,15.01,9.0734,0,0.0,1.0
2009-04-30,15.09,15.09,15.05,15.05,9.0976,1500,0.0,1.0
2009-05-01,15.05,15.09,15.03,15.09,9.1218,3800,0.0,1.0
2009-05-04,14.97,15.0,14.9,15.0,9.0674,20300,0.0,1.0
2009-05-05,15.0,15.0,15.0,15.0,9.0674,0,0.0,1.0
2009-05-06,14.9,15.09,14.9,14.91,9.013,16300,0.0,1.0
2009-05-07,14.9,15.09,14.45,15.05,9.0976,1800,0.0,1.0
2009-05-08,15.05,15.05,15.05,15.05,9.0976,0,0.0,1.0
2009-05-11,15.05,15.05,15.05,15.05,9.0976,0,0.0,1.0
2009-05-12,14.95,15.0,14.95,14.95,9.0371,1700,0.0,1.0
2009-05-13,15.0,15.0,15.0,15.0,9.0674,1000,0.0,1.0
2009-05-14,14.95,14.98,14.9,14.98,9.0553,2000,0.0,1.0
2009-05-15,14.97,14.98,14.95,14.98,9.0553,2800,0.0,1.0
2009-05-18,14.98,14.98,14.98,14.98,9.0553,0,0.0,1.0
2009-05-19,14.95,14.95,14.95,14.95,9.0371,4600,0.0,1.0
2009-05-20,15.05,15.05,15.05,15.05,9.0976,100,0.0,1.0
2009-05-21,15.1,15.1,15.1,15.1,9.1278,1000,0.0,1.0
2009-05-22,15.0,15.0,15.0,15.0,9.0674,6000,0.0,1.0
2009-05-26,15.0,15.0,15.0,15.0,9.0674,700,0.0,1.0
2009-05-27,14.3,15.0,13.44,14.85,8.9767,5700,0.0,1.0
2009-05-28,15.08,15.08,14.85,14.88,8.9948,5200,0.0,1.0
2009-05-29,15.09,15.09,14.85,14.85,8.9767,4100,0.0,1.0
2009-06-01,14.85,14.85,14.85,14.85,8.9767,6000,0.0,1.0
2009-06-02,14.95,14.95,14.86,14.86,8.9827,600,0.0,1.0
2009-06-03,14.89,14.89,14.89,14.89,9.0009,100,0.0,1.0
2009-06-04,15.1,15.1,15.0,15.0,9.0674,500,0.0,1.0
2009-06-05,15.02,15.1,14.9,15.1,9.1278,1000,0.0,1.0
2009-06-08,14.9,14.9,14.89,14.89,9.0009,700,0.0,1.0
2009-06-09,15.1,15.1,15.08,15.1,9.1278,1300,0.0,1.0
2009-06-10,15.0,15.49,14.99,15.0,9.0674,9400,0.0,1.0
2009-06-11,15.01,15.49,15.01,15.49,9.4043,1300,0.065,1.0
2009-06-12,15.01,15.24,13.51,15.2,9.2282,2300,0.0,1.0
2009-06-15,14.95,15.0,14.95,15.0,9.1068,200,0.0,1.0
2009-06-16,15.0,15.0,15.0,15.0,9.1068,0,0.0,1.0
2009-06-17,15.0,15.0,14.3,14.5,8.8033,1300,0.0,1.0
2009-06-18,14.75,15.0,14.75,15.0,9.1068,2300,0.0,1.0
2009-06-19,15.0,15.0,14.99,15.0,9.1068,1500,0.0,1.0
2009-06-22,14.97,14.99,14.97,14.99,9.1007,700,0.0,1.0
2009-06-23,14.75,14.75,14.75,14.75,8.955,900,0.0,1.0
2009-06-24,14.75,14.75,14.75,14.75,8.955,0,0.0,1.0
2009-06-25,14.5,14.5,14.0,14.27,8.6636,700,0.0,1.0
2009-06-26,14.5,14.5,14.25,14.25,8.6515,1000,0.0,1.0
2009-06-29,14.5,14.5,13.75,14.46,8.779,5400,0.0,1.0
2009-06-30,14.25,14.49,14.25,14.45,8.7729,2000,0.0,1.0
2009-07-01,14.73,14.75,14.4,14.4,8.7425,1200,0.0,1.0
2009-07-02,14.23,15.23,14.23,15.23,9.2465,2300,0.0,1.0
2009-07-06,14.98,14.98,14.59,14.74,8.949,2500,0.0,1.0
2009-07-07,14.59,14.6,14.13,14.6,8.864,3900,0.0,1.0
2009-07-08,14.5,14.5,14.5,14.5,8.8033,100,0.0,1.0
2009-07-09,14.51,14.52,14.51,14.52,8.8154,300,0.0,1.0
2009-07-10,14.51,14.51,14.51,14.51,8.8093,300,0.0,1.0
2009-07-13,14.43,14.55,14.43,14.43,8.8002,1100,0.065,1.0
2009-07-14,14.49,14.49,14.49,14.49,8.8368,100,0.0,1.0
2009-07-15,13.52,14.7,13.52,14.52,8.8551,2500,0.0,1.0
2009-07-16,14.58,14.66,14.21,14.66,8.9404,2700,0.0,1.0
2009-07-17,14.52,14.68,14.3,14.49,8.8368,800,0.0,1.0
2009-07-20,14.49,14.49,14.49,14.49,8.8368,1000,0.0,1.0
2009-07-21,14.49,14.49,14.49,14.49,8.8368,700,0.0,1.0
2009-07-22,14.49,14.49,14.49,14.49,8.8368,100,0.0,1.0
2009-07-23,14.33,14.33,13.94,14.15,8.6294,7900,0.0,1.0
2009-07-24,14.15,14.15,14.15,14.15,8.6294,0,0.0,1.0
2009-07-27,13.99,14.2,13.84,14.1,8.5989,3300,0.0,1.0
2009-07-28,14.19,14.19,14.19,14.19,8.6538,1600,0.0,1.0
2009-07-29,14.3,14.35,14.3,14.35,8.7514,1500,0.0,1.0
2009-07-30,14.4,14.85,14.4,14.69,8.9587,9200,0.0,1.0
2009-07-31,14.85,15.05,14.57,14.57,8.8856,1400,0.0,1.0
2009-08-03,14.5,14.5,14.01,14.5,8.8429,7500,0.0,1.0
2009-08-04,14.49,14.5,14.47,14.5,8.8429,5300,0.0,1.0
