timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-01-16,14.35,14.35,14.3,14.3,5.8796,1300,0.0,1.0
2003-01-17,14.4,14.5,14.4,14.5,5.9618,1300,0.0,1.0
2003-01-21,14.4905,14.49,14.4,14.4,5.9207,2100,0.0,1.0
2003-01-22,14.5,14.6,14.46,14.46,5.9454,2300,0.0,1.0
2003-01-23,14.3605,14.4,14.3,14.3,5.8796,2400,0.0,1.0
2003-01-24,14.2,14.2,14.1999,14.2,5.8385,1000,0.0,1.0
2003-01-27,14.1,14.1,14.1,14.1,5.7973,400,0.0,1.0
2003-01-28,14.2,14.45,14.2,14.4,5.9207,6400,0.0,1.0
2003-01-29,14.5,14.6,14.5,14.6,6.0029,3700,0.0,1.0
2003-01-30,14.7,14.7,14.5,14.5,5.9618,4200,0.0,1.0
2003-01-31,14.6,14.6,14.5994,14.6,6.0029,100,0.0,1.0
2003-02-03,14.6,14.6,14.45,14.45,5.9413,2100,0.0,1.0
2003-02-04,14.55,14.86,14.5511,14.86,6.1098,3600,0.0,1.0
2003-02-05,14.86,14.86,14.5,14.85,6.1057,10000,0.0,1.0
2003-02-06,14.75,14.75,14.7,14.75,6.0646,1600,0.0,1.0
2003-02-07,14.75,14.76,14.66,14.75,6.0646,4000,0.0,1.0
2003-02-10,14.8,14.8,14.55,14.55,5.9824,4400,0.0,1.0
2003-02-11,14.7,14.7,14.6,14.65,6.0235,1900,0.0,1.0
2003-02-12,14.7,14.85,14.65,14.65,6.0536,6200,0.073,1.0
2003-02-13,14.75,14.75,14.65,14.65,6.0536,2200,0.0,1.0
2003-02-14,14.75,14.75,14.4,14.4,5.9503,3100,0.0,1.0
2003-02-18,14.4488,14.45,14.45,14.45,5.971,300,0.0,1.0
2003-02-19,14.45,14.45,14.2494,14.25,5.8884,3900,0.0,1.0
2003-02-20,14.25,14.25,14.16,14.16,5.8512,2500,0.0,1.0
2003-02-21,14.2,14.35,14.1508,14.25,5.8884,2800,0.0,1.0
2003-02-24,14.25,14.35,14.25,14.35,5.9297,1900,0.0,1.0
2003-02-25,14.25,14.55,14.25,14.55,6.0123,3000,0.0,1.0
2003-02-26,14.55,14.55,14.55,14.55,6.0123,400,0.0,1.0
2003-02-27,14.65,14.8,14.55,14.8,6.1156,4300,0.0,1.0
2003-02-28,14.7,14.8,14.7,14.8,6.1156,1700,0.0,1.0
2003-03-03,14.9,15.0,14.8,14.8,6.1156,5600,0.0,1.0
2003-03-04,14.7,15.0,14.5992,14.9,6.157,16000,0.0,1.0
2003-03-05,15.0,15.0,14.9101,15.0,6.1983,3800,0.0,1.0
2003-03-06,15.0,15.0,14.85,14.85,6.1363,2800,0.0,1.0
2003-03-07,14.85,14.99,14.85,14.99,6.1941,9700,0.0,1.0
2003-03-10,14.9,15.0,14.8,15.0,6.1983,9000,0.0,1.0
2003-03-11,14.95,15.0,14.85,14.95,6.1776,4800,0.0,1.0
2003-03-12,14.75,14.75,14.75,14.75,6.1249,100,0.073,1.0
2003-03-13,14.84,14.95,14.84,14.95,6.2079,3500,0.0,1.0
2003-03-14,14.87,14.94,14.8696,14.94,6.2038,1500,0.0,1.0
2003-03-17,14.95,14.95,14.75,14.85,6.1664,2200,0.0,1.0
2003-03-18,14.77,14.89,14.77,14.89,6.183,1400,0.0,1.0
2003-03-19,14.91,14.93,14.6,14.72,6.1124,3000,0.0,1.0
2003-03-20,14.81,14.81,14.6,14.6,6.0626,2400,0.0,1.0
2003-03-21,14.7003,14.7,14.7,14.7,6.1041,500,0.0,1.0
2003-03-24,14.7,14.7,14.66,14.66,6.0875,5000,0.0,1.0
2003-03-25,14.66,14.83,14.45,14.55,6.0418,10100,0.0,1.0
2003-03-26,14.6,14.84,14.5,14.5,6.0211,8000,0.0,1.0
2003-03-27,14.5,14.5,14.5,14.5,6.0211,0,0.0,1.0
2003-03-28,14.56,14.6,14.56,14.6,6.0626,2200,0.0,1.0
2003-03-31,14.7,14.7,14.69,14.7,6.1041,1700,0.0,1.0
2003-04-01,14.9,14.9,14.89,14.89,6.183,2100,0.0,1.0
2003-04-02,14.89,14.94,14.75,14.75,6.1249,5000,0.0,1.0
2003-04-03,14.85,14.89,14.85,14.89,6.183,800,0.0,1.0
2003-04-04,14.79,14.9,14.79,14.9,6.1872,1300,0.0,1.0
2003-04-07,14.9,14.9,14.9,14.9,6.1872,300,0.0,1.0
2003-04-08,14.8,14.9,14.8,14.9,6.1872,1100,0.0,1.0
2003-04-09,14.95,14.95,14.8,14.84,6.1623,13600,0.0,1.0
2003-04-10,14.94,14.98,14.94,14.98,6.2204,700,0.0,1.0
2003-04-11,14.98,15.0,14.9,14.9,6.2175,1600,0.073,1.0
2003-04-14,14.91,14.9102,14.74,14.83,6.1883,6700,0.0,1.0
2003-04-15,14.74,14.74,14.73,14.73,6.1465,3000,0.0,1.0
