timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-10-11,20.0,20.01,19.0,19.4,68.2438,421800,0.0,1.0
2002-10-14,19.4,19.74,19.35,19.6,68.9473,19500,0.0,1.0
2002-10-15,19.6,19.88,19.55,19.55,68.7715,13700,0.0,1.0
2002-10-16,18.3501,19.1,18.35,19.05,67.0126,33200,0.0,1.0
2002-10-17,19.2,19.25,18.75,19.14,67.3292,15400,0.0,1.0
2002-10-18,19.2,19.55,19.1,19.5,68.5956,8800,0.0,1.0
2002-10-21,19.5,19.5,19.21,19.3,67.8921,6000,0.0,1.0
2002-10-22,19.3,19.3,18.9,19.05,67.0126,7700,0.0,1.0
2002-10-23,19.1,19.2,18.95,19.05,67.0126,3500,0.0,1.0
2002-10-24,19.1,19.1499,18.95,18.99,66.8015,4200,0.0,1.0
2002-10-25,19.09,19.09,18.92,18.95,66.6609,6900,0.0,1.0
2002-10-28,18.99,19.0,18.65,18.84,66.2739,10700,0.0,1.0
2002-10-29,18.84,19.0,18.55,18.9,66.485,9700,0.0,1.0
2002-10-30,18.95,19.25,18.92,19.09,67.1533,11800,0.0,1.0
2002-10-31,19.09,19.4,19.09,19.39,68.2086,9400,0.0,1.0
2002-11-01,19.4,19.5,19.3,19.49,68.5604,5900,0.0,1.0
2002-11-04,19.45,19.6,19.3,19.32,67.9624,6000,0.0,1.0
2002-11-05,19.3,19.43,19.0,19.0,66.8367,3800,0.0,1.0
2002-11-06,19.0,19.05,18.85,18.86,66.3443,2800,0.0,1.0
2002-11-07,18.85,19.35,18.85,19.35,68.0679,6100,0.0,1.0
2002-11-08,19.4,19.42,19.12,19.12,67.2588,5000,0.0,1.0
2002-11-11,19.22,19.36,18.9,19.03,66.9423,5400,0.0,1.0
2002-11-12,18.95,19.35,18.88,19.1,67.1885,12500,0.0,1.0
2002-11-13,19.15,19.4,19.1,19.38,68.1735,3600,0.0,1.0
2002-11-14,19.4508,19.5,19.3,19.4,68.2438,5300,0.0,1.0
2002-11-15,19.4,19.5,19.25,19.44,68.3845,6000,0.0,1.0
2002-11-18,19.44,19.85,19.44,19.55,68.7715,8200,0.0,1.0
2002-11-19,19.6,19.7994,19.5,19.65,69.1232,4600,0.0,1.0
2002-11-20,19.65,19.9,19.5,19.8,69.6509,5000,0.0,1.0
2002-11-21,19.6,19.85,19.6,19.85,69.8268,6800,0.0,1.0
2002-11-22,19.4,19.8,19.4,19.7,69.2991,6900,0.0,1.0
2002-11-25,19.4,19.5498,19.05,19.1,67.1885,11000,0.0,1.0
2002-11-26,19.25,19.5,19.14,19.5,68.5956,8700,0.0,1.0
2002-11-27,19.5,19.78,19.35,19.5,68.5956,8900,0.0,1.0
2002-11-29,19.75,19.75,19.6307,19.63,69.0529,800,0.0,1.0
2002-12-02,19.78,19.78,19.45,19.66,69.1584,8600,0.0,1.0
2002-12-03,19.76,19.76,19.5,19.55,68.7715,4800,0.0,1.0
2002-12-04,19.5,19.63,19.45,19.6,68.9473,6500,0.0,1.0
2002-12-05,19.7,19.7,19.35,19.45,68.4197,5600,0.0,1.0
2002-12-06,19.4,19.6,19.35,19.55,68.7715,1800,0.0,1.0
2002-12-09,19.6,19.65,19.5,19.59,68.9122,3700,0.0,1.0
2002-12-10,19.63,19.85,19.5513,19.66,69.1584,6900,0.0,1.0
2002-12-11,19.75,19.8,19.6002,19.7,69.2991,3700,0.0,1.0
2002-12-12,19.7,19.84,19.7,19.8,69.6509,3200,0.0,1.0
2002-12-13,19.85,19.95,19.78,19.88,69.9323,8200,0.0,1.0
2002-12-16,19.55,19.8395,19.55,19.84,69.7916,5400,0.0,1.0
2002-12-17,19.85,19.85,19.55,19.7,69.2991,5000,0.0,1.0
2002-12-18,19.75,19.82,19.5512,19.82,69.7213,3500,0.0,1.0
2002-12-19,19.82,19.85,19.25,19.45,68.4197,10300,0.0,1.0
2002-12-20,19.5,19.95,19.35,19.7,69.2991,5300,0.0,1.0
2002-12-23,19.6,20.02,19.6,19.95,70.1786,13100,0.0,1.0
2002-12-24,19.95,20.2,19.8,19.8,69.6509,5700,0.0,1.0
2002-12-26,19.85,20.35,19.85,20.19,71.0228,7600,0.0,1.0
2002-12-27,20.2502,20.45,20.25,20.4,71.7615,9400,0.0,1.0
2002-12-30,20.5,20.55,20.25,20.26,71.2691,5600,0.0,1.0
2002-12-31,20.3,20.7,20.2977,20.7,72.8168,7000,0.0,1.0
2003-01-02,20.7,20.95,20.6514,20.7,72.8168,6900,0.0,1.0
2003-01-03,20.75,20.9,20.7,20.9,73.5204,5300,0.0,1.0
2003-01-06,20.91,20.92,20.45,20.7,72.8168,12400,0.0,1.0
2003-01-07,20.8,20.9,20.65,20.66,72.6761,13400,0.0,1.0
2003-01-08,20.55,20.75,20.55,20.72,72.8872,3400,0.0,1.0
