timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-04-12,41.0,42.55,40.62,42.39,26.6081,7262600,0.0,1.0
2012-04-13,42.2985,42.46,41.5,41.5,26.0494,1213700,0.0,1.0
2012-04-16,41.5,41.6916,39.76,40.0,25.1079,1244300,0.0,1.0
2012-04-17,39.85,40.04,39.35,39.7,24.9196,362700,0.0,1.0
2012-04-18,39.7,40.35,39.7,39.95,25.0765,107700,0.0,1.0
2012-04-19,39.9,40.2119,39.55,39.9,25.0451,324600,0.0,1.0
2012-04-20,39.9,39.9909,39.45,39.6,24.8568,175400,0.0,1.0
2012-04-23,39.55,39.55,39.3,39.49,24.7877,67100,0.0,1.0
2012-04-24,39.49,39.49,39.3,39.41,24.7375,85800,0.0,1.0
2012-04-25,39.45,40.19,39.3534,39.35,24.6999,302900,0.0,1.0
2012-04-26,39.26,39.47,39.25,39.45,24.7626,180000,0.0,1.0
2012-04-27,39.45,40.229,39.45,39.8,24.9823,79800,0.0,1.0
2012-04-30,39.8,40.38,39.8,39.9,25.0451,66000,0.0,1.0
2012-05-01,39.95,40.63,39.65,40.45,25.3903,183200,0.0,1.0
2012-05-02,40.0,40.69,40.0,40.05,25.1392,40600,0.0,1.0
2012-05-03,40.0,41.62,39.85,41.55,26.0808,133000,0.0,1.0
2012-05-04,41.21,42.105,41.21,41.66,26.1498,170200,0.0,1.0
2012-05-07,41.13,41.645,41.13,41.5,26.0494,319000,0.0,1.0
2012-05-08,41.06,41.55,40.76,41.01,25.7418,318000,0.0,1.0
2012-05-09,40.5,41.5,40.5,41.46,26.0243,68500,0.0,1.0
2012-05-10,41.51,41.738,41.05,41.08,25.7858,169500,0.0,1.0
2012-05-11,40.5,41.25,40.5,41.0,25.7356,116000,0.0,1.0
2012-05-14,40.45,40.6,39.5,39.75,24.9509,38600,0.0,1.0
2012-05-15,39.15,40.25,39.11,39.995,25.1016,105000,0.0,1.0
2012-05-16,39.76,40.56,39.66,40.25,25.2648,106500,0.0,1.0
2012-05-17,40.2,40.222,37.821,38.34,24.3993,143100,0.55,1.0
2012-05-18,38.19,38.19,35.0,35.49,22.5856,294100,0.0,1.0
2012-05-21,36.0,36.9,35.62,36.8,23.4192,93600,0.0,1.0
2012-05-22,37.18,39.22,36.43,38.7,24.6284,392800,0.0,1.0
2012-05-23,38.5991,40.73,38.43,38.8,24.692,219000,0.0,1.0
2012-05-24,39.35,39.91,39.0,39.91,25.3984,93200,0.0,1.0
2012-05-25,39.8,40.37,39.11,39.74,25.2902,140500,0.0,1.0
2012-05-29,41.0,41.0,39.55,39.94,25.4175,71900,0.0,1.0
2012-05-30,39.9,39.9,38.51,38.82,24.7048,55200,0.0,1.0
2012-05-31,38.22,38.78,38.0,38.15,24.2784,48600,0.0,1.0
2012-06-01,37.57,38.26,37.01,37.06,23.5847,28200,0.0,1.0
2012-06-04,37.44,37.47,36.0,37.0,23.5465,93700,0.0,1.0
2012-06-05,37.24,37.4906,37.0,37.31,23.7438,25000,0.0,1.0
