timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,36.375,36.375,35.813,35.938,6.2939,30700,0.0,1.0
1999-09-14,35.875,36.25,35.5,36.063,6.3158,28600,0.0,1.0
1999-09-15,36.125,36.125,35.5,35.5,6.2173,29100,0.0,1.0
1999-09-16,35.375,35.438,35.2475,35.438,6.2064,19300,0.0,1.0
1999-09-17,35.5,35.75,35.5,35.75,6.2611,22800,0.0,1.0
1999-09-20,35.75,36.063,35.75,35.938,6.2939,35100,0.0,1.0
1999-09-21,35.8741,35.875,34.875,34.875,6.1078,32700,0.0,1.0
1999-09-22,35.063,35.125,34.875,35.125,6.1516,21400,0.0,1.0
1999-09-23,35.125,35.313,35.0,35.063,6.1407,14400,0.0,1.0
1999-09-24,35.0,35.625,34.313,34.688,6.075,46900,0.0,1.0
1999-09-27,34.625,34.75,34.438,34.5,6.0422,12000,0.0,1.0
1999-09-28,34.5,34.5,33.625,33.813,5.9218,18400,0.0,1.0
1999-09-29,33.938,34.375,33.938,34.125,5.9765,34800,0.0,1.0
1999-09-30,34.125,34.125,33.563,33.813,5.9218,43500,0.0,1.0
1999-10-01,33.938,34.25,33.75,34.188,5.9874,28300,0.0,1.0
1999-10-04,34.063,34.375,34.0,34.188,5.9874,16500,0.0,1.0
1999-10-05,34.438,34.5,33.6891,33.875,5.9327,33100,0.0,1.0
1999-10-06,33.75,34.313,33.563,34.313,6.0093,25200,0.0,1.0
1999-10-07,34.313,34.313,33.75,33.75,5.9108,13300,0.0,1.0
1999-10-08,33.625,33.625,32.75,32.75,5.7357,30100,0.0,1.0
1999-10-11,32.75,33.125,32.75,33.0,5.7795,37200,0.0,1.0
1999-10-12,33.125,33.375,33.0,33.125,5.8014,36100,0.0,1.0
1999-10-13,33.188,33.5,33.188,33.5,5.867,22200,0.0,1.0
1999-10-14,33.6247,33.875,33.375,33.375,5.8451,14800,0.0,1.0
1999-10-15,32.938,33.188,32.563,32.813,5.7466,41100,0.0,1.0
1999-10-18,32.625,32.75,32.188,32.25,5.6481,36900,0.0,1.0
1999-10-19,32.5,32.75,32.375,32.5,5.6919,48100,0.0,1.0
1999-10-20,32.5,32.688,32.5,32.688,5.7247,31200,0.0,1.0
1999-10-21,32.813,32.938,32.438,32.563,5.7028,20400,0.0,1.0
1999-10-22,32.625,33.375,32.625,33.188,5.8123,33600,0.0,1.0
