timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-05-26,25.0,25.01,25.0,25.01,4.2236,115800,0.0,1.0
2005-05-27,25.0,25.1,25.0,25.05,4.2303,95300,0.0,1.0
2005-05-31,25.1,25.0999,25.0,25.05,4.2303,59000,0.0,1.0
2005-06-01,25.05,25.07,25.0,25.0,4.2219,69000,0.0,1.0
2005-06-02,25.0,25.03,25.0,25.03,4.2269,33100,0.0,1.0
2005-06-03,24.9997,25.03,25.0,25.01,4.2236,41900,0.0,1.0
2005-06-06,25.03,25.03,25.0,25.0,4.2219,8400,0.0,1.0
2005-06-07,25.0,25.03,25.0,25.0,4.2219,33800,0.0,1.0
2005-06-08,25.0,25.03,25.0,25.02,4.2252,25000,0.0,1.0
2005-06-09,24.9994,25.03,25.0,25.0,4.2219,19400,0.0,1.0
2005-06-10,25.02,25.02,25.0,25.02,4.2252,5100,0.0,1.0
2005-06-13,25.02,25.02,25.0,25.01,4.2236,34900,0.0,1.0
2005-06-14,25.01,25.02,25.0,25.0,4.2219,6400,0.0,1.0
2005-06-15,25.0,25.01,25.0,25.01,4.2236,13100,0.0,1.0
2005-06-16,25.01,25.01,25.0,25.01,4.2236,35800,0.0,1.0
2005-06-17,25.0,25.06,25.0,25.02,4.2252,21400,0.0,1.0
2005-06-20,25.01,25.01,25.0,25.01,4.2236,24900,0.0,1.0
2005-06-21,25.02,25.02,25.0,25.0,4.2219,22300,0.0,1.0
2005-06-22,25.0,25.01,25.0,25.0,4.2219,68100,0.0,1.0
2005-06-23,25.02,25.02,24.9988,25.0,4.2219,44300,0.0,1.0
2005-06-24,25.0,25.01,25.0,25.0,4.2219,21600,0.0,1.0
2005-06-27,25.0,25.01,25.0,25.0,4.2219,88300,0.0,1.0
2005-06-28,25.0,25.0,25.0,25.0,4.2219,36800,0.0,1.0
2005-06-29,25.0,25.01,25.0,25.0,4.2219,233700,0.0,1.0
2005-06-30,25.0,25.01,25.0,25.01,4.2236,26700,0.0,1.0
2005-07-01,25.0,25.05,25.0,25.0,4.2219,23900,0.0,1.0
2005-07-05,24.9,24.95,24.85,24.9,4.205,35000,0.0,1.0
2005-07-06,24.97,24.97,24.75,24.84,4.1948,26400,0.0,1.0
2005-07-07,24.8,24.8,24.7006,24.7,4.1712,24200,0.0,1.0
2005-07-08,24.73,24.75,24.65,24.65,4.1628,10500,0.0,1.0
2005-07-11,24.6,24.7,24.5,24.63,4.1594,35400,0.0,1.0
2005-07-12,24.6,24.65,24.55,24.65,4.1628,17000,0.0,1.0
2005-07-13,24.62,24.62,24.54,24.55,4.1459,11400,0.0,1.0
2005-07-14,24.55,24.57,24.45,24.5,4.1374,11400,0.0,1.0
2005-07-15,24.55,24.6,24.5,24.55,4.1459,16000,0.0,1.0
2005-07-18,24.55,24.6,24.41,24.52,4.1408,15400,0.0,1.0
2005-07-19,24.52,24.55,24.4,24.45,4.129,16900,0.0,1.0
2005-07-20,24.45,24.53,24.41,24.5,4.1374,15300,0.0,1.0
2005-07-21,24.55,24.7,24.55,24.67,4.1661,26700,0.0,1.0
2005-07-22,24.68,24.68,24.55,24.67,4.1661,19000,0.0,1.0
2005-07-25,24.5,24.7,24.5,24.7,4.2024,28600,0.183,1.0
2005-07-26,24.7,24.7,24.45,24.55,4.1769,29700,0.0,1.0
2005-07-27,24.53,24.7,24.5,24.6,4.1854,34100,0.0,1.0
2005-07-28,24.6,24.7,24.55,24.69,4.2007,25000,0.0,1.0
2005-07-29,24.65,24.8,24.64,24.7,4.2024,29000,0.0,1.0
2005-08-01,24.8,25.0,24.7,24.9,4.2364,32300,0.0,1.0
2005-08-02,24.9,25.0,24.89,24.9,4.2364,18400,0.0,1.0
2005-08-03,24.9805,25.04,24.9,24.95,4.2449,51600,0.0,1.0
2005-08-04,24.95,25.05,24.9,25.0,4.2534,12300,0.0,1.0
2005-08-05,24.92,25.05,24.88,25.0,4.2534,17900,0.0,1.0
2005-08-08,24.95,25.1,24.8,24.8,4.2194,22800,0.0,1.0
2005-08-09,24.85,25.05,24.85,25.0,4.2534,28700,0.0,1.0
2005-08-10,24.81,24.95,24.75,24.95,4.2762,21900,0.183,1.0
2005-08-11,24.901,24.9,24.65,24.75,4.2419,18200,0.0,1.0
2005-08-12,24.8,24.8,24.68,24.76,4.2436,21000,0.0,1.0
2005-08-15,24.71,24.86,24.71,24.85,4.2591,19400,0.0,1.0
2005-08-16,24.75,24.9,24.65,24.85,4.2591,17900,0.0,1.0
2005-08-17,24.95,25.04,24.7584,24.9,4.2676,23800,0.0,1.0
2005-08-18,24.95,24.95,24.7,24.77,4.2454,23300,0.0,1.0
2005-08-19,24.85,24.85,24.65,24.75,4.2419,13300,0.0,1.0
2005-08-22,24.85,24.85,24.61,24.75,4.2419,13000,0.0,1.0
2005-08-23,24.75,24.95,24.62,24.8,4.2505,25000,0.0,1.0
2005-08-24,24.7,25.0,24.7,24.9,4.2676,29000,0.0,1.0
2005-08-25,24.7996,24.9,24.75,24.841,4.2574,24800,0.0,1.0
2005-08-26,24.95,25.0,24.85,24.94,4.2745,10200,0.0,1.0
2005-08-29,24.94,24.94,24.71,24.85,4.2591,20400,0.0,1.0
2005-08-30,24.85,25.0,24.72,24.88,4.2642,24300,0.0,1.0
2005-08-31,24.98,24.99,24.85,24.9,4.2676,23000,0.0,1.0
2005-09-01,24.95,25.0,24.85,24.85,4.2591,12800,0.0,1.0
2005-09-02,24.89,25.64,24.8,25.13,4.3071,55600,0.0,1.0
2005-09-06,25.05,25.33,25.05,25.22,4.3225,18900,0.0,1.0
2005-09-07,25.4,25.47,25.25,25.35,4.3448,69200,0.0,1.0
2005-09-08,25.3,25.3,25.1,25.14,4.3088,24600,0.0,1.0
2005-09-09,25.2,25.22,25.05,25.22,4.3225,30300,0.0,1.0
2005-09-12,25.22,25.4,25.16,25.26,4.3293,30200,0.0,1.0
