timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,97.125,97.938,96.063,96.5,4.7611,4418400,0.0,1.0
1999-09-14,96.25,97.438,94.938,97.063,4.7888,3642000,0.0,1.0
1999-09-15,96.813,98.688,96.25,96.25,4.7487,3649200,0.0,1.0
1999-09-16,96.0,96.1937,94.0,94.875,4.6809,1813200,0.0,1.0
1999-09-17,95.5,98.625,95.25,96.75,4.7734,1831200,0.0,1.0
1999-09-20,94.0,96.375,94.0,95.688,4.721,2988000,0.0,1.0
1999-09-21,95.438,96.313,93.125,94.0,4.6377,2700000,0.0,1.0
1999-09-22,94.25,94.5,92.5,93.0,4.5884,3393600,0.0,1.0
1999-09-23,92.25,93.563,91.75,91.875,4.5329,3440400,0.0,1.0
1999-09-24,90.25,90.2498,83.75,84.5,4.169,19563600,0.0,1.0
1999-09-27,84.5,85.938,82.438,82.438,4.0672,11341200,0.0,1.0
1999-09-28,82.438,84.438,82.0,84.063,4.1474,8827200,0.0,1.0
1999-09-29,83.813,85.0,83.125,83.75,4.132,4288800,0.0,1.0
1999-09-30,83.75,83.75,81.5,81.688,4.0302,6888000,0.0,1.0
1999-10-01,81.938,82.1899,80.5,81.0,3.9963,5359200,0.0,1.0
1999-10-04,81.063,84.938,81.063,84.938,4.1906,5313600,0.0,1.0
1999-10-05,84.563,87.875,83.1917,86.0,4.243,8469600,0.0,1.0
1999-10-06,85.938,87.375,85.625,86.688,4.2769,3724800,0.0,1.0
1999-10-07,86.875,88.625,86.875,88.125,4.3479,3208800,0.0,1.0
1999-10-08,88.0649,89.5,86.688,88.25,4.354,2756400,0.0,1.0
1999-10-11,88.063,88.125,84.25,85.75,4.2307,4819200,0.0,1.0
1999-10-12,85.813,85.813,84.25,84.25,4.1567,4099200,0.0,1.0
1999-10-13,84.313,84.938,83.625,84.0,4.1443,3753600,0.0,1.0
1999-10-14,84.0,85.313,83.375,84.125,4.1505,4890000,0.0,1.0
1999-10-15,83.375,84.25,82.813,82.813,4.0857,5594400,0.0,1.0
1999-10-18,81.313,83.5,81.25,82.313,4.0611,4467600,0.0,1.0
1999-10-19,82.313,84.75,82.313,83.0,4.095,4558800,0.0,1.0
1999-10-20,83.75,87.0,83.125,85.375,4.2122,10045200,0.0,1.0
