timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,23.5,23.688,23.188,23.625,4.8032,139200,0.0,1.0
1999-09-14,23.625,23.625,23.0,23.313,4.7397,268400,0.0,1.0
1999-09-15,23.313,23.375,23.0,23.0,4.6761,131200,0.0,1.0
1999-09-16,23.063,23.375,22.5644,23.25,4.727,190400,0.0,1.0
1999-09-17,23.125,23.1889,22.438,22.875,4.6507,439200,0.0,1.0
1999-09-20,23.125,23.3126,22.563,22.875,4.6507,374400,0.0,1.0
1999-09-21,22.9363,23.188,22.063,22.125,4.4982,78000,0.0,1.0
1999-09-22,22.0,22.125,21.0,21.0,4.2695,879200,0.0,1.0
1999-09-23,20.938,21.0,20.563,20.688,4.206,1110000,0.0,1.0
1999-09-24,20.688,20.75,20.063,20.563,4.1806,317200,0.0,1.0
1999-09-27,20.875,21.063,20.188,20.375,4.1424,524400,0.0,1.0
1999-09-28,20.375,20.625,20.125,20.438,4.1552,301600,0.0,1.0
1999-09-29,20.5,21.375,20.375,20.75,4.2187,455600,0.0,1.0
1999-09-30,21.0,22.063,20.875,21.75,4.422,669200,0.0,1.0
1999-10-01,21.5,21.688,19.938,20.063,4.0789,4485600,0.0,1.0
1999-10-04,20.063,20.563,20.0,20.563,4.1806,254000,0.0,1.0
1999-10-05,20.563,20.688,20.063,20.125,4.0916,802400,0.0,1.0
1999-10-06,20.125,20.2502,19.5,19.563,3.9773,891200,0.0,1.0
1999-10-07,19.563,19.875,19.563,19.688,4.0027,243200,0.0,1.0
1999-10-08,19.75,20.0,19.625,19.813,4.0281,570800,0.0,1.0
1999-10-11,19.938,20.188,19.813,20.063,4.0789,339600,0.0,1.0
1999-10-12,20.063,20.625,19.938,20.375,4.1424,752800,0.0,1.0
1999-10-13,20.5,20.75,20.375,20.688,4.206,816400,0.0,1.0
1999-10-14,20.75,20.75,20.375,20.563,4.1806,494400,0.0,1.0
1999-10-15,20.813,20.813,20.063,20.188,4.1043,617600,0.0,1.0
1999-10-18,20.063,20.063,19.563,19.813,4.0281,480000,0.0,1.0
1999-10-19,20.0,20.063,18.75,18.938,3.8502,644400,0.0,1.0
1999-10-20,19.1256,19.125,17.5,18.813,3.8248,624400,0.0,1.0
1999-10-21,18.813,18.813,17.688,17.938,3.6469,456800,0.0,1.0
1999-10-22,18.063,18.188,17.188,17.75,3.6088,554000,0.0,1.0
1999-10-25,17.0,17.5,16.75,17.0,3.4563,1066400,0.0,1.0
1999-10-26,17.063,18.125,16.875,17.813,3.6215,1193200,0.0,1.0
1999-10-27,17.938,18.1879,17.938,18.0,3.6596,553200,0.0,1.0
1999-10-28,18.563,19.063,18.5,18.938,3.8502,1081200,0.0,1.0
1999-10-29,19.188,20.938,19.063,20.125,4.0916,901600,0.0,1.0
1999-11-01,20.25,21.0,20.125,20.563,4.1806,618400,0.0,1.0
1999-11-02,20.5619,21.875,20.563,21.188,4.3076,664800,0.0,1.0
1999-11-03,21.438,21.563,20.563,21.313,4.3331,705600,0.0,1.0
1999-11-04,21.313,21.625,21.25,21.438,4.3585,534800,0.0,1.0
1999-11-05,22.0,22.75,21.938,22.5,4.5745,740000,0.0,1.0
1999-11-08,22.4999,22.5,22.188,22.375,4.5491,531200,0.0,1.0
1999-11-09,22.374,22.438,20.75,21.125,4.2949,404800,0.0,1.0
1999-11-10,21.063,21.625,21.063,21.563,4.3839,626000,0.0,1.0
1999-11-11,21.438,21.625,20.875,21.438,4.3585,603200,0.0,1.0
1999-11-12,21.375,21.563,21.0,21.375,4.3458,308000,0.0,1.0
1999-11-15,22.0,22.5,21.5,22.438,4.5618,364800,0.0,1.0
1999-11-16,22.688,23.125,22.625,23.0,4.6761,541200,0.0,1.0
1999-11-17,22.75,22.938,21.5,21.563,4.3839,916000,0.0,1.0
1999-11-18,21.563,21.563,20.5,21.313,4.3331,1514800,0.0,1.0
1999-11-19,21.375,21.625,21.0,21.438,4.3585,730800,0.0,1.0
1999-11-22,21.375,21.5,21.0,21.063,4.2822,598400,0.0,1.0
1999-11-23,20.813,21.0,20.5,20.938,4.2568,382400,0.0,1.0
1999-11-24,20.938,20.938,19.813,19.938,4.0535,885600,0.0,1.0
1999-11-26,20.188,20.75,20.1259,20.5,4.1679,149600,0.0,1.0
1999-11-29,20.25,20.375,19.75,20.188,4.1043,666000,0.0,1.0
1999-11-30,20.188,20.75,19.875,20.063,4.0789,782800,0.0,1.0
1999-12-01,20.188,20.438,19.5,19.813,4.0281,565600,0.0,1.0
1999-12-02,19.938,19.938,19.5,19.938,4.0535,879600,0.0,1.0
1999-12-03,20.063,20.563,20.063,20.313,4.1297,692800,0.0,1.0
1999-12-06,20.314,20.438,19.938,20.188,4.1043,439200,0.0,1.0
1999-12-07,20.063,20.2491,20.0,20.063,4.0789,944800,0.0,1.0
1999-12-08,20.25,20.25,19.938,20.0,4.0989,359200,0.04,1.0
1999-12-09,19.938,20.563,19.563,19.563,4.0092,397600,0.0,1.0
1999-12-10,19.563,20.188,19.563,20.0,4.0989,392000,0.0,1.0
1999-12-13,19.813,20.063,19.563,19.563,4.0092,447200,0.0,1.0
1999-12-14,19.688,21.25,19.438,20.625,4.227,1739600,0.0,1.0
1999-12-15,20.5,20.5,19.938,20.125,4.1245,316000,0.0,1.0
1999-12-16,20.0,20.5,19.75,19.813,4.0605,437200,0.0,1.0
1999-12-17,20.063,20.438,20.0,20.063,4.1117,666000,0.0,1.0
1999-12-20,20.25,20.563,19.875,20.438,4.1886,260800,0.0,1.0
1999-12-21,20.375,21.1864,20.25,21.0,4.3038,472400,0.0,1.0
1999-12-22,20.813,21.0,20.5,20.813,4.2654,337200,0.0,1.0
1999-12-23,20.9983,21.25,20.375,20.875,4.2782,334800,0.0,1.0
1999-12-27,21.25,21.25,20.625,20.625,4.227,256400,0.0,1.0
1999-12-28,20.875,20.938,20.438,20.875,4.2782,361600,0.0,1.0
1999-12-29,20.813,21.438,20.813,21.375,4.3807,216000,0.0,1.0
1999-12-30,21.25,22.438,21.188,22.063,4.5216,348000,0.0,1.0
1999-12-31,21.938,22.5,21.938,22.5,4.6113,224000,0.0,1.0
2000-01-03,22.5,22.5,20.125,21.125,4.3295,923600,0.0,1.0
2000-01-04,20.875,20.875,20.0,20.125,4.1245,196400,0.0,1.0
2000-01-05,20.125,20.25,19.563,19.75,4.0477,1044800,0.0,1.0
2000-01-06,19.813,19.813,19.4363,19.625,4.022,469200,0.0,1.0
2000-01-07,19.5,20.1243,19.5,19.938,4.0861,509600,0.0,1.0
2000-01-10,19.813,20.063,19.563,19.563,4.0092,1116400,0.0,1.0
2000-01-11,19.75,19.875,18.5,18.75,3.8427,1533200,0.0,1.0
2000-01-12,19.0,19.0,17.8725,18.125,3.7146,1540400,0.0,1.0
2000-01-13,18.188,19.0,18.188,19.0,3.8939,1454800,0.0,1.0
2000-01-14,19.25,19.375,18.438,18.875,3.8683,692800,0.0,1.0
2000-01-18,18.7488,18.813,18.563,18.688,3.8299,354400,0.0,1.0
2000-01-19,18.813,18.813,17.813,17.938,3.6762,973600,0.0,1.0
2000-01-20,18.0,18.438,17.313,18.125,3.7146,1896800,0.0,1.0
2000-01-21,19.25,19.375,18.125,18.375,3.7659,1245200,0.0,1.0
2000-01-24,18.5,18.813,17.688,17.875,3.6634,1358800,0.0,1.0
2000-01-25,18.125,18.125,16.75,17.0,3.4841,1631600,0.0,1.0
2000-01-26,17.188,17.688,17.125,17.438,3.5737,2785600,0.0,1.0
2000-01-27,17.5,18.0,17.375,17.938,3.6762,1858800,0.0,1.0
2000-01-28,18.063,18.25,17.75,17.75,3.6378,1246400,0.0,1.0
2000-01-31,17.938,17.938,17.313,17.438,3.5737,1228000,0.0,1.0
2000-02-01,17.625,17.7501,17.125,17.188,3.5225,798800,0.0,1.0
2000-02-02,17.438,17.438,16.938,17.0,3.4841,1172400,0.0,1.0
2000-02-03,17.25,17.4385,17.0,17.25,3.5353,999600,0.0,1.0
2000-02-04,17.3128,17.563,17.063,17.25,3.5353,4247200,0.0,1.0
2000-02-07,17.25,17.313,16.438,16.563,3.3944,1506400,0.0,1.0
2000-02-08,17.0,18.063,16.938,17.813,3.6506,1397600,0.0,1.0
2000-02-09,17.75,17.875,17.501,17.688,3.625,860400,0.0,1.0
2000-02-10,17.688,17.938,17.313,17.438,3.5737,937200,0.0,1.0
2000-02-11,17.438,17.938,17.3738,17.625,3.6122,785200,0.0,1.0
2000-02-14,17.688,17.813,17.5,17.563,3.5993,664800,0.0,1.0
2000-02-15,17.438,19.125,17.438,18.5,3.7915,1352400,0.0,1.0
2000-02-16,18.5,18.5,17.563,17.688,3.625,676000,0.0,1.0
2000-02-17,17.875,18.25,17.563,17.688,3.625,1258400,0.0,1.0
2000-02-18,17.625,17.75,16.875,17.75,3.6378,796000,0.0,1.0
2000-02-22,17.625,18.0,17.25,17.313,3.5481,324400,0.0,1.0
2000-02-23,17.6267,17.625,17.0,17.063,3.4969,383600,0.0,1.0
2000-02-24,17.2506,17.5,16.563,16.813,3.4456,634800,0.0,1.0
2000-02-25,16.75,16.938,16.125,16.188,3.3175,810800,0.0,1.0
2000-02-28,16.0,16.438,16.0,16.375,3.356,594400,0.0,1.0
2000-02-29,16.563,17.188,16.313,16.813,3.4456,741200,0.0,1.0
2000-03-01,16.813,17.313,16.563,17.063,3.4969,714400,0.0,1.0
2000-03-02,17.063,17.125,16.0006,16.625,3.4072,1325600,0.0,1.0
2000-03-03,16.813,17.0,16.188,16.5,3.3816,523600,0.0,1.0
2000-03-06,16.5,16.688,16.125,16.188,3.3175,433600,0.0,1.0
2000-03-07,16.313,16.375,15.625,15.938,3.2663,606000,0.0,1.0
2000-03-08,15.75,16.0,15.375,15.688,3.2151,416800,0.0,1.0
2000-03-09,15.5,16.25,15.25,16.188,3.3175,943600,0.0,1.0
2000-03-10,16.0,16.188,15.813,15.875,3.2535,1440000,0.0,1.0
2000-03-13,16.063,16.25,15.813,16.188,3.3175,1011600,0.0,1.0
2000-03-14,16.063,16.313,15.5615,15.75,3.2279,613600,0.0,1.0
2000-03-15,15.75,17.438,15.75,17.125,3.5457,1652400,0.04,1.0
2000-03-16,17.125,19.313,17.125,19.25,3.9857,2527600,0.0,1.0
2000-03-17,18.0,19.375,18.0,18.813,3.8951,1604800,0.0,1.0
2000-03-20,18.875,19.5,18.75,19.313,3.9986,944000,0.0,1.0
2000-03-21,19.188,19.313,19.063,19.25,3.9857,624000,0.0,1.0
2000-03-22,19.188,19.188,18.7514,19.0,3.9339,1052400,0.0,1.0
2000-03-23,18.875,20.125,18.688,19.5,4.0374,1113600,0.0,1.0
2000-03-24,19.563,19.938,19.001,19.438,4.0245,1296400,0.0,1.0
2000-03-27,19.438,19.875,19.063,19.313,3.9986,350400,0.0,1.0
2000-03-28,19.1254,19.313,18.688,18.938,3.921,610000,0.0,1.0
2000-03-29,19.25,20.0,19.0,19.813,4.1021,842800,0.0,1.0
2000-03-30,19.875,20.938,19.875,20.438,4.2315,1167200,0.0,1.0
2000-03-31,20.688,21.063,20.313,20.875,4.3221,1401200,0.0,1.0
2000-04-03,20.75,21.313,20.75,20.875,4.3221,702400,0.0,1.0
2000-04-04,20.938,21.25,20.188,20.438,4.2315,867200,0.0,1.0
2000-04-05,20.438,21.5,20.438,21.438,4.4386,1392000,0.0,1.0
2000-04-06,21.5,21.813,21.375,21.438,4.4386,932800,0.0,1.0
2000-04-07,21.25,21.813,21.25,21.5,4.4515,716800,0.0,1.0
2000-04-10,21.25,21.688,21.063,21.25,4.3998,431200,0.0,1.0
2000-04-11,21.2479,22.063,21.25,21.5,4.4515,927200,0.0,1.0
2000-04-12,21.563,23.0,21.3757,22.625,4.6845,775200,0.0,1.0
2000-04-13,22.5,23.25,22.3153,22.813,4.7233,1052800,0.0,1.0
2000-04-14,22.625,22.8734,21.25,21.375,4.4257,2032400,0.0,1.0
2000-04-17,21.0,22.0,20.875,21.75,4.5033,916800,0.0,1.0
2000-04-18,21.438,21.75,21.0,21.563,4.4645,1213200,0.0,1.0
2000-04-19,21.625,21.875,21.25,21.688,4.4904,652400,0.0,1.0
2000-04-20,21.438,22.188,21.375,22.063,4.568,1218000,0.0,1.0
2000-04-24,21.875,22.25,21.625,21.813,4.5162,630000,0.0,1.0
2000-04-25,21.813,22.438,21.375,22.0,4.5551,1477600,0.0,1.0
2000-04-26,21.75,22.5,20.75,22.313,4.6198,993600,0.0,1.0
2000-04-27,22.063,22.375,21.688,21.813,4.5162,740400,0.0,1.0
2000-04-28,21.625,21.625,21.125,21.5,4.4515,1361200,0.0,1.0
2000-05-01,21.25,22.25,21.25,21.688,4.4904,510000,0.0,1.0
2000-05-02,21.563,22.313,21.5623,21.938,4.5421,453200,0.0,1.0
2000-05-03,21.813,22.0,21.25,21.625,4.4774,480000,0.0,1.0
2000-05-04,21.563,22.2502,21.563,21.875,4.5292,871200,0.0,1.0
2000-05-05,21.75,22.375,21.688,22.0,4.5551,442000,0.0,1.0
2000-05-08,22.0,22.0,21.25,21.375,4.4257,716000,0.0,1.0
2000-05-09,21.625,22.125,21.5,22.0,4.5551,350800,0.0,1.0
2000-05-10,22.0,22.0,21.3742,21.438,4.4386,519600,0.0,1.0
2000-05-11,21.438,22.875,21.438,22.563,4.6715,1023600,0.0,1.0
2000-05-12,22.5,22.875,22.5,22.688,4.6974,350000,0.0,1.0
2000-05-15,22.688,22.688,21.938,22.313,4.6198,400400,0.0,1.0
2000-05-16,22.1264,23.125,22.0,22.938,4.7492,446400,0.0,1.0
2000-05-17,22.688,22.75,21.5,21.875,4.5292,626800,0.0,1.0
2000-05-18,21.813,22.0,21.563,21.625,4.4774,585200,0.0,1.0
2000-05-19,21.313,21.75,21.313,21.375,4.4257,333600,0.0,1.0
2000-05-22,21.4997,21.813,21.25,21.438,4.4386,647600,0.0,1.0
2000-05-23,21.625,21.875,21.4397,21.5,4.4515,384400,0.0,1.0
2000-05-24,21.5,22.0,21.5,21.688,4.4904,282800,0.0,1.0
2000-05-25,21.5,22.125,21.5,21.563,4.4645,324400,0.0,1.0
2000-05-26,21.813,22.063,21.625,22.0,4.5551,299200,0.0,1.0
2000-05-30,21.875,22.125,21.75,21.813,4.5162,274800,0.0,1.0
2000-05-31,21.625,22.25,21.5,22.188,4.5939,632000,0.0,1.0
2000-06-01,22.0,22.063,21.688,21.75,4.5033,628800,0.0,1.0
2000-06-02,22.0006,23.438,21.875,23.375,4.8397,748800,0.0,1.0
2000-06-05,22.5,22.75,22.1274,22.5,4.6586,470400,0.0,1.0
2000-06-06,22.25,23.063,22.25,23.0,4.7621,463200,0.0,1.0
2000-06-07,22.875,22.875,21.938,22.188,4.5939,278000,0.0,1.0
2000-06-08,22.0,22.563,22.0,22.438,4.6456,333200,0.0,1.0
2000-06-09,22.5,22.688,22.375,22.688,4.6974,134400,0.0,1.0
2000-06-12,22.9397,22.938,22.25,22.5,4.6586,334400,0.0,1.0
2000-06-13,21.875,22.688,21.75,22.563,4.6715,780000,0.0,1.0
2000-06-14,22.4389,22.625,22.25,22.438,4.6788,384800,0.04,1.0
2000-06-15,22.375,22.75,22.375,22.5,4.6919,425600,0.0,1.0
2000-06-16,22.1241,22.59,22.063,22.563,4.7049,855200,0.0,1.0
2000-06-19,22.0,22.25,21.25,22.125,4.6137,815200,0.0,1.0
2000-06-20,22.063,22.063,21.625,21.75,4.5355,632800,0.0,1.0
2000-06-21,21.813,21.8133,21.438,21.5,4.4833,927600,0.0,1.0
2000-06-22,21.438,21.5,21.188,21.375,4.4573,402400,0.0,1.0
2000-06-23,21.5,21.5,21.0,21.188,4.4182,241600,0.0,1.0
2000-06-26,21.188,21.375,21.063,21.188,4.4182,306400,0.0,1.0
2000-06-27,21.313,21.875,21.25,21.688,4.5224,276000,0.0,1.0
2000-06-28,21.438,21.813,21.313,21.457,4.4736,706800,0.0,1.0
2000-06-29,21.313,22.0,21.313,21.75,4.5355,1347600,0.0,1.0
2000-06-30,22.0,22.063,21.313,21.609,4.5061,760400,0.0,1.0
2000-07-03,21.625,21.938,21.313,21.875,4.5615,256800,0.0,1.0
2000-07-05,21.75,22.438,21.75,22.375,4.6658,314800,0.0,1.0
2000-07-06,22.188,22.5,22.0,22.375,4.6658,354400,0.0,1.0
2000-07-07,22.438,22.438,22.0,22.313,4.6528,372000,0.0,1.0
2000-07-10,22.188,22.188,21.75,21.938,4.5746,490000,0.0,1.0
2000-07-11,21.9385,22.063,21.688,22.063,4.6006,679200,0.0,1.0
2000-07-12,21.875,22.125,21.688,22.063,4.6006,435200,0.0,1.0
2000-07-13,21.938,21.9389,21.625,21.75,4.5355,450400,0.0,1.0
2000-07-14,21.75,21.938,21.563,21.75,4.5355,896800,0.0,1.0
2000-07-17,21.5,21.813,21.375,21.813,4.5485,362800,0.0,1.0
2000-07-18,21.688,21.75,21.25,21.5,4.4833,292000,0.0,1.0
2000-07-19,21.875,21.938,21.313,21.563,4.4964,302000,0.0,1.0
2000-07-20,21.813,22.063,21.688,22.063,4.6006,316000,0.0,1.0
2000-07-21,21.813,21.938,21.313,21.375,4.4573,344400,0.0,1.0
2000-07-24,21.5,21.688,20.875,20.938,4.366,248800,0.0,1.0
2000-07-25,21.625,22.313,21.625,21.875,4.5615,638000,0.0,1.0
2000-07-26,21.875,22.625,21.813,22.063,4.6006,700400,0.0,1.0
2000-07-27,22.125,22.625,22.0,22.5,4.6919,602000,0.0,1.0
2000-07-28,22.0,22.563,21.75,21.875,4.5615,624000,0.0,1.0
2000-07-31,22.0,23.125,22.0,22.938,4.7831,1074800,0.0,1.0
2000-08-01,22.375,23.563,22.375,23.313,4.8613,607600,0.0,1.0
2000-08-02,23.3135,24.25,23.25,23.313,4.8613,818000,0.0,1.0
2000-08-03,23.563,24.9988,23.563,24.625,5.135,916000,0.0,1.0
2000-08-04,24.6886,25.25,24.313,25.125,5.2392,545200,0.0,1.0
2000-08-07,25.188,28.188,25.188,28.188,5.8778,2231600,0.0,1.0
2000-08-08,28.188,29.5,27.875,29.188,6.0864,2475600,0.0,1.0
2000-08-09,29.25,30.0,28.8737,28.938,6.0342,3145200,0.0,1.0
2000-08-10,28.938,28.938,27.75,27.813,5.7997,766800,0.0,1.0
2000-08-11,28.063,29.188,28.063,29.0,6.0473,927200,0.0,1.0
2000-08-14,30.5,30.938,30.063,30.625,6.3861,997600,0.0,1.0
2000-08-15,30.375,30.438,29.188,29.563,6.1646,1112000,0.0,1.0
2000-08-16,29.313,29.4378,28.75,28.875,6.0212,1018400,0.0,1.0
2000-08-17,28.875,29.125,28.375,28.938,6.0342,696400,0.0,1.0
2000-08-18,28.688,28.938,28.375,28.75,5.9951,900800,0.0,1.0
2000-08-21,29.0,30.25,29.0,29.625,6.1776,742800,0.0,1.0
2000-08-22,29.563,29.75,29.315,29.75,6.2037,508800,0.0,1.0
2000-08-23,29.7513,29.75,28.875,29.125,6.0733,698000,0.0,1.0
2000-08-24,28.875,29.375,28.875,28.938,6.0342,644400,0.0,1.0
2000-08-25,28.688,28.875,28.375,28.688,5.9821,509200,0.0,1.0
2000-08-28,28.5,29.063,28.438,28.625,5.9691,292800,0.0,1.0
2000-08-29,28.5,30.5,28.5,30.063,6.2688,1486400,0.0,1.0
2000-08-30,30.188,31.5,30.063,31.375,6.5425,2930400,0.0,1.0
2000-08-31,31.438,33.688,31.438,32.957,6.8716,1340400,0.0,1.0
2000-09-01,33.5,33.5,32.688,32.938,6.8684,1180800,0.0,1.0
2000-09-05,32.5,33.9996,32.438,33.813,7.0508,1615600,0.0,1.0
2000-09-06,34.0,34.188,33.5,33.5,6.9856,855600,0.0,1.0
2000-09-07,33.625,34.063,33.5,34.0,7.0899,849600,0.0,1.0
2000-09-08,34.063,34.063,33.0,33.125,6.9075,764400,0.0,1.0
2000-09-11,33.125,34.0,32.938,33.813,7.0508,1559600,0.0,1.0
2000-09-12,34.063,34.25,33.75,34.25,7.142,1111200,0.0,1.0
2000-09-13,33.563,34.5,33.563,34.188,7.129,881600,0.0,1.0
2000-09-14,34.188,34.438,34.063,34.125,7.116,716000,0.0,1.0
2000-09-15,33.8757,33.938,32.875,33.0,6.8814,877200,0.0,1.0
2000-09-18,33.063,33.063,30.688,31.25,6.5165,1693200,0.0,1.0
2000-09-19,31.5,32.125,30.8103,32.063,6.6859,815200,0.0,1.0
2000-09-20,32.0,33.5,31.938,33.375,6.9945,1130800,0.04,1.0
2000-09-21,33.375,33.375,31.813,32.688,6.8504,736000,0.0,1.0
2000-09-22,32.625,33.188,32.063,33.0,6.9159,653600,0.0,1.0
2000-09-25,33.0,33.0,32.313,32.375,6.7849,724000,0.0,1.0
2000-09-26,32.313,33.5,32.313,32.813,6.8766,836000,0.0,1.0
2000-09-27,32.8772,34.125,32.875,33.5,7.0207,1233600,0.0,1.0
2000-09-28,33.5,33.5,33.125,33.375,6.9945,1201600,0.0,1.0
2000-09-29,33.25,34.0,33.0,33.0,6.9159,1780400,0.0,1.0
2000-10-02,33.375,33.688,33.0,33.0,6.9159,971600,0.0,1.0
2000-10-03,33.438,33.875,33.313,33.563,7.0338,1715600,0.0,1.0
2000-10-04,33.438,34.5,33.313,33.875,7.0993,1140400,0.0,1.0
2000-10-05,34.25,34.375,33.75,33.813,7.0862,1448400,0.0,1.0
2000-10-06,33.813,34.75,33.6267,34.188,7.1648,948800,0.0,1.0
2000-10-09,34.313,36.0,34.313,34.688,7.2695,944800,0.0,1.0
2000-10-10,34.875,35.0,33.188,33.375,6.9945,681200,0.0,1.0
2000-10-11,33.563,33.9406,31.75,31.938,6.6932,1280000,0.0,1.0
2000-10-12,32.0,32.0,30.125,30.5,6.392,926800,0.0,1.0
2000-10-13,30.25,31.688,30.0,30.063,6.3003,1685200,0.0,1.0
2000-10-16,30.313,31.5,30.125,31.125,6.5229,849600,0.0,1.0
2000-10-17,31.438,31.438,30.0635,30.5,6.392,373200,0.0,1.0
2000-10-18,30.25,30.25,29.0,29.188,6.1169,762400,0.0,1.0
2000-10-19,29.125,30.875,29.125,29.75,6.2348,701200,0.0,1.0
2000-10-20,29.25,30.0,29.0,29.063,6.0907,1165600,0.0,1.0
2000-10-23,29.375,29.75,28.063,28.063,5.8811,1202000,0.0,1.0
2000-10-24,28.375,29.938,28.375,29.563,6.1955,1292400,0.0,1.0
2000-10-25,29.625,30.188,29.063,29.438,6.1693,710400,0.0,1.0
2000-10-26,29.438,30.313,29.313,29.625,6.2086,616400,0.0,1.0
2000-10-27,29.375,30.25,29.25,30.125,6.3134,694400,0.0,1.0
2000-10-30,30.125,31.875,30.125,31.813,6.667,933600,0.0,1.0
2000-10-31,31.688,33.375,31.688,33.313,6.9814,940000,0.0,1.0
2000-11-01,33.25,33.625,33.0,33.313,6.9814,1183600,0.0,1.0
2000-11-02,33.875,34.813,33.6265,34.5,7.2303,1158000,0.0,1.0
2000-11-03,34.563,35.125,33.938,34.875,7.3088,1094400,0.0,1.0
2000-11-06,34.938,34.938,34.438,34.5,7.2303,722400,0.0,1.0
2000-11-07,34.375,34.625,33.688,34.063,7.1386,711200,0.0,1.0
2000-11-08,34.316,36.125,34.25,36.125,7.5708,1755600,0.0,1.0
2000-11-09,36.0,36.75,35.5,36.688,7.6887,2112800,0.0,1.0
2000-11-10,36.9386,37.063,36.375,36.625,7.6756,1478800,0.0,1.0
2000-11-13,36.625,37.313,36.375,37.125,7.7804,1116800,0.0,1.0
2000-11-14,37.375,37.5,36.688,37.375,7.8328,1703600,0.0,1.0
2000-11-15,37.5,38.625,37.25,38.063,7.9769,1528800,0.0,1.0
2000-11-16,38.063,38.188,37.625,37.875,7.9376,674400,0.0,1.0
2000-11-17,37.875,38.9346,37.875,38.563,8.0816,1133600,0.0,1.0
2000-11-20,38.75,38.75,37.125,37.688,7.8983,1079200,0.0,1.0
2000-11-21,38.688,38.75,38.375,38.75,8.1209,1136800,0.0,1.0
2000-11-22,38.625,39.25,37.75,38.875,8.1471,1383200,0.0,1.0
2000-11-24,38.938,40.188,38.938,40.063,8.396,527600,0.0,1.0
2000-11-27,39.875,41.75,39.875,41.5,8.6973,1444800,0.0,1.0
2000-11-28,41.188,41.3122,40.813,41.063,8.6056,1238000,0.0,1.0
2000-11-29,41.188,41.188,39.313,39.563,8.2912,960400,0.0,1.0
2000-11-30,39.313,39.313,38.6284,38.625,8.0947,1790400,0.0,1.0
2000-12-01,38.688,40.0,38.688,39.688,8.3174,1589600,0.0,1.0
2000-12-04,39.688,39.875,37.688,37.688,7.8983,2448400,0.0,1.0
