timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,37.0,37.0627,36.625,36.688,22.6582,297000,0.0,1.0
1999-09-14,36.375,36.375,35.625,35.938,22.1949,288100,0.0,1.0
1999-09-15,36.5,36.5006,36.063,36.25,22.3879,344900,0.0,1.0
1999-09-16,36.25,36.25,35.5,36.063,22.2722,65000,0.0,1.0
1999-09-17,37.375,37.375,36.375,36.563,22.5809,173700,0.0,1.0
1999-09-20,36.313,36.375,35.75,36.0,22.2336,272200,0.0,1.0
1999-09-21,36.25,36.313,35.25,35.375,21.8475,232000,0.0,1.0
1999-09-22,35.063,35.688,35.0,35.563,21.9634,164000,0.0,1.0
1999-09-23,35.688,35.688,35.313,35.438,21.8861,170400,0.0,1.0
1999-09-24,35.438,35.438,33.375,33.625,20.7668,745000,0.0,1.0
1999-09-27,33.125,33.563,33.0,33.125,20.458,275600,0.0,1.0
1999-09-28,33.25,33.2477,32.5,32.625,20.1492,181400,0.0,1.0
1999-09-29,31.375,31.5,30.938,31.375,19.3772,436400,0.0,1.0
1999-09-30,31.0,31.625,30.938,31.313,19.3386,622800,0.0,1.0
1999-10-01,32.0,33.125,31.875,32.75,20.2264,219400,0.0,1.0
1999-10-04,33.0,33.0,32.313,32.375,19.9948,386700,0.0,1.0
1999-10-05,31.875,31.938,30.813,30.938,19.107,447500,0.0,1.0
1999-10-06,32.0,32.5,31.875,32.25,19.9176,734500,0.0,1.0
1999-10-07,32.438,33.25,32.0,33.125,20.458,209200,0.0,1.0
1999-10-08,32.875,33.0,32.625,33.0,20.3807,136600,0.0,1.0
1999-10-11,33.25,33.25,30.625,31.0,19.1456,913400,0.0,1.0
1999-10-12,31.438,31.5,30.25,30.75,18.9912,353600,0.0,1.0
1999-10-13,30.938,31.063,30.375,30.75,18.9912,334900,0.0,1.0
1999-10-14,30.938,33.5,30.875,33.438,20.651,853100,0.0,1.0
1999-10-15,32.438,33.563,32.0,33.383,20.622,590100,0.0,1.0
1999-10-18,32.75,32.938,32.25,32.25,19.9176,189000,0.0,1.0
1999-10-19,32.375,32.5,32.0,32.188,19.879,375900,0.0,1.0
1999-10-20,32.25,32.5,32.25,32.375,19.9948,544100,0.0,1.0
1999-10-21,31.247,31.75,31.25,31.375,19.3772,272100,0.0,1.0
1999-10-22,32.125,32.75,31.938,32.5,20.072,274300,0.0,1.0
1999-10-25,32.3747,32.438,32.125,32.125,19.8404,223600,0.0,1.0
1999-10-26,32.25,32.25,31.625,31.625,19.5316,126400,0.0,1.0
1999-10-27,31.5,31.5,30.688,30.875,19.0684,140600,0.0,1.0
1999-10-28,32.125,32.75,31.9988,32.75,20.2264,169300,0.0,1.0
1999-10-29,33.0,33.9383,33.0,33.375,20.6124,531400,0.0,1.0
1999-11-01,33.25,33.5,32.4359,32.813,20.2649,333200,0.0,1.0
1999-11-02,33.0,34.0,33.0,33.688,20.8054,577300,0.0,1.0
1999-11-03,34.0,34.375,33.7499,34.313,21.1913,247500,0.0,1.0
1999-11-04,36.0,36.0,35.125,35.469,21.9055,350800,0.0,1.0
1999-11-05,34.75,35.0,34.188,34.313,21.1913,207800,0.0,1.0
1999-11-08,33.75,33.75,32.25,32.313,19.9562,569900,0.0,1.0
1999-11-09,33.25,33.3742,32.5,32.75,20.2264,366800,0.0,1.0
1999-11-10,32.5,33.375,32.313,33.125,20.458,209600,0.0,1.0
1999-11-11,34.5,34.5,33.375,34.063,21.037,425600,0.0,1.0
1999-11-12,33.5,33.5,33.0,33.25,20.5352,222700,0.0,1.0
1999-11-15,33.188,34.125,33.063,34.0,20.9984,409200,0.0,1.0
1999-11-16,36.0,36.625,36.0,36.563,22.5809,480900,0.0,1.0
1999-11-17,34.75,34.9987,34.5,34.688,21.423,605200,0.0,1.0
1999-11-18,34.688,36.0,34.313,35.625,22.002,398200,0.0,1.0
1999-11-19,35.438,36.1262,35.188,36.125,22.3107,418700,0.0,1.0
1999-11-22,35.625,35.625,33.5,33.625,20.7668,176800,0.0,1.0
1999-11-23,34.0,34.125,33.625,33.938,20.9598,404300,0.0,1.0
1999-11-24,34.875,36.313,34.625,36.188,22.3493,276000,0.0,1.0
1999-11-26,36.375,36.375,35.375,35.375,21.8475,319600,0.0,1.0
1999-11-29,37.0,37.188,35.375,36.25,22.3879,495200,0.0,1.0
1999-11-30,36.25,37.0,35.938,36.375,22.4651,403200,0.0,1.0
1999-12-01,36.75,37.813,36.6251,37.75,23.3143,424000,0.0,1.0
1999-12-02,38.0,38.375,37.5,37.875,23.3916,531000,0.0,1.0
1999-12-03,37.875,39.125,37.8153,39.125,24.1635,269200,0.0,1.0
1999-12-06,38.25,38.25,35.188,35.5,21.9248,788300,0.0,1.0
1999-12-07,33.625,34.25,33.5,34.25,21.1528,512400,0.0,1.0
1999-12-08,33.75,34.563,33.625,34.375,21.2299,656800,0.0,1.0
1999-12-09,34.875,35.125,34.75,34.875,21.5388,456600,0.0,1.0
1999-12-10,36.3747,36.5,35.938,36.25,22.3879,457000,0.0,1.0
1999-12-13,35.5,35.625,35.25,35.5,21.9248,163300,0.0,1.0
1999-12-14,34.0,34.125,33.063,33.375,20.6124,578600,0.0,1.0
1999-12-15,33.0,34.688,32.875,34.625,21.3844,609300,0.0,1.0
1999-12-16,35.25,36.125,35.063,36.125,22.3107,507000,0.0,1.0
1999-12-17,35.625,37.188,35.625,37.188,22.9669,684800,0.0,1.0
1999-12-20,39.125,39.188,37.2523,37.5,23.16,504400,0.0,1.0
1999-12-21,36.5,36.625,35.75,35.875,22.1563,381100,0.0,1.0
1999-12-22,34.625,34.875,33.0,33.25,20.5352,321800,0.0,1.0
1999-12-23,33.0,33.438,33.0,33.125,20.458,231000,0.0,1.0
1999-12-27,33.125,35.188,33.0,34.875,21.5388,161000,0.0,1.0
1999-12-28,36.25,36.25,34.938,35.188,21.907,123700,0.279,1.0
1999-12-29,34.813,34.938,34.125,34.188,21.2844,140000,0.0,1.0
1999-12-30,34.375,34.875,33.5,34.75,21.6346,71100,0.0,1.0
1999-12-31,34.625,35.0,34.5,35.0,21.7903,15800,0.0,1.0
2000-01-03,37.0,37.75,36.875,37.75,23.5024,301300,0.0,1.0
2000-01-04,38.25,40.313,38.0,38.75,24.125,498700,0.0,1.0
2000-01-05,39.5,45.0,39.5,43.375,27.0044,623100,0.0,1.0
2000-01-06,42.375,42.438,40.0,40.5,25.2145,549700,0.0,1.0
2000-01-07,41.0,41.625,40.563,41.375,25.7592,312300,0.0,1.0
2000-01-10,41.125,42.125,41.125,42.125,26.2262,275300,0.0,1.0
2000-01-11,41.125,41.7497,40.375,40.875,25.4479,256300,0.0,1.0
2000-01-12,40.875,41.0,40.125,40.125,24.981,283100,0.0,1.0
2000-01-13,40.375,40.625,39.938,39.938,24.8643,717200,0.0,1.0
2000-01-14,40.0,40.375,38.438,38.688,24.086,352600,0.0,1.0
2000-01-18,38.0,38.6248,37.75,38.625,24.0471,453900,0.0,1.0
2000-01-19,36.5,37.25,36.25,36.25,22.5685,210200,0.0,1.0
2000-01-20,37.25,38.75,36.625,38.625,24.0471,409700,0.0,1.0
2000-01-21,37.5,38.4399,37.5,38.25,23.8137,488100,0.0,1.0
2000-01-24,37.75,37.875,36.5,37.0,23.0354,578500,0.0,1.0
2000-01-25,36.75,38.0,36.75,37.625,23.4245,364800,0.0,1.0
2000-01-26,37.875,37.875,36.625,37.188,23.1522,414700,0.0,1.0
2000-01-27,37.5025,37.938,37.438,37.5,23.3467,254200,0.0,1.0
2000-01-28,37.0,37.563,35.313,35.625,22.1794,453900,0.0,1.0
2000-01-31,35.625,35.75,35.125,35.25,21.9459,447200,0.0,1.0
2000-02-01,35.375,35.625,34.875,35.063,21.8292,139700,0.0,1.0
2000-02-02,35.188,35.438,35.0,35.25,21.9459,327900,0.0,1.0
2000-02-03,35.5,35.563,34.69,35.563,22.1405,386400,0.0,1.0
2000-02-04,35.813,36.0,35.75,35.938,22.3739,278100,0.0,1.0
2000-02-07,35.938,36.5,35.875,36.25,22.5685,195900,0.0,1.0
2000-02-08,36.188,36.188,36.0,36.063,22.4518,247100,0.0,1.0
2000-02-09,36.0,36.0,34.125,34.25,21.3233,387600,0.0,1.0
2000-02-10,34.25,34.813,32.5,32.5,20.2338,461600,0.0,1.0
2000-02-11,31.375,32.313,29.0,29.0,18.0548,956200,0.0,1.0
2000-02-14,28.875,29.75,27.5008,29.0,18.0548,681800,0.0,1.0
2000-02-15,27.313,28.688,25.75,28.25,17.5879,1794000,0.0,1.0
2000-02-16,29.0,30.75,28.875,29.25,18.2104,816800,0.0,1.0
2000-02-17,31.25,31.625,31.125,31.5,19.6112,323100,0.0,1.0
2000-02-18,31.563,31.563,28.375,28.375,17.6657,261700,0.0,1.0
2000-02-22,27.5,27.75,26.563,26.875,16.7318,882300,0.0,1.0
2000-02-23,28.0,28.25,27.625,28.25,17.5879,504600,0.0,1.0
2000-02-24,28.375,28.875,27.563,28.563,17.7824,320100,0.0,1.0
2000-02-25,28.5011,28.875,28.0,28.688,17.8602,698800,0.0,1.0
2000-02-28,28.438,28.5,27.625,27.688,17.2377,281600,0.0,1.0
2000-02-29,27.625,28.0003,25.125,25.125,15.6423,671700,0.0,1.0
2000-03-01,26.5,27.625,26.0,27.5,17.1209,863200,0.0,1.0
2000-03-02,27.5,27.875,25.9392,26.188,16.3038,629300,0.0,1.0
2000-03-03,26.1878,26.188,25.0,26.0,16.1871,559800,0.0,1.0
2000-03-06,26.25,26.938,25.75,26.438,16.4594,365800,0.0,1.0
2000-03-07,26.5,26.938,25.688,25.875,16.1092,218400,0.0,1.0
2000-03-08,26.125,29.5,26.0,29.125,18.1326,303000,0.0,1.0
2000-03-09,27.875,27.938,25.75,27.5,17.1209,472200,0.0,1.0
2000-03-10,27.375,27.6248,26.375,26.438,16.4594,357900,0.0,1.0
2000-03-13,24.75,25.0,24.188,24.5,15.2532,413700,0.0,1.0
2000-03-14,24.313,26.0,24.313,25.5,15.8758,413100,0.0,1.0
2000-03-15,25.0,26.563,24.813,26.25,16.3427,513300,0.0,1.0
2000-03-16,26.063,27.75,26.063,27.75,17.2766,453600,0.0,1.0
2000-03-17,27.75,27.9393,26.375,26.375,16.4205,223400,0.0,1.0
2000-03-20,26.875,27.0,25.625,25.938,16.1482,90100,0.0,1.0
2000-03-21,27.375,27.875,26.125,26.875,16.7318,596600,0.0,1.0
2000-03-22,26.938,29.375,26.438,29.063,18.0937,700100,0.0,1.0
2000-03-23,27.0,27.125,25.0,25.5,15.8758,1105400,0.0,1.0
2000-03-24,25.625,26.0,25.063,25.063,15.6034,335600,0.0,1.0
2000-03-27,24.813,24.875,23.75,24.25,15.0975,653100,0.0,1.0
2000-03-28,24.0,24.125,23.688,23.75,14.7863,523300,0.0,1.0
2000-03-29,24.75,26.4988,24.75,25.813,16.0703,812800,0.0,1.0
2000-03-30,25.875,27.125,25.813,26.563,16.5373,349200,0.0,1.0
2000-03-31,26.5,27.5,26.5,27.5,17.1209,164600,0.0,1.0
2000-04-03,26.875,26.875,25.0,25.063,15.6034,349100,0.0,1.0
2000-04-04,25.5,25.688,23.625,25.063,15.6034,561800,0.0,1.0
2000-04-05,25.5,25.5,24.813,25.188,15.6812,569800,0.0,1.0
2000-04-06,25.75,25.75,25.0,25.25,15.7201,567200,0.0,1.0
2000-04-07,25.25,26.0014,25.25,25.375,15.7979,641500,0.0,1.0
2000-04-10,25.625,26.563,25.625,26.25,16.3427,413500,0.0,1.0
2000-04-11,26.2499,26.25,25.25,25.75,16.0314,310300,0.0,1.0
2000-04-12,26.0,26.0,25.625,25.813,16.0703,174400,0.0,1.0
2000-04-13,26.0,26.0,25.25,25.75,16.0314,339500,0.0,1.0
2000-04-14,25.125,25.5,23.75,24.5,15.2532,349400,0.0,1.0
2000-04-17,24.5,24.75,22.5,22.5,14.008,359700,0.0,1.0
2000-04-18,23.063,23.688,22.938,23.188,14.4361,943700,0.0,1.0
2000-04-19,23.188,23.25,22.5,23.063,14.3582,432000,0.0,1.0
2000-04-20,23.063,23.125,22.6252,23.0,14.3193,350300,0.0,1.0
2000-04-24,22.5,22.5007,21.625,21.938,13.6578,202800,0.0,1.0
2000-04-25,21.688,22.375,21.188,22.188,13.8135,216000,0.0,1.0
2000-04-26,21.938,21.938,21.063,21.188,13.1909,472300,0.0,1.0
2000-04-27,20.625,20.625,20.063,20.125,12.5294,351200,0.0,1.0
2000-04-28,20.75,21.5,20.75,21.125,13.152,557700,0.0,1.0
2000-05-01,21.5,21.938,21.125,21.75,13.5411,300700,0.0,1.0
2000-05-02,21.938,22.0,21.625,21.75,13.5411,579900,0.0,1.0
2000-05-03,21.938,22.0006,20.875,20.875,12.9963,231900,0.0,1.0
2000-05-04,21.125,21.625,21.0,21.125,13.152,367700,0.0,1.0
2000-05-05,21.75,21.938,21.438,21.688,13.5022,205100,0.0,1.0
2000-05-08,22.5,22.625,22.0,22.063,13.7357,333200,0.0,1.0
2000-05-09,23.0,23.125,22.063,22.625,14.0859,394400,0.0,1.0
2000-05-10,23.063,23.25,22.75,22.875,14.2415,498100,0.0,1.0
2000-05-11,23.063,24.0,23.063,23.75,14.7863,214600,0.0,1.0
2000-05-12,23.75,24.625,23.75,24.375,15.1754,343000,0.0,1.0
2000-05-15,24.8741,25.375,24.875,25.188,15.6812,600000,0.0,1.0
2000-05-16,25.625,26.188,25.625,26.188,16.3038,388600,0.0,1.0
2000-05-17,25.938,25.938,23.5,23.688,14.7473,657500,0.0,1.0
2000-05-18,23.938,24.75,23.75,23.75,14.7863,424100,0.0,1.0
2000-05-19,22.75,23.25,22.5014,22.938,14.2804,543300,0.0,1.0
2000-05-22,22.75,22.813,22.1258,22.25,13.8524,383900,0.0,1.0
2000-05-23,22.5,22.5,21.5,21.5,13.3855,339900,0.0,1.0
2000-05-24,21.5,21.5,20.125,20.625,12.8407,470800,0.0,1.0
2000-05-25,21.0,21.125,20.125,20.125,12.5294,294300,0.0,1.0
2000-05-26,19.625,19.875,19.063,19.188,11.9457,413600,0.0,1.0
2000-05-30,19.75,21.0,19.75,21.0,13.0742,315500,0.0,1.0
2000-05-31,21.5,21.5,20.5,20.5,12.7629,484600,0.0,1.0
2000-06-01,21.438,21.75,20.875,21.688,13.5022,697100,0.0,1.0
2000-06-02,22.3741,23.0,22.063,22.75,14.1637,571100,0.0,1.0
2000-06-05,23.0,23.0,22.5,22.625,14.0859,428900,0.0,1.0
2000-06-06,22.688,22.875,22.063,22.75,14.1637,721200,0.0,1.0
2000-06-07,23.625,23.688,22.813,23.0,14.3193,383600,0.0,1.0
2000-06-08,23.125,23.125,22.75,22.813,14.2026,312500,0.0,1.0
2000-06-09,26.25,26.25,24.875,25.063,15.6034,927200,0.0,1.0
2000-06-12,25.938,26.063,24.9998,25.25,15.7201,1134000,0.0,1.0
2000-06-13,25.188,25.188,23.875,24.0,14.9419,573300,0.0,1.0
2000-06-14,24.625,25.0,23.875,24.0,14.9419,607400,0.0,1.0
2000-06-15,23.0,23.2499,22.375,22.688,14.1248,903200,0.0,1.0
2000-06-16,22.75,22.75,21.3758,21.375,13.3076,492100,0.0,1.0
2000-06-19,22.125,22.375,21.688,21.75,13.5411,705200,0.0,1.0
2000-06-20,22.25,22.875,22.0,22.125,13.7746,1213100,0.0,1.0
2000-06-21,23.125,24.125,23.0,24.125,15.0197,1704500,0.0,1.0
2000-06-22,23.5,23.5007,22.5,22.625,14.0859,700500,0.0,1.0
2000-06-23,22.875,22.875,22.563,22.688,14.1248,400800,0.0,1.0
2000-06-26,22.688,22.688,22.313,22.438,13.9691,446300,0.0,1.0
2000-06-27,23.0,23.375,23.0,23.0,14.3912,390600,0.112,1.0
2000-06-28,23.688,24.0,23.5,24.0,15.0169,479000,0.0,1.0
2000-06-29,23.875,24.25,23.375,24.125,15.0951,935800,0.0,1.0
2000-06-30,24.125,24.5,23.8772,24.0,15.0169,412000,0.0,1.0
2000-07-03,23.75,23.813,23.5,23.75,14.8604,217900,0.0,1.0
2000-07-05,23.25,23.75,23.25,23.563,14.7431,675800,0.0,1.0
2000-07-06,23.625,24.0,23.5,23.875,14.9386,542300,0.0,1.0
2000-07-07,23.875,23.875,23.063,23.063,14.4303,312300,0.0,1.0
2000-07-10,23.063,23.063,22.5,22.625,14.1565,391400,0.0,1.0
2000-07-11,23.063,23.688,23.063,23.438,14.6649,350500,0.0,1.0
2000-07-12,23.0,23.1898,22.375,22.688,14.1956,567000,0.0,1.0
2000-07-13,22.938,22.938,22.563,22.75,14.2347,659400,0.0,1.0
2000-07-14,22.75,22.75,22.5,22.75,14.2347,535300,0.0,1.0
2000-07-17,23.125,23.2475,22.625,23.188,14.5085,561000,0.0,1.0
2000-07-18,22.75,22.813,22.1243,22.125,13.8437,727600,0.0,1.0
2000-07-19,22.2495,22.25,21.563,21.688,13.5699,1709000,0.0,1.0
2000-07-20,21.75,21.813,21.625,21.688,13.5699,264300,0.0,1.0
2000-07-21,21.688,21.75,21.25,21.688,13.5699,302900,0.0,1.0
2000-07-24,21.875,21.875,21.125,21.125,13.218,469000,0.0,1.0
2000-07-25,21.25,21.75,21.25,21.5,13.4526,621000,0.0,1.0
2000-07-26,21.5,21.688,21.0,21.25,13.2962,382200,0.0,1.0
2000-07-27,21.25,22.125,20.938,22.0,13.7655,925200,0.0,1.0
2000-07-28,21.75,21.813,21.3132,21.375,13.3744,327700,0.0,1.0
2000-07-31,22.063,22.438,21.625,21.688,13.5699,799500,0.0,1.0
2000-08-01,21.75,22.625,21.438,22.5,14.0783,293800,0.0,1.0
2000-08-02,22.5,22.875,22.312,22.75,14.2347,340800,0.0,1.0
2000-08-03,22.5009,23.0,22.375,22.375,14.0001,293000,0.0,1.0
2000-08-04,22.7502,22.875,22.063,22.063,13.8046,236100,0.0,1.0
2000-08-07,22.0,22.0,21.438,22.0,13.7655,431800,0.0,1.0
2000-08-08,22.0,22.0,21.688,21.813,13.6481,302100,0.0,1.0
2000-08-09,22.25,22.5,21.875,22.0,13.7655,235300,0.0,1.0
2000-08-10,22.25,22.438,22.063,22.063,13.8046,220200,0.0,1.0
2000-08-11,22.188,22.188,21.9969,22.188,13.8828,201300,0.0,1.0
2000-08-14,22.25,22.25,22.0,22.188,13.8828,102500,0.0,1.0
2000-08-15,22.25,22.625,22.1239,22.438,14.0392,372800,0.0,1.0
2000-08-16,22.25,22.25,21.813,22.0,13.7655,213500,0.0,1.0
2000-08-17,22.25,22.25,21.813,22.0,13.7655,169300,0.0,1.0
2000-08-18,22.0,22.0,20.25,20.438,12.7878,323000,0.0,1.0
2000-08-21,21.25,21.25,20.2513,20.563,12.866,653000,0.0,1.0
2000-08-22,20.75,20.875,20.5,20.75,12.9833,881800,0.0,1.0
2000-08-23,20.75,20.875,20.625,20.75,12.9833,1002600,0.0,1.0
2000-08-24,20.7495,21.125,20.5,20.75,12.9833,613900,0.0,1.0
2000-08-25,21.0,21.25,20.875,21.125,13.218,219900,0.0,1.0
2000-08-28,21.188,21.313,21.063,21.188,13.2571,233700,0.0,1.0
2000-08-29,21.313,21.313,20.875,20.875,13.0615,164600,0.0,1.0
2000-08-30,20.438,20.625,20.125,20.625,12.9051,296500,0.0,1.0
2000-08-31,20.75,21.3134,20.625,21.25,13.2962,175100,0.0,1.0
2000-09-01,21.25,21.5,21.125,21.25,13.2962,1589700,0.0,1.0
2000-09-05,21.5,21.938,21.313,21.75,13.609,304400,0.0,1.0
2000-09-06,21.625,21.9411,21.375,21.938,13.7264,373700,0.0,1.0
2000-09-07,21.813,21.8751,21.188,21.188,13.2571,343400,0.0,1.0
2000-09-08,21.5,21.5,20.75,20.875,13.0615,401100,0.0,1.0
2000-09-11,20.875,20.875,20.625,20.625,12.9051,132900,0.0,1.0
2000-09-12,20.813,20.813,20.563,20.563,12.866,61600,0.0,1.0
2000-09-13,20.563,20.938,20.563,20.938,13.1006,179200,0.0,1.0
2000-09-14,20.75,20.875,20.438,20.438,12.7878,259100,0.0,1.0
2000-09-15,20.125,20.125,19.563,19.625,12.2794,543700,0.0,1.0
2000-09-18,19.75,19.75,18.938,18.938,11.8492,572800,0.0,1.0
2000-09-19,19.25,19.25,18.313,18.438,11.5364,429800,0.0,1.0
2000-09-20,18.75,18.75,17.75,17.875,11.1844,383200,0.0,1.0
2000-09-21,18.625,18.8754,18.375,18.5,11.5755,775600,0.0,1.0
2000-09-22,18.438,18.625,18.25,18.563,11.6146,330700,0.0,1.0
2000-09-25,18.7501,18.813,18.5,18.5,11.5755,225400,0.0,1.0
2000-09-26,19.25,19.3116,18.313,18.438,11.5364,695800,0.0,1.0
2000-09-27,18.813,19.25,18.813,18.938,11.8492,189400,0.0,1.0
2000-09-28,19.313,19.313,18.75,18.938,11.8492,392400,0.0,1.0
2000-09-29,18.875,19.0,18.5,18.625,11.6537,3694100,0.0,1.0
2000-10-02,18.125,18.125,16.5,17.563,10.9889,1194000,0.0,1.0
2000-10-03,17.5,18.25,17.438,18.125,11.3409,455900,0.0,1.0
2000-10-04,18.063,18.25,17.75,17.75,11.1062,586500,0.0,1.0
2000-10-05,17.75,18.063,17.563,17.938,11.2235,445700,0.0,1.0
2000-10-06,18.5,18.625,18.063,18.188,11.38,482700,0.0,1.0
2000-10-09,17.75,18.0,17.25,17.563,10.9889,359100,0.0,1.0
2000-10-10,17.813,17.938,16.75,17.25,10.7934,444700,0.0,1.0
2000-10-11,17.188,17.188,15.625,16.563,10.3632,700800,0.0,1.0
2000-10-12,16.625,16.625,15.625,16.375,10.2459,514100,0.0,1.0
2000-10-13,15.313,16.438,15.313,16.438,10.285,476400,0.0,1.0
2000-10-16,16.5,16.5,15.0,15.375,9.6202,724600,0.0,1.0
2000-10-17,15.125,15.25,14.313,15.188,9.5029,1307000,0.0,1.0
2000-10-18,14.5,14.5642,14.0,14.5,9.0727,774100,0.0,1.0
2000-10-19,14.625,15.125,14.625,15.125,9.4638,263900,0.0,1.0
2000-10-20,15.063,15.125,14.5,14.5,9.0727,618200,0.0,1.0
2000-10-23,14.5,14.5,13.875,14.063,8.7989,720600,0.0,1.0
2000-10-24,14.313,14.625,14.25,14.625,9.1509,1016100,0.0,1.0
2000-10-25,14.75,15.313,14.75,15.25,9.542,971500,0.0,1.0
2000-10-26,15.313,15.688,15.3124,15.563,9.7375,535600,0.0,1.0
2000-10-27,15.75,15.875,15.625,15.75,9.8548,632600,0.0,1.0
2000-10-30,15.063,15.438,15.063,15.438,9.6593,441100,0.0,1.0
2000-10-31,15.688,15.813,15.25,15.813,9.8939,380000,0.0,1.0
2000-11-01,16.376,16.688,16.25,16.563,10.3632,523100,0.0,1.0
2000-11-02,17.0,17.25,17.0,17.188,10.7543,576900,0.0,1.0
2000-11-03,17.0,17.0634,16.75,16.875,10.5587,507000,0.0,1.0
2000-11-06,16.75,16.75,16.563,16.75,10.4805,546800,0.0,1.0
2000-11-07,16.5,16.5,16.25,16.5,10.3241,269300,0.0,1.0
2000-11-08,16.6254,16.625,16.375,16.438,10.285,465600,0.0,1.0
2000-11-09,16.313,16.438,16.188,16.375,10.2459,336400,0.0,1.0
2000-11-10,16.063,16.375,16.0,16.0,10.0112,240700,0.0,1.0
2000-11-13,15.0,15.75,14.9996,15.75,9.8548,470000,0.0,1.0
2000-11-14,16.063,16.75,16.063,16.625,10.4023,456300,0.0,1.0
2000-11-15,16.625,16.625,16.125,16.5,10.3241,674400,0.0,1.0
2000-11-16,16.0,16.25,15.938,15.938,9.9721,313700,0.0,1.0
2000-11-17,16.625,16.625,15.938,16.063,10.0503,462800,0.0,1.0
2000-11-20,15.813,15.813,15.25,15.563,9.7375,228600,0.0,1.0
2000-11-21,15.5,15.5,15.1256,15.313,9.5811,279600,0.0,1.0
2000-11-22,14.75,14.938,14.313,14.625,9.1509,434800,0.0,1.0
2000-11-24,14.813,14.875,14.563,14.75,9.2291,168000,0.0,1.0
2000-11-27,15.0,15.188,14.875,14.938,9.3464,432100,0.0,1.0
2000-11-28,15.25,15.313,14.875,15.0,9.3855,722100,0.0,1.0
2000-11-29,15.063,15.063,14.688,14.813,9.2682,730200,0.0,1.0
2000-11-30,14.25,14.688,14.25,14.438,9.0336,569700,0.0,1.0
2000-12-01,14.875,15.563,14.875,15.438,9.6593,558400,0.0,1.0
2000-12-04,15.438,15.5008,15.188,15.25,9.542,345000,0.0,1.0
2000-12-05,17.063,18.25,16.875,17.938,11.2235,1320900,0.0,1.0
2000-12-06,17.25,17.563,17.125,17.5,10.9498,420200,0.0,1.0
2000-12-07,17.625,17.887,17.063,17.125,10.7152,760600,0.0,1.0
2000-12-08,17.25,17.875,17.25,17.813,11.1453,573200,0.0,1.0
2000-12-11,17.938,17.938,16.75,17.125,10.7152,459300,0.0,1.0
2000-12-12,17.0,17.0,16.5,16.563,10.3632,311100,0.0,1.0
2000-12-13,17.375,17.375,16.75,17.188,10.7543,545700,0.0,1.0
2000-12-14,17.0,17.0,16.313,16.5,10.3241,799900,0.0,1.0
2000-12-15,16.438,16.938,16.438,16.5,10.3241,892200,0.0,1.0
2000-12-18,16.625,17.125,16.5,16.688,10.4414,561100,0.0,1.0
2000-12-19,16.5,16.875,16.0,16.188,10.1286,1288800,0.0,1.0
