timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-06-26,15.0,15.25,15.0,15.05,4.957,399200,0.0,1.0
2002-06-27,15.01,15.24,15.01,15.19,5.0099,114500,0.0,1.0
2002-06-28,15.2,15.22,15.05,15.2,5.0231,116900,0.0,1.0
2002-07-01,15.21,15.21,15.01,15.05,4.9735,67900,0.0,1.0
2002-07-02,15.05,15.24,15.0,15.09,4.9867,122600,0.0,1.0
2002-07-03,15.11,15.23,15.05,15.08,4.9834,81200,0.0,1.0
2002-07-05,15.08,15.17,15.08,15.08,4.9834,14600,0.0,1.0
2002-07-08,15.05,15.08,15.02,15.02,4.9636,100400,0.0,1.0
2002-07-09,15.02,15.09,15.01,15.06,4.9768,63500,0.0,1.0
2002-07-10,15.08,15.15,15.02,15.12,4.9966,108300,0.0,1.0
2002-07-11,15.06,15.11,15.03,15.08,4.9834,47200,0.0,1.0
2002-07-12,15.08,15.17,15.04,15.17,5.0132,43100,0.0,1.0
2002-07-15,15.1,15.15,15.03,15.15,5.0065,94000,0.0,1.0
2002-07-16,15.1,15.16,15.0906,15.12,4.9966,78000,0.0,1.0
2002-07-17,15.19,15.19,15.07,15.19,5.0198,40800,0.0,1.0
2002-07-18,15.19,15.24,15.11,15.2,5.0231,45200,0.0,1.0
2002-07-19,15.11,15.24,15.11,15.19,5.0198,51000,0.0,1.0
2002-07-22,15.11,15.18,15.03,15.17,5.0132,61200,0.0,1.0
2002-07-23,15.12,15.12,15.02,15.05,4.9735,47300,0.0,1.0
2002-07-24,15.05,15.1,15.0,15.05,4.9735,146000,0.0,1.0
2002-07-25,15.0,15.02,14.98,15.0,4.957,405700,0.0,1.0
2002-07-26,15.0,15.05,15.0,15.03,4.9669,64200,0.0,1.0
2002-07-29,15.02,15.059,15.0,15.06,4.9768,147700,0.0,1.0
2002-07-30,15.0608,15.09,15.01,15.09,4.9867,35600,0.0,1.0
2002-07-31,15.05,15.09,15.01,15.01,4.9603,27800,0.0,1.0
2002-08-01,15.09,15.13,15.02,15.04,4.9702,29200,0.0,1.0
2002-08-02,15.04,15.04,15.02,15.03,4.9669,55200,0.0,1.0
2002-08-05,15.02,15.09,15.02,15.03,4.9669,36900,0.0,1.0
2002-08-06,15.02,15.09,15.02,15.06,4.9768,44700,0.0,1.0
2002-08-07,15.02,15.09,15.0,15.09,4.9867,29600,0.0,1.0
2002-08-08,15.05,15.09,15.01,15.09,4.9867,46300,0.0,1.0
2002-08-09,15.0898,15.1,15.01,15.06,4.9768,36600,0.0,1.0
2002-08-12,15.08,15.09,15.0,15.07,4.9801,30300,0.0,1.0
2002-08-13,15.03,15.09,14.711,14.88,4.9173,89900,0.0,1.0
2002-08-14,14.85,15.0,14.8104,14.9,4.9239,22300,0.0,1.0
2002-08-15,14.9,15.04,14.83,15.0,4.957,69700,0.0,1.0
2002-08-16,14.92,15.0,14.92,15.0,4.957,66600,0.0,1.0
2002-08-19,14.92,15.03,14.92,15.02,4.9636,147800,0.0,1.0
2002-08-20,15.02,15.07,14.9897,15.02,4.9636,88300,0.0,1.0
2002-08-21,15.03,15.06,15.0,15.02,4.9636,37200,0.0,1.0
2002-08-22,15.05,15.05,15.0,15.01,4.9603,44200,0.0,1.0
2002-08-23,15.02,15.06,15.02,15.02,4.9636,53200,0.0,1.0
2002-08-26,15.05,15.06,15.01,15.06,4.9768,46100,0.0,1.0
2002-08-27,15.02,15.0596,14.98,15.06,4.9768,117100,0.0,1.0
2002-08-28,14.94,14.9902,14.94,14.99,4.9815,44600,0.084,1.0
2002-08-29,14.98,15.05,14.9,15.03,4.9948,85600,0.0,1.0
2002-08-30,15.0303,15.05,15.01,15.04,4.9981,43400,0.0,1.0
2002-09-03,15.01,15.0107,14.96,15.01,4.9881,61400,0.0,1.0
