timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-04-01,19.15,20.2,18.61,19.65,17.9513,18080100,0.0,1.0
2010-04-05,20.23,20.5,19.75,19.85,18.134,2395100,0.0,1.0
2010-04-06,19.89,20.25,19.77,19.8,18.0884,899500,0.0,1.0
2010-04-07,19.87,20.1,19.8,20.01,18.2802,753000,0.0,1.0
2010-04-08,20.74,21.69,20.0,21.3,19.4587,3186000,0.0,1.0
2010-04-09,21.84,23.35,21.75,23.34,21.3223,3062000,0.0,1.0
2010-04-12,24.09,25.48,23.6,24.41,22.2998,3440000,0.0,1.0
2010-04-13,24.87,25.07,24.45,24.95,22.7932,1165200,0.0,1.0
2010-04-14,25.65,25.89,24.57,24.76,22.6196,1474100,0.0,1.0
2010-04-15,24.85,25.0,22.58,22.79,20.8199,1876600,0.0,1.0
2010-04-16,22.76,23.4984,22.01,22.78,20.8107,999700,0.0,1.0
2010-04-19,22.8,23.4,22.79,23.3,21.2858,634500,0.0,1.0
2010-04-20,23.63,23.74,23.32,23.7,21.6512,363400,0.0,1.0
2010-04-21,23.5,23.74,23.03,23.69,21.6421,354400,0.0,1.0
2010-04-22,23.77,24.09,23.31,24.07,21.9892,383100,0.0,1.0
2010-04-23,24.36,24.76,24.25,24.64,22.51,553900,0.0,1.0
2010-04-26,24.82,25.14,24.8,25.02,22.8571,701700,0.0,1.0
2010-04-27,24.74,24.98,24.5,24.67,22.5374,715500,0.0,1.0
2010-04-28,24.78,24.78,23.65,23.8,21.7426,896400,0.0,1.0
2010-04-29,24.28,24.5,23.6,23.73,21.6786,539000,0.0,1.0
2010-04-30,24.15,24.47,23.47,23.72,21.6695,335200,0.0,1.0
2010-05-03,24.0,24.0,23.58,23.75,21.6969,205900,0.0,1.0
2010-05-04,23.7,23.96,23.6004,23.76,21.706,35400,0.0,1.0
2010-05-05,23.3,23.93,23.1,23.88,21.8157,319000,0.0,1.0
2010-05-06,25.83,25.83,23.12,24.26,22.1628,1063000,0.0,1.0
