timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-11-03,21.75,21.85,21.2,21.26,7.2091,7974500,0.0,1.0
2011-11-04,21.26,21.4,21.03,21.2,7.1888,1105200,0.0,1.0
2011-11-07,21.22,21.25,21.09,21.1,7.1548,395100,0.0,1.0
2011-11-08,21.1,21.12,21.0,21.03,7.1311,504300,0.0,1.0
2011-11-09,21.0,21.0,18.84,19.0,6.4427,1043200,0.0,1.0
2011-11-10,19.27,19.36,18.4,19.05,6.4597,671700,0.0,1.0
2011-11-11,19.2408,20.34,19.15,20.34,6.8971,498800,0.0,1.0
2011-11-14,20.35,20.63,20.0,20.35,6.9005,255400,0.0,1.0
2011-11-15,20.1,20.35,19.6,20.25,6.8666,331600,0.0,1.0
2011-11-16,20.28,20.52,20.07,20.25,6.8666,281000,0.0,1.0
2011-11-17,20.43,20.43,19.7506,19.83,6.7242,185600,0.0,1.0
2011-11-18,19.83,19.98,19.25,19.37,6.5682,168900,0.0,1.0
2011-11-21,19.33,19.33,18.62,18.88,6.4021,239600,0.0,1.0
2011-11-22,18.7,19.22,18.69,18.99,6.4394,158300,0.0,1.0
2011-11-23,18.7,18.91,18.2,18.23,6.1817,142200,0.0,1.0
2011-11-25,18.14,18.85,18.14,18.57,6.2969,74900,0.0,1.0
2011-11-28,19.0,19.07,18.353,18.48,6.3745,139000,0.3147,1.0
2011-11-29,18.44,18.77,18.4,18.57,6.4055,107300,0.0,1.0
2011-11-30,19.22,19.22,18.01,18.69,6.4469,276100,0.0,1.0
2011-12-01,18.61,19.05,18.08,18.19,6.2744,108200,0.0,1.0
2011-12-02,18.36,18.9,18.35,18.75,6.4676,93800,0.0,1.0
2011-12-05,19.04,19.33,18.97,19.06,6.5745,211400,0.0,1.0
2011-12-06,18.91,19.16,18.52,19.15,6.6056,214700,0.0,1.0
2011-12-07,19.02,19.56,18.9603,19.42,6.6987,144700,0.0,1.0
2011-12-08,19.4,19.47,18.85,19.44,6.7056,97200,0.0,1.0
2011-12-09,19.44,19.49,19.02,19.48,6.7194,72500,0.0,1.0
2011-12-12,19.21,19.27,18.55,18.95,6.5366,145200,0.0,1.0
2011-12-13,19.17,19.89,19.03,19.88,6.8574,313200,0.0,1.0
2011-12-14,19.8,19.89,19.16,19.65,6.778,156200,0.0,1.0
2011-12-15,19.89,19.8896,19.04,19.47,6.7159,201600,0.0,1.0
2011-12-16,19.8,19.92,19.72,19.81,6.8332,111100,0.0,1.0
2011-12-19,19.93,19.99,19.21,19.84,6.8436,213900,0.0,1.0
2011-12-20,20.0,20.25,19.9,20.04,6.9126,138300,0.0,1.0
2011-12-21,19.95,20.1,19.755,20.0,6.8988,80500,0.0,1.0
2011-12-22,20.01,20.48,19.8,20.37,7.0264,140000,0.0,1.0
2011-12-23,20.38,21.04,20.26,21.0,7.2437,150600,0.0,1.0
2011-12-27,20.9,21.12,20.67,20.85,7.192,180400,0.0,1.0
2011-12-28,20.66,20.8,20.341,20.41,7.0905,121200,0.1481,1.0
2011-12-29,20.4282,20.5,20.23,20.5,7.1218,117100,0.0,1.0
2011-12-30,20.5,20.69,20.0,20.47,7.1114,170600,0.0,1.0
2012-01-03,20.9,20.99,20.74,20.96,7.2816,154300,0.0,1.0
2012-01-04,20.88,21.17,20.75,21.09,7.3268,181500,0.0,1.0
2012-01-05,20.99,21.14,20.82,21.14,7.3442,183500,0.0,1.0
2012-01-06,21.25,21.29,20.88,21.16,7.3511,158500,0.0,1.0
2012-01-09,21.12,21.33,20.95,21.32,7.4067,166200,0.0,1.0
2012-01-10,21.48,21.48,20.71,20.89,7.2573,111000,0.0,1.0
2012-01-11,20.83,20.9501,20.4,20.5,7.1218,73700,0.0,1.0
2012-01-12,20.5,20.5,20.26,20.38,7.0801,88600,0.0,1.0
2012-01-13,20.4,20.4,20.0,20.39,7.0836,60600,0.0,1.0
2012-01-17,20.56,20.63,20.228,20.42,7.094,98600,0.0,1.0
2012-01-18,20.27,20.41,19.91,20.34,7.0662,142100,0.0,1.0
2012-01-19,20.27,20.53,20.25,20.42,7.094,141700,0.0,1.0
2012-01-20,20.41,20.41,20.0,20.31,7.0558,82700,0.0,1.0
2012-01-23,20.39,20.79,20.368,20.74,7.2052,71600,0.0,1.0
2012-01-24,20.6,21.209,20.6,21.0,7.2955,77600,0.0,1.0
2012-01-25,21.0008,21.096,20.83,20.89,7.2573,91000,0.0,1.0
2012-01-26,20.97,21.03,20.66,20.85,7.2434,63400,0.0,1.0
2012-01-27,21.0,21.0,20.51,20.66,7.226,81800,0.1403,1.0
2012-01-30,20.57,20.645,20.16,20.57,7.1946,78500,0.0,1.0
2012-01-31,20.61,20.68,20.3,20.44,7.1491,127300,0.0,1.0
2012-02-01,20.48,20.631,20.1,20.14,7.0442,71900,0.0,1.0
2012-02-02,20.21,20.328,19.75,19.75,6.9078,92800,0.0,1.0
2012-02-03,20.0,20.02,19.02,19.54,6.8343,212200,0.0,1.0
2012-02-06,19.53,19.61,18.95,19.03,6.6559,195900,0.0,1.0
2012-02-07,19.1,19.55,19.04,19.28,6.7434,133800,0.0,1.0
2012-02-08,19.3893,20.199,19.29,19.91,6.9637,160000,0.0,1.0
2012-02-09,20.0,20.3,19.96,20.13,7.0407,87400,0.0,1.0
2012-02-10,20.1298,20.2,19.918,20.18,7.0582,57300,0.0,1.0
2012-02-13,20.25,20.48,20.25,20.39,7.1316,67800,0.0,1.0
2012-02-14,20.5,20.6,20.3,20.59,7.2016,59000,0.0,1.0
2012-02-15,20.6297,21.15,20.42,20.94,7.324,154400,0.0,1.0
2012-02-16,20.95,21.2,20.8222,20.98,7.338,102500,0.0,1.0
2012-02-17,21.0,21.14,20.95,21.08,7.3729,68300,0.0,1.0
2012-02-21,22.02,22.02,21.1,21.52,7.5268,181500,0.0,1.0
2012-02-22,21.58,21.84,21.37,21.51,7.5233,149600,0.0,1.0
2012-02-23,21.8,21.8,21.25,21.36,7.4709,263900,0.0,1.0
2012-02-24,21.47,21.5,21.294,21.37,7.4744,102600,0.0,1.0
2012-02-27,21.33,21.37,21.1,21.315,7.4999,6400,0.1424,1.0
2012-02-28,21.29,21.39,20.8488,21.16,7.4365,21600,0.0,1.0
2012-02-29,21.25,21.615,20.87,21.56,7.5914,16800,0.0,1.0
2012-03-01,21.56,21.81,21.22,21.25,7.4823,186000,0.0,1.0
2012-03-02,21.29,21.78,21.163,21.6,7.6055,162000,0.0,1.0
2012-03-05,21.5,21.9302,21.32,21.711,7.6442,130800,0.0,1.0
2012-03-06,21.35,21.39,21.0,21.09,7.4259,89600,0.0,1.0
2012-03-07,21.22,21.33,20.99,21.29,7.4964,77200,0.0,1.0
2012-03-08,21.3506,21.58,21.0,21.43,7.5456,81300,0.0,1.0
2012-03-09,21.44,21.46,21.286,21.46,7.5562,150900,0.0,1.0
2012-03-12,21.39,21.41,21.261,21.38,7.528,94800,0.0,1.0
2012-03-13,21.42,21.6,21.1,21.43,7.5456,105800,0.0,1.0
2012-03-14,21.47,21.81,21.13,21.75,7.6583,173200,0.0,1.0
2012-03-15,21.67,21.84,21.52,21.65,7.6231,110400,0.0,1.0
2012-03-16,21.61,21.75,21.4,21.73,7.6513,109100,0.0,1.0
2012-03-19,21.73,21.743,21.488,21.57,7.5949,92900,0.0,1.0
2012-03-20,21.5,21.7132,21.358,21.5,7.5703,106200,0.0,1.0
