timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-08,45.063,45.125,44.563,45.0,12.4875,4865300,0.0,1.0
1999-09-09,45.0,45.2475,44.438,45.125,12.5222,5244000,0.0,1.0
1999-09-10,45.125,45.8745,45.0,45.625,12.6609,5845700,0.0,1.0
1999-09-13,45.688,45.688,45.063,45.188,12.5395,2843200,0.0,1.0
1999-09-14,44.8745,45.0,43.875,43.875,12.1753,5281700,0.0,1.0
1999-09-15,44.438,44.5,43.125,43.625,12.1059,5232100,0.0,1.0
1999-09-16,43.188,43.625,42.938,43.0,11.9325,4279900,0.0,1.0
1999-09-17,43.5,43.5,42.688,43.313,12.0192,6562700,0.0,1.0
1999-09-20,43.0,43.938,42.938,43.75,12.1406,3935800,0.0,1.0
1999-09-21,43.563,43.625,42.75,43.0,11.9325,5600800,0.0,1.0
1999-09-22,43.0,43.0,41.75,42.25,11.7244,8908500,0.0,1.0
1999-09-23,42.75,42.75,40.5,40.5,11.2388,6930500,0.0,1.0
1999-09-24,40.5,40.75,39.688,39.875,11.0653,9223800,0.0,1.0
1999-09-27,40.188,41.125,40.063,40.688,11.2908,6640600,0.0,1.0
1999-09-28,40.75,40.813,39.25,40.0,11.1,7540800,0.0,1.0
1999-09-29,36.5,37.813,36.5,37.5,10.4063,31430500,0.0,1.0
1999-09-30,37.5,37.938,36.313,36.688,10.1808,19823800,0.0,1.0
1999-10-01,36.938,37.25,36.75,37.0,10.2675,13425300,0.0,1.0
1999-10-04,37.188,37.688,37.063,37.625,10.4409,8495600,0.0,1.0
1999-10-05,37.563,38.125,36.0642,36.25,10.0594,8951400,0.0,1.0
1999-10-06,36.25,37.125,36.188,36.375,10.0941,11703400,0.0,1.0
1999-10-07,37.188,38.188,37.0,37.875,10.5103,10676700,0.0,1.0
1999-10-08,38.438,41.2496,38.25,40.813,11.3255,16823000,0.0,1.0
1999-10-11,41.0,42.875,40.75,41.438,11.4989,13150000,0.0,1.0
1999-10-12,41.0,41.063,39.75,40.438,11.2214,21947000,0.0,1.0
1999-10-13,39.875,40.188,38.563,38.688,10.7811,9299200,0.0763,1.0
1999-10-14,38.0,39.25,37.188,38.375,10.694,20877200,0.0,1.0
1999-10-15,37.0,37.75,36.5,37.563,10.4676,8262600,0.0,1.0
1999-10-18,37.75,37.75,36.563,37.25,10.3805,7603500,0.0,1.0
1999-10-19,37.9988,39.25,37.875,38.75,10.7985,5880500,0.0,1.0
1999-10-20,39.0,39.188,38.438,38.938,10.8508,9617500,0.0,1.0
1999-10-21,38.5,39.25,38.0034,38.813,10.8159,15494100,0.0,1.0
1999-10-22,39.0,40.0,38.813,39.063,10.8856,10828200,0.0,1.0
1999-10-25,38.625,39.375,38.125,39.0,10.8682,8600000,0.0,1.0
1999-10-26,39.125,39.25,37.438,37.625,10.485,9183400,0.0,1.0
1999-10-27,38.0,38.188,37.5,37.75,10.5199,12320300,0.0,1.0
1999-10-28,39.0,40.188,38.625,39.813,11.0946,20187300,0.0,1.0
1999-10-29,40.0,41.25,39.563,40.375,11.2514,14211900,0.0,1.0
1999-11-01,40.5,41.125,40.0,40.313,11.234,8656500,0.0,1.0
1999-11-02,39.063,39.625,37.5615,38.0,10.5895,22183400,0.0,1.0
1999-11-03,37.75,38.25,36.813,36.813,10.2586,19538700,0.0,1.0
1999-11-04,37.438,38.25,37.0,37.875,10.5547,15124600,0.0,1.0
1999-11-05,37.875,38.875,37.875,38.438,10.7114,13604600,0.0,1.0
1999-11-08,38.563,38.875,38.438,38.875,10.8334,9546200,0.0,1.0
1999-11-09,39.0,39.0,36.75,37.0,10.3109,11980600,0.0,1.0
1999-11-10,36.688,37.188,36.563,37.0,10.3109,7764200,0.0,1.0
1999-11-11,38.125,38.25,36.5,36.5,10.1715,29938300,0.0,1.0
1999-11-12,36.5,36.875,36.125,36.438,10.1541,13167300,0.0,1.0
1999-11-15,36.438,37.188,36.375,36.625,10.2063,13534800,0.0,1.0
1999-11-16,37.375,38.125,37.25,37.938,10.5721,16435300,0.0,1.0
1999-11-17,37.813,38.063,36.875,37.313,10.3979,11573100,0.0,1.0
1999-11-18,38.5,38.563,37.313,38.0,10.5895,14108100,0.0,1.0
1999-11-19,37.938,38.0,37.5,37.5,10.4502,9158600,0.0,1.0
