timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-08,44.813,44.813,44.313,44.563,28.7897,2095200,0.0,1.0
1999-09-09,44.563,45.25,44.3736,45.125,29.1531,2109000,0.0,1.0
1999-09-10,45.125,45.75,44.875,45.25,29.2338,1724900,0.0,1.0
1999-09-13,45.0,45.0,44.625,44.813,28.9512,2270700,0.0,1.0
1999-09-14,44.813,44.813,44.375,44.563,28.7897,1697600,0.0,1.0
1999-09-15,44.563,45.0596,44.188,44.438,28.7089,1955200,0.0,1.0
1999-09-16,44.438,44.625,43.625,43.938,28.3859,2291800,0.0,1.0
1999-09-17,43.9414,44.25,43.625,43.625,28.184,3014000,0.0,1.0
1999-09-20,43.625,43.625,42.75,42.875,27.6995,2683500,0.0,1.0
1999-09-21,42.875,43.125,42.5633,42.75,27.6187,2523000,0.0,1.0
1999-09-22,42.875,43.938,42.875,43.5,28.1032,2453900,0.0,1.0
1999-09-23,43.5,43.5,42.563,42.75,27.6187,2721300,0.0,1.0
1999-09-24,42.563,42.563,41.063,42.063,27.1745,3349900,0.0,1.0
1999-09-27,42.063,42.313,41.625,41.688,26.9323,2005600,0.0,1.0
1999-09-28,41.688,42.063,41.438,41.875,27.0534,2279700,0.0,1.0
1999-09-29,41.875,42.813,41.563,42.188,27.2553,2497300,0.0,1.0
1999-09-30,42.25,43.313,42.25,42.625,27.538,1998000,0.0,1.0
1999-10-01,42.688,43.188,42.688,42.875,27.6995,1564400,0.0,1.0
1999-10-04,43.063,44.063,43.063,43.688,28.2244,1687400,0.0,1.0
1999-10-05,43.688,44.125,43.313,43.813,28.3051,1894500,0.0,1.0
1999-10-06,43.813,44.0,43.313,43.438,28.0629,2536000,0.0,1.0
1999-10-07,43.25,43.25,42.063,42.75,27.6187,2624500,0.0,1.0
1999-10-08,42.7516,42.938,41.938,42.0,27.1342,1532300,0.0,1.0
1999-10-11,42.0,42.7506,41.75,41.938,27.0938,2612000,0.0,1.0
1999-10-12,41.875,41.875,39.125,39.625,25.5998,3953000,0.0,1.0
1999-10-13,39.625,41.188,39.625,40.5,26.1651,4278700,0.0,1.0
1999-10-14,41.438,44.375,41.438,43.625,28.184,7686800,0.0,1.0
1999-10-15,43.625,43.625,41.25,42.5,27.4572,6747700,0.0,1.0
1999-10-18,42.5,42.875,41.627,42.125,27.2149,3713100,0.0,1.0
1999-10-19,42.499,43.0,42.5,42.75,27.6187,3785500,0.0,1.0
1999-10-20,42.75,44.438,42.5,44.125,28.507,3345500,0.0,1.0
1999-10-21,44.125,44.938,43.688,44.688,28.8704,3385200,0.0,1.0
1999-10-22,44.688,45.438,44.625,44.625,28.83,2850300,0.0,1.0
1999-10-25,44.625,45.188,44.063,44.188,28.5474,2276000,0.0,1.0
1999-10-26,44.188,45.25,44.188,44.875,28.9916,2340300,0.0,1.0
1999-10-27,44.875,45.1849,44.75,44.875,28.9916,2375700,0.0,1.0
1999-10-28,45.313,46.25,45.313,45.75,29.5569,4077500,0.0,1.0
1999-10-29,45.875,46.438,45.875,46.063,29.7587,3389200,0.0,1.0
1999-11-01,44.938,44.938,43.875,44.625,28.83,6052600,0.0,1.0
1999-11-02,43.688,43.688,42.375,43.375,28.0225,6561200,0.0,1.0
1999-11-03,43.375,44.125,42.25,43.25,27.9417,5700800,0.0,1.0
1999-11-04,43.25,43.938,43.063,43.375,28.0225,2729000,0.0,1.0
1999-11-05,44.063,44.9387,44.063,44.313,28.6282,3640900,0.0,1.0
1999-11-08,44.313,44.875,43.75,44.188,28.5474,2888200,0.0,1.0
1999-11-09,44.188,44.313,41.125,41.438,26.8558,6795300,0.14,1.0
1999-11-10,41.438,42.313,40.938,41.75,27.0584,5828600,0.0,1.0
1999-11-11,41.7479,41.938,41.125,41.125,26.6533,3360400,0.0,1.0
1999-11-12,41.125,41.438,40.813,41.313,26.7748,3694000,0.0,1.0
1999-11-15,40.875,40.875,39.813,40.125,26.0052,5245900,0.0,1.0
1999-11-16,40.188,41.625,40.188,41.375,26.8153,4393600,0.0,1.0
1999-11-17,41.375,42.75,41.25,42.563,27.585,3386400,0.0,1.0
1999-11-18,42.7517,43.563,42.75,43.0,27.8685,3236000,0.0,1.0
1999-11-19,43.125,44.0,43.125,43.688,28.3141,3257000,0.0,1.0
1999-11-22,43.5,43.5,41.688,41.875,27.1394,3352100,0.0,1.0
1999-11-23,41.875,41.938,40.938,41.688,27.0179,2808600,0.0,1.0
1999-11-24,41.438,41.438,40.688,41.063,26.6128,2090000,0.0,1.0
1999-11-26,41.063,41.125,40.7523,41.063,26.6128,1069100,0.0,1.0
1999-11-29,41.063,41.063,40.25,40.875,26.4913,2237400,0.0,1.0
1999-11-30,40.875,41.188,40.375,40.625,26.3293,3112900,0.0,1.0
1999-12-01,40.625,42.1257,40.438,41.5,26.8963,3386600,0.0,1.0
1999-12-02,41.5002,41.563,39.875,40.125,26.0052,3239800,0.0,1.0
1999-12-03,40.125,40.375,39.625,40.375,26.1672,3823100,0.0,1.0
1999-12-06,40.063,40.063,38.438,38.563,24.9925,4131400,0.0,1.0
1999-12-07,38.563,38.688,37.875,37.938,24.5875,3469300,0.0,1.0
1999-12-08,37.938,38.0,37.063,37.25,24.1419,5503200,0.0,1.0
1999-12-09,37.375,39.563,37.375,37.813,24.5065,6141500,0.0,1.0
1999-12-10,38.063,39.625,38.063,39.125,25.3571,3690000,0.0,1.0
1999-12-13,39.063,39.063,38.0,38.188,24.7495,3816100,0.0,1.0
1999-12-14,38.188,38.563,37.25,38.5,24.952,4790000,0.0,1.0
1999-12-15,38.688,40.563,38.688,38.75,25.1141,6212300,0.0,1.0
1999-12-16,38.75,39.813,38.625,39.688,25.7217,4341800,0.0,1.0
1999-12-17,39.688,40.0,38.188,38.313,24.8305,5959200,0.0,1.0
1999-12-20,38.313,39.25,37.875,38.406,24.8913,3186300,0.0,1.0
1999-12-21,38.406,38.938,38.25,38.688,25.0736,3435900,0.0,1.0
1999-12-22,38.875,39.938,38.875,39.375,25.5191,3719100,0.0,1.0
1999-12-23,40.25,41.313,40.2458,41.188,26.6938,4027700,0.0,1.0
1999-12-27,41.188,41.938,41.0,41.438,26.8558,2722100,0.0,1.0
1999-12-28,41.3741,41.375,40.813,41.313,26.7748,1631900,0.0,1.0
1999-12-29,41.313,41.5,40.938,41.0,26.5723,1981200,0.0,1.0
1999-12-30,41.0,41.6231,40.938,41.25,26.7343,1934600,0.0,1.0
1999-12-31,41.25,41.625,41.063,41.438,26.8558,1111200,0.0,1.0
