timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-08,44.25,45.75,43.625,44.125,278.7538,1302600,0.0,1.0
1999-09-09,44.313,44.375,43.0,43.75,276.3847,1547400,0.0,1.0
1999-09-10,44.25,44.313,43.063,43.375,274.0156,1301300,0.0,1.0
1999-09-13,43.063,43.375,42.688,43.375,274.0156,814100,0.0,1.0
1999-09-14,42.688,43.313,42.063,43.063,272.0414,1257500,0.0,1.0
1999-09-15,44.1863,44.188,42.438,43.063,272.0414,1481200,0.0,1.0
1999-09-16,43.25,43.313,41.875,43.188,272.8313,1583900,0.0,1.0
1999-09-17,43.688,44.188,43.375,43.688,275.9899,1593100,0.0,1.0
1999-09-20,43.75,44.688,43.375,44.063,278.3589,758800,0.0,1.0
1999-09-21,43.25,43.688,42.125,42.75,270.0672,1426400,0.0,1.0
1999-09-22,42.75,43.5,42.063,42.875,270.8571,1372300,0.0,1.0
1999-09-23,43.501,44.188,42.5,43.125,272.4364,1588000,0.0,1.0
1999-09-24,42.813,44.188,42.813,43.75,276.3847,1450500,0.0,1.0
1999-09-27,44.5,44.875,42.875,42.875,270.8571,1424800,0.0,1.0
1999-09-28,42.938,43.75,42.063,43.75,276.3847,1406200,0.0,1.0
1999-09-29,43.1929,43.438,42.5,42.688,269.6725,1085000,0.0,1.0
1999-09-30,42.875,44.375,42.625,44.0,277.964,1618400,0.0,1.0
1999-10-01,43.0,43.688,42.688,43.25,273.226,1430900,0.0,1.0
1999-10-04,43.438,44.938,43.313,44.688,282.3073,1200000,0.0,1.0
1999-10-05,45.0,46.438,43.875,45.188,285.466,2306600,0.0,1.0
1999-10-06,45.688,46.688,45.563,46.375,292.9678,1284000,0.0,1.0
1999-10-07,46.125,46.75,45.5,45.875,289.8091,1486100,0.0,1.0
1999-10-08,45.875,46.813,45.0,46.563,294.1524,1073600,0.0,1.0
1999-10-11,46.4957,47.0,45.75,45.875,289.8091,687600,0.0,1.0
1999-10-12,46.0,46.313,45.188,45.5,287.4402,933400,0.0,1.0
1999-10-13,44.563,45.313,43.375,43.813,276.7795,1195100,0.0,1.0
1999-10-14,43.875,44.875,43.0,43.938,277.5691,1548700,0.0,1.0
1999-10-15,42.75,43.563,42.063,42.125,266.119,2009800,0.0,1.0
1999-10-18,42.625,43.875,42.4966,43.688,275.9899,1642400,0.0,1.0
1999-10-19,45.625,46.563,44.875,44.938,283.8866,2195100,0.0,1.0
1999-10-20,46.0,46.625,45.7498,46.25,292.1779,1415500,0.0,1.0
1999-10-21,45.625,47.25,45.25,46.938,296.5213,1482600,0.0,1.0
1999-10-22,48.0,49.063,47.813,48.188,304.4181,1942500,0.0,1.0
1999-10-25,47.75,48.25,47.125,47.813,302.0491,1027000,0.0,1.0
1999-10-26,47.938,50.313,47.625,48.5,306.3922,2682700,0.0,1.0
1999-10-27,49.563,51.688,48.75,51.313,324.1598,2032200,0.0,1.0
1999-10-28,53.438,54.6299,53.125,54.125,342.0518,4253600,0.14,1.0
1999-10-29,55.438,56.0,53.563,54.25,342.8418,2973100,0.0,1.0
1999-11-01,53.75,54.25,53.0627,53.375,337.3123,1475000,0.0,1.0
1999-11-02,53.5,54.75,53.375,53.688,339.2869,1520000,0.0,1.0
1999-11-03,54.875,54.875,52.688,53.0,334.9422,1630100,0.0,1.0
1999-11-04,54.188,55.063,53.063,54.75,346.0017,7179800,0.0,1.0
1999-11-05,54.688,55.2494,54.0,54.375,343.6317,1847600,0.0,1.0
1999-11-08,53.875,54.625,53.75,53.938,340.8669,1040200,0.0,1.0
1999-11-09,54.188,54.3176,52.188,52.813,333.7573,1237400,0.0,1.0
1999-11-10,52.063,53.125,51.813,52.5,331.7824,1230500,0.0,1.0
1999-11-11,52.625,52.813,51.563,52.125,329.4124,1125400,0.0,1.0
1999-11-12,53.0,55.125,52.375,54.875,346.7916,1791900,0.0,1.0
1999-11-15,55.125,55.875,54.438,55.875,353.1111,1203200,0.0,1.0
1999-11-16,56.0,58.25,55.688,58.0,366.5406,2231100,0.0,1.0
1999-11-17,57.375,57.5,55.875,56.375,356.2711,1620600,0.0,1.0
1999-11-18,56.5,57.063,55.063,56.25,355.4812,1317800,0.0,1.0
1999-11-19,56.188,57.188,55.125,56.5,357.061,1289900,0.0,1.0
1999-11-22,55.563,56.0,54.438,56.0,353.9012,1295600,0.0,1.0
1999-11-23,55.438,55.5,54.438,54.684,345.6066,985000,0.0,1.0
1999-11-24,54.813,54.813,53.75,53.938,340.8669,856400,0.0,1.0
1999-11-26,54.5,54.938,54.125,54.375,343.6317,401700,0.0,1.0
1999-11-29,54.188,54.188,53.438,53.625,334.9422,1189900,0.0,1.0
1999-11-30,53.5,55.188,53.438,53.875,340.4719,1524200,0.0,1.0
1999-12-01,53.063,54.625,53.0,54.313,343.2368,989200,0.0,1.0
1999-12-02,55.5017,55.625,53.5,54.0,341.2619,1395300,0.0,1.0
1999-12-03,55.438,57.375,55.125,57.188,361.4058,1963600,0.0,1.0
1999-12-06,56.938,56.938,55.556,56.184,355.0862,1175100,0.0,1.0
1999-12-07,56.625,57.5,56.375,57.188,361.4058,1324500,0.0,1.0
1999-12-08,57.313,57.563,54.438,55.953,353.6049,1202800,0.0,1.0
1999-12-09,56.0,56.125,54.25,55.125,348.3715,1286200,0.0,1.0
1999-12-10,55.813,56.625,55.688,56.125,354.691,1377600,0.0,1.0
1999-12-13,56.0,56.0,54.9999,55.324,349.6552,1057100,0.0,1.0
1999-12-14,54.0,54.813,53.438,53.5,338.1021,1329600,0.0,1.0
1999-12-15,53.938,55.063,53.813,54.5,344.4218,1362800,0.0,1.0
1999-12-16,55.125,55.1314,53.063,54.0,341.2619,1231300,0.0,1.0
1999-12-17,53.938,54.938,53.438,54.5,344.4218,1774700,0.0,1.0
1999-12-20,54.5,55.375,53.25,54.422,343.9279,1286700,0.0,1.0
1999-12-21,53.0638,56.0,53.0,56.0,353.9012,1526600,0.0,1.0
1999-12-22,55.438,55.438,54.313,55.0,347.5815,1059700,0.0,1.0
1999-12-23,55.813,56.313,55.625,55.625,351.5314,1005400,0.0,1.0
1999-12-27,56.063,56.625,54.375,54.5,344.4218,899400,0.0,1.0
1999-12-28,54.563,55.625,54.375,55.5,350.7412,626000,0.0,1.0
1999-12-29,55.625,55.813,54.625,54.875,346.7916,553600,0.0,1.0
1999-12-30,55.0,55.5,54.313,55.313,349.5565,507400,0.0,1.0
1999-12-31,55.25,55.938,54.875,55.688,351.9264,260400,0.0,1.0
2000-01-03,55.625,55.625,52.0,53.0,334.9422,1681900,0.0,1.0
2000-01-04,52.0,52.188,49.7497,49.75,314.4033,2403200,0.0,1.0
2000-01-05,50.875,52.0,49.5,51.75,327.0426,1742500,0.0,1.0
2000-01-06,51.313,54.688,51.25,54.25,342.8418,1863200,0.0,1.0
2000-01-07,54.0,54.938,52.813,54.0,341.2619,1394500,0.0,1.0
2000-01-10,54.938,54.938,52.0,52.0,340.0768,850300,0.0,1.0
2000-01-11,53.375,54.375,52.875,53.125,335.7322,996600,0.0,1.0
2000-01-12,53.563,55.0,53.438,55.0,347.5815,1145700,0.0,1.0
2000-01-13,55.0,56.063,54.688,55.625,351.5314,1237900,0.0,1.0
2000-01-14,56.5,58.563,56.438,58.0,366.5406,2225400,0.0,1.0
2000-01-18,58.063,58.938,57.188,58.5,369.7003,1571700,0.0,1.0
2000-01-19,58.0,60.125,57.875,59.75,377.5999,1955200,0.0,1.0
2000-01-20,59.8725,60.063,57.188,57.625,370.3916,1358200,0.0,1.0
2000-01-21,58.188,58.5,55.875,56.438,356.6662,1547900,0.0,1.0
2000-01-24,57.0,57.0,54.626,55.188,348.7667,1143200,0.0,1.0
2000-01-25,56.813,57.5,55.125,55.875,353.1111,1541800,0.0,1.0
2000-01-26,56.5,58.563,56.3121,58.125,367.3304,1334300,0.0,1.0
2000-01-27,58.625,59.5,57.75,59.0,372.8603,1449100,0.0,1.0
2000-01-28,57.5,58.5,56.0,56.125,354.691,1207100,0.0,1.0
2000-01-31,56.625,57.938,56.25,57.0,360.2209,1360400,0.0,1.0
2000-02-01,57.563,58.5,57.438,58.25,368.1204,1197400,0.0,1.0
2000-02-02,58.313,58.625,57.0,57.75,364.9605,1318900,0.0,1.0
2000-02-03,57.813,58.0,55.0,56.313,356.0076,1900200,0.16,1.0
2000-02-04,56.875,57.75,54.188,54.75,346.1295,1466200,0.0,1.0
2000-02-07,55.313,56.188,54.188,54.375,343.7587,1244100,0.0,1.0
2000-02-08,55.313,56.1798,55.125,56.0,354.032,1320500,0.0,1.0
2000-02-09,55.1215,55.75,53.938,54.188,342.5733,1265200,0.0,1.0
2000-02-10,54.5,55.19,53.0,53.688,339.4123,1124300,0.0,1.0
2000-02-11,54.188,55.188,52.875,54.0,341.388,1326300,0.0,1.0
2000-02-14,54.25,54.5654,52.063,54.0,341.388,1153700,0.0,1.0
2000-02-15,52.875,54.938,52.688,54.875,346.9197,1403100,0.0,1.0
2000-02-16,54.125,54.875,53.063,53.625,339.0172,910300,0.0,1.0
2000-02-17,54.25,54.75,52.188,52.5,331.905,1287400,0.0,1.0
2000-02-18,52.438,52.688,49.938,51.438,325.1878,2039100,0.0,1.0
2000-02-22,51.375,52.375,50.0,51.0,322.4218,1947400,0.0,1.0
2000-02-23,50.875,51.688,50.5,50.938,322.0268,1555300,0.0,1.0
2000-02-24,50.0,50.375,48.0,49.25,311.3584,3156600,0.0,1.0
2000-02-25,49.375,50.688,47.125,48.0,303.4561,1884900,0.0,1.0
2000-02-28,49.5,50.625,49.0,49.0,309.7779,3225100,0.0,1.0
2000-02-29,50.5,52.125,50.313,51.75,327.1635,2547700,0.0,1.0
2000-03-01,53.25,53.25,51.25,51.625,326.3731,1671900,0.0,1.0
2000-03-02,51.938,54.75,50.0,51.5,325.5829,1161300,0.0,1.0
2000-03-03,53.5,53.813,52.875,53.438,337.8319,1851300,0.0,1.0
2000-03-06,54.0,54.2536,51.063,52.188,329.9294,1241700,0.0,1.0
2000-03-07,52.813,52.875,50.375,50.375,318.4707,1145400,0.0,1.0
2000-03-08,50.75,50.938,49.188,50.5,319.2611,1180700,0.0,1.0
2000-03-09,49.063,50.375,48.5,50.375,318.4707,1507300,0.0,1.0
2000-03-10,49.813,50.688,48.75,49.0,309.7779,1227100,0.0,1.0
2000-03-13,47.938,49.938,47.75,49.938,315.7049,1928800,0.0,1.0
2000-03-14,50.125,50.375,49.25,49.75,314.5195,1192100,0.0,1.0
2000-03-15,49.313,52.25,48.875,52.25,330.3244,2380000,0.0,1.0
2000-03-16,53.625,57.0,52.75,56.125,354.8221,3432400,0.0,1.0
2000-03-17,56.563,57.75,56.125,57.0,360.354,1960400,0.0,1.0
2000-03-20,56.125,57.4369,55.313,56.188,355.2174,1368000,0.0,1.0
2000-03-21,56.313,58.188,55.625,58.063,367.0711,2067400,0.0,1.0
2000-03-22,58.25,59.0041,57.625,58.75,371.4175,1489800,0.0,1.0
2000-03-23,58.75,61.813,58.125,61.688,389.9884,2188500,0.0,1.0
2000-03-24,61.813,62.375,59.625,60.563,382.8761,1836400,0.0,1.0
2000-03-27,60.563,61.688,58.313,60.063,379.7151,1287300,0.0,1.0
2000-03-28,59.125,61.875,59.063,61.0,385.6419,1432600,0.0,1.0
2000-03-29,61.0,61.375,59.5,60.75,384.0614,1127700,0.0,1.0
2000-03-30,60.125,61.0,58.688,61.0,385.6419,1165900,0.0,1.0
2000-03-31,60.063,60.75,59.125,59.875,378.5297,1165800,0.0,1.0
2000-04-03,60.0,62.4348,59.875,62.0,391.964,1635600,0.0,1.0
2000-04-04,62.0,63.188,55.9998,59.0,372.9981,2371200,0.0,1.0
2000-04-05,58.75,59.5,57.9953,58.688,371.0223,1242900,0.0,1.0
2000-04-06,59.5,59.875,58.813,59.313,374.9736,850700,0.0,1.0
2000-04-07,59.75,60.0,58.8095,59.0,372.9981,946300,0.0,1.0
2000-04-10,59.0,62.625,58.8758,62.25,393.5445,1570200,0.0,1.0
2000-04-11,62.125,63.438,61.375,63.438,401.0518,1530800,0.0,1.0
2000-04-12,64.188,65.438,62.563,63.0,398.286,2113600,0.0,1.0
2000-04-13,63.0,63.0,61.5034,62.563,395.5201,1447700,0.0,1.0
2000-04-14,60.938,60.938,57.063,58.0,366.676,2168300,0.0,1.0
2000-04-17,57.25,59.813,56.75,59.25,374.5786,1990600,0.0,1.0
2000-04-18,59.625,63.0,59.313,62.125,392.7542,1495300,0.0,1.0
2000-04-19,62.063,62.125,57.563,59.625,376.949,2383300,0.0,1.0
2000-04-20,60.875,61.25,59.75,61.25,387.2225,1038400,0.0,1.0
2000-04-24,60.625,62.125,60.5,61.813,390.7786,1076900,0.0,1.0
2000-04-25,62.313,64.5,62.25,64.5,407.7691,1270500,0.0,1.0
2000-04-26,63.438,64.125,62.0,62.5,395.125,1122700,0.0,1.0
2000-04-27,61.375,61.938,60.188,61.5,388.9357,1119100,0.16,1.0
2000-04-28,62.625,62.688,58.938,59.0,373.1254,1106800,0.0,1.0
2000-05-01,60.188,62.0,59.063,60.313,381.4257,895400,0.0,1.0
2000-05-02,60.375,61.75,59.813,61.125,386.5642,828900,0.0,1.0
2000-05-03,60.813,62.625,59.75,60.125,380.24,1189000,0.0,1.0
2000-05-04,59.813,60.375,58.063,58.625,370.7538,1250400,0.0,1.0
2000-05-05,57.938,59.938,57.938,59.563,376.6826,800600,0.0,1.0
2000-05-08,59.3095,60.438,59.0,59.75,377.8684,973000,0.0,1.0
2000-05-09,60.375,60.875,58.875,59.5,376.2875,947100,0.0,1.0
2000-05-10,58.438,59.188,56.375,56.438,356.9197,1285600,0.0,1.0
2000-05-11,57.688,59.438,57.0,58.875,372.3348,1112900,0.0,1.0
2000-05-12,58.875,60.938,58.313,60.188,380.6353,1167700,0.0,1.0
2000-05-15,60.313,63.0696,59.938,62.875,397.6315,1219800,0.0,1.0
2000-05-16,63.188,63.3793,61.25,61.688,390.1216,1153900,0.0,1.0
2000-05-17,61.625,62.5,60.875,61.063,386.1689,943000,0.0,1.0
2000-05-18,62.0,63.063,61.375,61.563,389.331,1080600,0.0,1.0
2000-05-19,60.875,61.375,60.188,60.938,385.3783,1020700,0.0,1.0
2000-05-22,61.375,61.625,59.563,61.313,387.7499,855700,0.0,1.0
2000-05-23,61.0,63.25,61.0,62.313,394.0741,1079200,0.0,1.0
2000-05-24,61.875,63.188,60.313,61.375,388.1452,1673500,0.0,1.0
2000-05-25,60.125,61.0,58.125,58.563,370.3586,1550400,0.0,1.0
2000-05-26,58.063,58.688,57.063,58.25,368.3821,1184300,0.0,1.0
