timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-08-19,100.0,104.06,95.96,100.34,50.2202,44659000,0.0,1.0
2004-08-20,101.48,109.08,108.31,108.31,54.2092,22834300,0.0,1.0
2004-08-23,110.7698,113.48,109.4,109.4,54.7548,18256100,0.0,1.0
2004-08-24,111.24,111.6,104.87,104.87,52.4875,15247300,0.0,1.0
2004-08-25,104.96,108.0,106.0,106.0,53.0531,9188600,0.0,1.0
2004-08-26,104.95,107.95,107.91,107.91,54.009,7094800,0.0,1.0
2004-08-27,108.1,108.62,106.15,106.15,53.1281,6211700,0.0,1.0
2004-08-30,105.49,105.49,102.01,102.01,51.0561,5196700,0.0,1.0
2004-08-31,102.32,103.71,102.37,102.37,51.2362,4917800,0.0,1.0
2004-09-01,102.7,102.9707,100.25,100.25,50.1752,9138200,0.0,1.0
2004-09-02,99.09,102.3656,101.51,101.51,50.8058,15118600,0.0,1.0
2004-09-03,100.95,101.74,100.01,100.01,50.0551,5152400,0.0,1.0
2004-09-07,101.0213,102.0,101.58,101.58,50.8408,5847500,0.0,1.0
2004-09-08,100.74,103.0283,102.3,102.3,51.2012,4985600,0.0,1.0
2004-09-09,102.4999,102.71,102.31,102.31,51.2062,4061700,0.0,1.0
2004-09-10,101.6,106.56,105.33,105.33,52.7177,8698800,0.0,1.0
2004-09-13,106.6294,108.41,107.5,107.5,53.8038,7844100,0.0,1.0
2004-09-14,107.44,112.0,111.49,111.49,55.8008,10828900,0.0,1.0
2004-09-15,110.56,114.23,112.0075,112.0,56.0561,10713000,0.0,1.0
2004-09-16,112.34,115.8,113.97,113.97,57.042,9266300,0.0,1.0
2004-09-17,114.42,117.49,117.49,117.49,58.8038,9472500,0.0,1.0
2004-09-20,116.95,121.6,119.36,119.36,59.7397,10628700,0.0,1.0
2004-09-21,120.1962,120.42,117.84,117.84,58.979,7228700,0.0,1.0
2004-09-22,117.4489,119.67,118.38,118.38,59.2492,7581200,0.0,1.0
2004-09-23,118.84,122.63,120.82,120.82,60.4705,8535600,0.0,1.0
2004-09-24,120.97,124.1,119.83,119.83,59.975,9123400,0.0,1.0
2004-09-27,119.56,120.88,118.26,118.26,59.1892,7066100,0.0,1.0
2004-09-28,121.15,127.4,126.8577,126.86,63.4935,16929000,0.0,1.0
2004-09-29,126.64,135.02,131.08,131.08,65.6056,30516400,0.0,1.0
2004-09-30,129.899,132.3084,129.6,129.6,64.8649,13758000,0.0,1.0
2004-10-01,130.8,134.24,132.58,132.58,66.3564,15124800,0.0,1.0
2004-10-04,135.82,136.87,135.06,135.06,67.5976,13022700,0.0,1.0
2004-10-05,134.66,138.53,138.37,138.37,69.2543,14973200,0.0,1.0
2004-10-06,137.67,138.45,137.08,137.08,68.6086,13381400,0.0,1.0
2004-10-07,136.56,139.88,138.85,138.85,69.4945,14115000,0.0,1.0
2004-10-08,138.73,139.68,137.73,137.73,68.9339,11069500,0.0,1.0
2004-10-11,137.01,138.86,135.26,135.26,67.6977,10472100,0.0,1.0
2004-10-12,134.49,137.61,137.4,137.4,68.7688,11665500,0.0,1.0
2004-10-13,143.32,143.55,140.9,140.9,70.5205,19766200,0.0,1.0
2004-10-14,141.0285,142.38,142.0,142.0,71.0711,10442100,0.0,1.0
2004-10-15,144.95,145.5,144.11,144.11,72.1271,13194700,0.0,1.0
2004-10-18,143.2,149.2,149.16,149.16,74.6547,14036300,0.0,1.0
2004-10-19,150.5,152.4,147.94,147.94,74.044,18109800,0.0,1.0
2004-10-20,147.94,148.99,140.49,140.49,70.3153,22722600,0.0,1.0
2004-10-21,144.13,150.13,149.38,149.38,74.7648,29149800,0.0,1.0
2004-10-22,170.4375,180.17,172.43,172.43,86.3013,73710000,0.0,1.0
2004-10-25,176.28,194.4325,187.4,187.4,93.7938,65462800,0.0,1.0
2004-10-26,186.449,192.64,181.8,181.8,90.991,44569500,0.0,1.0
2004-10-27,182.29,189.52,185.97,185.97,93.0781,26686200,0.0,1.0
2004-10-28,186.63,194.39,193.3,193.3,96.7467,29663900,0.0,1.0
2004-10-29,198.87,199.95,190.64,190.64,95.4154,42282600,0.0,1.0
2004-11-01,193.5,197.6677,196.03,196.03,98.1131,24425300,0.0,1.0
2004-11-02,198.73,199.25,194.87,194.87,97.5325,22669900,0.0,1.0
2004-11-03,198.1831,201.6,191.67,191.67,95.9309,27749600,0.0,1.0
2004-11-04,188.25,190.4,184.7,184.7,92.4424,28790300,0.0,1.0
2004-11-05,182.0,182.3,169.35,169.35,84.7598,39626500,0.0,1.0
2004-11-08,170.93,175.44,172.55,172.55,86.3614,22361200,0.0,1.0
2004-11-09,174.1,175.2,168.7,168.7,84.4344,22106200,0.0,1.0
2004-11-10,170.67,172.52,167.86,167.86,84.014,21266700,0.0,1.0
2004-11-11,169.13,183.75,183.02,183.02,91.6016,29941000,0.0,1.0
2004-11-12,185.23,189.8,182.0,182.0,91.0911,33458700,0.0,1.0
2004-11-15,180.45,188.32,184.87,184.87,92.5275,23779100,0.0,1.0
2004-11-16,177.5,179.47,172.545,172.545,86.3564,41792900,0.0,1.0
2004-11-17,169.02,177.5,172.5,172.5,86.3363,36229500,0.0,1.0
2004-11-18,170.4,174.42,167.54,167.54,83.8539,33225900,0.0,1.0
2004-11-19,169.06,169.98,169.4,169.4,84.7848,17521000,0.0,1.0
2004-11-22,168.645,169.5,165.1,165.1,82.6326,24711600,0.0,1.0
2004-11-23,167.915,170.83,167.52,167.52,83.8438,24801700,0.0,1.0
2004-11-24,174.84,177.21,174.76,174.76,87.4675,30531400,0.0,1.0
2004-11-26,175.8,180.03,179.39,179.39,89.7848,12947200,0.0,1.0
2004-11-29,180.255,182.95,181.05,181.05,90.6156,21311800,0.0,1.0
2004-11-30,180.7,183.0,181.98,181.98,91.0811,15384600,0.0,1.0
2004-12-01,181.77,182.5,179.96,179.96,90.0701,15712400,0.0,1.0
2004-12-02,179.9,181.51,179.4,179.4,89.7898,12509200,0.0,1.0
2004-12-03,179.88,181.06,180.4,180.4,90.2903,11726600,0.0,1.0
2004-12-06,179.13,180.7,176.29,176.29,88.2332,12495400,0.0,1.0
2004-12-07,176.0,176.2,171.43,171.43,85.8008,13728000,0.0,1.0
2004-12-08,170.57,173.68,169.98,169.98,85.0751,15068500,0.0,1.0
2004-12-09,170.25,173.5,173.43,173.43,86.8018,15292600,0.0,1.0
2004-12-10,173.43,174.88,171.65,171.65,85.9109,8625700,0.0,1.0
2004-12-13,172.03,173.18,170.45,170.45,85.3103,9627500,0.0,1.0
2004-12-14,171.0,178.82,178.69,178.69,89.4344,22154600,0.0,1.0
2004-12-15,177.99,180.69,179.78,179.78,89.98,22919000,0.0,1.0
2004-12-16,177.22,180.49,176.47,176.47,88.3233,17128400,0.0,1.0
2004-12-17,176.76,180.5,180.08,180.08,90.1301,14757600,0.0,1.0
2004-12-20,182.0,188.46,185.02,185.02,92.6026,19649300,0.0,1.0
2004-12-21,186.2783,187.88,183.75,183.75,91.967,11021500,0.0,1.0
2004-12-22,183.9,186.85,186.2941,186.3,93.2432,7806100,0.0,1.0
2004-12-23,187.45,188.6,187.9,187.9,94.044,7221900,0.0,1.0
2004-12-27,189.15,193.3,191.91,191.91,96.051,12195900,0.0,1.0
2004-12-28,192.11,193.55,192.76,192.76,96.4765,8283300,0.0,1.0
2004-12-29,191.97,193.52,192.9,192.9,96.5465,5350800,0.0,1.0
2004-12-30,192.97,198.23,197.6082,197.6,98.8989,11796700,0.0,1.0
2004-12-31,199.23,199.88,192.79,192.79,96.4915,15321600,0.0,1.0
2005-01-03,197.4,203.64,202.7191,202.71,101.4565,31656700,0.0,1.0
2005-01-04,201.33,202.93,194.5,194.5,97.3474,27484200,0.0,1.0
2005-01-05,193.45,196.9,193.5162,193.51,96.8519,16456700,0.0,1.0
2005-01-06,195.25,195.9,188.55,188.55,94.3694,20753400,0.0,1.0
2005-01-07,190.64,194.25,193.85,193.85,97.022,19306400,0.0,1.0
2005-01-10,194.5,198.1,195.06,195.06,97.6276,15064100,0.0,1.0
2005-01-11,195.62,197.71,193.54,193.54,96.8669,13903400,0.0,1.0
2005-01-12,194.33,195.93,195.38,195.38,97.7878,16339200,0.0,1.0
2005-01-13,195.38,197.3924,195.33,195.33,97.7628,13685100,0.0,1.0
2005-01-14,196.0,200.01,199.97,199.97,100.0851,19261300,0.0,1.0
2005-01-18,200.89,205.02,203.9,203.9,102.0521,26318800,0.0,1.0
2005-01-19,204.64,205.3,197.3,197.3,98.7487,22492800,0.0,1.0
2005-01-20,192.58,196.25,193.92,193.92,97.0571,17985100,0.0,1.0
2005-01-21,194.44,195.36,188.28,188.28,94.2342,18498200,0.0,1.0
2005-01-24,188.6915,189.33,180.72,180.72,90.4504,28017300,0.0,1.0
2005-01-25,182.2,182.24,177.12,177.12,88.6487,21297000,0.0,1.0
2005-01-26,179.27,189.41,189.24,189.24,94.7147,24591100,0.0,1.0
2005-01-27,188.76,188.86,188.08,188.08,94.1341,13241500,0.0,1.0
2005-01-28,190.02,194.7,190.34,190.34,95.2653,24391900,0.0,1.0
2005-01-31,193.69,196.36,195.62,195.62,97.9079,19174200,0.0,1.0
2005-02-01,194.38,196.66,191.9,191.9,96.046,37640300,0.0,1.0
2005-02-02,215.55,216.8,205.9455,205.96,103.0831,65533000,0.0,1.0
2005-02-03,205.99,213.37,210.86,210.86,105.5355,25950200,0.0,1.0
2005-02-04,206.4641,207.75,204.36,204.36,102.2823,29608900,0.0,1.0
2005-02-07,205.26,206.4,196.03,196.03,98.1131,25894800,0.0,1.0
2005-02-08,196.96,200.02,198.64,198.64,99.4194,22937000,0.0,1.0
2005-02-09,200.76,201.6,191.58,191.58,95.8859,34308600,0.0,1.0
2005-02-10,191.97,192.21,187.98,187.98,94.0841,37927400,0.0,1.0
2005-02-11,186.66,192.32,187.4,187.4,93.7938,26205700,0.0,1.0
2005-02-14,182.87,193.08,193.0046,192.99,96.5916,77047200,0.0,1.0
2005-02-15,193.605,199.84,195.23,195.23,97.7127,51514000,0.0,1.0
2005-02-16,194.7,199.33,198.41,198.41,99.3043,33031500,0.0,1.0
2005-02-17,197.83,199.75,197.9,197.9,99.049,20807900,0.0,1.0
2005-02-18,198.51,198.84,197.95,197.95,99.0741,16954800,0.0,1.0
2005-02-22,196.5,198.9,191.37,191.37,95.7808,26940400,0.0,1.0
2005-02-23,193.3,194.48,193.95,193.95,97.0721,31140800,0.0,1.0
2005-02-24,183.37,189.85,188.89,188.89,94.5395,51576900,0.0,1.0
