timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2009-11-05,27.0,28.26,25.75,28.0,27.5699,19384900,0.0,1.0
2009-11-06,27.88,30.5,27.7393,28.0,27.5699,2698600,0.0,1.0
2009-11-09,28.19,29.09,27.98,28.9,28.4561,1886200,0.0,1.0
2009-11-10,29.0,29.9,28.48,29.3,28.8499,813700,0.0,1.0
2009-11-11,29.03,29.5,28.51,29.24,28.7908,1290300,0.0,1.0
2009-11-12,28.94,29.71,28.94,29.1,28.653,705800,0.0,1.0
2009-11-13,29.03,29.23,28.85,28.98,28.5348,1036800,0.0,1.0
2009-11-16,28.98,29.274,28.6,28.9,28.4561,1036000,0.0,1.0
2009-11-17,28.76,29.01,28.19,28.67,28.2296,785600,0.0,1.0
2009-11-18,28.6102,29.67,28.57,29.5,29.0469,995200,0.0,1.0
2009-11-19,29.4,29.4485,28.77,29.2,28.7515,79800,0.0,1.0
2009-11-20,29.15,29.68,28.93,29.52,29.0665,1019200,0.0,1.0
2009-11-23,29.72,29.95,28.76,28.85,28.4068,579400,0.0,1.0
2009-11-24,29.04,29.04,28.06,28.54,28.1016,509200,0.0,1.0
2009-11-25,28.45,28.93,28.31,28.61,28.1705,275300,0.0,1.0
2009-11-27,27.77,28.48,27.75,28.35,27.9145,386800,0.0,1.0
2009-11-30,28.37,28.94,28.36,28.75,28.3084,519500,0.0,1.0
2009-12-01,28.89,29.99,28.73,29.71,29.2536,562600,0.0,1.0
2009-12-02,29.75,30.0,28.7,29.37,28.9188,418100,0.0,1.0
2009-12-03,29.51,29.65,29.1,29.28,28.8302,242200,0.0,1.0
2009-12-04,29.45,29.75,28.99,29.5,29.0469,91800,0.0,1.0
2009-12-07,29.38,29.38,28.52,28.72,28.2788,878000,0.0,1.0
2009-12-08,28.55,28.55,27.65,27.9,27.4714,793200,0.0,1.0
2009-12-09,28.06,28.29,27.91,28.09,27.6585,342900,0.0,1.0
2009-12-10,28.3,29.15,28.07,28.8,28.3576,176900,0.0,1.0
2009-12-11,28.75,29.18,28.67,29.05,28.6038,156400,0.0,1.0
2009-12-14,29.25,29.61,28.89,29.51,29.0567,315500,0.0,1.0
2009-12-15,30.22,30.5,29.7,30.15,29.6869,758600,0.0,1.0
2009-12-16,30.27,30.62,29.88,30.31,29.8444,708700,0.0,1.0
2009-12-17,30.3714,30.38,29.92,30.02,29.5589,377200,0.0,1.0
2009-12-18,30.34,30.38,29.58,30.12,29.6573,2682700,0.0,1.0
2009-12-21,30.09,30.19,29.8,30.19,29.7262,380800,0.0,1.0
2009-12-22,30.101,30.7,30.04,30.27,29.805,292500,0.0,1.0
2009-12-23,30.17,30.32,30.05,30.2,29.7361,193900,0.0,1.0
2009-12-24,30.5,30.5009,30.03,30.18,29.7164,130300,0.0,1.0
2009-12-28,30.28,30.63,29.91,30.09,29.6278,289800,0.0,1.0
2009-12-29,30.15,30.25,29.74,29.79,29.3324,121300,0.0,1.0
2009-12-30,29.64,30.04,29.64,29.9,29.4407,37600,0.0,1.0
2009-12-31,29.88,30.19,29.58,29.81,29.3521,572600,0.0,1.0
2010-01-04,29.81,30.6,29.65,29.96,29.4998,482700,0.0,1.0
2010-01-05,30.0604,30.18,29.805,30.0,29.5392,554100,0.0,1.0
2010-01-06,29.75,29.94,29.45,29.72,29.2635,58000,0.0,1.0
2010-01-07,29.56,30.0,29.5,29.89,29.4309,1140300,0.0,1.0
2010-01-08,29.98,30.0,29.59,29.71,29.2536,745500,0.0,1.0
2010-01-11,29.8,29.91,29.52,29.81,29.3521,970200,0.0,1.0
2010-01-12,29.9,29.97,29.39,29.83,29.3718,490200,0.0,1.0
2010-01-13,29.9,30.74,29.88,30.73,30.258,1499800,0.0,1.0
2010-01-14,30.72,32.24,30.72,31.69,31.2032,1012100,0.0,1.0
2010-01-15,31.82,31.93,31.54,31.75,31.2623,736700,0.0,1.0
2010-01-19,31.75,31.93,31.41,31.72,31.2327,861600,0.0,1.0
2010-01-20,31.45,31.72,31.21,31.3,30.8192,585300,0.0,1.0
2010-01-21,31.39,31.48,30.39,30.5,30.0315,282900,0.0,1.0
2010-01-22,30.7,30.7,29.37,29.57,29.1158,722200,0.0,1.0
2010-01-25,29.85,30.16,29.51,30.05,29.5884,499100,0.0,1.0
2010-01-26,30.0,30.1282,29.87,29.87,29.4112,199900,0.0,1.0
2010-01-27,29.8991,30.07,29.47,29.48,29.0272,94400,0.0,1.0
2010-01-28,29.64,30.7013,29.56,29.82,29.3619,1297900,0.0,1.0
2010-01-29,29.85,30.0,29.52,29.62,29.165,1155500,0.0,1.0
2010-02-01,29.9,30.1905,29.39,29.85,29.3915,601900,0.0,1.0
2010-02-02,29.81,30.51,29.624,29.85,29.3915,604600,0.0,1.0
2010-02-03,29.79,29.83,29.41,29.5,29.0469,336900,0.0,1.0
2010-02-04,29.54,30.25,28.8896,29.04,28.5939,657400,0.0,1.0
2010-02-05,29.18,29.21,28.16,28.63,28.1902,587500,0.0,1.0
2010-02-08,28.6,29.3,28.3317,28.93,28.4856,209500,0.0,1.0
2010-02-09,29.14,29.35,28.7991,29.0,28.5545,184500,0.0,1.0
2010-02-10,29.05,29.4,28.85,29.22,28.7711,258200,0.0,1.0
2010-02-11,29.25,29.35,28.96,29.23,28.781,181600,0.0,1.0
2010-02-12,29.21,29.34,28.94,29.34,28.8893,347700,0.0,1.0
2010-02-16,29.64,31.47,29.64,29.69,29.2339,537300,0.0,1.0
2010-02-17,29.7708,30.46,29.77,30.25,29.7853,78800,0.0,1.0
2010-02-18,30.15,30.24,29.92,30.0,29.5392,237800,0.0,1.0
2010-02-19,29.94,30.1634,29.74,29.97,29.5096,97000,0.0,1.0
2010-02-22,29.98,31.07,29.9526,30.93,30.4549,66600,0.0,1.0
2010-02-23,30.93,31.3,30.64,30.91,30.4352,739100,0.0,1.0
2010-02-24,30.85,31.15,30.76,31.15,30.6715,252100,0.0,1.0
2010-02-25,30.9995,32.75,30.63,32.5,32.0008,859300,0.0,1.0
2010-02-26,32.63,34.11,32.6083,33.43,32.9165,739900,0.0,1.0
2010-03-01,33.7,34.28,33.38,33.42,32.9066,69600,0.0,1.0
2010-03-02,33.73,33.8,33.05,33.12,32.6112,89000,0.0,1.0
2010-03-03,33.28,33.535,33.121,33.4,32.8869,269300,0.0,1.0
2010-03-04,33.3,33.79,33.15,33.75,33.2316,39800,0.0,1.0
2010-03-05,33.8,34.42,33.55,34.02,33.4974,527900,0.0,1.0
2010-03-08,34.16,34.88,34.13,34.67,34.1374,305100,0.0,1.0
2010-03-09,34.5,34.64,33.8,33.95,33.4285,216500,0.0,1.0
2010-03-10,34.12,34.3,33.67,33.8,33.2808,20200,0.0,1.0
2010-03-11,33.69,34.21,33.36,33.58,33.0642,198600,0.0,1.0
2010-03-12,33.56,34.06,33.22,34.05,33.527,959700,0.0,1.0
2010-03-15,33.8901,34.6,33.78,34.48,33.9503,574700,0.0,1.0
2010-03-16,34.64,36.23,34.23,36.11,35.5553,446500,0.0,1.0
2010-03-17,36.31,36.31,35.25,35.29,34.7479,185300,0.0,1.0
2010-03-18,35.29,35.8108,35.14,35.7,35.1516,84800,0.0,1.0
2010-03-19,35.79,37.72,35.45,37.45,36.8747,823800,0.0,1.0
