timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-07-20,14.5,14.83,14.2499,14.66,1.9119,8929000,0.0,1.0
2001-07-23,15.0,15.5,14.75,15.5,2.0214,2214000,0.0,1.0
2001-07-24,15.5,15.65,15.29,15.29,1.994,2101000,0.0,1.0
2001-07-25,14.85,15.0,14.65,14.65,1.9106,895000,0.0,1.0
2001-07-26,14.65,14.75,14.65,14.65,1.9106,892000,0.0,1.0
2001-07-27,14.65,14.8,14.65,14.65,1.9106,448500,0.0,1.0
2001-07-30,14.75,14.75,14.5,14.6,1.904,1052500,0.0,1.0
2001-07-31,14.81,15.0,14.4,14.65,1.9106,369500,0.0,1.0
2001-08-01,14.75,15.05,14.75,14.99,1.9549,443500,0.0,1.0
2001-08-02,14.89,15.0,14.62,15.0,1.9562,612000,0.0,1.0
2001-08-03,14.9,15.25,14.9,15.0,1.9562,288000,0.0,1.0
2001-08-06,15.0,15.18,14.83,15.0,1.9562,382000,0.0,1.0
2001-08-07,15.05,15.75,15.05,15.45,2.0149,657500,0.0,1.0
2001-08-08,15.45,16.0,15.45,15.85,2.067,813000,0.0,1.0
2001-08-09,16.1,16.99,15.95,16.35,2.1323,509000,0.0,1.0
2001-08-10,16.3,16.35,15.9,15.92,2.0762,91000,0.0,1.0
2001-08-13,15.9,16.0,15.8,16.0,2.0866,122500,0.0,1.0
2001-08-14,16.0,16.05,15.92,16.04,2.0918,162000,0.0,1.0
2001-08-15,15.9,15.95,14.9,15.1,1.9692,664500,0.0,1.0
2001-08-16,15.1,15.6,15.1,15.5,2.0214,195000,0.0,1.0
2001-08-17,15.6493,15.75,15.4,15.7,2.0475,222500,0.0,1.0
2001-08-20,15.85,16.0,15.5,15.95,2.0801,152500,0.0,1.0
2001-08-21,15.95,16.09,15.8495,16.06,2.0944,387500,0.0,1.0
2001-08-22,16.1,16.5,16.05,16.5,2.1518,107000,0.0,1.0
2001-08-23,16.5,16.8,16.5,16.72,2.1805,279500,0.0,1.0
2001-08-24,16.8,16.8,16.5,16.5,2.1518,491500,0.0,1.0
2001-08-27,16.5,16.5,16.1013,16.1,2.0997,679000,0.0,1.0
2001-08-28,16.15,16.19,15.92,15.99,2.0853,291000,0.0,1.0
2001-08-29,15.85,16.0,15.75,15.9,2.0736,710500,0.0,1.0
2001-08-30,15.85,15.85,15.5,15.7,2.0475,541500,0.0,1.0
2001-08-31,15.6,15.73,15.5,15.5,2.0214,40000,0.0,1.0
2001-09-04,15.4,15.75,15.35,15.7,2.0475,157000,0.0,1.0
2001-09-05,15.95,17.0,15.85,16.85,2.1975,696500,0.0,1.0
2001-09-06,16.6,16.6,16.25,16.25,2.1192,206500,0.0,1.0
2001-09-07,17.0,17.29,16.5,17.19,2.2418,732000,0.0,1.0
2001-09-10,17.13,17.13,16.7192,16.76,2.1857,501500,0.0,1.0
2001-09-17,15.25,15.25,13.15,13.5,1.7606,426500,0.0,1.0
2001-09-18,13.65,14.02,13.0,13.0,1.6954,542000,0.0,1.0
2001-09-19,13.0009,13.54,13.0,13.54,1.7658,589000,0.0,1.0
2001-09-20,13.55,13.55,13.0,13.0,1.6954,308000,0.0,1.0
2001-09-21,12.5,12.65,12.4,12.49,1.6289,697500,0.0,1.0
2001-09-24,13.0,14.26,13.0,13.9,1.8127,414500,0.0,1.0
2001-09-25,13.05,13.05,12.95,13.0,1.6954,508000,0.0,1.0
2001-09-26,13.0,13.15,12.5,13.1,1.7084,474500,0.0,1.0
2001-09-27,13.2,13.35,13.2,13.2,1.7215,669000,0.0,1.0
2001-09-28,13.2,14.0,13.2,13.8,1.7997,324500,0.0,1.0
